Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2020-07-29,450.00,492.00,450.00,492.00,,9.8,,38160.00
2020-07-30,501.00,541.00,501.00,541.00,,9.96,,47690.00
2020-08-02,551.00,595.00,551.00,595.00,,9.98,,135750.00
2020-08-03,606.00,654.00,606.00,654.00,,9.92,,506304.00
2020-08-05,667.00,719.00,667.00,719.00,,9.94,,3249940.00
2020-08-06,754.00,790.00,715.00,719.00,,0,,23756166.00
2020-08-09,754.00,754.00,669.00,692.00,,-3.76,,6707094.00
2020-08-10,687.00,761.00,685.00,746.00,,7.8,,5137458.00
2020-08-11,732.00,746.00,690.00,718.00,,-3.75,,4222646.00
2020-08-12,705.00,729.00,700.00,705.00,,-1.81,,2494608.00
2020-08-13,692.00,751.00,692.00,720.00,,2.13,,5061042.00
2020-08-16,706.00,710.00,680.00,695.00,,-3.47,,4001208.00
2020-08-17,708.00,732.00,683.00,718.00,,3.31,,2806811.00
2020-08-18,704.00,710.00,696.00,710.00,,-1.11,,1530939.00
2020-08-19,697.00,697.00,687.00,690.00,,-2.82,,3082906.00
2020-08-20,703.00,703.00,680.00,694.00,,0.58,,1657160.00
2020-08-23,694.00,714.00,681.00,714.00,,2.88,,2843482.00
2020-08-24,708.00,722.00,701.00,719.00,,0.7,,3774339.00
2020-08-25,720.00,745.00,705.00,717.00,,-0.28,,2799365.00
2020-08-27,710.00,719.00,702.00,709.00,,-0.7,,1915336.00
2020-08-31,705.00,711.00,700.00,704.00,,0.14,,4086704.00
2020-09-02,712.00,724.00,701.00,706.00,,0.28,,3211778.00
2020-09-03,697.00,705.00,695.00,704.00,,-0.28,,3163142.00
2020-09-06,739.00,739.00,697.00,702.00,,-0.28,,3896396.00
2020-09-07,700.00,709.00,691.00,709.00,,1,,3016563.00
2020-09-08,710.00,717.00,701.00,709.00,,0,,3760529.00
2020-09-09,723.00,779.00,713.00,775.00,,9.31,,18558987.00
2020-09-10,813.00,813.00,761.00,782.00,,0.9,,8900156.00
2020-09-13,782.00,782.00,753.00,773.00,,-1.15,,9351494.00
2020-09-14,760.00,769.00,737.00,760.00,,-1.68,,9508884.00
2020-09-15,750.00,765.00,735.00,748.00,,-1.58,,3897291.00
2020-09-16,762.00,777.00,735.00,745.00,,-0.4,,4046115.00
2020-09-17,745.00,770.00,740.00,754.00,,1.21,,6464973.00
2020-09-20,769.00,770.00,740.00,741.00,,-1.72,,2579475.00
2020-09-21,741.00,745.00,736.00,741.00,,0,,2040710.00
2020-09-22,741.00,741.00,725.00,732.00,,-1.21,,4268098.00
2020-09-23,721.00,747.00,721.00,740.00,,0.82,,1575196.00
2020-09-24,728.00,740.00,728.00,738.00,,-0.27,,2373095.00
