Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,659.00,656.00,641.00,650.00,,-1.37,,10936168.00
2014-08-04,680.00,685.00,666.00,671.00,,-1.32,,10936168.00
2014-08-04,671.00,662.00,650.00,659.00,,-1.79,,10936168.00
2014-08-04,703.00,700.00,690.00,699.00,,-0.57,,10936168.00
2014-08-04,699.00,696.00,686.00,695.00,,-0.57,,10936168.00
2014-08-04,695.00,700.00,670.00,680.00,,-2.16,,10936168.00
2014-08-05,650.00,670.00,648.00,657.00,,1.08,,12914583.00
2014-08-06,657.00,660.00,649.00,650.00,,-1.07,,12733444.00
2014-08-07,650.00,668.00,635.00,655.00,,0.77,,17521538.00
2014-08-12,655.00,649.00,630.00,645.00,,-1.53,,4790514.00
2014-08-13,645.00,660.00,633.00,660.00,,2.33,,8449188.00
2014-08-14,660.00,670.00,647.00,657.00,,-0.45,,10054548.00
2014-08-18,657.00,644.00,595.00,612.00,,-6.85,,22612552.00
2014-08-19,612.00,620.00,596.00,610.00,,-0.33,,10948420.00
2014-08-20,610.00,610.00,588.00,605.00,,-0.82,,11856208.00
2014-08-21,605.00,609.00,580.00,600.00,,-0.83,,7501131.00
2014-08-24,600.00,607.00,586.00,600.00,,0,,7224524.00
2014-08-25,600.00,588.00,548.00,559.00,,-6.83,,7367250.00
2014-08-26,559.00,590.00,527.00,532.00,,-4.83,,7398733.00
2014-08-27,532.00,585.00,540.00,559.00,,5.08,,7637563.00
2014-08-28,559.00,581.00,555.00,555.00,,-0.72,,5290522.00
2014-08-31,555.00,555.00,529.00,544.00,,-1.98,,3881419.00
2014-09-01,544.00,540.00,524.00,540.00,,-0.74,,4263430.00
2014-09-03,540.00,550.00,531.00,534.00,,-1.11,,3338441.00
2014-09-04,534.00,528.00,514.00,516.00,,-3.37,,6900500.00
2014-09-07,516.00,513.00,477.00,477.00,,-7.56,,4224592.00
2014-09-09,477.00,514.00,480.00,510.00,,6.92,,3123354.00
2014-09-10,510.00,550.00,502.00,515.00,,0.98,,9003879.00
2014-09-11,515.00,515.00,494.00,510.00,,-0.97,,2609696.00
2014-09-14,510.00,507.00,495.00,501.00,,-1.76,,5894531.00
2014-09-15,501.00,500.00,490.00,495.00,,-1.2,,2263865.00
2014-09-16,495.00,500.00,493.00,500.00,,1.01,,2813054.00
2014-09-17,500.00,501.00,491.00,491.00,,-1.8,,1059526.00
2014-09-18,491.00,493.00,485.00,485.00,,-1.22,,2113234.00
2014-09-21,500.00,491.00,472.00,473.00,,-5.4,,2330048.00
2014-09-22,473.00,478.00,450.00,463.00,,-2.11,,2150250.00
2014-09-23,463.00,509.00,472.00,509.00,,9.94,,812465.00
2014-09-24,509.00,555.00,509.00,533.00,,4.72,,14918155.00
2014-09-28,533.00,535.00,520.00,533.00,,0,,2872819.00
2014-09-29,533.00,549.00,526.00,549.00,,3,,1383477.00
2014-09-30,549.00,545.00,522.00,522.00,,-4.92,,2203088.00
2014-10-08,522.00,520.00,507.00,520.00,,-0.38,,1004294.00
2014-10-09,520.00,520.00,514.00,515.00,,-0.96,,2232742.00
2014-10-12,515.00,519.00,494.00,499.00,,-3.11,,1775044.00
2014-10-13,499.00,501.00,490.00,496.00,,-0.6,,3163546.00
2014-10-14,496.00,505.00,496.00,500.00,,0.81,,1115048.00
2014-10-15,500.00,510.00,500.00,508.00,,1.6,,1751854.00
2014-10-16,508.00,515.00,500.00,512.00,,0.79,,1036190.00
2014-10-19,512.00,524.00,495.00,524.00,,2.34,,1283847.00
2014-10-20,524.00,515.00,504.00,512.00,,-2.29,,943601.00
2014-10-21,512.00,517.00,506.00,506.00,,-1.17,,825062.00
2014-10-22,506.00,514.00,495.00,505.00,,-0.2,,1085421.00
2014-10-26,505.00,501.00,495.00,501.00,,-0.79,,158551.00
2014-10-27,501.00,508.00,500.00,508.00,,1.4,,414552.00
2014-10-28,508.00,507.00,496.00,503.00,,-0.98,,1559251.00
2014-10-30,503.00,502.00,496.00,496.00,,-1.39,,1615458.00
2014-11-02,496.00,488.00,484.00,487.00,,-1.81,,1691461.00
2014-11-03,487.00,490.00,476.00,478.00,,-1.85,,1438935.00
2014-11-04,478.00,480.00,461.00,480.00,,0.42,,2036039.00
2014-11-05,480.00,493.00,477.00,490.00,,2.08,,1561916.00
2014-11-06,490.00,490.00,481.00,486.00,,-0.82,,2310227.00
2014-11-09,486.00,482.00,470.00,470.00,,-3.29,,2066075.00
2014-11-10,470.00,471.00,459.00,469.00,,-0.21,,3301463.00
2014-11-11,469.00,470.00,443.00,470.00,,0.21,,1127792.00
2014-11-12,470.00,477.00,462.00,470.00,,0,,1456430.00
2014-11-13,470.00,479.00,455.00,463.00,,-1.49,,2419866.00
2014-11-16,463.00,463.00,455.00,455.00,,-1.73,,1216890.00
2014-11-17,455.00,453.00,430.00,430.00,,-5.49,,2222843.00
2014-11-18,430.00,449.00,415.00,448.00,,4.19,,2436446.00
2014-11-19,448.00,466.00,440.00,457.00,,2.01,,725958.00
2014-11-20,457.00,460.00,449.00,457.00,,0,,1415268.00
2014-11-24,480.00,475.00,461.00,465.00,,-3.12,,527558.00
2014-11-24,457.00,485.00,457.00,480.00,,5.03,,527558.00
2014-11-25,465.00,465.00,457.00,457.00,,-1.72,,32695.00
2014-11-30,457.00,457.00,441.00,445.00,,-2.63,,645427.00
2014-12-01,445.00,448.00,439.00,443.00,,-0.45,,765978.00
2014-12-02,443.00,453.00,435.00,453.00,,2.26,,490210.00
2014-12-03,453.00,467.00,447.00,455.00,,0.44,,981696.00
2014-12-04,455.00,469.00,460.00,464.00,,1.98,,1053864.00
2014-12-07,464.00,458.00,448.00,452.00,,-2.59,,778573.00
2014-12-08,452.00,450.00,443.00,448.00,,-0.88,,576619.00
2014-12-09,448.00,450.00,442.00,446.00,,-0.45,,1055494.00
2014-12-10,446.00,470.00,446.00,470.00,,5.38,,258977.00
2014-12-11,470.00,479.00,457.00,469.00,,-0.21,,2144460.00
2014-12-14,469.00,493.00,474.00,490.00,,4.48,,1791711.00
2014-12-15,490.00,505.00,481.00,497.00,,1.43,,2164203.00
2014-12-16,497.00,494.00,470.00,492.00,,-1.01,,2561451.00
2014-12-17,492.00,488.00,479.00,485.00,,-1.42,,1541419.00
2014-12-18,485.00,480.00,465.00,480.00,,-1.03,,1042527.00
2014-12-21,480.00,475.00,461.00,464.00,,-3.33,,1412599.00
2014-12-22,464.00,473.00,452.00,473.00,,1.94,,2091099.00
2014-12-23,473.00,470.00,447.00,467.00,,-1.27,,1085223.00
2014-12-24,467.00,470.00,458.00,470.00,,0.64,,1469000.00
2014-12-28,470.00,484.00,470.00,484.00,,2.98,,1544943.00
2014-12-29,484.00,484.00,466.00,475.00,,-1.86,,1003216.00
2014-12-31,475.00,490.00,464.00,476.00,,0.21,,1398316.00
2015-01-01,476.00,485.00,470.00,479.00,,0.63,,1283385.00
2015-01-04,479.00,481.00,474.00,478.00,,-0.21,,572959.00
2015-01-05,478.00,487.00,471.00,487.00,,1.88,,828237.00
2015-01-06,487.00,480.00,466.00,475.00,,-2.46,,1855816.00
2015-01-07,475.00,476.00,467.00,476.00,,0.21,,1665797.00
2015-01-08,476.00,480.00,472.00,473.00,,-0.63,,1192029.00
