Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-03-23,298.80,328.60,298.80,328.60,,0,,1055530.80
2023-03-26,335.00,361.40,335.00,361.40,,9.98,,353522.00
2023-03-27,368.60,397.50,368.60,397.50,,9.99,,2547264.00
2023-03-28,405.40,437.20,405.40,437.20,,9.99,,2368772.00
2023-03-29,445.90,480.90,445.00,448.00,,2.47,,23775403.10
2023-03-30,440.10,450.00,430.40,437.60,,-2.32,,10186483.00
2023-04-02,437.60,440.00,404.00,419.10,,-4.23,,8296047.00
2023-04-03,411.00,412.00,390.20,398.00,,-5.03,,6727166.80
2023-04-04,399.00,407.90,388.00,393.60,,-1.11,,2197591.30
2023-04-05,390.00,408.90,388.20,408.90,,3.89,,2996571.00
2023-04-06,403.00,411.00,401.00,407.00,,-0.46,,2205475.50
2023-04-09,400.10,402.00,390.10,392.00,,-3.69,,2242547.00
2023-04-10,385.10,406.00,382.70,398.90,,1.76,,2089464.10
2023-04-11,391.00,399.00,390.00,398.00,,-0.23,,1513311.00
2023-04-12,405.00,417.90,391.10,417.90,,5,,2818297.20
2023-04-13,415.00,434.00,402.20,434.00,,3.85,,3023348.50
2023-04-16,425.40,430.00,400.00,400.00,,-7.83,,8082087.00
2023-04-17,398.00,400.00,392.30,400.00,,0,,1234922.00
2023-04-18,392.00,398.00,386.00,396.50,,-0.87,,1024715.00
2023-04-19,395.00,399.80,392.00,397.00,,0.13,,728255.00
2023-04-20,404.90,404.90,385.00,394.00,,-0.76,,2555631.00
2023-04-23,386.20,390.00,375.10,376.00,,-4.57,,1536140.30
2023-04-24,370.00,380.00,367.10,378.00,,0.53,,1176905.80
2023-04-25,370.60,382.00,360.90,379.00,,0.26,,2696263.60
2023-04-26,383.00,385.00,371.50,376.00,,-0.79,,1305532.00
2023-04-27,380.00,380.00,365.20,374.00,,-0.53,,2439882.00
2023-04-30,366.80,375.00,352.00,359.00,,-4.01,,3694226.00
2023-05-02,366.00,369.00,347.10,369.00,,2.79,,1135850.20
2023-05-03,369.00,369.00,348.00,358.00,,-2.98,,1201804.00
2023-05-04,351.10,361.00,346.00,358.00,,0,,604667.00
2023-05-07,350.90,350.90,341.00,347.80,,-2.85,,620222.00
2023-05-08,341.00,343.30,330.10,337.00,,-3.11,,634057.00
2023-05-09,335.00,349.00,330.10,343.00,,1.78,,884419.00
2023-05-10,340.50,351.90,335.10,351.90,,2.59,,385158.00
2023-05-11,354.00,354.00,335.60,335.60,,-4.63,,677154.00
2023-05-14,335.60,342.30,330.30,334.00,,-0.48,,635775.00
2023-05-15,327.40,337.00,323.00,328.00,,-1.8,,358092.00
2023-05-16,325.00,335.00,323.00,330.10,,0.64,,1101873.00
2023-05-17,325.00,336.00,325.00,335.90,,1.76,,523170.00
2023-05-18,330.40,351.00,330.40,350.00,,4.2,,2459646.00
2023-05-21,350.00,364.00,338.00,345.00,,-1.43,,2084798.60
2023-05-22,351.00,351.90,332.20,343.50,,-0.43,,888462.00
2023-05-23,340.00,365.00,340.00,365.00,,6.26,,7087406.20
2023-05-24,365.00,371.90,359.00,368.40,,0.93,,2041772.00
2023-05-28,361.60,377.40,353.00,377.40,,2.44,,5716649.50
2023-05-30,369.90,369.90,348.70,362.90,,-3.84,,4735298.30
2023-05-31,356.00,356.00,327.50,327.50,,-9.75,,4672128.30
2023-06-01,327.50,350.00,323.60,344.10,,5.07,,1971283.50
2023-06-04,344.00,362.00,338.10,361.90,,5.17,,1928995.00
2023-06-05,367.00,367.00,338.00,349.90,,-3.32,,3738716.70
2023-06-06,343.00,351.80,337.00,346.80,,-0.89,,5773063.90
2023-06-07,350.00,357.00,338.00,346.00,,-0.23,,2786656.70
2023-06-08,352.90,354.00,339.00,346.00,,0,,2140912.00
2023-06-11,341.50,360.70,341.50,357.30,,3.27,,6682482.60
2023-06-12,357.20,363.00,351.20,353.00,,-1.2,,2207327.00
2023-06-13,350.00,367.00,348.10,360.00,,1.98,,3124515.50
2023-06-14,360.00,379.00,358.00,366.00,,1.67,,5443973.60
2023-06-15,358.70,366.00,355.10,355.20,,-2.95,,2231552.60
2023-06-18,355.20,379.00,355.20,376.60,,6.02,,4468333.30
2023-06-19,376.00,406.00,370.00,397.00,,5.42,,6468637.00
2023-06-20,397.00,404.80,381.00,381.00,,-4.03,,3057593.20
2023-06-21,381.00,382.00,360.50,362.60,,-4.83,,5162053.50
2023-06-22,369.70,375.30,356.10,356.40,,-1.71,,1813100.00
2023-06-25,350.10,374.30,349.20,374.30,,5.02,,2768566.20
2023-06-26,371.00,376.00,364.80,365.10,,-2.46,,1892734.20
2023-06-27,358.00,372.00,358.00,372.00,,1.89,,1970460.40
2023-06-28,364.60,364.60,348.00,355.00,,-4.57,,3639363.50
2023-07-02,348.00,354.00,335.80,335.80,,-5.41,,1962027.80
2023-07-03,342.50,351.90,336.00,337.00,,0.36,,3387078.00
2023-07-04,335.00,345.00,335.00,340.00,,0.89,,387079.00
2023-07-05,345.90,346.00,330.00,330.40,,-2.82,,941386.00
2023-07-06,324.50,345.00,324.50,336.00,,1.69,,1019903.00
2023-07-09,329.40,342.70,329.40,333.10,,-0.86,,1198596.50
2023-07-10,328.00,340.00,328.00,330.10,,-0.9,,1201399.40
2023-07-11,325.50,339.60,325.50,334.50,,1.33,,769187.00
2023-07-12,335.90,348.90,330.00,342.00,,2.24,,2224603.40
2023-07-13,342.00,349.90,338.10,338.10,,-1.14,,1483865.70
2023-07-16,332.50,337.90,330.00,330.00,,-2.4,,781214.00
2023-07-17,330.00,349.70,326.30,340.00,,3.03,,871951.00
2023-07-18,345.00,345.00,334.30,335.20,,-1.41,,1078179.50
2023-07-19,328.50,341.90,328.50,334.00,,-0.36,,845727.50
2023-07-20,328.10,347.00,328.10,339.10,,1.53,,1613691.00
2023-07-23,340.10,354.80,335.40,345.00,,1.74,,2007616.50
2023-07-24,338.20,360.00,338.20,356.00,,3.19,,3116810.90
