Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,536.00,541.00,523.00,541.00,,0.93,,6061428.00
2014-08-04,540.00,551.00,536.00,536.00,,-0.74,,6061428.00
2014-08-04,545.00,566.00,546.00,550.00,,0.92,,6061428.00
2014-08-04,550.00,555.00,535.00,544.00,,-1.09,,6061428.00
2014-08-04,544.00,554.00,530.00,540.00,,-0.74,,6061428.00
2014-08-05,541.00,560.00,525.00,532.00,,-1.66,,24473025.00
2014-08-06,532.00,542.00,508.00,540.00,,1.5,,16404813.00
2014-08-07,540.00,545.00,506.00,513.00,,-5,,21567369.00
2014-08-12,513.00,510.00,492.00,493.00,,-3.9,,5125207.00
2014-08-13,493.00,510.00,483.00,507.00,,2.84,,7224870.00
2014-08-14,507.00,552.00,500.00,504.00,,-0.59,,9207444.00
2014-08-18,504.00,512.00,485.00,489.00,,-2.98,,15461409.00
2014-08-19,489.00,500.00,478.00,484.00,,-1.02,,18673066.00
2014-08-20,484.00,489.00,470.00,477.00,,-1.45,,23528291.00
2014-08-21,477.00,476.00,433.00,476.00,,-0.21,,27428216.00
2014-08-24,433.00,441.00,417.00,425.00,,-1.85,,1875009.00
2014-08-25,425.00,420.00,392.00,399.00,,-6.12,,3282399.00
2014-08-26,399.00,408.00,390.00,395.00,,-1,,4491506.00
2014-08-27,395.00,423.00,400.00,402.00,,1.77,,7833560.00
2014-08-28,402.00,420.00,402.00,402.00,,0,,8914744.00
2014-08-31,402.00,408.00,397.00,400.00,,-0.5,,1746312.00
2014-09-01,400.00,398.00,375.00,390.00,,-2.5,,4739655.00
2014-09-03,390.00,401.00,389.00,390.00,,0,,2548395.00
2014-09-04,390.00,388.00,364.00,380.00,,-2.56,,2359905.00
2014-09-07,380.00,382.00,370.00,373.00,,-1.84,,3466139.00
2014-09-09,373.00,391.00,372.00,385.00,,3.22,,9445664.00
2014-09-10,385.00,399.00,380.00,384.00,,-0.26,,5142418.00
2014-09-11,384.00,384.00,377.00,380.00,,-1.04,,1436113.00
2014-09-14,380.00,387.00,372.00,380.00,,0,,2325950.00
2014-09-15,380.00,385.00,375.00,385.00,,1.32,,3035414.00
2014-09-16,385.00,388.00,380.00,385.00,,0,,1829766.00
2014-09-17,385.00,388.00,380.00,383.00,,-0.52,,1696863.00
2014-09-18,383.00,385.00,382.00,385.00,,0.52,,1177746.00
2014-09-21,382.00,375.00,360.00,363.00,,-4.97,,5101323.00
2014-09-22,363.00,370.00,348.00,348.00,,-4.13,,1387999.00
2014-09-23,348.00,370.00,350.00,361.00,,3.74,,893456.00
2014-09-24,361.00,386.00,362.00,386.00,,6.93,,827631.00
2014-09-28,386.00,397.00,381.00,396.00,,2.59,,1652219.00
2014-09-29,396.00,408.00,389.00,400.00,,1.01,,1945504.00
2014-09-30,400.00,407.00,387.00,387.00,,-3.25,,4327413.00
2014-10-08,387.00,380.00,380.00,380.00,,-1.81,,36860.00
2014-10-09,380.00,380.00,373.00,380.00,,0,,1290984.00
2014-10-12,380.00,381.00,363.00,375.00,,-1.32,,1828025.00
2014-10-13,375.00,380.00,360.00,375.00,,0,,3752214.00
2014-10-14,375.00,376.00,369.00,374.00,,-0.27,,1525509.00
2014-10-15,374.00,379.00,374.00,376.00,,0.53,,1593688.00
2014-10-16,376.00,384.00,380.00,384.00,,2.13,,864282.00
2014-10-19,384.00,386.00,370.00,376.00,,-2.08,,1914899.00
2014-10-20,376.00,388.00,369.00,378.00,,0.53,,554851.00
2014-10-21,378.00,391.00,371.00,391.00,,3.44,,1221905.00
2014-10-22,391.00,391.00,385.00,387.00,,-1.02,,920996.00
2014-10-26,387.00,390.00,384.00,384.00,,-0.78,,231000.00
2014-10-27,384.00,394.00,380.00,380.00,,-1.04,,1683386.00
2014-10-28,380.00,390.00,381.00,381.00,,0.26,,1058195.00
2014-10-30,381.00,382.00,375.00,379.00,,-0.52,,434263.00
2014-11-02,379.00,379.00,368.00,368.00,,-2.9,,939992.00
2014-11-03,368.00,370.00,361.00,368.00,,0,,1418127.00
2014-11-04,368.00,367.00,358.00,365.00,,-0.82,,1953162.00
2014-11-05,365.00,370.00,352.00,366.00,,0.27,,1226088.00
2014-11-06,366.00,370.00,363.00,367.00,,0.27,,1078197.00
2014-11-09,367.00,366.00,354.00,360.00,,-1.91,,3583679.00
2014-11-10,360.00,361.00,350.00,352.00,,-2.22,,2190588.00
2014-11-11,352.00,370.00,352.00,370.00,,5.11,,1692344.00
2014-11-12,370.00,369.00,361.00,361.00,,-2.43,,439145.00
2014-11-13,361.00,361.00,355.00,359.00,,-0.55,,1429898.00
2014-11-16,359.00,362.00,351.00,353.00,,-1.67,,1178222.00
2014-11-17,353.00,355.00,333.00,340.00,,-3.68,,2607439.00
2014-11-18,340.00,346.00,330.00,340.00,,0,,1738929.00
2014-11-19,340.00,359.00,340.00,350.00,,2.94,,1602173.00
2014-11-20,350.00,370.00,355.00,365.00,,4.29,,953107.00
2014-11-24,363.00,361.00,355.00,355.00,,-2.2,,1815590.00
2014-11-24,365.00,380.00,358.00,363.00,,-0.55,,1815590.00
2014-11-25,355.00,360.00,350.00,354.00,,-0.28,,1074106.00
2014-11-30,354.00,363.00,350.00,355.00,,0.28,,780692.00
2014-12-01,355.00,360.00,347.00,347.00,,-2.25,,1759504.00
2014-12-02,347.00,352.00,342.00,343.00,,-1.15,,2262175.00
2014-12-03,343.00,357.00,337.00,350.00,,2.04,,2559614.00
2014-12-04,350.00,356.00,350.00,350.00,,0,,1663772.00
2014-12-07,350.00,355.00,348.00,350.00,,0,,1135850.00
2014-12-08,350.00,352.00,350.00,350.00,,0,,544146.00
2014-12-09,350.00,351.00,349.00,350.00,,0,,539513.00
2014-12-10,350.00,364.00,350.00,352.00,,0.57,,1718832.00
2014-12-11,352.00,362.00,348.00,362.00,,2.84,,2381592.00
2014-12-14,362.00,390.00,369.00,382.00,,5.52,,2304363.00
2014-12-15,382.00,391.00,361.00,384.00,,0.52,,6727543.00
2014-12-16,384.00,381.00,370.00,374.00,,-2.6,,3799183.00
2014-12-17,374.00,376.00,367.00,370.00,,-1.07,,1652816.00
2014-12-18,370.00,367.00,356.00,362.00,,-2.16,,1692282.00
2014-12-21,362.00,358.00,355.00,357.00,,-1.38,,804296.00
2014-12-22,357.00,357.00,351.00,355.00,,-0.56,,947397.00
2014-12-23,355.00,354.00,346.00,350.00,,-1.41,,2731334.00
2014-12-24,350.00,360.00,350.00,353.00,,0.86,,4884482.00
2014-12-28,353.00,374.00,355.00,374.00,,5.95,,2087010.00
2014-12-29,374.00,372.00,362.00,372.00,,-0.53,,675580.00
2014-12-31,372.00,365.00,355.00,362.00,,-2.69,,2018204.00
2015-01-01,362.00,365.00,360.00,360.00,,-0.55,,1018448.00
2015-01-04,360.00,367.00,358.00,362.00,,0.56,,2387278.00
2015-01-05,362.00,369.00,360.00,362.00,,0,,2917877.00
2015-01-06,362.00,369.00,351.00,355.00,,-1.93,,1409482.00
2015-01-07,355.00,365.00,352.00,357.00,,0.56,,4307709.00
2015-01-08,357.00,370.00,355.00,360.00,,0.84,,4537188.00
2015-01-11,360.00,365.00,355.00,357.00,,-0.83,,2743898.00
2015-01-12,357.00,360.00,351.00,359.00,,0.56,,2374506.00
2015-01-13,359.00,366.00,353.00,366.00,,1.95,,1122594.00
2015-01-14,366.00,370.00,365.00,367.00,,0.27,,1419008.00
2015-01-18,367.00,370.00,363.00,363.00,,-1.09,,1897706.00
2015-01-19,363.00,398.00,369.00,375.00,,3.31,,4356012.00
2015-01-20,375.00,380.00,366.00,369.00,,-1.6,,1944947.00
2015-01-22,369.00,373.00,363.00,367.00,,-0.54,,1937521.00
2015-01-25,367.00,372.00,355.00,372.00,,1.36,,1097661.00
2015-01-26,372.00,375.00,361.00,366.00,,-1.61,,1770820.00
2015-01-27,366.00,374.00,350.00,374.00,,2.19,,7166082.00
