Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2018-12-20,88.00,138.00,86.00,102.00,,15.91,,125345.00
2018-12-23,102.00,104.00,98.00,104.00,,1.96,,295210.00
2018-12-24,104.00,106.00,100.00,102.00,,-1.92,,239350.00
2018-12-25,102.00,102.00,98.00,101.00,,-0.98,,58880.00
2018-12-26,101.00,102.00,100.00,101.00,,0,,39490.00
2018-12-30,99.00,100.00,98.00,99.00,,0,,41400.00
2018-12-31,99.00,100.00,98.00,98.00,,-1.01,,131000.00
2019-01-01,98.00,98.00,96.00,97.00,,-1.02,,100150.00
2019-01-02,97.00,97.00,95.00,96.00,,-1.03,,54690.00
2019-01-03,96.00,96.00,93.00,93.00,,-3.12,,71540.00
2019-01-06,93.00,95.00,92.00,95.00,,2.15,,237220.00
2019-01-08,91.00,95.00,89.00,95.00,,4.4,,142000.00
2019-01-09,95.00,95.00,92.00,94.00,,-1.05,,110724.00
2019-01-10,94.00,95.00,92.00,94.00,,0,,138550.00
2019-01-13,94.00,94.00,88.00,90.00,,-4.26,,107100.00
2019-01-15,89.00,92.00,89.00,92.00,,3.37,,181410.00
2019-01-16,92.00,92.00,90.00,91.00,,-1.09,,42560.00
2019-01-17,91.00,91.00,89.00,89.00,,-2.2,,100610.00
2019-01-20,89.00,89.00,86.00,87.00,,-2.25,,10470.00
2019-01-21,87.00,87.00,79.00,81.00,,-6.9,,130240.00
2019-01-23,80.00,86.00,80.00,86.00,,7.5,,51730.00
2019-01-24,86.00,86.00,83.00,86.00,,0,,76784.00
2019-01-27,86.00,88.00,84.00,86.00,,0,,106280.00
2019-01-28,86.00,86.00,83.00,84.00,,-2.33,,42300.00
2019-01-29,84.00,85.00,82.00,84.00,,0,,82628.00
2019-01-30,84.00,86.00,83.00,84.00,,0,,96130.00
2019-01-31,84.00,86.00,84.00,85.00,,1.19,,91970.00
2019-02-03,84.00,85.00,83.00,85.00,,0,,65726.00
2019-02-04,84.00,85.00,78.00,81.00,,-4.71,,49780.00
2019-02-05,80.00,85.00,80.00,85.00,,4.94,,33200.00
2019-02-06,85.00,85.00,84.00,84.00,,-1.18,,66140.00
2019-02-07,84.00,85.00,81.00,83.00,,-1.19,,87650.00
2019-02-10,84.00,85.00,81.00,82.00,,-1.2,,82380.00
2019-02-11,81.00,83.00,80.00,81.00,,-1.22,,54760.00
2019-02-12,81.00,84.00,81.00,84.00,,3.7,,41950.00
2019-02-13,83.00,84.00,80.00,81.00,,-3.57,,62820.00
2019-02-14,82.00,85.00,81.00,81.00,,-1.22,,58180.00
2019-02-17,80.00,83.00,79.00,82.00,,1.23,,53380.00
2019-02-18,83.00,83.00,81.00,81.00,,-1.22,,43870.00
2019-02-19,80.00,81.00,79.00,79.00,,-2.47,,18270.00
2019-02-20,79.00,80.00,78.00,79.00,,0,,46650.00
2019-02-21,78.00,81.00,78.00,78.00,,-1.27,,145830.00
2019-02-24,78.00,79.00,77.00,77.00,,-1.28,,102550.00
2019-02-25,76.00,82.00,75.00,82.00,,6.49,,23890.00
2019-02-26,83.00,85.00,81.00,82.00,,0,,51275.00
2019-02-27,83.00,85.00,81.00,85.00,,3.66,,238690.00
