Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2017-04-18,332.00,358.00,332.00,358.00,,9.82,,11151161.00
2017-04-19,358.00,393.00,365.00,393.00,,9.78,,3925883.00
2017-04-24,403.00,408.00,385.00,402.00,,-2.19,,21169186.00
2017-04-24,393.00,432.00,383.00,411.00,,4.58,,21169186.00
2017-04-25,394.00,418.00,393.00,408.00,,1.49,,15661810.00
2017-04-26,403.00,448.00,403.00,441.00,,8.09,,14772788.00
2017-04-27,433.00,469.00,425.00,461.00,,4.54,,20535199.00
2017-04-30,460.00,460.00,438.00,445.00,,-3.47,,23543803.00
2017-05-02,445.00,455.00,434.00,444.00,,-0.22,,13560470.00
2017-05-03,452.00,457.00,436.00,438.00,,-1.35,,10963261.00
2017-05-04,438.00,450.00,435.00,447.00,,2.05,,22794261.00
2017-05-08,432.00,448.00,432.00,444.00,,1.14,,10783817.00
2017-05-08,447.00,450.00,437.00,439.00,,-1.79,,10783817.00
2017-05-09,444.00,474.00,441.00,467.00,,5.18,,22066936.00
2017-05-11,470.00,503.00,466.00,485.00,,3.85,,25937106.00
2017-05-15,485.00,493.00,475.00,477.00,,-1.65,,10072120.00
2017-05-16,472.00,485.00,472.00,480.00,,0.63,,6103612.00
2017-05-17,472.00,484.00,472.00,480.00,,0.21,,6902547.00
2017-05-18,481.00,493.00,473.00,490.00,,1.87,,12366722.00
2017-05-21,481.00,485.00,465.00,484.00,,-1.22,,5470031.00
2017-05-22,475.00,479.00,460.00,472.00,,-2.48,,4112955.00
2017-05-23,465.00,483.00,465.00,468.00,,-0.85,,5299349.00
2017-05-28,475.00,475.00,461.00,467.00,,-0.64,,3594103.00
2017-05-30,462.00,469.00,450.00,460.00,,-1.5,,5331994.00
2017-05-31,460.00,469.00,451.00,460.00,,0,,4058962.00
2017-06-01,460.00,462.00,454.00,460.00,,0,,3210837.00
2017-06-04,452.00,459.00,444.00,450.00,,-2.17,,3914707.00
2017-06-05,445.00,455.00,443.00,450.00,,0,,2419731.00
2017-06-06,441.00,463.00,441.00,457.00,,1.56,,2719007.00
2017-06-07,448.00,455.00,446.00,447.00,,-2.19,,5241935.00
2017-06-08,449.00,449.00,437.00,447.00,,0.22,,4126730.00
2017-06-11,445.00,445.00,429.00,430.00,,-4.02,,6019824.00
2017-06-12,422.00,435.00,416.00,422.00,,-1.86,,4516731.00
2017-06-13,416.00,430.00,416.00,422.00,,0,,3067322.00
2017-06-14,415.00,430.00,415.00,430.00,,1.9,,2054570.00
2017-06-15,423.00,434.00,417.00,434.00,,0.93,,2722549.00
2017-06-18,434.00,435.00,415.00,418.00,,-3.69,,885873.00
2017-06-19,413.00,418.00,405.00,405.00,,-3.11,,2024152.00
2017-06-20,400.00,421.00,400.00,412.00,,1.73,,1781592.00
2017-06-21,410.00,416.00,406.00,416.00,,0.97,,3674921.00
2017-06-22,420.00,420.00,415.00,418.00,,0.48,,1215742.00
2017-06-25,418.00,439.00,418.00,437.00,,4.78,,2368404.00
2017-06-27,439.00,439.00,427.00,429.00,,-2.05,,1261901.00
2017-06-28,421.00,425.00,417.00,421.00,,-1.86,,488843.00
2017-07-02,419.00,420.00,405.00,410.00,,-2.61,,1623186.00
2017-07-03,408.00,418.00,405.00,406.00,,-0.98,,2064916.00
2017-07-04,400.00,412.00,400.00,409.00,,0.74,,739723.00
2017-07-05,406.00,417.00,405.00,417.00,,1.96,,1510056.00
2017-07-06,409.00,425.00,409.00,425.00,,1.92,,789357.00
2017-07-09,425.00,430.00,408.00,425.00,,0,,2328785.00
2017-07-10,425.00,425.00,401.00,415.00,,-2.35,,13363029.00
2017-07-11,415.00,417.00,408.00,417.00,,0.48,,2026748.00
2017-07-12,410.00,414.00,410.00,412.00,,-1.68,,1436443.00
2017-07-13,405.00,413.00,405.00,409.00,,-0.24,,877888.00
2017-07-16,401.00,415.00,401.00,415.00,,1.47,,2208990.00
2017-07-17,407.00,416.00,407.00,412.00,,-0.72,,2944449.00
2017-07-20,420.00,422.00,415.00,417.00,,0,,2133496.00
2017-07-23,411.00,425.00,411.00,416.00,,-0.24,,2430825.00
2017-07-24,413.00,423.00,411.00,412.00,,-0.96,,3787907.00
2017-07-25,404.00,423.00,404.00,411.00,,-0.24,,1598305.00
2017-07-26,415.00,416.00,410.00,415.00,,0.97,,2497707.00
2017-07-27,412.00,414.00,409.00,412.00,,-0.72,,1628987.00
2017-07-30,419.00,418.00,407.00,408.00,,-1.21,,4751125.00
2017-07-31,400.00,423.00,400.00,418.00,,2.7,,3311181.00
2017-08-01,410.00,420.00,404.00,420.00,,0.48,,2825951.00
2017-08-02,416.00,416.00,408.00,411.00,,-2.14,,1717301.00
2017-08-03,411.00,418.00,404.00,410.00,,-0.24,,1598879.00
2017-08-06,402.00,411.00,402.00,407.00,,-0.73,,1447024.00
2017-08-07,410.00,410.00,405.00,406.00,,-0.25,,1247544.00
2017-08-09,405.00,405.00,397.00,400.00,,-1.48,,4595925.00
2017-08-10,392.00,400.00,392.00,393.00,,-1.75,,3360936.00
2017-08-13,400.00,400.00,376.00,381.00,,-3.05,,2032823.00
2017-08-15,387.00,387.00,367.00,367.00,,-3.67,,1879853.00
2017-08-16,370.00,387.00,370.00,375.00,,2.18,,2157848.00
2017-08-17,368.00,375.00,364.00,368.00,,-1.87,,5010685.00
2017-08-20,370.00,370.00,356.00,362.00,,-1.63,,1903753.00
2017-08-21,356.00,366.00,350.00,366.00,,1.1,,2427379.00
2017-08-22,359.00,380.00,352.00,359.00,,-1.64,,1030577.00
2017-08-23,353.00,362.00,353.00,357.00,,-0.83,,3735959.00
2017-08-27,372.00,378.00,350.00,378.00,,1.61,,3305972.00
2017-08-28,382.00,391.00,358.00,368.00,,-2.64,,2544939.00
2017-08-30,368.00,368.00,360.00,360.00,,-2.17,,797716.00
2017-09-04,355.00,362.00,345.00,360.00,,2.26,,2084406.00
2017-09-06,367.00,365.00,346.00,350.00,,-3.31,,2033771.00
2017-09-07,346.00,352.00,346.00,348.00,,-0.57,,2380066.00
2017-09-10,342.00,342.00,330.00,332.00,,-4.6,,3103428.00
2017-09-11,327.00,340.00,326.00,335.00,,0.9,,860999.00
2017-09-12,335.00,339.00,326.00,330.00,,-1.49,,1323102.00
2017-09-13,327.00,335.00,326.00,330.00,,0,,680865.00
2017-09-14,324.00,342.00,324.00,342.00,,3.64,,893369.00
2017-09-17,345.00,350.00,340.00,340.00,,-0.58,,1423399.00
2017-09-18,346.00,346.00,334.00,336.00,,-1.18,,663556.00
2017-09-20,330.00,336.00,326.00,333.00,,-0.89,,547030.00
2017-09-24,328.00,337.00,328.00,335.00,,0.6,,259413.00
2017-09-25,340.00,343.00,339.00,341.00,,1.49,,573374.00
2017-09-26,340.00,341.00,330.00,340.00,,0,,1125472.00
2017-10-04,346.00,346.00,330.00,332.00,,-2.35,,939867.00
2017-10-08,326.00,326.00,315.00,317.00,,-4.52,,575696.00
2017-10-09,317.00,319.00,315.00,319.00,,0.31,,746894.00
2017-10-10,312.00,323.00,312.00,323.00,,1.57,,393387.00
2017-10-11,317.00,326.00,317.00,325.00,,0.62,,89080.00
2017-10-12,320.00,324.00,317.00,320.00,,-1.54,,1292428.00
2017-10-15,315.00,325.00,315.00,325.00,,1.56,,397115.00
2017-10-16,320.00,336.00,320.00,326.00,,0.31,,127032.00
2017-10-18,322.00,329.00,317.00,329.00,,0.3,,69494.00
2017-10-22,335.00,351.00,335.00,344.00,,6.69,,2243730.00
2017-10-23,351.00,355.00,340.00,342.00,,-2.56,,852013.00
2017-10-24,342.00,346.00,340.00,344.00,,0.58,,267000.00
2017-10-25,338.00,344.00,335.00,338.00,,-1.74,,684814.00
2017-10-29,335.00,346.00,333.00,335.00,,-0.89,,564788.00
2017-10-30,335.00,335.00,330.00,332.00,,-0.89,,1883474.00
2017-10-31,332.00,335.00,327.00,334.00,,0.6,,569647.00
2017-11-01,337.00,338.00,328.00,330.00,,-1.5,,970535.00
2017-11-02,323.00,331.00,323.00,327.00,,-0.61,,341967.00
2017-11-05,321.00,325.00,321.00,325.00,,-0.61,,639535.00
2017-11-06,325.00,331.00,322.00,326.00,,0.31,,704307.00
2017-11-07,320.00,330.00,320.00,330.00,,1.23,,320296.00
2017-11-08,330.00,330.00,319.00,322.00,,-2.42,,621058.00
2017-11-09,320.00,338.00,320.00,326.00,,1.24,,1210945.00
2017-11-12,326.00,330.00,324.00,327.00,,0.31,,375325.00
2017-11-13,327.00,342.00,321.00,342.00,,4.59,,686167.00
2017-11-14,340.00,348.00,334.00,346.00,,1.17,,2989240.00
2017-11-15,342.00,342.00,332.00,337.00,,-2.6,,734906.00
2017-11-16,331.00,343.00,327.00,332.00,,-1.48,,809263.00
2017-11-19,332.00,340.00,326.00,335.00,,0.9,,15145567.00
2017-11-20,330.00,338.00,330.00,336.00,,0.3,,687878.00
2017-11-21,331.00,351.00,330.00,351.00,,4.46,,2608133.00
2017-11-22,351.00,353.00,334.00,343.00,,-2.28,,938168.00
2017-11-23,343.00,353.00,343.00,353.00,,2.92,,1978905.00
2017-11-26,353.00,364.00,347.00,354.00,,0.28,,1281211.00
2017-11-27,347.00,361.00,336.00,351.00,,-0.85,,1740762.00
2017-11-28,344.00,358.00,344.00,348.00,,-0.85,,244862.00
2017-11-29,354.00,369.00,353.00,355.00,,1.72,,3533726.00
2017-11-30,347.00,365.00,344.00,365.00,,3.11,,2003227.00
2017-12-04,372.00,372.00,344.00,358.00,,-1.92,,2410180.00
2017-12-05,351.00,360.00,351.00,356.00,,-0.56,,655129.00
2017-12-06,355.00,372.00,355.00,372.00,,4.49,,4832065.00
2017-12-10,379.00,379.00,365.00,367.00,,-1.34,,719037.00
2017-12-11,360.00,374.00,355.00,370.00,,0.82,,709695.00
2017-12-12,373.00,373.00,359.00,362.00,,-2.16,,1070805.00
2017-12-13,356.00,367.00,356.00,364.00,,0.55,,866173.00
2017-12-14,357.00,370.00,357.00,361.00,,-0.82,,175361.00
2017-12-17,354.00,360.00,354.00,360.00,,0,,379264.00
2017-12-18,365.00,368.00,359.00,360.00,,0,,1590479.00
2017-12-19,360.00,360.00,351.00,358.00,,-0.56,,1199765.00
2017-12-20,352.00,358.00,351.00,356.00,,-0.56,,516266.00
2017-12-21,352.00,362.00,346.00,350.00,,-1.69,,1382753.00
2017-12-24,349.00,351.00,346.00,348.00,,-0.57,,162913.00
2017-12-27,341.00,346.00,326.00,346.00,,1.47,,641706.00
2017-12-27,348.00,352.00,338.00,341.00,,-2.01,,641706.00
2017-12-28,340.00,341.00,334.00,341.00,,-1.45,,326761.00
2017-12-31,335.00,339.00,332.00,335.00,,-1.76,,796545.00
2018-01-01,335.00,347.00,334.00,341.00,,1.79,,465716.00
2018-01-02,340.00,346.00,337.00,343.00,,0.59,,384163.00
2018-01-03,343.00,343.00,333.00,337.00,,-1.75,,1080294.00
2018-01-04,340.00,342.00,338.00,342.00,,1.48,,493044.00
2018-01-07,340.00,344.00,338.00,340.00,,-0.88,,344579.00
2018-01-08,335.00,342.00,335.00,341.00,,0.59,,79513.00
2018-01-09,341.00,345.00,335.00,340.00,,-0.29,,412082.00
2018-01-10,340.00,346.00,337.00,342.00,,0.59,,284337.00
2018-01-14,339.00,341.00,333.00,341.00,,-0.29,,364844.00
2018-01-16,335.00,340.00,332.00,337.00,,-1.17,,335644.00
2018-01-17,335.00,337.00,333.00,336.00,,-0.59,,700391.00
2018-01-21,338.00,338.00,331.00,332.00,,-0.89,,904055.00
2018-01-22,327.00,334.00,327.00,334.00,,0.6,,457206.00
2018-01-23,330.00,337.00,325.00,330.00,,-1.2,,586231.00
2018-01-24,330.00,335.00,329.00,335.00,,1.52,,242092.00
2018-01-25,330.00,340.00,330.00,339.00,,1.49,,443767.00
2018-01-29,328.00,332.00,328.00,332.00,,-0.6,,139939.00
2018-01-31,335.00,335.00,332.00,335.00,,0.9,,505095.00
2018-02-01,338.00,343.00,331.00,335.00,,0,,153932.00
2018-02-04,329.00,337.00,329.00,334.00,,-0.3,,661689.00
2018-02-05,330.00,330.00,326.00,328.00,,-2.1,,3076357.00
2018-02-06,324.00,325.00,319.00,319.00,,-2.45,,1556871.00
2018-02-07,315.00,329.00,315.00,329.00,,3.13,,64616.00
2018-02-08,332.00,332.00,317.00,321.00,,-2.43,,472399.00
2018-02-11,315.00,325.00,315.00,324.00,,1.25,,836669.00
2018-02-12,319.00,322.00,316.00,322.00,,-0.92,,757525.00
2018-02-14,317.00,329.00,313.00,329.00,,2.17,,1695006.00
2018-02-15,333.00,333.00,317.00,329.00,,0,,1241004.00
2018-02-18,329.00,335.00,335.00,335.00,,1.82,,3350.00
2018-02-20,329.00,329.00,314.00,318.00,,-5.07,,772218.00
2018-02-21,313.00,319.00,313.00,319.00,,0.31,,49166.00
2018-02-22,313.00,320.00,313.00,318.00,,-0.31,,398407.00
2018-02-25,312.00,318.00,312.00,316.00,,-0.63,,115950.00
2018-02-26,309.00,310.00,305.00,306.00,,-2.86,,1034243.00
2018-02-27,302.00,310.00,301.00,304.00,,-0.65,,626708.00
2018-02-28,300.00,301.00,285.00,290.00,,-4.61,,2586670.00
2018-03-04,285.00,285.00,261.00,273.00,,-5.86,,872746.00
2018-03-05,269.00,269.00,255.00,255.00,,-6.59,,2478187.00
2018-03-06,252.00,261.00,251.00,261.00,,2.35,,1277658.00
2018-03-07,256.00,271.00,256.00,269.00,,3.07,,189830.00
2018-03-11,269.00,265.00,250.00,252.00,,-6.32,,1299676.00
2018-03-13,248.00,252.00,248.00,252.00,,0.8,,108840.00
2018-03-13,252.00,251.00,243.00,250.00,,-0.79,,108840.00
2018-03-14,249.00,257.00,249.00,254.00,,0.79,,189737.00
2018-03-15,259.00,259.00,258.00,258.00,,1.57,,132854.00
2018-03-18,253.00,258.00,250.00,258.00,,0,,337251.00
2018-03-19,253.00,253.00,244.00,245.00,,-5.04,,249843.00
2018-03-20,245.00,246.00,240.00,241.00,,-2.04,,665226.00
2018-03-21,237.00,239.00,233.00,238.00,,-0.83,,350655.00
2018-03-22,234.00,237.00,230.00,235.00,,-1.26,,481819.00
2018-03-26,231.00,231.00,226.00,227.00,,-3.4,,318289.00
2018-03-27,223.00,231.00,212.00,231.00,,1.76,,404539.00
2018-03-28,228.00,228.00,220.00,223.00,,-3.46,,212479.00
2018-03-29,223.00,235.00,223.00,232.00,,5.38,,310299.00
2018-04-01,231.00,235.00,219.00,232.00,,-1.28,,528348.00
2018-04-02,236.00,236.00,225.00,227.00,,-2.16,,270079.00
2018-04-03,230.00,230.00,225.00,225.00,,-0.88,,100791.00
2018-04-05,240.00,248.00,236.00,238.00,,0.85,,454722.00
2018-04-08,241.00,261.00,241.00,261.00,,9.66,,867232.00
2018-04-09,266.00,271.00,248.00,250.00,,-4.21,,1651142.00
2018-04-10,245.00,250.00,242.00,245.00,,-2,,853848.00
2018-04-11,241.00,248.00,237.00,245.00,,0,,156142.00
2018-04-12,245.00,256.00,245.00,249.00,,1.63,,297379.00
2018-04-15,249.00,250.00,245.00,250.00,,0.4,,197130.00
2018-04-16,245.00,270.00,245.00,265.00,,6,,935288.00
2018-04-17,265.00,284.00,264.00,274.00,,3.4,,1351669.00
2018-04-18,269.00,301.00,269.00,291.00,,6.2,,2224089.00
2018-04-19,296.00,305.00,286.00,300.00,,3.09,,5080826.00
2018-04-22,300.00,330.00,306.00,330.00,,10,,5460887.00
2018-04-23,336.00,349.00,313.00,343.00,,3.94,,6605864.00
2018-04-24,337.00,349.00,326.00,333.00,,-2.91,,2529848.00
2018-04-25,327.00,340.00,321.00,334.00,,0.3,,1954559.00
2018-04-26,329.00,330.00,314.00,316.00,,-5.39,,1838484.00
2018-04-29,316.00,325.00,310.00,325.00,,2.85,,2221124.00
2018-05-02,325.00,325.00,314.00,321.00,,-1.23,,309820.00
2018-05-03,327.00,335.00,321.00,324.00,,0.93,,1787625.00
2018-05-06,318.00,321.00,306.00,314.00,,-3.09,,733451.00
2018-05-07,314.00,322.00,310.00,312.00,,-0.64,,2815209.00
2018-05-08,315.00,322.00,311.00,322.00,,3.21,,1091564.00
2018-05-09,322.00,326.00,315.00,320.00,,-0.62,,866039.00
2018-05-10,320.00,326.00,314.00,323.00,,0.94,,1108390.00
2018-05-14,317.00,317.00,305.00,313.00,,-2.79,,590265.00
2018-05-15,320.00,320.00,311.00,311.00,,-0.96,,399260.00
2018-05-16,312.00,315.00,306.00,314.00,,0.96,,748236.00
2018-05-17,320.00,326.00,310.00,311.00,,-0.96,,634538.00
2018-05-20,315.00,321.00,308.00,311.00,,0,,862104.00
2018-05-21,307.00,312.00,307.00,311.00,,0,,259890.00
2018-05-22,308.00,312.00,308.00,309.00,,-0.64,,651699.00
2018-05-23,309.00,309.00,305.00,305.00,,-1.29,,269478.00
2018-05-24,305.00,310.00,300.00,308.00,,0.98,,274459.00
2018-05-27,302.00,306.00,300.00,300.00,,-2.6,,947546.00
2018-05-28,300.00,315.00,295.00,315.00,,5,,517225.00
2018-05-29,312.00,312.00,305.00,305.00,,-3.17,,998045.00
2018-05-30,310.00,316.00,304.00,304.00,,-0.33,,192882.00
2018-05-31,305.00,305.00,294.00,300.00,,-1.32,,806855.00
2018-06-03,295.00,295.00,281.00,288.00,,-4,,1334402.00
2018-06-04,288.00,289.00,283.00,284.00,,-1.39,,322353.00
2018-06-06,289.00,304.00,289.00,294.00,,3.52,,313396.00
2018-06-07,289.00,289.00,282.00,289.00,,-1.7,,1239836.00
2018-06-10,294.00,298.00,287.00,290.00,,0.35,,156690.00
2018-06-11,285.00,291.00,280.00,286.00,,-1.38,,605366.00
2018-06-12,281.00,290.00,276.00,290.00,,1.4,,230196.00
2018-06-13,290.00,290.00,280.00,283.00,,-2.41,,147898.00
2018-06-14,283.00,305.00,283.00,292.00,,3.18,,916950.00
2018-06-17,295.00,300.00,279.00,287.00,,-1.71,,214823.00
2018-06-18,287.00,291.00,281.00,288.00,,1.39,,172837.00
2018-06-19,296.00,296.00,285.00,286.00,,-1.72,,161986.00
2018-06-20,285.00,285.00,282.00,282.00,,-1.4,,168878.00
2018-06-21,277.00,292.00,277.00,292.00,,3.55,,35810.00
2018-06-24,287.00,287.00,282.00,282.00,,-3.42,,260089.00
2018-06-25,282.00,282.00,270.00,274.00,,-2.84,,307072.00
2018-06-26,276.00,276.00,270.00,271.00,,-1.46,,437970.00
2018-06-27,265.00,275.00,265.00,272.00,,0.74,,262709.00
2018-06-28,272.00,272.00,265.00,267.00,,-2.57,,1044447.00
2018-07-01,260.00,266.00,260.00,264.00,,-0.38,,839350.00
2018-07-02,259.00,263.00,251.00,263.00,,-0.38,,347709.00
2018-07-03,264.00,264.00,252.00,255.00,,-3.04,,443103.00
2018-07-04,250.00,266.00,248.00,261.00,,2.35,,370130.00
2018-07-05,266.00,274.00,261.00,274.00,,4.98,,1128641.00
2018-07-08,274.00,281.00,263.00,268.00,,-2.19,,1277291.00
2018-07-09,268.00,271.00,260.00,263.00,,-2.24,,805746.00
