Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2019-03-11,300.00,306.00,300.00,306.00,,2,,6060.00
2019-03-12,321.00,321.00,306.00,321.00,,4.9,,3210.00
2019-03-13,337.00,349.00,321.00,349.00,,8.72,,10290.00
2019-03-14,366.00,366.00,366.00,366.00,,4.87,,3660.00
2019-03-17,384.00,402.00,384.00,402.00,,9.84,,19770.00
2019-03-18,422.00,422.00,422.00,422.00,,4.98,,4220.00
2019-03-19,443.00,464.00,443.00,464.00,,9.95,,18180.00
2019-03-21,487.00,510.00,487.00,510.00,,9.91,,254580.00
2019-03-24,535.00,555.00,486.00,492.00,,-3.53,,15575910.00
2019-03-25,492.00,496.00,484.00,490.00,,-0.41,,4951070.00
2019-03-26,490.00,490.00,481.00,489.00,,-0.2,,2532055.00
2019-03-28,498.00,498.00,481.00,485.00,,-0.82,,1818970.00
2019-03-28,489.00,494.00,480.00,489.00,,0,,1818970.00
2019-03-31,489.00,498.00,480.00,483.00,,-0.41,,1957030.00
2019-04-01,481.00,484.00,476.00,479.00,,-0.83,,1766180.00
2019-04-02,478.00,483.00,477.00,477.00,,-0.42,,1941180.00
2019-04-03,475.00,481.00,473.00,480.00,,0.63,,1768840.00
2019-04-04,479.00,480.00,474.00,477.00,,-0.62,,824910.00
2019-04-07,472.00,473.00,463.00,466.00,,-2.31,,1523160.00
2019-04-08,466.00,490.00,459.00,482.00,,3.43,,1499460.00
2019-04-09,487.00,487.00,474.00,474.00,,-1.66,,1085010.00
2019-04-10,473.00,477.00,465.00,468.00,,-1.27,,947460.00
2019-04-11,459.00,473.00,459.00,471.00,,0.64,,980490.00
2019-04-15,462.00,473.00,462.00,466.00,,-1.06,,799460.00
2019-04-16,463.00,480.00,463.00,469.00,,0.64,,468310.00
2019-04-17,469.00,487.00,469.00,471.00,,0.43,,1055330.00
2019-04-18,475.00,479.00,464.00,464.00,,-1.49,,784170.00
2019-04-21,464.00,479.00,464.00,474.00,,2.16,,673920.00
2019-04-22,465.00,475.00,465.00,470.00,,-0.84,,636820.00
2019-04-23,465.00,466.00,457.00,466.00,,-0.85,,1131004.00
2019-04-24,460.00,468.00,452.00,468.00,,0.43,,762300.00
2019-04-25,474.00,474.00,462.00,462.00,,-1.28,,925400.00
2019-04-28,465.00,500.00,460.00,485.00,,4.98,,2723480.00
2019-04-29,485.00,488.00,467.00,472.00,,-2.68,,1871435.00
2019-04-30,472.00,475.00,465.00,471.00,,-0.21,,605650.00
2019-05-02,471.00,471.00,464.00,464.00,,-1.49,,979040.00
2019-05-05,464.00,470.00,463.00,464.00,,0,,913560.00
2019-05-06,463.00,465.00,460.00,465.00,,0.22,,657050.00
2019-05-07,456.00,464.00,456.00,464.00,,-0.22,,788940.00
2019-05-08,459.00,473.00,450.00,470.00,,1.29,,1889806.00
2019-05-09,468.00,470.00,464.00,469.00,,-0.21,,452750.00
2019-05-12,460.00,467.00,456.00,465.00,,-0.85,,171290.00
2019-05-13,465.00,471.00,460.00,471.00,,1.29,,491170.00
2019-05-14,475.00,475.00,459.00,466.00,,-1.06,,312630.00
2019-05-15,459.00,471.00,459.00,464.00,,-0.43,,901570.00
2019-05-16,456.00,461.00,450.00,455.00,,-1.94,,1378499.00
2019-05-19,451.00,463.00,442.00,442.00,,-2.86,,1000060.00
2019-05-20,442.00,459.00,435.00,449.00,,1.58,,796180.00
2019-05-21,449.00,466.00,433.00,450.00,,0.22,,578520.00
2019-05-22,450.00,463.00,446.00,450.00,,0,,478250.00
2019-05-23,446.00,468.00,445.00,445.00,,-1.11,,513240.00
2019-05-26,445.00,448.00,438.00,441.00,,-0.9,,653040.00
2019-05-27,449.00,449.00,438.00,442.00,,0.23,,403715.00
2019-05-28,440.00,441.00,435.00,440.00,,-0.45,,472850.00
2019-05-29,439.00,444.00,436.00,442.00,,0.45,,809620.00
2019-05-30,445.00,468.00,430.00,444.00,,0.45,,2105845.00
2019-06-02,436.00,447.00,436.00,447.00,,0.68,,458860.00
2019-06-03,440.00,441.00,430.00,432.00,,-3.36,,615990.00
2019-06-04,435.00,451.00,430.00,438.00,,1.39,,931630.00
2019-06-06,438.00,441.00,430.00,441.00,,0.68,,963460.00
2019-06-10,441.00,441.00,428.00,428.00,,-2.95,,626900.00
