Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,1212.00,1229.00,1180.00,1189.00,,-1.9,,1650257.00
2014-08-04,1235.00,1238.00,1206.00,1224.00,,-0.89,,1650257.00
2014-08-04,1224.00,1229.00,1200.00,1212.00,,-0.98,,1650257.00
2014-08-04,1270.00,1280.00,1245.00,1265.00,,-0.39,,1650257.00
2014-08-04,1265.00,1255.00,1220.00,1235.00,,-2.37,,1650257.00
2014-08-05,1189.00,1215.00,1185.00,1185.00,,-0.34,,9435892.00
2014-08-06,1185.00,1208.00,1165.00,1188.00,,0.25,,4479497.00
2014-08-07,1188.00,1211.00,1145.00,1211.00,,1.94,,5038029.00
2014-08-12,1211.00,1191.00,1168.00,1168.00,,-3.55,,2158316.00
2014-08-13,1168.00,1220.00,1145.00,1220.00,,4.45,,10594857.00
2014-08-14,1220.00,1220.00,1200.00,1210.00,,-0.82,,4428541.00
2014-08-18,1210.00,1210.00,1186.00,1190.00,,-1.65,,3798146.00
2014-08-19,1190.00,1225.00,1180.00,1187.00,,-0.25,,12277452.00
2014-08-20,1187.00,1179.00,1150.00,1165.00,,-1.85,,5429271.00
2014-08-21,1165.00,1142.00,1049.00,1060.00,,-9.01,,19198465.00
2014-08-24,1060.00,1070.00,1025.00,1025.00,,-3.3,,4313949.00
2014-08-25,1025.00,1005.00,923.00,927.00,,-9.56,,11287072.00
2014-08-26,927.00,990.00,931.00,956.00,,3.13,,10683147.00
2014-08-27,956.00,1051.00,975.00,1051.00,,9.94,,11130995.00
2014-08-28,1051.00,1156.00,1072.00,1125.00,,7.04,,14616553.00
2014-08-31,1125.00,1115.00,1050.00,1050.00,,-6.67,,4318996.00
2014-09-01,1050.00,1090.00,1010.00,1075.00,,2.38,,2482479.00
2014-09-03,1075.00,1110.00,1050.00,1064.00,,-1.02,,1398437.00
2014-09-04,1064.00,1060.00,1020.00,1060.00,,-0.38,,3727116.00
2014-09-07,1060.00,1039.00,970.00,986.00,,-6.98,,5145524.00
2014-09-09,986.00,1060.00,1000.00,1060.00,,7.51,,6295345.00
2014-09-10,1060.00,1091.00,1020.00,1030.00,,-2.83,,8735911.00
2014-09-11,1030.00,1050.00,973.00,1015.00,,-1.46,,2222861.00
2014-09-14,1015.00,1015.00,980.00,1015.00,,0,,1482321.00
2014-09-15,1015.00,1045.00,1000.00,1045.00,,2.96,,2473033.00
2014-09-16,1045.00,1050.00,1020.00,1050.00,,0.48,,5222249.00
2014-09-17,1050.00,1060.00,1030.00,1050.00,,0,,2524326.00
2014-09-18,1050.00,1035.00,1035.00,1035.00,,-1.43,,2098767.00
2014-09-21,1050.00,1050.00,995.00,1025.00,,-2.38,,2058555.00
2014-09-22,1025.00,1025.00,1000.00,1025.00,,0,,1076490.00
2014-09-23,1025.00,1040.00,1006.00,1040.00,,1.46,,850223.00
