Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-05-02,403.80,436.90,403.80,436.90,,0,,59399.60
2023-05-03,445.60,463.50,445.60,463.50,,6.09,,18023.20
2023-05-04,472.70,501.50,472.70,501.50,,8.2,,24123.60
2023-05-07,511.50,542.70,511.50,542.70,,8.22,,26316.90
2023-05-08,553.50,575.70,553.50,575.70,,6.08,,16937.00
2023-05-09,587.20,598.90,587.20,598.90,,4.03,,11861.00
2023-05-10,610.80,623.00,610.80,623.00,,4.02,,12338.00
2023-05-11,635.40,661.00,635.40,661.00,,6.1,,19445.00
2023-05-14,674.20,727.10,674.20,727.10,,10,,42326.00
2023-05-15,741.60,771.50,741.60,771.50,,6.11,,30400.00
2023-05-16,771.40,848.60,771.40,848.60,,9.99,,91060.00
2023-05-17,865.50,933.40,865.50,933.40,,9.99,,45005.00
2023-05-18,933.40,1026.70,933.40,1026.70,,10,,90125.40
2023-05-21,1047.20,1129.30,1047.20,1129.30,,9.99,,110916.00
2023-05-22,1151.80,1242.20,1151.80,1242.20,,10,,184111.00
2023-05-23,1267.00,1366.40,1267.00,1366.40,,10,,147866.00
2023-05-24,1393.70,1503.00,1393.70,1503.00,,10,,162286.80
2023-05-28,1533.00,1653.30,1533.00,1653.30,,10,,625106.20
2023-05-30,1686.30,1818.60,1686.30,1818.60,,10,,1122966.00
2023-05-31,1854.00,2000.40,1854.00,2000.40,,10,,8898173.90
2023-06-01,2040.40,2122.80,1827.00,1892.00,,-5.42,,33144855.00
2023-06-04,1892.00,1976.00,1890.00,1949.00,,3.01,,13589025.20
2023-06-05,1930.00,1930.00,1900.00,1903.00,,-2.36,,7940114.00
2023-06-06,1940.00,1979.80,1910.00,1961.00,,3.05,,9246308.00
2023-06-07,1940.00,1980.00,1940.00,1960.00,,-0.05,,6996624.50
2023-06-08,1965.00,1965.00,1926.00,1941.00,,-0.97,,4156758.00
2023-06-11,1941.00,2059.00,1941.00,2050.00,,5.62,,11186713.00
