Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2022-09-25,316.00,347.60,316.00,347.60,,0,,69366.00
2022-09-27,347.60,368.70,347.60,368.70,,6.07,,21319.80
2022-09-28,368.70,398.90,368.70,398.90,,8.19,,15856.40
2022-09-29,406.80,438.70,406.80,438.70,,9.98,,21150.00
2022-10-09,447.40,456.30,447.40,456.30,,4.01,,13427.00
2022-10-10,456.30,501.90,456.30,501.90,,9.99,,43278.60
2022-10-11,511.00,552.00,511.00,552.00,,9.98,,32100.00
2022-10-12,563.00,607.20,563.00,607.20,,10,,40906.90
2022-10-13,619.30,667.90,619.30,667.90,,10,,32200.00
2022-10-16,681.20,734.60,681.20,734.60,,9.99,,1426751.40
2022-10-17,749.00,808.00,749.00,808.00,,9.99,,3050852.00
2022-10-19,824.10,888.80,824.10,888.80,,10,,6206619.00
2022-10-20,906.50,963.00,820.20,830.20,,-6.59,,36952901.00
2022-10-23,830.00,830.00,764.40,767.10,,-7.6,,13173753.10
2022-10-31,782.40,782.40,730.00,731.00,,-4.71,,7971486.00
2022-11-01,731.00,795.00,706.00,778.00,,6.43,,7108378.50
2022-11-02,777.00,800.00,750.00,785.00,,0.9,,4933983.50
2022-11-03,780.00,785.00,755.00,759.00,,-3.31,,2955399.00
2022-11-06,759.00,786.00,744.00,783.00,,3.16,,8940070.10
2022-11-07,790.00,794.00,770.10,774.00,,-1.15,,7900999.60
2022-11-08,760.30,777.00,760.30,765.00,,-1.16,,2169215.10
2022-11-09,764.00,764.00,747.00,747.00,,-2.35,,2886592.70
2022-11-10,743.00,759.00,721.00,730.00,,-2.28,,2456795.30
2022-11-13,740.00,744.00,710.00,720.00,,-1.37,,7150.00
2022-11-15,724.00,724.00,711.30,713.20,,-1.49,,71356.00
2022-11-16,720.00,725.00,709.10,713.00,,-0.03,,1511575.70
2022-11-17,725.00,735.00,715.40,730.10,,2.4,,1243319.00
2022-11-22,731.00,732.00,716.60,724.70,,-0.74,,1108057.00
2022-11-23,725.00,725.00,716.10,719.00,,-0.79,,1340918.00
2022-11-24,708.30,715.00,708.30,714.00,,-0.7,,1435405.30
2022-11-27,710.10,738.00,708.00,738.00,,3.36,,3092188.00
2022-11-28,725.00,737.40,717.00,724.00,,-1.9,,1381546.00
2022-11-29,710.50,727.00,710.50,724.90,,0.12,,1571394.20
2022-11-30,711.10,724.00,711.10,718.00,,-0.95,,1032090.00
2022-12-01,715.50,720.00,712.10,716.20,,-0.25,,1963371.00
2022-12-04,716.20,720.00,706.00,715.00,,-0.17,,1888192.40
2022-12-05,710.10,715.90,705.00,705.00,,-1.4,,2320512.50
2022-12-06,702.00,710.00,702.00,706.00,,0.14,,1030060.00
2022-12-07,706.00,710.00,703.50,705.00,,-0.14,,1004789.00
2022-12-11,693.00,706.00,691.00,693.00,,-1.7,,1499549.70
2022-12-12,681.20,700.00,681.20,693.00,,0,,1100710.00
2022-12-13,685.00,700.00,685.00,693.10,,0.01,,858621.00
2022-12-14,706.00,721.00,693.00,700.00,,1,,1245397.00
2022-12-15,714.00,727.00,692.40,693.00,,-1,,872942.00
