Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2025-11-11,285.00,313.50,285.00,313.50,,10,,83515.00
2025-11-12,313.90,344.80,313.90,344.80,,9.98,,167734.00
2025-11-13,344.50,379.20,344.50,379.20,,9.98,,230274.00
2025-11-16,386.70,417.10,386.70,417.10,,9.99,,341273.00
2025-11-17,420.00,458.80,420.00,458.80,,10,,654222.00
2025-11-18,467.60,504.60,467.60,504.60,,9.98,,776170.00
2025-11-19,514.40,555.00,514.40,555.00,,9.99,,1307985.00
2025-11-20,566.00,610.50,566.00,610.50,,10,,4155966.00
2025-11-23,622.70,671.50,622.70,671.50,,9.99,,14935774.00
2025-11-24,684.90,738.60,684.90,738.60,,9.99,,42095094.00
2025-11-25,753.30,812.00,750.10,792.00,,7.23,,269997649.00
2025-11-26,792.00,795.00,760.00,763.10,,-3.65,,196817555.50
2025-11-27,763.10,765.00,750.10,758.10,,-0.66,,128563286.30
2025-11-30,758.00,778.90,750.00,764.90,,0.9,,99728356.60
2025-12-01,765.00,806.00,758.00,789.00,,3.15,,146792961.00
2025-12-02,790.00,796.00,778.50,780.00,,-1.14,,60088493.60
2025-12-03,780.00,837.00,775.10,825.00,,5.77,,184976769.60
2025-12-07,825.00,830.00,780.00,787.00,,-4.61,,154860465.70
2025-12-08,787.00,794.50,778.60,782.50,,-0.57,,78572308.40
2025-12-09,766.90,803.00,766.90,790.00,,0.96,,63231327.00
2025-12-10,800.00,800.00,765.00,770.00,,-2.53,,64688884.50
2025-12-11,770.00,777.00,760.30,765.50,,-0.58,,55618447.20
2025-12-14,760.00,780.00,760.00,766.90,,0.18,,64522485.50
2025-12-15,761.00,773.20,761.00,765.00,,-0.25,,41363816.70
2025-12-16,765.00,780.00,765.00,775.00,,1.31,,47880768.50
2025-12-17,775.00,789.00,771.60,774.00,,-0.13,,48219584.70
2025-12-18,774.00,778.00,760.00,762.10,,-1.54,,74234887.70
2025-12-21,750.00,765.00,745.10,746.50,,-2.05,,66350076.20
2025-12-22,731.60,746.00,725.50,728.60,,-2.4,,62162453.70
2025-12-23,720.00,744.60,720.00,733.00,,0.6,,49874990.70
2025-12-24,720.00,740.00,720.00,733.00,,0,,35711394.50
2025-12-28,735.00,745.90,735.00,743.90,,1.49,,47552178.10
2025-12-29,743.00,763.90,741.10,746.20,,0.31,,66514679.70
2025-12-31,748.00,788.00,748.00,774.20,,3.75,,158837876.00
2026-01-01,789.60,799.00,770.00,778.30,,0.53,,116785246.30
2026-01-04,778.30,840.00,766.00,817.00,,4.97,,221237434.50
2026-01-05,820.00,898.70,820.00,898.70,,10,,209121356.90
2026-01-06,916.60,984.00,840.00,850.00,,-5.42,,215553820.60
2026-01-07,840.00,873.00,814.00,820.00,,-3.53,,115570906.20
2026-01-08,825.00,837.00,800.00,833.00,,1.59,,176060188.50
2026-01-12,833.00,888.80,827.00,864.00,,3.72,,186764345.30
2026-01-13,864.00,880.90,831.00,833.00,,-3.59,,160925235.10
2026-01-14,830.00,847.90,818.00,830.00,,-0.36,,89439555.90
2026-01-18,829.00,894.00,821.00,892.00,,7.47,,258397494.60
2026-01-20,909.80,959.90,895.00,933.00,,4.6,,268443735.40
2026-01-21,930.00,945.00,903.10,905.00,,-3,,147067596.20
2026-01-22,905.00,988.00,895.00,980.00,,8.29,,282726029.10
2026-01-25,982.00,1078.00,982.00,1078.00,,10,,290681931.70
2026-01-26,1099.50,1180.00,1081.00,1165.00,,8.07,,405545293.70
2026-01-27,1165.00,1233.00,1110.00,1115.00,,-4.29,,373137253.00
2026-01-28,1120.00,1169.00,1081.20,1135.00,,1.79,,282582347.30
2026-01-29,1113.00,1160.00,1079.00,1080.00,,-4.85,,233239732.10
2026-02-01,1080.00,1088.50,1032.30,1037.00,,-3.98,,180869551.90
2026-02-02,1030.10,1140.70,1030.10,1140.00,,9.93,,284143500.50
2026-02-03,1162.00,1190.00,1125.00,1140.00,,0,,246960739.50
2026-02-04,1140.00,1162.00,1107.00,1126.00,,-1.23,,202518265.80
2026-02-05,1104.80,1148.00,1070.00,1107.00,,-1.69,,241353277.30
2026-02-08,1100.00,1135.00,1055.00,1055.00,,-4.7,,150596640.30
2026-02-09,1060.00,1073.00,989.90,1019.00,,-3.41,,183444103.60
2026-02-10,1020.00,1060.00,1000.00,1000.00,,-1.86,,102339887.60
2026-02-11,1000.00,1030.00,954.00,968.00,,-3.2,,105068463.60
2026-02-12,968.00,984.70,930.00,935.00,,-3.41,,128251299.60
2026-02-16,935.00,972.00,935.00,960.00,,2.67,,71443083.40
2026-02-17,952.00,969.90,919.40,920.00,,-4.17,,69513545.70
2026-02-22,938.20,938.20,885.00,887.00,,-3.59,,69365360.30
2026-02-23,887.00,902.00,862.80,875.00,,-1.35,,57524638.30
2026-02-24,860.00,948.00,860.00,948.00,,8.34,,66967620.70
2026-02-25,966.90,980.00,936.00,957.00,,0.95,,104210526.40
2026-02-26,957.00,957.00,935.00,937.90,,-2,,56321271.30
2026-03-01,919.20,951.00,902.00,940.00,,0.22,,55921868.70
2026-03-03,940.00,968.20,931.20,965.00,,2.66,,72268426.00
2026-03-09,984.30,1050.00,984.30,1038.00,,7.56,,6625037.00
2026-03-10,1058.00,1058.00,1000.00,1017.00,,-2.02,,172871614.60
2026-03-11,1037.00,1037.00,980.10,984.00,,-3.24,,62596197.50
2026-03-12,964.40,1003.00,959.90,965.00,,-1.93,,83557913.40
2026-03-15,960.00,969.00,926.10,939.80,,-2.61,,102120541.80
2026-03-16,930.00,962.00,925.30,943.00,,0.34,,52005484.10
2026-03-17,926.00,950.00,926.00,939.00,,-0.42,,42443501.90
2026-03-19,930.00,954.00,930.00,943.00,,0.43,,102881817.20
2026-03-22,943.00,973.90,943.00,959.00,,1.7,,102881817.20
2026-03-23,950.00,970.00,940.00,944.90,,-1.47,,81261536.30
2026-03-24,944.90,955.00,937.00,949.00,,0.43,,47393472.70
2026-03-25,967.00,985.00,940.00,973.00,,2.53,,108486617.10
2026-03-26,970.00,999.90,969.00,985.00,,1.23,,93907925.20
2026-03-29,985.00,985.00,939.00,941.00,,-4.47,,77706732.20
2026-03-30,936.00,953.00,920.00,923.00,,-1.91,,68790508.90
2026-03-31,915.00,935.00,900.50,922.10,,-0.1,,38779871.00
2026-04-01,920.00,920.00,875.00,878.00,,-4.78,,67275602.80
2026-04-02,878.00,883.00,861.20,872.00,,-0.68,,52718615.00
2026-04-05,872.00,872.00,799.00,799.00,,-8.37,,88665143.90
2026-04-06,800.00,852.00,800.00,840.00,,5.13,,48036734.50
2026-04-07,840.00,865.00,835.00,838.40,,-0.19,,48444744.60
