Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2015-10-14,284.00,284.00,284.00,284.00,,0,,2840.00
2015-10-15,289.00,304.00,289.00,304.00,,7.04,,11860.00
2015-10-19,310.00,322.00,310.00,322.00,,5.92,,9480.00
2015-10-25,328.00,353.00,328.00,353.00,,9.63,,20330.00
2015-10-27,360.00,388.00,360.00,388.00,,9.91,,356120.00
2015-10-28,426.00,426.00,395.00,419.00,,7.99,,2161590.00
2015-10-29,422.00,422.00,400.00,412.00,,-1.67,,1908510.00
2015-11-01,405.00,410.00,391.00,400.00,,-2.91,,1059460.00
2015-11-02,395.00,397.00,385.00,385.00,,-3.75,,703800.00
2015-11-03,378.00,378.00,357.00,368.00,,-4.42,,226400.00
2015-11-04,370.00,387.00,365.00,380.00,,3.26,,325380.00
2015-11-05,373.00,389.00,370.00,382.00,,0.53,,335830.00
2015-11-08,376.00,382.00,375.00,380.00,,-0.52,,310490.00
2015-11-09,375.00,397.00,372.00,380.00,,0,,478160.00
2015-11-10,374.00,397.00,374.00,397.00,,4.47,,655690.00
2015-11-15,390.00,390.00,376.00,376.00,,-5.29,,15320.00
2015-11-16,369.00,376.00,363.00,374.00,,-0.53,,275240.00
2015-11-18,375.00,384.00,375.00,381.00,,1.87,,831440.00
2015-11-19,378.00,390.00,366.00,366.00,,-3.94,,934540.00
2015-11-22,363.00,370.00,354.00,370.00,,1.09,,355400.00
2015-11-23,368.00,368.00,363.00,367.00,,-0.81,,91100.00
2015-11-24,365.00,365.00,350.00,360.00,,-1.91,,356670.00
2015-11-25,355.00,359.00,341.00,344.00,,-4.44,,665860.00
2015-11-26,338.00,338.00,330.00,330.00,,-4.07,,397020.00
2015-11-29,330.00,342.00,330.00,330.00,,0,,510000.00
2015-11-30,330.00,330.00,325.00,325.00,,-1.52,,189290.00
2015-12-01,325.00,333.00,325.00,333.00,,2.46,,243360.00
2015-12-02,339.00,338.00,338.00,338.00,,1.5,,6760.00
2015-12-03,335.00,335.00,325.00,325.00,,-3.85,,313500.00
2015-12-06,331.00,337.00,325.00,325.00,,0,,214370.00
2015-12-07,320.00,326.00,320.00,322.00,,-0.92,,135450.00
2015-12-08,320.00,320.00,310.00,315.00,,-2.17,,144780.00
2015-12-09,320.00,321.00,314.00,314.00,,-0.32,,237690.00
2015-12-10,313.00,317.00,305.00,317.00,,0.96,,148670.00
2015-12-13,315.00,315.00,303.00,305.00,,-3.78,,447410.00
2015-12-14,307.00,307.00,301.00,306.00,,0.33,,362730.00
2015-12-15,305.00,307.00,300.00,307.00,,0.33,,218600.00
2015-12-16,313.00,313.00,299.00,299.00,,-2.61,,334640.00
2015-12-17,294.00,295.00,289.00,289.00,,-3.34,,274380.00
2015-12-21,285.00,286.00,276.00,281.00,,-1.4,,502110.00
2015-12-21,289.00,290.00,274.00,285.00,,-1.38,,502110.00
2015-12-22,284.00,286.00,274.00,274.00,,-2.49,,210570.00
2015-12-23,274.00,275.00,266.00,269.00,,-1.82,,180890.00
2015-12-24,268.00,275.00,268.00,272.00,,1.12,,254170.00
2015-12-27,275.00,275.00,250.00,265.00,,-2.57,,378500.00
2015-12-28,265.00,274.00,258.00,273.00,,3.02,,244290.00
2015-12-29,273.00,280.00,265.00,273.00,,0,,203740.00
2015-12-31,273.00,276.00,265.00,271.00,,-0.73,,630870.00
2016-01-03,271.00,271.00,261.00,267.00,,-1.48,,329120.00
2016-01-04,267.00,280.00,266.00,276.00,,3.37,,286600.00
2016-01-05,275.00,281.00,270.00,277.00,,0.36,,464810.00
2016-01-06,275.00,285.00,270.00,280.00,,1.08,,439530.00
2016-01-07,275.00,283.00,270.00,283.00,,1.07,,293890.00
2016-01-10,283.00,288.00,267.00,282.00,,-0.35,,467850.00
2016-01-11,282.00,282.00,260.00,273.00,,-3.19,,1169610.00
2016-01-12,268.00,280.00,258.00,275.00,,0.73,,1097200.00
2016-01-13,275.00,290.00,269.00,290.00,,5.45,,1297960.00
2016-01-14,290.00,306.00,270.00,280.00,,-3.45,,1506630.00
2016-01-24,280.00,308.00,285.00,308.00,,10,,274550.00
2016-01-25,314.00,338.00,314.00,330.00,,7.14,,1304650.00
2016-01-26,330.00,336.00,324.00,324.00,,-1.82,,654320.00
2016-01-27,324.00,318.00,312.00,312.00,,-3.7,,157200.00
2016-01-28,318.00,320.00,312.00,320.00,,2.56,,210270.00
2016-02-01,320.00,320.00,314.00,314.00,,-1.88,,22280.00
2016-02-04,316.00,316.00,316.00,316.00,,0.64,,3160.00
2016-02-07,316.00,315.00,315.00,315.00,,-0.32,,25200.00
2016-02-14,345.00,345.00,345.00,345.00,,-1.99,,3450.00
2016-02-14,315.00,336.00,320.00,336.00,,6.67,,3450.00
2016-02-14,336.00,352.00,335.00,352.00,,4.76,,3450.00
2016-02-15,339.00,345.00,339.00,345.00,,0,,54840.00
2016-02-16,345.00,340.00,339.00,340.00,,-1.45,,27170.00
2016-02-18,340.00,359.00,345.00,347.00,,2.06,,177900.00
2016-02-22,346.00,350.00,346.00,350.00,,0.86,,55760.00
2016-02-23,350.00,345.00,345.00,345.00,,-1.43,,6900.00
2016-02-24,345.00,345.00,345.00,345.00,,0,,3450.00
2016-02-25,345.00,345.00,345.00,345.00,,0,,10350.00
2016-02-28,345.00,345.00,345.00,345.00,,0,,34500.00
2016-02-29,345.00,351.00,346.00,351.00,,1.74,,6970.00
2016-03-01,351.00,352.00,351.00,352.00,,0.28,,393720.00
2016-03-03,350.00,350.00,350.00,350.00,,-0.57,,105000.00
2016-03-06,352.00,361.00,352.00,361.00,,3.14,,32150.00
2016-03-10,354.00,354.00,353.00,353.00,,-2.22,,106100.00
2016-03-13,360.00,374.00,360.00,374.00,,5.95,,209430.00
2016-03-15,381.00,411.00,381.00,411.00,,9.89,,204710.00
2016-03-16,411.00,452.00,411.00,452.00,,9.98,,51660.00
2016-03-17,461.00,484.00,452.00,480.00,,7.08,,307850.00
2016-03-21,493.00,532.00,493.00,532.00,,9.92,,774180.00
2016-03-23,522.00,532.00,522.00,522.00,,-1.88,,167740.00
2016-03-28,522.00,512.00,512.00,512.00,,-1.92,,5120.00
2016-04-03,512.00,502.00,502.00,502.00,,-1.95,,25100.00
2016-04-04,502.00,492.00,492.00,492.00,,-1.99,,24600.00
2016-04-18,492.00,483.00,447.00,447.00,,-9.15,,23250.00
2016-04-19,447.00,439.00,403.00,418.00,,-6.49,,1542890.00
2016-04-20,418.00,410.00,400.00,401.00,,-4.07,,205390.00
2016-04-21,401.00,402.00,395.00,395.00,,-1.5,,267970.00
2016-04-24,395.00,395.00,388.00,395.00,,0,,11710.00
2016-04-25,395.00,414.00,400.00,414.00,,4.81,,135540.00
2016-04-26,414.00,422.00,415.00,420.00,,1.45,,332880.00
2016-04-27,420.00,421.00,420.00,421.00,,0.24,,67260.00
2016-04-28,421.00,429.00,417.00,417.00,,-0.95,,54970.00
2016-05-03,417.00,409.00,404.00,404.00,,-3.12,,8130.00
2016-05-04,404.00,400.00,385.00,390.00,,-3.47,,94910.00
2016-05-05,390.00,395.00,385.00,395.00,,1.28,,326680.00
2016-05-08,395.00,391.00,385.00,391.00,,-1.01,,147400.00
2016-05-09,386.00,388.00,380.00,388.00,,-0.77,,192560.00
2016-05-10,381.00,400.00,381.00,392.00,,1.03,,549580.00
2016-05-11,392.00,395.00,378.00,392.00,,0,,368980.00
2016-05-12,392.00,399.00,385.00,395.00,,0.77,,19610.00
2016-05-15,400.00,400.00,385.00,400.00,,1.27,,142100.00
2016-05-16,400.00,399.00,392.00,393.00,,-1.75,,330450.00
2016-05-17,392.00,399.00,385.00,395.00,,0.51,,566300.00
2016-05-18,395.00,410.00,397.00,398.00,,0.76,,140950.00
2016-05-19,398.00,400.00,386.00,395.00,,-0.75,,299150.00
2016-05-22,395.00,403.00,392.00,403.00,,2.03,,343350.00
2016-05-23,403.00,406.00,400.00,400.00,,-0.74,,165000.00
2016-05-24,400.00,405.00,399.00,401.00,,0.25,,100160.00
2016-05-25,401.00,405.00,372.00,372.00,,-7.23,,111680.00
2016-05-26,372.00,390.00,366.00,390.00,,4.84,,48970.00
2016-05-29,390.00,400.00,395.00,399.00,,2.31,,87110.00
2016-05-30,399.00,400.00,391.00,400.00,,0.25,,142860.00
2016-06-01,440.00,456.00,412.00,412.00,,-6.36,,1282520.00
2016-06-01,400.00,440.00,400.00,440.00,,10,,1282520.00
2016-06-02,412.00,425.00,403.00,410.00,,-0.49,,211530.00
2016-06-05,410.00,402.00,394.00,395.00,,-3.66,,512500.00
2016-06-06,395.00,400.00,391.00,400.00,,1.27,,111100.00
2016-06-07,408.00,408.00,400.00,403.00,,1,,120430.00
2016-06-08,404.00,416.00,395.00,400.00,,-0.99,,154390.00
2016-06-09,405.00,405.00,394.00,394.00,,-1.5,,47960.00
2016-06-12,394.00,395.00,390.00,393.00,,-0.25,,200790.00
2016-06-13,393.00,412.00,391.00,412.00,,4.83,,89130.00
2016-06-14,412.00,441.00,412.00,425.00,,3.16,,3535880.00
2016-06-15,430.00,467.00,430.00,467.00,,9.88,,1532890.00
2016-06-16,467.00,513.00,476.00,513.00,,9.85,,1424330.00
2016-06-19,513.00,523.00,504.00,505.00,,-1.56,,4269560.00
2016-06-20,505.00,510.00,498.00,505.00,,0,,2488860.00
2016-06-21,505.00,515.00,500.00,515.00,,1.98,,1636640.00
2016-06-22,515.00,515.00,500.00,510.00,,-0.97,,1648540.00
2016-06-23,510.00,530.00,506.00,522.00,,2.35,,1406480.00
2016-06-26,522.00,570.00,520.00,535.00,,2.49,,1779310.00
2016-06-27,535.00,540.00,520.00,520.00,,-2.8,,408590.00
2016-06-28,520.00,525.00,515.00,521.00,,0.19,,750810.00
2016-06-29,521.00,520.00,511.00,512.00,,-1.73,,413550.00
2016-06-30,512.00,522.00,500.00,510.00,,-0.39,,565830.00
2016-07-03,510.00,510.00,490.00,503.00,,-1.37,,1946740.00
2016-07-04,503.00,526.00,504.00,526.00,,4.57,,1359660.00
2016-07-05,526.00,530.00,506.00,521.00,,-0.95,,553000.00
2016-07-06,520.00,525.00,515.00,525.00,,0.77,,733300.00
2016-07-10,525.00,530.00,520.00,520.00,,-0.95,,265870.00
2016-07-11,520.00,520.00,510.00,520.00,,0,,201220.00
2016-07-12,520.00,520.00,490.00,520.00,,0,,86230.00
2016-07-14,520.00,510.00,490.00,495.00,,-4.81,,318730.00
2016-07-17,495.00,504.00,486.00,500.00,,1.01,,95020.00
2016-07-18,500.00,499.00,481.00,499.00,,-0.2,,29400.00
2016-07-19,500.00,500.00,490.00,500.00,,0.2,,153350.00
2016-07-20,500.00,500.00,490.00,492.00,,-1.6,,88740.00
2016-07-21,492.00,508.00,495.00,496.00,,0.81,,89910.00
2016-07-25,496.00,495.00,487.00,491.00,,-1.01,,142960.00
2016-07-26,491.00,540.00,495.00,530.00,,7.94,,1843235.00
2016-07-28,530.00,535.00,510.00,535.00,,0.94,,236490.00
2016-07-28,535.00,540.00,520.00,540.00,,0.93,,236490.00
2016-07-31,540.00,530.00,520.00,520.00,,-3.7,,161300.00
2016-08-01,520.00,510.00,500.00,500.00,,-3.85,,81210.00
2016-08-02,500.00,510.00,480.00,510.00,,2,,221460.00
2016-08-03,510.00,510.00,500.00,506.00,,-0.78,,406080.00
2016-08-04,506.00,506.00,488.00,488.00,,-3.56,,29770.00
2016-08-07,488.00,530.00,488.00,530.00,,8.61,,80280.00
2016-08-11,490.00,493.00,480.00,485.00,,-3,,1174910.00
2016-08-14,480.00,489.00,472.00,475.00,,-2.06,,229670.00
2016-08-15,466.00,466.00,450.00,465.00,,-2.11,,226080.00
2016-08-16,456.00,456.00,444.00,444.00,,-4.52,,457120.00
2016-08-17,436.00,455.00,436.00,455.00,,2.48,,112600.00
2016-08-21,455.00,455.00,450.00,452.00,,-0.66,,27080.00
2016-08-22,444.00,469.00,443.00,443.00,,-1.99,,1082300.00
2016-08-23,440.00,445.00,440.00,445.00,,-0.45,,194860.00
2016-08-24,445.00,445.00,437.00,445.00,,0.91,,148615.00
2016-08-28,440.00,440.00,440.00,440.00,,-1.12,,145200.00
2016-08-29,447.00,447.00,427.00,427.00,,-2.95,,47970.00
2016-08-30,430.00,446.00,430.00,440.00,,3.04,,91760.00
2016-08-31,432.00,432.00,403.00,403.00,,-8.41,,395140.00
2016-09-01,396.00,406.00,396.00,406.00,,0.74,,231860.00
2016-09-04,399.00,410.00,399.00,409.00,,0.99,,77330.00
2016-09-05,402.00,412.00,402.00,410.00,,0,,65430.00
2016-09-06,403.00,412.00,403.00,405.00,,-1.22,,259430.00
2016-09-07,404.00,413.00,404.00,410.00,,1.23,,93930.00
2016-09-08,406.00,420.00,406.00,412.00,,0.49,,103060.00
2016-09-11,411.00,420.00,406.00,415.00,,0.73,,57980.00
2016-09-12,407.00,412.00,407.00,412.00,,-0.72,,32700.00
2016-09-14,412.00,428.00,412.00,420.00,,1.94,,322320.00
2016-09-18,415.00,433.00,415.00,430.00,,2.38,,584600.00
2016-09-20,430.00,435.00,430.00,435.00,,1.16,,317210.00
2016-09-21,435.00,435.00,430.00,430.00,,-1.15,,51950.00
2016-09-22,422.00,431.00,422.00,430.00,,0,,212748.00
2016-09-26,425.00,425.00,417.00,417.00,,-0.71,,42170.00
2016-09-27,415.00,415.00,410.00,410.00,,-1.68,,32890.00
2016-09-28,405.00,405.00,403.00,403.00,,-1.71,,56620.00
2016-09-29,400.00,400.00,392.00,397.00,,-1.49,,213370.00
2016-10-02,394.00,395.00,394.00,394.00,,-0.76,,31530.00
2016-10-03,395.00,398.00,395.00,398.00,,1.02,,15860.00
2016-10-04,395.00,398.00,395.00,398.00,,0,,35580.00
2016-10-05,395.00,395.00,395.00,395.00,,-0.75,,15800.00
2016-10-06,394.00,402.00,394.00,401.00,,1.77,,27740.00
2016-10-16,402.00,402.00,400.00,400.00,,-0.5,,28050.00
2016-10-18,392.00,392.00,392.00,392.00,,-2,,3920.00
2016-10-19,385.00,392.00,385.00,392.00,,0,,7770.00
2016-10-20,390.00,399.00,390.00,399.00,,1.79,,123010.00
2016-10-23,399.00,400.00,398.00,398.00,,-0.25,,19940.00
2016-10-25,392.00,398.00,391.00,391.00,,-1.76,,47020.00
2016-10-26,395.00,395.00,388.00,388.00,,-0.77,,19470.00
2016-10-27,388.00,392.00,382.00,385.00,,-0.77,,38650.00
2016-11-03,385.00,385.00,384.00,384.00,,0,,119340.00
2016-11-08,385.00,390.00,385.00,385.00,,0,,46250.00
2016-11-09,380.00,380.00,380.00,380.00,,-1.3,,38000.00
2016-11-13,378.00,378.00,378.00,378.00,,-0.53,,3780.00
2016-11-14,375.00,375.00,374.00,375.00,,-0.79,,37490.00
2016-11-15,382.00,382.00,360.00,365.00,,-2.67,,152160.00
2016-11-16,360.00,365.00,360.00,360.00,,-1.37,,104600.00
2016-11-17,360.00,363.00,348.00,348.00,,-3.33,,156240.00
2016-11-21,354.00,354.00,354.00,354.00,,1.72,,7080.00
2016-11-22,347.00,348.00,341.00,341.00,,-3.67,,58720.00
2016-11-24,335.00,335.00,335.00,335.00,,-1.76,,6700.00
2016-11-27,329.00,329.00,317.00,317.00,,-5.37,,57960.00
2016-11-28,315.00,315.00,301.00,301.00,,-5.05,,43200.00
2016-11-29,300.00,310.00,300.00,306.00,,1.66,,382530.00
2016-12-01,315.00,315.00,314.00,314.00,,-1.87,,28280.00
2016-12-04,315.00,315.00,308.00,308.00,,-1.91,,43540.00
2016-12-05,308.00,314.00,307.00,314.00,,1.95,,89190.00
2016-12-06,308.00,308.00,297.00,297.00,,-5.41,,69730.00
2016-12-07,302.00,304.00,302.00,304.00,,2.36,,9100.00
2016-12-08,304.00,304.00,285.00,294.00,,-3.29,,89850.00
2016-12-11,292.00,292.00,282.00,282.00,,-4.08,,28850.00
2016-12-12,282.00,282.00,267.00,267.00,,-5.32,,139780.00
2016-12-14,267.00,272.00,267.00,267.00,,0,,45890.00
2016-12-15,267.00,270.00,267.00,270.00,,1.12,,10720.00
2016-12-18,275.00,275.00,275.00,275.00,,1.85,,11000.00
2016-12-19,275.00,280.00,275.00,280.00,,1.82,,108910.00
2016-12-20,275.00,280.00,275.00,280.00,,0,,27600.00
