Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-09-11,1949.00,1930.00,1930.00,1930.00,,-0.97,,223880.00
2014-10-13,1930.00,1930.00,1930.00,1930.00,,0,,193000.00
2014-11-20,1930.00,1900.00,1900.00,1900.00,,-1.55,,161500.00
2014-12-07,1900.00,1900.00,1900.00,1900.00,,0,,180500.00
2014-12-15,1900.00,1862.00,1862.00,1862.00,,-2,,37240.00
2015-01-01,1862.00,1890.00,1890.00,1890.00,,1.5,,94500.00
2015-01-05,1890.00,1899.00,1899.00,1899.00,,0.48,,18990.00
2015-01-13,1899.00,1875.00,1875.00,1875.00,,-1.26,,226875.00
2015-02-16,1875.00,1960.00,1912.00,1960.00,,4.53,,1786600.00
2015-02-18,1960.00,1970.00,1970.00,1970.00,,0.51,,197000.00
2015-02-24,1970.00,1970.00,1970.00,1970.00,,0,,238370.00
2015-03-02,1970.00,2009.00,2009.00,2009.00,,1.98,,602700.00
2015-03-19,2009.00,2009.00,2009.00,2009.00,,0,,192864.00
2015-03-30,2009.00,2010.00,2010.00,2010.00,,0.05,,1527600.00
2015-04-02,2010.00,1970.00,1970.00,1970.00,,-1.99,,197000.00
2015-04-06,2009.00,2049.00,2049.00,2049.00,,1.99,,20490.00
2015-04-06,1970.00,2009.00,2009.00,2009.00,,1.98,,20490.00
2015-04-07,2049.00,2055.00,2055.00,2055.00,,0.29,,1027500.00
2015-04-08,2055.00,2096.00,2096.00,2096.00,,2,,209600.00
2015-04-09,2096.00,2055.00,2050.00,2050.00,,-2.19,,98450.00
2015-04-12,2050.00,2131.00,2090.00,2131.00,,3.95,,117450.00
2015-06-02,2237.00,2237.00,2237.00,2237.00,,4.97,,22370.00
2015-06-07,2390.00,2350.00,2350.00,2350.00,,-1.67,,235000.00
2015-06-07,2237.00,2390.00,2281.00,2390.00,,6.84,,235000.00
2015-06-10,2350.00,2303.00,2303.00,2303.00,,-2,,230300.00
2015-06-11,2303.00,2280.00,2280.00,2280.00,,-1,,565440.00
2015-06-16,2280.00,2260.00,2260.00,2260.00,,-0.88,,226000.00
2015-06-17,2260.00,2280.00,2280.00,2280.00,,0.88,,104880.00
2015-06-30,2235.00,2235.00,2235.00,2235.00,,-1.97,,22350.00
2015-07-05,2192.00,2192.00,2192.00,2192.00,,-1.92,,21920.00
2015-07-08,2192.00,2192.00,2192.00,2192.00,,0,,65760.00
2015-07-12,2149.00,2149.00,2149.00,2149.00,,-1.96,,58023.00
2015-07-15,2107.00,2107.00,2107.00,2107.00,,-1.95,,21070.00
2015-07-30,2065.00,2106.00,2106.00,2106.00,,1.98,,21060.00
2015-08-02,2106.00,2184.00,2100.00,2184.00,,3.7,,311388.00
2015-08-17,2150.00,2150.00,2108.00,2108.00,,-3.48,,106240.00
2015-12-15,2108.00,2108.00,2108.00,2108.00,,0,,720936.00
2016-01-03,2150.00,2150.00,2150.00,2150.00,,1.99,,51600.00
2016-01-05,2149.00,2149.00,2149.00,2149.00,,-0.05,,189112.00
2016-01-06,2149.00,2149.00,2131.00,2131.00,,-0.84,,77040.00
2016-01-07,2089.00,2089.00,2000.00,2000.00,,-6.15,,7421410.00
2016-01-14,2040.00,2040.00,2030.00,2030.00,,1.5,,40700.00
2017-09-14,2000.00,2233.00,2000.00,2233.00,,10,,9029160.00
2017-09-17,2277.00,2456.00,2277.00,2456.00,,9.99,,118380.00
2017-09-18,2505.00,2701.00,2505.00,2701.00,,9.98,,3398460.00
2017-09-20,2755.00,2971.00,2720.00,2971.00,,10,,17227426.00
2017-09-24,3030.00,3030.00,2790.00,2790.00,,-6.09,,2208157.00
2017-09-25,2785.00,2785.00,2511.00,2511.00,,-10,,1825824.00
2017-09-26,2461.00,2461.00,2260.00,2265.00,,-9.8,,4325525.00
2017-10-03,2220.00,2310.00,2220.00,2310.00,,1.99,,159250.00
2017-10-04,2265.00,2265.00,2264.00,2264.00,,-1.99,,294370.00
2017-10-08,2219.00,2219.00,2038.00,2151.00,,-4.99,,1883702.00
2017-10-09,2194.00,2194.00,2000.00,2115.00,,-1.67,,545336.00
2017-10-10,2075.00,2075.00,2034.00,2075.00,,-1.89,,1137620.00
2017-10-11,2115.00,2150.00,2100.00,2101.00,,1.2,,570160.00
2017-10-12,2140.00,2172.00,2103.00,2103.00,,0.14,,256140.00
2017-10-15,2145.00,2145.00,2111.00,2111.00,,1.95,,808110.00
2017-10-16,2102.00,2102.00,2040.00,2094.00,,-2.33,,929731.00
2017-10-18,2083.00,2200.00,2002.00,2200.00,,3.53,,1462560.00
2017-10-22,2156.00,2198.00,2113.00,2198.00,,-0.09,,86220.00
2017-10-23,2198.00,2155.00,2100.00,2100.00,,-4.46,,147770.00
2017-10-24,2100.00,2140.00,2058.00,2061.00,,-1.86,,559126.00
2017-10-25,2100.00,2223.00,2099.00,2180.00,,6.74,,1706898.00
2017-10-29,2161.00,2170.00,2117.00,2170.00,,-1.36,,225625.00
2017-10-30,2127.00,2127.00,2100.00,2100.00,,-3.23,,126270.00
2017-10-31,2140.00,2140.00,2100.00,2101.00,,0,,317450.00
2017-11-02,2120.00,2178.00,2120.00,2160.00,,3.71,,1322250.00
2017-11-05,2220.00,2220.00,2205.00,2210.00,,1.47,,221200.00
2017-11-06,2210.00,2209.00,2165.00,2165.00,,-2.04,,130810.00
2017-11-07,2208.00,2208.00,2172.00,2172.00,,0.32,,144313.00
2017-11-08,2135.00,2135.00,2129.00,2130.00,,-1.98,,213110.00
2017-11-09,2087.00,2107.00,2060.00,2107.00,,-1.03,,248790.00
2017-11-12,2107.00,2070.00,2065.00,2070.00,,-1.76,,123950.00
2017-11-14,2029.00,2080.00,2029.00,2080.00,,0.48,,143270.00
2017-11-15,2121.00,2121.00,2041.00,2062.00,,-1.87,,394470.00
2017-11-16,2040.00,2042.00,2001.00,2023.00,,-0.93,,427000.00
2017-11-20,1985.00,1985.00,1885.00,1885.00,,-6.77,,4079951.00
2017-11-21,1860.00,2073.00,1855.00,2070.00,,9.81,,2557510.00
2017-11-22,2090.00,2090.00,1961.00,2070.00,,0,,1601161.00
2017-11-23,2070.00,2070.00,2029.00,2030.00,,-1.93,,446810.00
2017-11-26,2030.00,2000.00,1922.00,1935.00,,-4.68,,1296167.00
2017-11-27,1960.00,1960.00,1898.00,1900.00,,-1.91,,1661080.00
2017-11-28,1900.00,1935.00,1898.00,1910.00,,0,,632510.00
2017-11-29,1935.00,2000.00,1932.00,1932.00,,1.79,,781600.00
2017-12-04,1896.00,1915.00,1896.00,1915.00,,-0.88,,284710.00
2017-12-05,1890.00,1916.00,1886.00,1916.00,,0.05,,734400.00
2017-12-06,1920.00,1920.00,1887.00,1887.00,,-1.51,,992670.00
2017-12-10,1887.00,1890.00,1887.00,1887.00,,0,,260556.00
2017-12-11,1860.00,1860.00,1860.00,1860.00,,-1.43,,111600.00
2017-12-12,1840.00,1840.00,1821.00,1825.00,,-2.1,,840970.00
2017-12-13,1850.00,1850.00,1850.00,1850.00,,1.59,,61050.00
2017-12-17,1850.00,1850.00,1742.00,1776.00,,-5.88,,1431880.00
2017-12-18,1811.00,1847.00,1811.00,1847.00,,4,,609110.00
2017-12-19,1873.00,1873.00,1836.00,1837.00,,-0.6,,166350.00
2017-12-21,1850.00,1850.00,1813.00,1813.00,,-1.25,,54760.00
2017-12-24,1780.00,1781.00,1780.00,1781.00,,-1.76,,231450.00
2017-12-28,1755.00,1782.00,1750.00,1782.00,,3.3,,89972.00
2017-12-31,1747.00,1747.00,1715.00,1730.00,,-2.92,,97070.00
2018-01-01,1764.00,1764.00,1764.00,1764.00,,1.97,,17640.00
2018-01-02,1735.00,1765.00,1731.00,1765.00,,0.06,,121890.00
2018-01-03,1730.00,1749.00,1696.00,1749.00,,-0.91,,6517582.00
2018-01-04,1720.00,1720.00,1715.00,1716.00,,-1.94,,1012000.00
2018-01-07,1702.00,1748.00,1702.00,1720.00,,0,,905612.00
2018-01-08,1730.00,1730.00,1728.00,1730.00,,0.87,,2075050.00
2018-01-09,1730.00,1745.00,1730.00,1745.00,,0.87,,417050.00
2018-01-10,1720.00,1735.00,1720.00,1735.00,,-0.57,,242300.00
2018-01-16,1701.00,1701.00,1701.00,1701.00,,-1.96,,170100.00
2018-01-21,1735.00,1760.00,1725.00,1725.00,,1.41,,541660.00
2018-01-22,1759.00,1846.00,1739.00,1839.00,,7.01,,6539560.00
2018-01-23,1811.00,1840.00,1790.00,1840.00,,-0.32,,1354520.00
2018-01-24,1870.00,1890.00,1870.00,1890.00,,2.72,,470090.00
2018-01-25,1927.00,2020.00,1927.00,1988.00,,5.19,,3817316.00
2018-01-29,1885.00,1940.00,1885.00,1940.00,,4.02,,686050.00
2018-01-31,1978.00,1990.00,1941.00,1990.00,,2.58,,512400.00
2018-02-01,2010.00,2010.00,2000.00,2010.00,,1,,1103250.00
2018-02-04,2030.00,2050.00,1970.00,1970.00,,-1.99,,1415220.00
2018-02-05,1935.00,1969.00,1931.00,1969.00,,-0.05,,135590.00
2018-02-06,1930.00,1930.00,1900.00,1900.00,,-3.5,,212000.00
2018-02-07,1938.00,1938.00,1938.00,1938.00,,2,,19380.00
2018-02-08,1976.00,1976.00,1937.00,1937.00,,-0.05,,39130.00
2018-02-11,0.00,0.00,0.00,1900.00,,0,,9500.00
2018-02-12,1901.00,1937.00,1900.00,1937.00,,0,,171380.00
2018-02-14,1940.00,1940.00,1940.00,1940.00,,0.15,,19400.00
2018-02-15,1978.00,2011.00,1960.00,2011.00,,3.66,,1856920.00
2018-02-20,1975.00,1975.00,1975.00,1975.00,,-1.79,,395000.00
2018-02-26,1950.00,1950.00,1950.00,1950.00,,-1.27,,39000.00
2018-02-28,1912.00,1912.00,1874.00,1874.00,,-3.9,,37860.00
2018-03-04,1874.00,1874.00,1687.00,1687.00,,-9.98,,212080.00
2018-03-05,1720.00,1768.00,1700.00,1768.00,,4.8,,188760.00
2018-03-06,1803.00,1803.00,1803.00,1803.00,,1.98,,18030.00
2018-03-07,1839.00,1839.00,1839.00,1839.00,,2,,55170.00
2018-03-19,1855.00,1855.00,1855.00,1855.00,,0.87,,371000.00
2018-03-27,1818.00,1818.00,1818.00,1818.00,,-1.99,,18180.00
2018-03-28,1800.00,1800.00,1764.00,1764.00,,-2.97,,107640.00
2018-03-29,1798.00,1798.00,1728.00,1728.00,,-2.04,,2188612.00
2018-04-03,1725.00,1760.00,1725.00,1760.00,,1.85,,286695.00
2018-04-05,1795.00,1795.00,1760.00,1760.00,,0,,177750.00
2018-04-08,1795.00,1850.00,1794.00,1850.00,,5.11,,272180.00
2018-04-09,1850.00,1850.00,1850.00,1850.00,,0,,18500.00
2018-04-17,1850.00,1820.00,1742.00,1784.00,,-3.57,,1429860.00
2018-04-18,1819.00,1836.00,1800.00,1836.00,,2.91,,321050.00
2018-04-19,1800.00,1810.00,1800.00,1809.00,,-1.42,,271130.00
2018-04-23,1774.00,1774.00,1739.00,1750.00,,-3.92,,227370.00
2018-04-24,1773.00,1773.00,1773.00,1773.00,,1.96,,17730.00
2018-04-25,1806.00,1807.00,1771.00,1771.00,,-0.11,,556370.00
2018-04-29,1780.00,1780.00,1780.00,1780.00,,0.51,,17800.00
2018-05-10,1780.00,1745.00,1711.00,1711.00,,-3.88,,86910.00
2018-05-14,1685.00,1685.00,1682.00,1685.00,,-1.69,,336300.00
2018-05-15,1712.00,1745.00,1712.00,1745.00,,3.87,,69470.00
2018-05-16,1779.00,1814.00,1779.00,1814.00,,3.95,,84908.00
2018-05-17,1778.00,1779.00,1745.00,1756.00,,-3.25,,614850.00
2018-05-24,1755.00,1790.00,1790.00,1790.00,,1.99,,17900.00
2018-05-28,1790.00,1820.00,1820.00,1820.00,,1.68,,54600.00
2018-05-30,1800.00,1800.00,1764.00,1764.00,,-3.08,,195480.00
2018-05-31,1799.00,1799.00,1799.00,1799.00,,1.98,,17990.00
2018-06-04,1765.00,1765.00,1765.00,1765.00,,-1.89,,88250.00
