Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-06-08,202.80,223.00,202.80,223.00,,0,,717242.30
2023-06-11,227.40,245.30,227.40,245.30,,10,,699718.80
2023-06-12,250.20,269.80,250.20,269.80,,9.99,,3350734.60
2023-06-13,275.10,296.70,254.60,296.70,,9.97,,21901591.20
2023-06-14,302.60,326.30,279.30,319.00,,7.52,,11237285.00
2023-06-15,320.00,320.00,300.10,300.30,,-5.86,,8734924.00
2023-06-18,299.00,299.00,277.20,289.10,,-3.73,,14354572.30
2023-06-19,283.50,287.00,278.40,284.60,,-1.56,,5032991.00
2023-06-20,284.00,284.00,274.00,278.00,,-2.32,,3727304.70
2023-06-21,272.50,276.00,267.30,271.00,,-2.52,,4001340.10
2023-06-22,269.00,270.00,261.00,264.00,,-2.58,,2575265.40
2023-06-25,258.80,270.40,252.10,270.00,,2.27,,5730320.70
2023-06-26,265.00,280.00,260.00,269.00,,-0.37,,4378570.30
2023-06-27,274.20,274.20,255.10,268.00,,-0.37,,2626895.00
2023-06-28,263.00,273.00,256.10,263.00,,-1.87,,2278987.50
2023-07-02,257.80,258.00,247.40,247.40,,-5.93,,2832487.50
2023-07-03,243.00,252.30,237.00,237.10,,-4.16,,2425419.60
2023-07-04,234.00,239.80,229.50,230.00,,-2.99,,2788389.00
2023-07-05,226.50,249.90,222.00,223.50,,-2.83,,4100656.30
2023-07-06,219.30,227.90,219.30,224.00,,0.22,,1491582.00
2023-07-09,224.00,240.70,218.00,229.00,,2.23,,1514040.30
2023-07-10,227.00,234.60,222.10,227.40,,-0.7,,1728960.00
2023-07-11,222.90,230.00,222.90,228.00,,0.26,,2354488.00
2023-07-12,224.00,244.00,224.00,240.60,,5.53,,2654362.70
2023-07-13,236.00,244.90,232.10,236.20,,-1.83,,2065752.00
2023-07-16,231.50,232.20,227.20,232.20,,-1.69,,1164075.00
2023-07-17,228.00,238.70,224.60,235.00,,1.21,,1274761.00
2023-07-18,230.30,244.00,226.00,235.00,,0,,1665004.00
2023-07-19,230.30,238.00,226.30,232.00,,-1.28,,1146294.80
2023-07-20,230.00,236.60,226.00,236.00,,1.72,,2764530.80
2023-07-23,231.50,240.60,231.40,235.00,,-0.42,,1356088.00
2023-07-24,236.00,243.60,233.00,236.40,,0.6,,1637562.50
2023-07-25,231.70,239.50,228.60,231.00,,-2.28,,2278757.50
2023-07-26,230.00,232.00,226.60,231.00,,0,,1354934.20
2023-07-27,227.10,231.00,226.40,226.50,,-1.95,,854366.00
2023-07-30,224.00,226.60,223.30,224.20,,-1.02,,1114022.40
2023-07-31,222.10,225.50,222.10,222.60,,-0.71,,1126835.70
2023-08-01,227.00,227.00,215.00,218.00,,-2.07,,1263971.00
2023-08-02,218.00,218.00,212.20,217.00,,-0.46,,1203932.00
