Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2017-10-15,129.00,139.00,129.00,139.00,,9.45,,372240.00
2017-10-16,141.00,152.00,141.00,152.00,,9.35,,766200.00
2017-10-18,164.00,170.00,151.00,152.00,,-8.98,,652990.00
2017-10-23,152.00,149.00,147.00,149.00,,-1.97,,152705.00
2017-10-24,149.00,151.00,148.00,148.00,,-0.67,,220765.00
2017-10-25,149.00,149.00,145.00,145.00,,-2.03,,236060.00
2017-10-29,143.00,143.00,139.00,141.00,,-4.14,,249420.00
2017-10-30,137.00,139.00,135.00,139.00,,0,,228090.00
2017-10-31,141.00,141.00,141.00,141.00,,1.44,,4392150.00
2017-11-01,139.00,139.00,137.00,137.00,,-2.84,,70010.00
2017-11-05,135.00,135.00,131.00,131.00,,-4.38,,69970.00
2017-11-06,131.00,131.00,130.00,130.00,,-0.76,,26100.00
2017-11-07,130.00,132.00,130.00,132.00,,1.54,,26200.00
2017-11-08,131.00,131.00,128.00,128.00,,-3.03,,27380.00
2017-11-12,128.00,136.00,130.00,136.00,,6.25,,46600.00
2017-11-13,138.00,138.00,136.00,136.00,,0,,109200.00
2017-11-15,138.00,138.00,136.00,136.00,,0,,261400.00
2017-11-19,136.00,136.00,135.00,135.00,,-0.74,,95000.00
2017-11-20,133.00,133.00,131.00,131.00,,-2.96,,39500.00
2017-11-21,133.00,135.00,132.00,133.00,,1.53,,211978.00
2017-11-22,131.00,133.00,131.00,133.00,,0,,85350.00
2017-11-23,133.00,134.00,131.00,132.00,,-0.75,,4230556.00
2017-11-27,134.00,134.00,130.00,132.00,,0,,175536.00
2017-11-28,132.00,134.00,130.00,133.00,,1.52,,2047242.00
2017-11-29,134.00,136.00,134.00,136.00,,1.49,,32240.00
2017-11-30,138.00,138.00,136.00,136.00,,0,,23320.00
2017-12-04,134.00,134.00,132.00,134.00,,-1.47,,53400.00
2017-12-05,133.00,133.00,133.00,133.00,,-0.75,,13300.00
2017-12-06,135.00,135.00,135.00,135.00,,1.5,,6750.00
2017-12-10,135.00,135.00,133.00,135.00,,-1.48,,99950.00
2017-12-13,131.00,133.00,131.00,132.00,,-0.75,,2184600.00
2017-12-14,134.00,136.00,134.00,136.00,,3.03,,344874.00
2017-12-17,139.00,140.00,139.00,140.00,,0.72,,69700.00
2017-12-18,142.00,144.00,142.00,142.00,,1.43,,128900.00
2017-12-21,142.00,142.00,138.00,138.00,,-2.82,,27540.00
2017-12-24,138.00,138.00,134.00,134.00,,-2.9,,2249560.00
2017-12-31,128.00,128.00,128.00,128.00,,-1.54,,6400.00
2018-01-02,128.00,128.00,128.00,128.00,,0,,12800.00
2018-01-03,126.00,127.00,126.00,127.00,,-0.78,,69800.00
2018-01-04,129.00,131.00,129.00,131.00,,3.15,,87940.00
2018-01-07,133.00,133.00,131.00,131.00,,0,,21160.00
2018-01-09,131.00,139.00,133.00,139.00,,6.11,,6830.00
2018-01-22,137.00,137.00,133.00,133.00,,-4.32,,121155.00
2018-01-23,131.00,131.00,129.00,129.00,,-3.01,,133452.00
2018-01-24,127.00,127.00,125.00,127.00,,-1.55,,60160.00
2018-01-25,129.00,129.00,127.00,129.00,,1.57,,76940.00
2018-02-04,129.00,129.00,129.00,129.00,,0,,25800.00
2018-02-06,129.00,129.00,125.00,125.00,,-3.1,,58810.00
2018-02-11,123.00,123.00,123.00,123.00,,-1.6,,12300.00
2018-02-12,121.00,121.00,121.00,121.00,,-1.63,,6050.00
2018-02-15,121.00,125.00,119.00,123.00,,1.65,,604640.00
2018-02-18,123.00,123.00,121.00,121.00,,-1.63,,354250.00
2018-02-20,120.00,123.00,120.00,121.00,,0,,280000.00
2018-02-26,123.00,123.00,123.00,123.00,,1.65,,1230.00
2018-02-27,122.00,123.00,122.00,123.00,,0,,24550.00
2018-02-28,121.00,121.00,121.00,121.00,,-1.63,,121000.00
2018-03-04,121.00,121.00,121.00,121.00,,0,,82038.00
2018-03-05,119.00,119.00,119.00,119.00,,-1.65,,59500.00
2018-03-06,119.00,119.00,117.00,118.00,,-1.68,,199300.00
2018-03-07,119.00,121.00,119.00,121.00,,3.42,,2400.00
2018-03-11,121.00,123.00,121.00,123.00,,1.65,,38110.00
2018-03-13,124.00,124.00,124.00,124.00,,0,,12400.00
2018-03-15,122.00,122.00,122.00,122.00,,-1.61,,5490.00
2018-03-18,124.00,126.00,124.00,126.00,,3.28,,6220.00
2018-03-19,124.00,125.00,124.00,125.00,,-0.79,,16775.00
2018-03-20,123.00,123.00,123.00,123.00,,-1.6,,12300.00
2018-03-21,121.00,121.00,119.00,119.00,,-3.25,,1929430.00
2018-04-01,118.00,118.00,118.00,118.00,,-0.84,,5900.00
2018-04-05,116.00,116.00,116.00,116.00,,-1.69,,25520.00
2018-04-08,118.00,120.00,116.00,116.00,,0,,1650200.00
2018-04-09,118.00,120.00,118.00,120.00,,3.45,,47600.00
2018-04-10,122.00,122.00,118.00,118.00,,-1.67,,263760.00
2018-04-11,118.00,118.00,118.00,118.00,,0,,11800.00
2018-04-12,120.00,120.00,120.00,120.00,,1.69,,12000.00
2018-04-15,120.00,122.00,120.00,120.00,,0,,25220.00
2018-04-16,120.00,121.00,120.00,121.00,,0.83,,27982.00
2018-04-17,121.00,125.00,123.00,125.00,,3.31,,12400.00
2018-04-18,127.00,127.00,127.00,127.00,,1.6,,25400.00
2018-04-19,125.00,127.00,125.00,125.00,,-1.57,,103300.00
2018-04-22,125.00,129.00,127.00,129.00,,3.2,,25780.00
2018-04-23,130.00,130.00,127.00,127.00,,-1.55,,242300.00
2018-04-24,126.00,127.00,126.00,127.00,,0,,40440.00
2018-05-17,126.00,126.00,126.00,126.00,,-0.79,,12600.00
