Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2025-08-20,292.10,321.30,292.10,321.30,,10,,100791.70
2025-08-21,320.00,353.40,320.00,353.40,,9.99,,171408.90
2025-08-24,346.80,388.70,346.80,388.70,,9.99,,209516.50
2025-08-25,383.20,427.50,383.20,427.50,,9.98,,376241.50
2025-08-26,436.00,470.20,436.00,470.20,,9.99,,351809.00
2025-08-27,477.00,517.20,477.00,517.20,,10,,1249378.00
2025-08-28,527.50,568.90,527.50,568.90,,10,,19892587.00
2025-08-31,580.20,625.70,521.00,542.27,,-4.68,,180510324.80
2025-09-01,543.00,543.00,512.00,515.80,,-4.88,,91630544.20
2025-09-02,520.00,520.00,493.00,494.94,,-4.04,,37822884.90
2025-09-03,485.10,515.00,472.10,483.06,,-2.4,,34887081.40
2025-09-04,475.00,500.00,474.00,495.24,,2.52,,27598746.00
2025-09-07,490.00,499.00,475.00,475.82,,-3.92,,25475251.50
2025-09-08,470.00,483.80,455.10,458.92,,-3.55,,24974366.20
2025-09-18,449.80,449.80,413.10,416.00,,-9.35,,786893.50
2025-09-21,410.00,445.00,395.00,437.52,,5.17,,19548353.70
2025-09-23,437.00,453.50,437.00,449.80,,2.81,,18336233.40
2025-09-24,449.80,469.20,433.10,461.00,,2.49,,16664271.50
2025-09-25,470.00,477.00,450.10,459.00,,-0.43,,21955924.60
2025-09-28,455.00,463.00,451.20,459.00,,0,,9462162.20
2025-10-07,459.00,460.00,440.00,444.90,,-3.07,,15448204.60
2025-10-08,444.90,444.90,426.70,432.00,,-2.9,,14117892.40
2025-10-09,440.00,460.00,430.10,432.00,,0,,11896247.40
2025-10-12,423.50,440.50,407.00,410.00,,-5.09,,14197767.30
2025-10-13,408.10,423.80,403.00,420.00,,2.44,,11671207.90
2025-10-14,416.00,420.00,408.50,409.10,,-2.6,,5780607.60
2025-10-15,417.20,417.20,403.10,411.70,,0.64,,8754046.00
2025-10-16,411.00,411.00,397.10,400.00,,-2.84,,9256608.00
2025-10-19,400.00,424.00,397.20,407.90,,1.98,,4736892.10
2025-10-26,407.90,415.00,400.00,402.00,,-1.45,,3342287.50
2025-10-28,394.00,418.90,394.00,418.90,,4.2,,8983025.90
2025-10-29,412.10,430.00,412.00,415.00,,-0.93,,9912225.50
2025-10-30,409.00,448.80,409.00,437.30,,5.37,,17641471.40
2025-11-02,440.00,446.70,432.00,441.00,,0.85,,17824989.30
2025-11-03,433.00,447.80,429.00,437.00,,-0.91,,14376208.40
2025-11-04,433.00,445.50,420.00,427.00,,-2.29,,9433240.50
2025-11-05,420.00,430.00,415.00,424.00,,-0.7,,7583120.50
2025-11-06,424.00,430.00,417.80,422.10,,-0.45,,8121419.50
2025-11-09,419.10,452.90,416.00,439.90,,4.22,,24437513.40
2025-11-10,441.00,448.60,428.60,433.30,,-1.5,,11632550.20
2025-11-11,425.10,460.00,425.10,450.00,,3.85,,36744444.20
2025-11-12,443.00,455.00,437.20,445.00,,-1.11,,12205345.60
2025-11-13,436.90,458.00,436.90,447.00,,0.45,,16560855.40
2025-11-16,447.00,454.90,432.00,440.00,,-1.57,,9232122.20
2025-11-17,432.10,445.00,432.10,445.00,,1.14,,11534196.50
2025-11-18,453.90,465.00,446.00,464.00,,4.27,,28753713.30
2025-11-19,463.00,490.00,463.00,488.00,,5.17,,59643893.30
2025-11-20,489.00,506.00,468.20,469.50,,-3.79,,46154473.50
2025-11-23,469.50,487.00,465.30,477.10,,1.62,,27650450.50
2025-11-24,467.60,493.00,467.60,480.00,,0.61,,25107230.70
2025-11-25,479.00,480.00,468.20,473.70,,-1.31,,19458928.90
2025-11-26,471.50,490.00,467.30,483.40,,2.05,,19876474.60
2025-11-27,485.00,492.70,478.10,487.80,,0.91,,35465643.30
2025-11-30,482.10,503.00,482.10,490.00,,0.45,,46203173.90
2025-12-01,490.00,496.00,476.80,479.90,,-2.06,,33094657.70
2025-12-02,478.00,517.00,473.10,511.00,,6.48,,49438574.30
2025-12-03,511.00,545.00,504.50,527.00,,3.13,,73323272.60
2025-12-07,527.00,527.00,500.00,506.90,,-3.81,,53564492.70
2025-12-08,506.00,535.00,501.50,528.00,,4.16,,63603442.40
2025-12-09,517.50,547.70,517.50,538.90,,2.06,,40393687.90
2025-12-10,530.00,535.00,516.00,531.20,,-1.43,,51899504.70
2025-12-11,521.00,556.60,517.10,517.10,,-2.65,,70593335.70
2025-12-14,525.00,527.40,500.20,512.00,,-0.99,,49995723.20
2025-12-15,502.10,514.90,499.80,507.90,,-0.8,,40354311.70
2025-12-16,501.00,510.00,496.00,508.20,,0.06,,37575563.00
2025-12-17,505.00,515.10,497.30,497.30,,-2.14,,34727285.60
2025-12-18,502.00,503.90,484.10,485.00,,-2.47,,49444205.10
2025-12-21,475.30,489.60,468.00,475.90,,-1.88,,37896731.30
2025-12-22,476.00,490.00,467.50,489.00,,2.75,,22326506.10
2025-12-23,480.10,494.00,477.10,487.00,,-0.41,,23216841.90
2025-12-24,480.50,490.00,475.00,478.00,,-1.85,,23344801.00
2025-12-28,472.00,490.00,472.00,484.00,,1.26,,23585654.20
2025-12-29,484.00,485.00,475.00,475.10,,-1.84,,26820516.50
2025-12-31,475.10,497.50,475.10,490.00,,3.14,,51840448.30
2026-01-01,491.00,505.00,487.40,497.40,,1.51,,43405764.60
2026-01-04,495.00,517.20,490.00,515.00,,3.54,,74430143.30
2026-01-05,520.00,547.70,516.10,546.00,,6.02,,105157283.40
2026-01-06,550.00,570.00,520.60,530.00,,-2.93,,98132950.80
2026-01-07,523.10,539.90,510.00,513.00,,-3.21,,55547861.80
2026-01-08,513.00,534.00,509.20,533.00,,3.9,,59644763.20
2026-01-12,533.00,560.00,530.00,550.00,,3.19,,105517584.80
2026-01-13,550.00,574.80,537.00,543.00,,-1.27,,129240456.30
2026-01-14,532.20,551.00,532.00,532.00,,-2.03,,42112011.80
2026-01-18,542.60,553.00,531.20,549.80,,3.35,,50472618.50
2026-01-20,555.00,571.00,550.00,552.50,,0.49,,94814941.80
2026-01-21,552.00,582.00,552.00,580.00,,4.98,,121489982.20
2026-01-22,580.50,592.00,570.10,589.80,,1.69,,80553128.10
2026-01-25,590.00,618.00,585.00,596.00,,1.05,,133744505.10
2026-01-26,600.00,644.90,581.20,640.00,,7.38,,175453943.10
2026-01-27,652.00,699.00,630.10,641.00,,0.16,,159568616.70
2026-01-28,638.00,698.00,628.20,669.00,,4.37,,130920800.00
2026-01-29,680.00,681.00,617.50,618.00,,-7.62,,119397964.60
2026-02-01,615.00,625.00,598.00,604.00,,-2.27,,67251165.30
2026-02-02,605.00,652.00,605.00,638.00,,5.63,,105003042.70
2026-02-03,650.70,650.70,618.00,623.00,,-2.35,,66786499.60
2026-02-04,635.00,637.80,614.00,620.00,,-0.48,,43308391.50
2026-02-05,616.00,627.00,599.30,609.00,,-1.77,,68504333.20
2026-02-08,600.00,621.00,600.00,600.00,,-1.48,,35693565.00
2026-02-09,590.00,612.00,578.00,585.00,,-2.5,,54627773.20
2026-02-10,585.00,625.00,585.00,603.00,,3.08,,54180218.80
2026-02-11,612.00,617.90,590.00,595.90,,-1.18,,31028051.90
2026-02-12,587.00,602.00,585.00,588.00,,-1.33,,40145064.40
2026-02-16,588.00,602.00,582.10,587.00,,-0.17,,20850292.60
2026-02-17,587.00,595.00,569.10,574.00,,-2.21,,21607973.70
2026-02-22,565.10,571.00,553.00,557.70,,-2.84,,29919431.40
2026-02-23,557.70,566.00,557.00,564.90,,1.29,,17043548.90
2026-02-24,565.00,601.00,562.10,590.00,,4.44,,24132342.10
2026-02-25,590.00,602.00,587.10,592.00,,0.34,,32059647.40
2026-02-26,592.00,592.10,576.40,581.00,,-1.86,,18952934.10
2026-03-01,570.00,583.00,569.40,582.00,,0.17,,17288704.10
2026-03-03,580.00,595.00,573.00,592.00,,1.72,,23032745.10
2026-03-09,603.80,651.20,603.80,639.00,,7.94,,319462.00
2026-03-10,651.00,651.00,605.00,617.00,,-3.44,,60332865.70
2026-03-11,617.00,620.00,598.00,600.00,,-2.76,,37795403.40
2026-03-12,605.00,606.50,590.00,591.00,,-1.5,,30137065.50
2026-03-15,579.20,601.80,579.20,587.00,,-0.68,,26860053.80
2026-03-16,580.10,594.30,580.00,588.00,,0.17,,22639425.50
2026-03-17,595.00,595.00,577.00,586.00,,-0.34,,29185322.10
2026-03-19,586.00,597.70,580.00,593.00,,1.19,,39093840.70
2026-03-22,592.50,595.00,585.00,588.00,,-0.84,,39093840.70
2026-03-23,578.10,591.00,578.10,590.00,,0.34,,27337399.20
2026-03-24,590.00,606.80,590.00,602.00,,2.03,,33770973.10
2026-03-25,602.00,614.90,597.80,609.90,,1.31,,48994216.60
2026-03-26,609.00,629.00,605.00,618.00,,1.33,,65565999.30
2026-03-29,608.20,618.00,590.00,590.50,,-4.45,,39001586.60
2026-03-30,582.10,598.00,579.20,584.60,,-1,,23523329.20
2026-03-31,584.60,593.00,568.00,586.00,,0.24,,21634214.90
2026-04-01,586.00,586.00,564.50,565.10,,-3.57,,21285228.20
2026-04-02,566.00,571.20,540.00,562.00,,-0.55,,15940212.00
2026-04-05,560.00,560.00,506.50,515.00,,-8.36,,31106151.40
2026-04-06,520.00,550.80,515.00,533.00,,3.5,,23780089.90
2026-04-07,533.00,550.00,528.00,529.10,,-0.73,,11235066.30
2026-04-08,531.00,563.00,531.00,563.00,,6.41,,30335846.00
2026-04-09,574.00,590.00,563.30,574.00,,1.95,,41637334.80
2026-04-10,580.00,583.00,560.00,562.00,,-2.09,,28305801.70
2026-04-13,561.10,568.70,550.00,557.00,,-0.89,,18427215.60
2026-04-15,566.00,572.90,555.00,569.00,,2.15,,21468751.20
2026-04-16,575.00,575.00,550.00,550.10,,-3.32,,15499245.00
2026-04-17,541.00,559.90,539.20,556.00,,1.07,,20361371.40
2026-04-20,582.00,582.00,540.30,557.00,,0.18,,19512005.70
2026-04-21,542.00,569.90,542.00,551.00,,-1.08,,20574918.30
2026-04-22,578.00,578.00,535.00,555.90,,0.89,,25310052.90
2026-04-23,551.00,560.00,544.30,548.00,,-1.42,,14753703.30
2026-04-24,536.00,553.70,535.00,544.00,,-0.73,,9783385.50
2026-04-27,534.00,554.00,534.00,545.00,,0.18,,11159976.50
2026-04-28,545.00,554.80,535.00,536.20,,-1.61,,11748645.80
2026-04-29,536.20,563.00,520.00,525.00,,-2.09,,10327210.20
