Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2022-07-28,334.00,367.40,334.00,367.40,,0,,5036712.00
2022-07-29,374.70,404.10,363.00,378.00,,2.89,,20842346.10
2022-07-31,385.50,395.80,370.00,395.80,,4.71,,8461266.40
2022-08-01,395.80,410.10,375.10,406.50,,2.7,,8558967.00
2022-08-02,399.00,447.10,398.00,447.10,,9.99,,17660563.00
2022-08-03,450.00,482.60,435.00,466.10,,4.25,,14198570.20
2022-08-04,466.00,495.50,448.00,487.00,,4.48,,16129705.50
2022-08-05,477.50,482.40,459.00,472.10,,-3.06,,12336119.70
2022-08-07,470.00,504.00,465.10,482.00,,2.1,,13109018.20
2022-08-08,491.50,520.00,480.00,497.00,,3.11,,13860900.00
2022-08-09,488.00,515.00,480.00,487.00,,-2.01,,9474064.00
2022-08-10,477.30,484.50,470.00,477.00,,-2.05,,6969095.00
2022-08-11,468.00,499.00,468.00,468.00,,-1.89,,8653948.50
2022-08-14,463.60,486.00,458.70,459.20,,-1.88,,7290647.90
2022-08-15,459.00,475.20,450.00,475.00,,3.44,,6051166.60
2022-08-16,469.90,493.00,458.00,467.00,,-1.68,,10775743.50
2022-08-17,460.00,480.00,453.00,475.00,,1.71,,12493178.50
2022-08-18,484.00,499.50,466.10,489.00,,2.95,,10776042.10
2022-08-21,498.70,505.00,475.00,476.00,,-2.66,,7703424.70
2022-08-22,466.50,495.00,465.20,481.40,,1.13,,4786722.00
2022-08-23,471.80,480.00,467.00,479.00,,-0.5,,2414028.00
2022-08-24,469.50,480.00,461.10,472.00,,-1.46,,4621758.00
2022-08-25,472.00,480.00,460.10,461.00,,-2.33,,6197379.50
2022-08-26,457.00,457.00,449.00,454.90,,-1.32,,2585807.00
2022-08-28,445.90,455.90,428.50,445.00,,-2.18,,7315287.60
2022-08-29,437.00,452.00,423.30,440.00,,-1.12,,4750252.40
2022-08-30,432.00,456.00,432.00,434.00,,-1.36,,1374277.00
2022-08-31,430.00,450.00,412.00,414.00,,-4.61,,3510895.30
2022-09-01,406.10,433.00,400.70,429.10,,3.65,,2141765.00
2022-09-02,420.60,444.70,420.10,421.00,,-1.86,,513124.00
2022-09-04,415.00,444.00,415.00,429.00,,1.9,,2235917.00
2022-09-05,423.60,437.50,423.60,425.40,,-0.84,,1438730.00
2022-09-06,418.00,433.00,412.00,426.00,,0.14,,1854474.20
2022-09-07,417.60,430.00,411.00,421.40,,-1.08,,732858.00
2022-09-08,421.00,437.00,416.70,437.00,,3.7,,1675343.00
2022-09-11,431.00,439.00,422.60,427.00,,-2.29,,1451418.00
2022-09-12,418.70,421.00,416.00,420.00,,-1.64,,1266798.00
2022-09-13,415.00,436.50,415.00,421.00,,0.24,,1595917.00
2022-09-14,415.00,440.00,415.00,437.00,,3.8,,5643859.80
2022-09-15,429.00,430.00,403.10,411.00,,-5.95,,4172264.50
2022-09-16,402.80,423.30,389.00,423.00,,2.92,,2165341.00
2022-09-18,414.60,414.60,394.00,409.00,,-3.31,,2048021.00
2022-09-20,405.00,405.00,380.00,388.00,,-5.13,,1614934.00
2022-09-21,395.00,395.00,380.00,380.00,,-2.06,,1054751.00
2022-09-22,375.00,394.00,353.00,360.00,,-5.26,,5896886.80
2022-09-25,360.00,360.00,345.00,354.90,,-1.42,,774577.10
2022-09-27,360.00,367.20,340.00,363.00,,2.28,,1544084.00
2022-09-28,355.80,360.00,345.00,345.00,,-4.96,,502062.00
2022-09-29,338.10,361.00,338.10,358.00,,3.77,,252600.00
2022-10-09,358.00,367.00,348.00,367.00,,2.51,,309679.00
2022-10-10,368.00,368.00,343.60,367.90,,0.25,,2243502.00
2022-10-11,360.60,360.60,336.30,341.50,,-7.18,,1525515.20
2022-10-12,335.10,356.00,331.00,353.60,,3.54,,460161.00
2022-10-13,347.00,353.00,341.20,343.00,,-3,,1283493.00
2022-10-16,336.20,349.80,330.00,349.80,,1.98,,1426945.00
2022-10-17,342.90,342.90,332.00,335.00,,-4.23,,342484.00
2022-10-19,333.00,335.00,322.50,322.50,,-3.73,,602818.00
2022-10-20,316.10,336.60,310.50,336.60,,4.37,,816667.00
2022-10-23,329.90,330.30,317.00,327.00,,-2.85,,248493.00
2022-10-31,320.50,330.00,310.10,326.00,,-0.31,,396620.50
2022-11-01,320.00,338.10,310.00,328.20,,0.67,,683663.00
2022-11-02,334.00,342.00,316.00,333.40,,1.58,,2820104.10
2022-11-03,327.10,340.00,327.10,334.00,,0.18,,2396903.00
2022-11-06,334.00,343.70,330.00,340.00,,1.8,,712077.40
2022-11-07,333.40,370.00,331.00,350.00,,2.94,,3623692.00
2022-11-08,343.00,350.00,337.50,350.00,,0,,403064.00
2022-11-09,343.00,343.00,327.00,332.90,,-4.89,,1610566.00
2022-11-10,328.00,330.00,321.50,327.90,,-1.5,,1403280.60
2022-11-13,321.60,326.00,319.00,319.00,,-2.71,,3514.50
2022-11-15,321.00,328.00,320.00,320.00,,-2.26,,537191.80
2022-11-16,316.80,337.60,316.80,330.00,,3.12,,1487349.20
2022-11-17,330.00,341.50,322.00,339.00,,2.73,,991286.40
2022-11-22,340.00,350.00,321.10,325.90,,-3.86,,2533744.90
2022-11-23,332.00,332.00,318.80,328.40,,0.77,,558220.80
2022-11-24,325.00,335.00,325.00,335.00,,2.01,,306286.00
2022-11-27,330.00,343.00,323.50,343.00,,2.39,,1082496.20
2022-11-28,338.20,341.00,333.00,336.10,,-2.01,,1331814.00
2022-11-29,329.40,345.00,327.20,339.90,,1.13,,649524.20
2022-11-30,336.10,350.50,336.10,342.10,,0.65,,1856735.70
2022-12-01,336.10,353.00,336.10,344.80,,0.79,,951360.00
2022-12-04,344.80,351.00,340.00,351.00,,1.8,,1667171.00
2022-12-05,346.00,358.00,339.30,340.00,,-3.13,,3537968.40
