Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2022-05-26,113.10,113.10,113.10,113.10,,1.98,,3412.70
2022-05-30,115.30,124.40,115.30,124.40,,9.99,,9668.20
2022-05-31,124.40,126.80,124.40,126.80,,1.93,,3780.00
2022-06-01,124.40,139.40,124.40,139.40,,9.94,,7963.00
2022-06-02,136.80,153.30,136.80,153.30,,9.97,,11688.00
2022-06-03,153.30,168.60,153.30,168.60,,9.98,,11323.70
2022-06-06,171.90,185.40,171.90,185.40,,9.96,,18207.00
2022-06-07,189.10,203.90,189.10,203.90,,9.98,,24102.00
2022-06-08,207.90,224.20,207.90,224.20,,9.96,,22012.70
2022-06-09,228.00,246.60,228.00,246.60,,9.99,,36520.00
2022-06-10,251.50,271.20,251.50,271.20,,9.98,,107996.00
2022-06-13,276.60,298.30,276.60,298.30,,9.99,,643794.00
2022-06-14,304.20,328.10,270.00,274.00,,-8.15,,13854570.10
2022-06-15,274.00,274.00,246.60,250.00,,-8.76,,8570788.50
2022-06-16,245.00,274.30,230.00,259.90,,3.96,,2535242.00
2022-06-17,265.00,275.00,245.10,265.00,,1.96,,2157757.30
2022-06-19,270.00,270.00,243.00,243.30,,-8.19,,2091193.00
2022-06-20,243.30,248.10,226.00,229.10,,-5.84,,2706232.70
2022-06-21,225.00,245.00,225.00,232.50,,1.48,,1525677.50
2022-06-22,237.10,237.10,219.50,224.50,,-3.44,,1569792.90
2022-06-23,228.90,228.90,203.50,209.00,,-6.9,,2692192.00
2022-06-24,205.00,224.40,201.20,213.00,,1.91,,763717.50
2022-06-26,217.20,234.00,217.20,230.00,,7.98,,1661279.90
2022-06-27,234.60,244.00,224.00,224.00,,-2.61,,3263333.90
2022-06-28,220.00,228.00,220.00,225.00,,0.45,,1371064.50
2022-06-29,220.60,232.50,220.60,228.10,,1.38,,2535899.10
2022-06-30,232.60,241.80,228.40,239.00,,4.78,,2421362.80
2022-07-01,235.00,245.80,225.70,245.00,,2.51,,3026795.10
2022-07-03,249.90,260.10,237.00,256.00,,4.49,,3133508.10
2022-07-04,261.00,268.10,247.10,247.10,,-3.48,,5114300.80
2022-07-05,242.20,260.00,237.50,239.00,,-3.28,,3845419.10
2022-07-06,243.70,248.10,229.40,246.00,,2.93,,1640367.40
2022-07-07,250.90,252.00,240.00,245.00,,-0.41,,1754439.00
2022-07-08,241.00,241.00,233.00,233.00,,-4.9,,1071110.60
2022-07-11,228.40,233.00,219.00,219.00,,-6.01,,1642411.00
2022-07-12,217.70,231.90,216.10,231.50,,5.71,,794889.20
2022-07-13,227.00,246.00,225.00,244.90,,5.79,,1524841.80
2022-07-14,245.00,249.70,234.30,244.70,,-0.08,,1474809.80
2022-07-15,239.90,241.00,231.00,239.70,,-2.04,,1224217.00
2022-07-17,235.00,240.70,225.80,236.00,,-1.54,,841796.40
2022-07-18,235.00,241.00,231.00,237.00,,0.42,,630535.10
2022-07-19,232.50,248.80,232.50,244.00,,2.95,,1808411.00
2022-07-20,239.30,253.70,236.60,246.00,,0.82,,2478576.10
2022-07-21,241.10,245.00,236.30,243.00,,-1.22,,719224.00
2022-07-22,238.20,244.00,233.50,239.00,,-1.65,,627557.00
2022-07-24,243.00,261.10,231.00,260.00,,8.79,,3241188.00
2022-07-25,260.00,286.00,260.00,286.00,,10,,8135316.50
2022-07-26,291.00,306.00,271.10,295.00,,3.15,,6217461.60
2022-07-27,289.10,317.20,280.10,312.00,,5.76,,8757474.20
2022-07-28,313.00,316.40,291.10,300.00,,-3.85,,10245612.20
2022-07-29,294.00,307.00,290.10,295.10,,-1.63,,2386713.70
2022-07-31,289.20,313.00,289.20,305.00,,3.35,,5597205.00
2022-08-01,311.00,311.00,295.00,299.00,,-1.97,,6291685.90
2022-08-02,293.10,300.00,289.10,299.80,,0.27,,4447698.50
2022-08-03,299.80,329.70,299.80,329.70,,9.97,,12588612.20
2022-08-04,336.20,362.60,336.20,362.60,,9.98,,17562647.60
2022-08-05,369.80,397.00,362.60,372.00,,2.59,,16183457.00
2022-08-07,365.00,380.00,347.00,367.00,,-1.34,,13904948.30
2022-08-08,360.00,373.00,360.00,361.20,,-1.58,,11529769.00
2022-08-09,362.00,368.00,340.00,342.10,,-5.29,,6457458.70
2022-08-10,340.00,350.00,330.10,340.00,,-0.61,,4631740.20
2022-08-11,335.00,346.80,334.00,334.10,,-1.74,,3913598.00
2022-08-14,327.50,340.70,323.40,330.00,,-1.23,,2729824.60
2022-08-15,323.40,345.40,317.20,345.00,,4.55,,3693437.40
2022-08-16,345.00,351.70,322.10,330.20,,-4.29,,7608711.00
2022-08-17,325.10,336.80,325.10,334.00,,1.15,,4439040.80
2022-08-18,334.60,364.00,327.20,362.00,,8.38,,12423302.70
2022-08-21,354.90,369.20,341.10,349.00,,-3.59,,7793217.60
2022-08-22,348.90,348.90,337.20,344.00,,-1.43,,3328614.80
2022-08-23,338.30,344.00,335.00,341.90,,-0.61,,2506399.60
2022-08-24,337.00,348.70,335.10,344.00,,0.61,,2217895.00
2022-08-25,350.00,350.00,328.00,338.00,,-1.74,,3682411.00
2022-08-26,332.00,335.00,320.00,334.00,,-1.18,,4456973.60
2022-08-28,340.60,347.00,310.00,313.00,,-6.29,,5415200.00
2022-08-29,313.00,321.30,307.00,311.50,,-0.48,,2719789.00
2022-08-30,309.00,331.00,309.00,317.00,,1.77,,1891958.00
2022-08-31,310.80,325.00,307.10,307.50,,-3,,3337552.00
2022-09-01,303.10,321.40,300.10,321.00,,4.39,,3499902.20
2022-09-02,320.00,324.00,306.90,310.00,,-2.52,,696305.50
2022-09-04,304.00,315.90,299.10,315.00,,1.61,,4658618.70
2022-09-05,308.80,314.00,307.10,313.00,,-0.63,,851459.00
2022-09-06,306.90,310.10,299.10,304.90,,-2.59,,3423466.30
2022-09-07,299.10,303.00,295.30,301.00,,-1.28,,1136118.40
2022-09-08,305.00,311.00,290.10,304.00,,1,,1515249.00
2022-09-11,298.00,304.00,293.00,297.90,,-2.01,,1007260.50
2022-09-12,293.00,297.00,288.00,290.90,,-2.35,,1341252.30
2022-09-13,296.00,307.90,285.20,293.90,,1.03,,2140960.00
2022-09-14,290.00,310.00,288.10,310.00,,5.48,,3736331.90
2022-09-15,315.00,315.00,290.10,299.80,,-3.29,,2335310.90
2022-09-16,293.90,293.90,278.60,293.00,,-2.27,,1148491.20
2022-09-18,289.00,289.00,267.00,270.00,,-7.85,,2226236.60
2022-09-20,266.00,280.80,250.90,262.80,,-2.67,,2347833.50
2022-09-21,268.00,269.90,255.00,266.70,,1.48,,998057.00
2022-09-22,270.50,270.50,255.00,260.00,,-2.51,,556852.00
2022-09-25,255.00,259.00,243.00,250.00,,-3.85,,1094732.00
2022-09-27,250.00,270.00,250.00,250.30,,0.12,,336615.00
2022-09-28,250.30,255.00,245.30,254.70,,1.76,,455698.50
2022-09-29,259.00,264.00,248.10,251.00,,-1.45,,647132.00
2022-10-09,256.00,261.00,255.00,260.90,,3.94,,496298.30
2022-10-10,266.10,269.50,249.90,262.10,,0.46,,425642.00
2022-10-11,256.90,267.00,247.10,261.00,,-0.42,,544866.00
2022-10-12,255.80,265.00,250.00,259.50,,-0.57,,266450.00
2022-10-13,263.00,263.00,247.70,255.00,,-1.73,,646832.00
2022-10-16,250.00,262.10,245.50,255.00,,0,,269064.00
2022-10-17,249.90,249.90,241.10,242.00,,-5.1,,2819181.60
2022-10-19,246.00,255.90,232.00,237.90,,-1.69,,932912.50
2022-10-20,233.20,246.80,228.60,230.40,,-3.15,,286421.00
2022-10-23,225.90,243.00,225.90,236.60,,2.69,,724898.00
2022-10-31,231.90,240.00,227.40,230.00,,-2.79,,634574.00
2022-11-01,225.40,243.70,225.40,240.00,,4.35,,922083.90
2022-11-02,235.40,250.00,235.40,244.00,,1.67,,1050280.00
2022-11-03,244.00,252.00,233.60,236.00,,-3.28,,843028.00
2022-11-06,231.30,244.00,231.30,239.00,,1.27,,874058.00
2022-11-07,234.40,255.00,234.40,244.40,,2.26,,3036776.70
2022-11-08,240.00,259.80,236.90,253.00,,3.52,,2136677.00
2022-11-09,258.00,258.00,241.00,254.00,,0.4,,984827.00
2022-11-10,259.00,259.00,236.10,244.00,,-3.94,,1290628.00
2022-11-13,239.30,241.00,235.00,237.00,,-2.87,,2371.00
2022-11-14,241.00,245.00,233.10,241.00,,1.69,,2410.00
2022-11-15,236.50,255.00,232.40,244.00,,1.24,,767577.00
2022-11-16,248.80,250.00,236.30,239.20,,-1.97,,1086289.00
2022-11-17,243.90,253.60,239.10,250.00,,4.52,,1567950.70
2022-11-22,255.00,260.00,242.00,250.00,,0,,879625.20
2022-11-23,245.00,245.00,241.00,242.10,,-3.16,,262800.00
2022-11-24,240.00,254.00,240.00,251.00,,3.68,,1013393.30
2022-11-27,251.00,254.90,247.00,253.00,,0.8,,856896.40
2022-11-28,258.00,263.10,245.40,246.00,,-2.77,,696624.90
2022-11-29,243.00,254.50,243.00,254.50,,3.46,,462445.10
2022-11-30,249.50,252.00,239.80,252.00,,-0.98,,377324.00
2022-12-01,247.00,251.00,245.00,251.00,,-0.4,,569954.60
2022-12-04,251.00,270.50,239.20,253.90,,1.16,,2701784.90
2022-12-05,255.00,260.10,245.00,245.10,,-3.47,,4224723.40
2022-12-06,241.00,251.00,241.00,249.90,,1.96,,330215.00
2022-12-07,245.00,251.00,242.30,247.00,,-1.16,,643404.80
