Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-01-04,194.30,213.70,194.30,213.70,,0,,78066.70
2023-01-05,217.90,235.00,217.90,235.00,,9.97,,86528.00
2023-01-08,239.70,258.50,239.70,258.50,,10,,110689.00
2023-01-09,263.60,284.30,263.60,284.30,,9.98,,96150.00
2023-01-10,289.90,312.70,289.90,312.70,,9.99,,355915.00
2023-01-12,318.90,343.90,318.90,343.90,,9.98,,993256.00
2023-01-17,350.70,378.20,350.70,378.20,,9.97,,1880773.00
2023-01-18,385.70,416.00,385.70,416.00,,9.99,,6779761.00
2023-01-19,424.30,439.60,401.20,419.10,,0.75,,8857146.30
2023-01-23,410.80,420.00,405.00,412.00,,-1.69,,4583428.00
2023-01-24,412.00,412.00,400.00,408.00,,-0.97,,2725917.00
2023-01-25,402.10,448.80,402.10,442.00,,8.33,,5613533.40
2023-01-26,450.80,486.20,442.10,486.20,,10,,5121572.30
2023-01-29,495.90,534.80,487.00,534.80,,10,,11070296.20
2023-01-30,545.40,588.20,545.40,569.90,,6.56,,21904852.50
2023-01-31,559.00,611.90,539.00,611.90,,7.37,,8887087.00
2023-02-01,599.70,611.90,571.00,596.00,,-2.6,,9300593.50
2023-02-02,600.00,600.00,560.60,573.00,,-3.86,,10521047.30
2023-02-05,561.60,573.90,540.80,567.00,,-1.05,,8913865.50
2023-02-06,555.70,555.70,537.00,540.50,,-4.67,,3085572.50
2023-02-07,536.40,572.00,536.20,558.90,,3.4,,4905884.00
2023-02-08,570.00,600.00,538.00,570.00,,1.99,,5079178.20
2023-02-09,558.60,627.00,548.00,627.00,,10,,22831293.00
2023-02-12,614.50,653.00,592.00,641.50,,2.31,,21324847.40
2023-02-14,630.00,630.00,600.00,609.00,,-5.07,,14009635.70
2023-02-15,597.00,654.70,590.00,654.70,,7.5,,7163455.90
2023-02-16,641.70,647.00,600.10,640.00,,-2.25,,13154589.00
2023-02-20,627.20,677.20,603.10,610.00,,-4.69,,9022807.30
2023-02-22,610.00,640.00,600.20,629.00,,3.11,,8705003.00
2023-02-23,617.00,617.00,598.00,598.00,,-4.93,,4680497.80
2023-02-26,586.10,601.80,552.80,601.80,,0.64,,3812573.00
2023-02-27,590.00,610.00,570.00,584.00,,-2.96,,5101242.50
2023-02-28,573.10,579.00,562.00,568.00,,-2.74,,1657967.00
2023-03-01,560.00,594.00,550.00,594.00,,4.58,,3333441.50
2023-03-02,605.80,605.80,547.00,565.90,,-4.73,,2804012.50
2023-03-05,577.00,577.00,535.00,539.00,,-4.75,,469487.00
2023-03-07,531.00,549.00,528.30,528.30,,-1.99,,639669.10
2023-03-09,538.80,549.50,510.00,544.90,,3.14,,2647553.60
2023-03-12,555.00,561.00,529.40,543.00,,-0.35,,3853194.00
2023-03-13,532.30,538.90,517.70,535.00,,-1.47,,662018.00
2023-03-14,524.30,555.00,515.10,554.00,,3.55,,588865.00
2023-03-15,550.00,572.00,525.10,525.10,,-5.22,,875302.70
2023-03-16,535.00,535.00,516.20,522.00,,-0.59,,3687913.00
2023-03-19,512.00,550.00,512.00,521.20,,-0.15,,1479374.00
2023-03-20,521.20,541.90,521.20,525.00,,0.73,,1400086.00
2023-03-22,520.00,540.00,520.00,530.00,,0.95,,1990530.00
2023-03-23,525.00,526.00,514.90,525.00,,-0.94,,1583351.50
2023-03-26,515.20,521.00,505.00,505.30,,-3.75,,2288270.20
