Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2022-01-18,246.70,261.70,246.70,261.70,,0,,15351.90
2022-01-19,261.70,287.80,261.70,287.80,,9.97,,14141.90
2022-01-20,293.50,316.50,293.50,316.50,,9.97,,21588.00
2022-01-23,322.00,348.10,322.00,348.10,,9.98,,44597.00
2022-01-24,355.00,382.90,355.00,382.90,,10,,52920.00
2022-01-25,390.50,421.10,390.50,421.10,,9.98,,2350671.40
2022-01-26,425.00,463.20,425.00,463.20,,10,,378778.00
2022-01-27,472.40,509.50,472.40,509.50,,10,,1430783.00
2022-01-30,519.60,560.40,509.00,560.40,,9.99,,18377718.20
2022-01-31,571.60,616.40,560.00,616.40,,9.99,,17985381.80
2022-02-01,628.70,678.00,620.00,678.00,,9.99,,6033149.50
2022-02-03,678.00,744.00,640.00,744.00,,9.73,,30917649.20
2022-02-06,744.00,744.00,673.00,696.00,,-6.45,,17055065.60
2022-02-07,686.00,724.20,652.80,668.00,,-4.57,,20223874.40
2022-02-08,681.30,734.80,665.00,691.00,,3.44,,11667494.90
2022-02-09,734.00,734.00,675.30,686.00,,-6.64,,9876242.00
2022-02-10,686.00,690.00,650.00,665.00,,-3.06,,8845661.70
2022-02-13,651.70,651.70,615.00,615.00,,-7.52,,8139649.50
2022-02-14,610.00,665.00,600.00,665.00,,8.13,,4859195.50
2022-02-15,678.30,685.00,631.00,685.00,,3.01,,6225941.00
2022-02-16,671.30,692.50,646.00,646.00,,-5.69,,7605937.00
2022-02-17,640.00,646.00,619.00,620.00,,-4.02,,8594270.60
2022-02-20,607.60,640.00,590.00,625.00,,0.81,,5543418.00
2022-02-21,620.00,675.00,620.00,667.00,,6.72,,13230859.50
2022-02-22,665.00,708.90,665.00,693.00,,3.9,,17064612.30
2022-02-23,693.00,736.00,680.10,733.00,,5.77,,26192572.90
2022-02-24,719.00,724.00,677.50,697.00,,-4.91,,12101682.60
2022-02-27,705.00,710.00,678.00,699.00,,0.29,,8286376.00
2022-02-28,712.90,713.00,654.00,684.80,,-2.03,,11263808.20
2022-03-02,671.20,671.20,650.00,669.50,,-2.23,,6645690.50
2022-03-06,657.00,668.00,643.90,663.90,,-0.84,,2933201.00
2022-03-07,670.00,703.00,652.00,703.00,,5.89,,4363586.30
2022-03-09,703.00,714.00,657.00,665.00,,-5.41,,4843514.60
2022-03-10,675.00,688.50,642.10,677.00,,1.8,,6961018.50
2022-03-13,677.00,703.00,664.00,683.00,,0.89,,9087324.70
2022-03-14,670.00,679.90,662.00,668.00,,-2.2,,1043162.00
2022-03-15,660.00,678.00,660.00,673.90,,0.88,,7781276.20
2022-03-16,680.00,680.00,658.00,674.00,,0.01,,3021570.00
2022-03-20,674.00,715.00,657.00,676.30,,0.34,,5995939.60
2022-03-21,676.30,702.70,653.00,671.90,,-0.65,,10413140.40
2022-03-22,670.00,680.00,665.00,670.00,,-0.28,,3186713.00
2022-03-23,657.00,660.00,645.00,646.00,,-3.58,,4059067.50
2022-03-24,650.00,650.00,630.00,633.00,,-2.01,,2260217.00
2022-03-27,620.50,650.00,608.00,609.00,,-3.79,,4084286.50
2022-03-28,609.00,632.00,602.00,615.00,,0.99,,4402531.00
2022-03-29,627.00,639.00,602.70,623.00,,1.3,,3353299.00
2022-03-30,635.00,635.00,607.10,633.00,,1.61,,3779323.80
2022-03-31,640.00,640.00,607.00,627.30,,-0.9,,3444673.00
2022-04-03,615.00,625.00,601.00,607.10,,-3.22,,3510270.00
2022-04-04,600.00,613.10,596.20,596.20,,-1.8,,2896660.00
2022-04-05,596.00,596.00,566.00,590.00,,-1.04,,4239064.00
2022-04-06,580.00,585.00,557.50,566.00,,-4.07,,2278883.00
2022-04-07,566.00,586.00,562.00,586.00,,3.53,,3001349.00
2022-04-11,597.70,633.00,560.10,561.00,,-4.27,,2106092.00
2022-04-12,550.00,556.90,530.00,540.00,,-3.74,,2526893.50
2022-04-13,535.00,550.00,515.00,540.00,,0,,1860878.00
2022-04-17,531.00,532.50,511.60,512.00,,-5.19,,1928609.60
2022-04-18,505.10,512.00,494.10,495.00,,-3.32,,2438159.00
2022-04-19,486.00,528.00,467.20,509.00,,2.83,,1318223.10
2022-04-20,519.00,519.00,479.00,480.00,,-5.7,,1592048.00
2022-04-21,471.00,490.00,462.00,488.00,,1.67,,871863.00
2022-04-24,479.00,518.00,452.00,518.00,,6.15,,5497773.80
2022-04-25,507.70,527.00,497.60,510.00,,-1.54,,2209546.50
2022-04-26,499.80,510.00,495.00,500.00,,-1.96,,473841.00
2022-04-27,490.10,510.00,490.00,493.60,,-1.28,,2297316.50
2022-04-28,495.00,510.00,484.50,498.00,,0.89,,1619809.00
2022-05-02,488.50,488.50,465.00,467.00,,-6.22,,644693.00
2022-05-04,458.00,469.40,436.00,442.00,,-5.35,,1172377.50
2022-05-05,435.00,435.00,410.00,415.00,,-6.11,,2674280.60
2022-05-08,423.30,423.30,392.30,423.00,,1.93,,1524428.00
2022-05-09,420.00,429.40,411.70,420.00,,-0.71,,1429784.00
2022-05-10,420.00,444.50,411.60,442.00,,5.24,,1518554.00
2022-05-11,444.40,479.40,436.70,479.00,,8.37,,1684514.00
2022-05-12,488.50,498.00,461.20,498.00,,3.97,,2643194.70
2022-05-17,507.90,507.90,448.20,449.00,,-9.84,,3677022.50
2022-05-18,457.90,464.00,426.30,458.90,,2.2,,1055335.40
2022-05-19,468.00,470.00,439.10,439.10,,-4.31,,724326.00
2022-05-20,447.80,456.70,431.50,440.00,,0.2,,1101054.50
2022-05-23,440.00,440.00,424.00,428.00,,-2.73,,1530275.00
2022-05-24,425.00,450.00,420.10,439.00,,2.57,,363431.00
2022-05-25,435.00,455.00,432.20,439.00,,0,,933573.60
2022-05-26,430.50,440.00,430.50,435.00,,-0.91,,745955.00
2022-05-27,435.00,439.00,428.00,439.00,,0.92,,895923.00
2022-05-30,430.30,442.00,415.00,428.00,,-2.51,,602265.50
2022-05-31,419.50,422.20,412.00,420.00,,-1.87,,677541.10
2022-06-01,419.50,429.50,408.10,414.00,,-1.43,,378422.00
2022-06-02,406.00,422.00,406.00,409.00,,-1.21,,392916.00
2022-06-03,401.80,413.50,401.00,402.00,,-1.71,,402333.00
2022-06-06,400.00,412.00,396.00,401.00,,-0.25,,370915.00
2022-06-07,395.00,400.00,384.30,391.90,,-2.27,,1296508.20
2022-06-08,384.10,414.90,384.10,413.50,,5.51,,1003742.70
2022-06-09,415.00,419.50,400.10,409.00,,-1.09,,1510249.00
2022-06-10,401.00,408.90,395.00,408.80,,-0.05,,643762.00
2022-06-13,401.00,401.00,388.10,388.10,,-5.06,,862427.00
2022-06-14,380.40,389.60,380.40,384.00,,-1.06,,300911.00
2022-06-15,384.00,390.00,370.30,390.00,,1.56,,1361323.00
2022-06-16,382.20,395.00,375.00,388.00,,-0.51,,309627.00
2022-06-17,382.10,383.00,370.00,370.00,,-4.64,,651449.50
2022-06-19,362.60,370.00,349.20,364.20,,-1.57,,744302.00
2022-06-20,357.00,357.00,343.10,348.80,,-4.23,,830463.00
2022-06-21,342.00,364.00,342.00,350.00,,0.34,,443746.00
2022-06-22,343.50,350.00,333.20,340.00,,-2.86,,533944.00
2022-06-23,333.20,344.50,306.00,344.50,,1.32,,942105.40
2022-06-24,337.70,345.00,324.00,338.10,,-1.86,,446776.00
2022-06-26,344.00,369.00,337.20,369.00,,9.14,,2208327.00
2022-06-27,376.30,391.40,345.80,391.40,,6.07,,1698403.90
2022-06-28,399.20,399.20,360.00,382.00,,-2.4,,1368123.10
2022-06-29,375.10,396.70,353.50,396.00,,3.66,,4015575.20
2022-06-30,403.90,411.00,371.00,411.00,,3.79,,2733853.80
2022-07-01,415.00,415.00,382.90,397.00,,-3.41,,952660.00
2022-07-03,389.10,409.00,382.10,398.20,,0.3,,3045247.60
2022-07-04,398.00,411.90,388.00,402.00,,0.95,,4876378.50
2022-07-05,394.00,401.80,382.10,391.00,,-2.74,,1259128.00
2022-07-06,383.20,398.00,375.00,382.00,,-2.3,,791468.00
2022-07-07,389.60,399.00,373.40,374.10,,-2.07,,598576.00
2022-07-08,372.00,380.00,356.50,368.00,,-1.63,,716183.00
2022-07-11,360.70,375.30,342.00,342.10,,-7.04,,871906.00
2022-07-12,344.00,361.00,336.20,339.00,,-0.91,,356715.00
2022-07-13,339.30,372.00,339.30,358.10,,5.63,,891461.20
2022-07-14,357.00,371.00,350.10,367.00,,2.49,,1267900.00
2022-07-15,366.00,372.00,351.40,355.00,,-3.27,,172973.00
2022-07-17,354.00,362.20,351.00,360.10,,1.44,,519358.00
2022-07-18,360.00,370.00,356.00,370.00,,2.75,,630733.00
2022-07-19,363.10,385.00,363.10,370.00,,0,,493433.00
2022-07-20,364.10,381.90,364.10,378.00,,2.16,,1115003.50
2022-07-21,377.00,377.00,365.20,369.00,,-2.38,,337869.00
2022-07-22,376.30,376.30,355.00,358.00,,-2.98,,980726.00
2022-07-24,356.20,370.00,356.00,364.10,,1.7,,1304943.70
2022-07-25,371.30,387.60,371.30,387.00,,6.29,,2552386.30
2022-07-26,382.00,393.00,382.00,383.00,,-1.03,,2280350.70
2022-07-27,388.00,410.00,377.00,409.80,,7,,2860209.00
2022-07-28,403.00,445.50,401.70,428.00,,4.44,,4561358.60
2022-07-29,421.00,429.90,413.10,413.10,,-3.48,,1527168.20
2022-07-31,421.30,444.50,421.30,444.50,,7.6,,6804199.70
2022-08-01,453.00,453.00,424.60,438.60,,-1.33,,2771011.00
2022-08-02,432.00,444.00,423.40,440.00,,0.32,,2643527.00
2022-08-03,440.00,466.00,436.50,452.30,,2.8,,3609373.30
2022-08-04,452.00,459.00,434.00,436.00,,-3.6,,4301922.60
2022-08-05,427.50,440.00,418.10,423.00,,-2.98,,1754790.50
2022-08-07,416.00,449.50,416.00,448.00,,5.91,,3335029.70
2022-08-08,456.90,480.00,441.00,459.10,,2.48,,5019750.00
2022-08-09,450.00,459.00,432.00,442.00,,-3.72,,2210559.00
2022-08-10,433.20,450.00,424.60,434.90,,-1.61,,1228664.80
2022-08-11,433.50,442.90,401.80,402.00,,-7.56,,3947890.50
2022-08-14,409.00,425.00,395.00,405.00,,0.75,,2151596.20
2022-08-15,396.90,434.00,396.90,434.00,,7.16,,2103670.50
2022-08-16,442.00,442.00,415.00,423.00,,-2.53,,2598712.00
2022-08-17,415.00,430.00,399.00,424.90,,0.45,,2116039.00
2022-08-18,429.00,438.50,420.00,438.50,,3.2,,2538176.50
2022-08-21,429.80,438.60,425.00,438.60,,0.02,,1789551.50
2022-08-22,446.00,446.00,422.30,433.00,,-1.28,,762704.00
2022-08-23,441.60,441.60,422.00,423.00,,-2.31,,799699.00
2022-08-24,415.10,431.80,415.10,429.00,,1.42,,761129.90
2022-08-25,420.60,437.30,404.00,423.30,,-1.33,,2219580.00
2022-08-26,428.70,428.70,407.40,408.00,,-3.61,,874018.80
2022-08-28,399.90,408.00,395.00,395.00,,-3.19,,1046473.50
2022-08-29,402.90,402.90,381.20,400.00,,1.27,,409085.00
2022-08-30,407.00,407.00,392.00,392.20,,-1.95,,222144.00
2022-08-31,392.20,400.80,386.00,393.70,,0.38,,1376824.80
2022-09-01,385.90,401.00,378.30,386.00,,-1.96,,669507.00
2022-09-02,414.00,414.00,390.00,390.20,,-4.1,,185827.10
2022-09-04,395.00,398.00,382.50,389.20,,-0.26,,328782.00
2022-09-05,382.00,390.00,382.00,386.00,,-0.82,,318847.20
2022-09-06,379.00,387.00,376.20,376.50,,-2.46,,402939.00
2022-09-07,369.10,391.50,369.10,379.00,,0.66,,505694.00
2022-09-08,373.30,395.70,373.30,385.00,,1.58,,806908.00
2022-09-11,377.50,396.00,377.50,380.00,,-1.3,,230781.00
2022-09-12,380.00,385.00,375.10,379.00,,-0.26,,319160.00
2022-09-13,386.00,389.90,380.10,385.00,,1.58,,305586.00
2022-09-14,380.00,405.00,380.00,396.00,,2.86,,968712.00
2022-09-15,391.00,403.90,380.10,384.90,,-2.8,,830147.20
2022-09-16,379.00,408.00,371.00,408.00,,6,,436735.00
2022-09-18,413.00,413.00,370.00,386.00,,-5.39,,1404922.90
2022-09-20,378.30,378.30,364.80,372.00,,-3.63,,259481.00
2022-09-21,372.00,375.00,367.00,375.00,,0.81,,385687.00
2022-09-22,375.00,375.00,357.00,374.50,,-0.13,,54747.00
2022-09-25,379.00,379.00,343.10,353.00,,-5.74,,806776.00
2022-09-27,353.00,366.90,341.50,365.10,,3.43,,213733.60
2022-09-28,360.00,372.40,354.90,372.40,,2,,211337.00
2022-09-29,365.00,374.20,353.10,374.20,,0.48,,1415322.00
2022-10-09,380.80,385.00,355.00,385.00,,2.89,,616315.00
2022-10-10,390.00,390.00,360.00,367.90,,-4.44,,933192.00
2022-10-11,361.00,374.00,347.20,374.00,,1.66,,117767.60
2022-10-12,367.00,371.00,356.40,370.00,,-1.07,,666511.60
2022-10-13,375.00,375.00,358.10,360.10,,-2.68,,399177.00
2022-10-16,360.00,365.00,352.80,365.00,,1.36,,186476.00
2022-10-17,360.00,362.00,346.00,362.00,,-0.82,,153641.00
2022-10-19,362.00,368.90,347.40,361.00,,-0.28,,46641.20
2022-10-20,353.80,355.00,327.00,349.00,,-3.32,,124449.00
2022-10-23,343.10,351.90,343.00,351.90,,0.83,,30985.00
2022-10-31,350.00,357.00,327.00,355.80,,1.11,,156918.50
2022-11-01,348.70,362.80,345.00,360.00,,1.18,,255847.30
2022-11-02,353.00,379.00,350.00,365.00,,1.39,,1068646.00
2022-11-03,358.00,365.00,351.10,360.00,,-1.37,,355348.00
2022-11-06,352.80,374.00,351.00,374.00,,3.89,,724430.00
2022-11-07,367.00,374.20,360.10,369.00,,-1.34,,814205.50
2022-11-08,368.00,376.20,355.10,372.40,,0.92,,783197.00
2022-11-09,379.80,379.80,353.40,353.40,,-5.1,,859699.60
2022-11-10,347.10,358.00,341.50,341.50,,-3.37,,393120.50
2022-11-13,343.00,350.00,336.00,343.00,,0.44,,3430.00
2022-11-14,340.90,368.00,333.00,368.00,,7.29,,27272.00
2022-11-16,360.70,367.00,348.00,357.90,,-2.74,,1083379.00
2022-11-17,357.90,365.00,350.00,363.90,,1.68,,4243525.50
2022-11-22,364.00,364.00,356.00,357.00,,-1.9,,67200.00
2022-11-23,350.00,352.40,340.00,343.80,,-3.7,,626591.00
2022-11-24,343.80,345.00,338.60,339.40,,-1.28,,730214.50
2022-11-27,339.00,359.00,337.30,357.90,,5.45,,1806655.00
2022-11-28,350.80,357.00,343.80,345.10,,-3.58,,1376607.00
2022-11-29,342.00,352.00,342.00,345.10,,0,,245395.00
2022-11-30,338.80,354.90,338.80,354.90,,2.84,,1980080.00
2022-12-01,348.30,354.90,348.30,350.00,,-1.38,,305440.00
2022-12-04,343.40,350.00,343.40,346.10,,-1.11,,381964.50
2022-12-05,348.00,350.00,336.30,343.70,,-0.69,,381837.20
2022-12-06,336.90,342.00,335.20,336.20,,-2.18,,166263.00
2022-12-07,330.30,348.90,330.30,332.00,,-1.25,,95077.00
2022-12-11,327.10,330.10,325.00,329.00,,-0.9,,637203.50
2022-12-12,323.20,330.00,323.10,330.00,,0.3,,216833.80
2022-12-13,330.00,332.00,324.20,329.50,,-0.15,,42908.00
2022-12-14,323.00,335.50,323.00,335.50,,1.82,,66716.00
2022-12-15,328.80,335.00,322.00,322.00,,-4.02,,919203.00
2022-12-18,317.00,334.90,317.00,334.90,,4.01,,289679.70
2022-12-19,338.00,338.00,312.00,316.00,,-5.64,,57303.00
2022-12-20,316.00,323.00,315.00,317.10,,0.35,,315916.00
2022-12-21,317.00,329.50,315.00,329.50,,3.91,,276467.00
2022-12-22,323.50,327.30,313.00,327.30,,-0.67,,543748.00
2022-12-26,333.80,341.70,325.00,340.00,,3.88,,570490.80
2022-12-27,340.00,353.70,340.00,350.00,,2.94,,888599.50
2022-12-28,343.00,355.00,336.30,350.00,,0,,434555.50
2022-12-29,343.60,359.90,339.10,359.90,,2.83,,788788.10
2023-01-01,360.50,375.00,360.50,362.00,,0.58,,3450934.90
2023-01-02,355.00,398.20,354.80,389.00,,7.46,,5339451.60
2023-01-03,382.00,412.00,373.70,393.70,,1.21,,4060183.00
