Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-26,1660.00,1660.00,1660.00,1660.00,,0,,1394400.00
2014-09-10,1660.00,1660.00,1660.00,1660.00,,0,,136120.00
2016-11-15,1660.00,1660.00,1660.00,1660.00,,0,,166000.00
2018-02-27,1693.00,1693.00,1693.00,1693.00,,1.99,,169300.00
2019-05-06,1726.00,1760.00,1726.00,1760.00,,3.96,,34860.00
2019-10-10,1795.00,1830.00,1795.00,1830.00,,3.98,,244870.00
2021-08-01,1866.60,1903.90,1866.60,1903.90,,4.04,,685031.00
2022-05-17,1941.90,1941.90,1941.90,1941.90,,2,,40779.90
2022-09-13,1980.70,2136.00,1980.70,2136.00,,10,,106957.40
2022-09-14,2178.70,2178.70,2178.70,2178.70,,2,,21787.00
2022-09-25,2222.20,2222.20,2222.20,2222.20,,2,,22222.00
2023-07-11,2266.60,2311.90,2266.60,2311.90,,4.04,,45785.00
2023-08-07,2358.10,2405.20,2358.10,2405.20,,4.04,,47633.00
2023-09-24,2453.30,2453.30,2453.30,2453.30,,2,,53972.60
2023-12-11,2502.30,2698.60,2502.30,2698.60,,10,,130118.00
2023-12-12,2752.50,2968.40,2752.50,2968.40,,10,,143128.00
2023-12-13,3027.70,3265.20,3027.70,3265.20,,10,,157438.00
2023-12-14,3330.50,3591.70,3330.50,3591.70,,10,,173186.00
2023-12-17,3663.50,3950.80,3663.50,3950.80,,10,,190500.00
2023-12-18,3950.70,4345.80,3950.70,4345.80,,10,,249050.00
2023-12-19,4432.70,4780.30,4432.70,4780.30,,10,,230499.00
2023-12-20,4875.90,5258.30,4875.90,5258.30,,10,,253546.00
2023-12-21,5363.40,5784.10,5363.40,5784.10,,10,,278897.00
2023-12-24,5899.70,6362.50,5899.70,6362.50,,10,,306783.00
2023-12-27,6235.50,6235.50,6235.50,6235.50,,-2,,62355.00
2024-01-31,6360.20,6360.20,6360.20,6360.20,,2,,63602.00
2024-02-12,6487.40,6996.20,6487.40,6996.20,,10,,337344.00
2024-02-13,7136.10,7695.80,7136.10,7695.80,,10,,371077.00
2024-02-14,7849.70,8465.30,7849.70,8465.30,,10,,408183.00
2024-02-15,8634.60,9311.80,8634.60,9311.80,,10,,448998.00
2024-02-18,9498.00,10242.90,9498.00,10242.90,,10,,596325.00
2024-02-20,10447.70,11267.10,10447.70,11267.10,,10,,543281.00
2024-02-21,11492.40,12393.80,11492.40,12393.80,,10,,597607.00
2024-02-22,12641.60,13415.20,12641.60,13415.20,,8.24,,521034.00
2024-02-25,13683.50,14756.70,13683.50,14756.70,,10,,873867.70
2024-02-26,15051.80,16232.30,15051.80,16232.30,,10,,782696.00
2024-02-27,16556.90,17855.50,16556.90,17855.50,,10,,860963.00
2024-02-28,18205.00,19641.00,17855.50,19641.00,,10,,4036052.00
2024-02-29,20033.80,21605.10,20033.80,21605.10,,10,,1473863.00
2024-03-03,22037.20,23765.60,19511.00,22834.00,,5.69,,15134546.60
2024-03-04,23290.60,23290.60,23290.60,23290.60,,2,,232906.00
2024-03-05,23756.40,23756.40,20961.60,20962.00,,-10,,7805581.00
2024-03-06,20542.80,21381.00,19336.00,21000.00,,0.18,,3279171.00
2024-03-07,20580.00,21500.00,18900.00,21500.00,,2.38,,6492282.00
2024-03-12,21070.00,21070.00,21070.00,21070.00,,-2,,210700.00
2024-03-14,20648.60,20648.60,20648.60,20648.60,,-2,,206486.00
2024-03-17,20235.70,20235.70,20235.70,20235.70,,-2,,202357.00
2024-03-20,19831.00,19831.00,18350.00,18350.00,,-9.32,,1136772.00
2024-03-21,17983.00,17983.00,16615.00,16615.00,,-9.46,,4137084.00
2024-03-25,16947.30,18276.50,16947.30,18276.50,,10,,1423104.00
2024-03-26,18500.00,20104.10,18500.00,18543.60,,1.46,,2880886.00
2024-03-27,18200.00,18360.00,18000.00,18360.00,,-0.99,,1452510.00
2024-03-28,18500.00,18727.20,18300.00,18300.00,,-0.33,,1639597.00
2024-03-31,17950.00,17950.00,16901.40,16901.40,,-7.64,,696895.00
2024-04-01,17239.40,17584.10,17239.40,17250.20,,2.06,,520737.00
2024-04-02,17595.20,17595.20,17595.20,17595.20,,2,,175952.00
2024-04-03,17243.30,17243.30,17243.30,17243.30,,-2,,172433.00
2024-04-04,16899.00,16899.00,16899.00,16899.00,,-2,,168990.00
2024-04-07,16700.00,16800.10,16366.00,16599.00,,-1.78,,2329501.00
2024-04-09,16267.10,16267.10,15630.00,15942.60,,-3.95,,1584126.00
2024-04-10,15700.00,16918.30,15400.00,16918.30,,6.12,,3316530.00
2024-04-14,16600.00,17222.00,16580.00,17222.00,,1.8,,836020.00
2024-04-15,16877.60,16877.60,16210.00,16210.00,,-5.88,,658378.00
2024-04-16,15885.80,15885.80,15885.80,15885.80,,-2,,158858.00
2024-04-18,15580.00,15580.00,15580.00,15580.00,,-1.92,,155800.00
2024-04-21,15269.20,15570.00,15269.20,15570.00,,-0.06,,308392.00
2024-04-22,15881.40,15881.40,15484.10,15484.10,,-0.55,,471655.00
2024-04-24,15793.70,16109.00,15793.70,16109.00,,4.04,,319027.00
2024-04-28,15800.00,15800.00,15800.00,15800.00,,-1.92,,158000.00
2024-04-29,15550.00,16167.00,15505.10,16167.00,,2.32,,1592710.00
2024-04-30,15845.00,15845.00,15240.00,15240.00,,-5.73,,945605.00
2024-05-02,15544.80,15855.60,15544.80,15800.10,,3.68,,487549.80
2024-05-05,15800.00,15800.00,15484.10,15484.10,,-2,,467691.00
2024-05-06,15200.00,15200.00,15180.20,15180.20,,-1.96,,303802.00
2024-05-07,15400.00,15450.00,15400.00,15450.00,,1.78,,617500.00
2024-05-08,15449.90,15450.00,15449.90,15450.00,,0,,308999.00
2024-05-09,15151.00,15454.00,15151.00,15454.00,,0.03,,306050.00
2024-05-12,15763.00,15763.00,15763.00,15763.00,,2,,157630.00
2024-05-13,15800.00,16078.00,15800.00,16078.00,,2,,830406.00
2024-05-14,16000.00,16000.00,16000.00,16000.00,,-0.49,,320000.00
2024-05-15,16320.00,16398.00,16320.00,16398.00,,2.49,,490380.00
2024-05-16,16200.00,16200.00,16071.00,16071.00,,-1.99,,644131.00
2024-05-19,16392.00,16392.00,16065.00,16065.00,,-0.04,,970442.00
2024-05-22,15801.00,15801.00,15746.00,15746.00,,-1.99,,472970.00
2024-05-26,15432.00,15432.00,15432.00,15432.00,,-1.99,,154320.00
2024-05-27,15123.40,15555.00,15123.40,15450.00,,0.12,,918784.00
2024-05-29,15550.00,16090.00,15550.00,16090.00,,4.14,,1659640.00
2024-05-30,16399.00,16411.00,16399.00,16399.00,,1.92,,492090.00
2024-06-02,16100.00,16100.00,15840.10,15840.10,,-3.41,,704401.00
2024-06-03,16000.00,16000.00,16000.00,16000.00,,1.01,,320000.00
2024-06-04,15900.00,16050.00,15850.00,16050.00,,0.31,,2558490.00
2024-06-05,16371.00,16449.10,16371.00,16449.10,,2.49,,328201.00
