Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-21,1646.00,1678.00,1678.00,1678.00,,1.94,,3356000.00
2014-08-27,1678.00,1710.00,1710.00,1710.00,,1.91,,172710.00
2014-08-28,1710.00,1725.00,1725.00,1725.00,,0.88,,1725000.00
2014-09-07,1725.00,1715.00,1715.00,1715.00,,-0.58,,408170.00
2014-09-10,1715.00,1749.00,1715.00,1749.00,,1.98,,627675.00
2014-09-14,1749.00,1783.00,1783.00,1783.00,,1.94,,89150.00
2014-09-15,1783.00,1818.00,1818.00,1818.00,,1.96,,90900.00
2014-09-17,1818.00,1854.00,1850.00,1854.00,,1.98,,185200.00
2014-09-24,1854.00,1850.00,1850.00,1850.00,,-0.22,,185000.00
2014-10-12,1850.00,1825.00,1825.00,1825.00,,-1.35,,91250.00
2014-11-09,1825.00,1789.00,1755.00,1755.00,,-3.84,,177200.00
2014-11-10,1755.00,1825.00,1790.00,1825.00,,3.99,,7298250.00
2014-11-17,1825.00,1825.00,1825.00,1825.00,,0,,182500.00
2014-12-23,1825.00,1835.00,1835.00,1835.00,,0.55,,183500.00
2015-02-02,1835.00,1850.00,1850.00,1850.00,,0.82,,92500.00
2015-02-03,1850.00,1962.00,1887.00,1962.00,,6.05,,57730.00
2015-02-04,1962.00,2122.00,2001.00,2122.00,,8.15,,82450.00
2015-02-05,2122.00,2334.00,2164.00,2334.00,,9.99,,322580.00
2015-02-08,2334.00,2380.00,2380.00,2380.00,,1.97,,23800.00
2015-02-10,2380.00,2370.00,2304.00,2304.00,,-3.19,,572790.00
2015-03-16,2304.00,2350.00,2303.00,2303.00,,-0.04,,391980.00
2015-04-06,2303.00,2345.00,2345.00,2345.00,,1.82,,234500.00
2015-04-07,2345.00,2299.00,2254.00,2254.00,,-3.88,,45530.00
2015-04-12,2254.00,2230.00,2209.00,2209.00,,-2,,378890.00
2015-07-28,2200.00,2160.00,2160.00,2160.00,,-1.82,,108000.00
2015-08-09,2160.00,2203.00,2203.00,2203.00,,1.99,,220300.00
2015-08-13,2247.00,2247.00,2247.00,2247.00,,2,,22470.00
2015-08-18,2203.00,2203.00,2203.00,2203.00,,-1.96,,22030.00
2015-09-14,2247.00,2247.00,2247.00,2247.00,,2,,103362.00
2015-09-15,2291.00,2382.00,2291.00,2335.00,,3.92,,8436300.00
