Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,820.00,822.00,799.00,800.00,,-2.44,,5960519.00
2014-08-04,880.00,890.00,870.00,884.00,,0.45,,5960519.00
2014-08-04,884.00,867.00,815.00,820.00,,-7.24,,5960519.00
2014-08-04,875.00,895.00,880.00,886.00,,1.26,,5960519.00
2014-08-04,886.00,890.00,875.00,890.00,,0.45,,5960519.00
2014-08-04,890.00,886.00,875.00,880.00,,-1.12,,5960519.00
2014-08-05,800.00,832.00,810.00,824.00,,3,,7362281.00
2014-08-06,824.00,841.00,825.00,839.00,,1.82,,2439633.00
2014-08-07,839.00,845.00,830.00,845.00,,0.72,,4496795.00
2014-08-12,845.00,845.00,824.00,835.00,,-1.18,,2106166.00
2014-08-13,835.00,851.00,821.00,821.00,,-1.68,,2461904.00
2014-08-14,821.00,830.00,825.00,830.00,,1.1,,804325.00
2014-08-18,830.00,835.00,820.00,825.00,,-0.6,,1376526.00
2014-08-19,825.00,810.00,796.00,796.00,,-3.52,,2874096.00
2014-08-20,796.00,805.00,792.00,800.00,,0.5,,379726.00
2014-08-21,800.00,790.00,750.00,769.00,,-3.88,,2691110.00
2014-08-24,769.00,758.00,738.00,738.00,,-4.03,,2013190.00
2014-08-25,738.00,740.00,716.00,716.00,,-2.98,,578000.00
2014-08-26,716.00,740.00,706.00,706.00,,-1.4,,2352574.00
2014-08-27,706.00,750.00,715.00,735.00,,4.11,,4584400.00
2014-08-28,735.00,759.00,745.00,759.00,,3.27,,2665891.00
2014-08-31,759.00,761.00,711.00,711.00,,-6.32,,2296100.00
2014-09-01,711.00,703.00,675.00,701.00,,-1.41,,5300110.00
2014-09-03,701.00,721.00,707.00,720.00,,2.71,,421228.00
2014-09-04,720.00,710.00,692.00,709.00,,-1.53,,2873229.00
2014-09-07,709.00,700.00,672.00,672.00,,-5.22,,1407600.00
2014-09-09,672.00,700.00,672.00,685.00,,1.93,,5628580.00
2014-09-10,685.00,710.00,671.00,683.00,,-0.29,,4836325.00
2014-09-11,683.00,683.00,650.00,660.00,,-3.37,,6831306.00
2014-09-14,660.00,673.00,660.00,673.00,,1.97,,1765500.00
2014-09-15,673.00,678.00,670.00,676.00,,0.45,,2065080.00
2014-09-16,676.00,680.00,675.00,676.00,,0,,374096.00
2014-09-17,676.00,673.00,655.00,660.00,,-2.37,,3429216.00
2014-09-21,640.00,655.00,630.00,652.00,,1.88,,2739846.00
2014-09-22,652.00,655.00,645.00,649.00,,-0.46,,1428725.00
2014-09-23,649.00,650.00,638.00,650.00,,0.15,,2525312.00
2014-09-24,650.00,650.00,637.00,650.00,,0,,1792000.00
2014-09-28,650.00,645.00,644.00,644.00,,-0.92,,1367045.00
2014-09-29,644.00,673.00,640.00,660.00,,2.48,,4642660.00
