Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2025-11-10,302.40,332.60,302.40,332.60,,9.99,,61389.00
2025-11-11,339.20,365.80,339.20,365.80,,9.98,,105427.00
2025-11-12,373.10,402.30,373.10,402.30,,9.98,,208479.00
2025-11-13,410.30,442.50,410.30,442.50,,9.99,,2145334.00
2025-11-16,451.30,486.70,451.30,486.70,,9.99,,5594965.00
2025-11-17,496.40,535.30,451.00,535.30,,9.99,,57033915.00
2025-11-18,545.90,588.80,535.00,588.80,,9.99,,23071952.00
2025-11-19,600.00,647.60,561.00,647.60,,9.99,,22660841.00
2025-11-20,634.70,634.70,582.90,589.00,,-9.05,,92764782.50
2025-11-23,580.00,593.00,546.90,579.90,,-1.54,,50358925.60
2025-11-24,591.40,591.40,559.60,568.90,,-1.9,,27698688.60
2025-11-25,560.00,591.00,554.00,588.10,,3.37,,28896006.20
2025-11-26,577.00,585.00,566.00,568.60,,-3.32,,20342445.40
2025-11-27,562.59,582.00,558.10,565.00,,-0.63,,17083086.20
2025-11-30,557.20,568.20,555.00,555.20,,-1.73,,19153117.50
2025-12-01,550.00,565.00,544.00,562.00,,1.22,,17813465.00
2025-12-02,562.00,618.20,552.40,618.20,,10,,84855338.20
2025-12-03,630.50,675.00,620.00,658.00,,6.44,,72603664.80
2025-12-07,644.90,644.90,595.10,602.00,,-8.51,,96010268.90
2025-12-08,590.00,605.10,582.00,600.00,,-0.33,,31193810.10
2025-12-09,612.00,635.50,600.00,632.00,,5.33,,21518169.50
2025-12-10,620.00,635.00,611.30,616.00,,-2.53,,41006204.50
2025-12-11,606.10,625.00,602.00,606.00,,-1.62,,26877521.30
2025-12-14,600.00,607.00,590.30,591.00,,-2.48,,16197686.10
2025-12-15,585.00,607.00,585.00,594.00,,0.51,,18463979.80
2025-12-16,590.10,630.00,588.50,611.00,,2.86,,24686504.00
2025-12-17,605.00,623.00,600.20,612.00,,0.16,,11353666.30
2025-12-18,600.00,633.20,600.00,620.90,,1.45,,70241242.90
2025-12-21,620.90,630.00,610.20,620.00,,-0.14,,36358897.90
2025-12-22,632.40,632.40,598.10,600.00,,-3.23,,36960305.00
2025-12-23,590.10,604.00,580.00,585.20,,-2.47,,27665546.30
2025-12-24,580.00,596.00,570.00,575.00,,-1.74,,32194421.50
2025-12-28,575.00,596.70,565.00,590.00,,2.61,,30887228.90
2025-12-29,578.30,601.80,578.30,590.00,,0,,25503425.30
2025-12-31,590.00,604.00,586.50,592.00,,0.34,,34113523.70
2026-01-01,587.00,644.00,587.00,620.30,,4.78,,116656783.70
2026-01-04,620.00,643.00,616.00,640.00,,3.18,,70562668.00
2026-01-05,645.00,695.00,640.20,694.00,,8.44,,69159198.20
2026-01-06,695.00,729.30,643.90,666.00,,-4.03,,46435075.60
2026-01-07,670.00,693.50,646.00,650.10,,-2.39,,45684574.80
2026-01-08,650.10,656.00,625.30,637.50,,-1.94,,95599814.20
2026-01-12,637.50,673.00,632.00,672.00,,5.41,,65160540.10
2026-01-13,672.00,681.00,646.00,647.00,,-3.72,,50613187.30
2026-01-14,659.90,659.90,635.10,637.20,,-1.51,,22699624.50
2026-01-18,628.10,683.90,628.10,677.00,,6.25,,79998205.90
2026-01-20,690.00,723.00,677.30,700.20,,3.43,,84503451.50
2026-01-21,702.00,714.20,687.80,689.20,,-1.57,,46145798.00
2026-01-22,689.30,736.00,680.20,710.00,,3.02,,95539160.80
2026-01-25,710.00,770.00,710.00,752.00,,5.92,,88059025.00
2026-01-26,755.00,803.00,714.00,780.00,,3.72,,160115318.30
2026-01-27,781.00,822.00,755.00,762.00,,-2.31,,65437019.70
2026-01-28,760.00,780.00,731.10,772.00,,1.31,,68321128.70
2026-01-29,772.00,772.00,720.00,720.00,,-6.74,,76416272.50
2026-02-01,710.00,720.00,695.80,702.00,,-2.5,,28305357.10
2026-02-02,714.80,752.00,696.00,740.00,,5.41,,42378159.90
2026-02-03,749.90,750.00,710.60,720.00,,-2.7,,25737303.70
2026-02-04,720.00,734.00,701.20,705.00,,-2.08,,21214227.10
2026-02-05,715.00,715.00,700.20,708.80,,0.54,,25213754.20
2026-02-08,715.00,718.00,691.80,691.80,,-2.4,,22714861.80
2026-02-09,694.00,699.90,656.10,670.00,,-3.15,,28741616.10
2026-02-10,660.00,693.90,660.00,672.00,,0.3,,17787705.70
2026-02-11,685.00,685.20,652.00,663.00,,-1.34,,11005567.10
2026-02-12,651.00,675.00,642.00,647.00,,-2.41,,16894438.80
2026-02-16,647.00,670.00,643.50,661.00,,2.16,,16247770.30
2026-02-17,661.00,670.00,645.00,648.00,,-1.97,,12614918.10
2026-02-22,642.00,642.90,626.10,630.00,,-2.78,,14494486.20
2026-02-23,639.00,639.00,620.00,624.00,,-0.95,,7549991.70
2026-02-24,616.00,647.70,616.00,646.00,,3.53,,12943126.60
2026-02-25,650.00,660.50,643.00,649.00,,0.46,,11741526.20
