Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,1502.00,1500.00,1452.00,1452.00,,-3.33,,4466098.00
2014-08-04,1568.00,1570.00,1560.00,1560.00,,-0.51,,4466098.00
2014-08-04,1560.00,1540.00,1501.00,1502.00,,-3.72,,4466098.00
2014-08-04,1628.00,1630.00,1620.00,1630.00,,0.12,,4466098.00
2014-08-04,1630.00,1629.00,1629.00,1629.00,,-0.06,,4466098.00
2014-08-04,1629.00,1620.00,1568.00,1568.00,,-3.74,,4466098.00
2014-08-05,1452.00,1524.00,1475.00,1524.00,,4.96,,8841799.00
2014-08-06,1524.00,1598.00,1520.00,1576.00,,3.41,,2264316.00
2014-08-07,1576.00,1555.00,1520.00,1546.00,,-1.9,,496640.00
2014-08-12,1546.00,1550.00,1550.00,1550.00,,0.26,,390600.00
2014-08-13,1550.00,1520.00,1520.00,1520.00,,-1.94,,638400.00
2014-08-14,1520.00,1545.00,1520.00,1536.00,,1.05,,2786723.00
2014-08-18,1536.00,1520.00,1515.00,1516.00,,-1.3,,1328226.00
2014-08-19,1516.00,1510.00,1461.00,1475.00,,-2.7,,2823063.00
2014-08-20,1475.00,1464.00,1446.00,1464.00,,-0.75,,721576.00
2014-08-21,1464.00,1480.00,1421.00,1421.00,,-2.94,,1803339.00
2014-08-24,1421.00,1455.00,1390.00,1390.00,,-2.18,,1576987.00
2014-08-25,1390.00,1363.00,1300.00,1300.00,,-6.47,,791904.00
2014-08-26,1300.00,1335.00,1280.00,1285.00,,-1.15,,1825680.00
2014-08-27,1285.00,1320.00,1290.00,1320.00,,2.72,,1243560.00
2014-08-28,1320.00,1345.00,1320.00,1345.00,,1.89,,2446025.00
2014-08-31,1345.00,1358.00,1352.00,1352.00,,0.52,,778450.00
2014-09-01,1352.00,1356.00,1330.00,1340.00,,-0.89,,923760.00
2014-09-03,1340.00,1347.00,1321.00,1347.00,,0.52,,191477.00
2014-09-04,1347.00,1347.00,1322.00,1322.00,,-1.86,,1130730.00
2014-09-09,1322.00,1348.00,1322.00,1322.00,,0,,413178.00
2014-09-10,1322.00,1342.00,1300.00,1329.00,,0.53,,963740.00
2014-09-11,1329.00,1340.00,1315.00,1340.00,,0.83,,698235.00
2014-09-14,1340.00,1370.00,1350.00,1355.00,,1.12,,2238300.00
2014-09-15,1355.00,1479.00,1382.00,1479.00,,9.15,,1415988.00
2014-09-16,1479.00,1568.00,1508.00,1529.00,,3.38,,2970229.00
2014-09-17,1529.00,1610.00,1559.00,1567.00,,2.49,,6820454.00
2014-09-21,1504.00,1490.00,1474.00,1474.00,,-1.99,,296400.00
2014-09-22,1474.00,1450.00,1445.00,1445.00,,-1.97,,753935.00
2014-09-23,1445.00,1502.00,1465.00,1502.00,,3.94,,435206.00
2014-09-24,1502.00,1480.00,1480.00,1480.00,,-1.46,,47360.00
2014-09-28,1480.00,1490.00,1486.00,1486.00,,0.41,,62456.00
2014-09-29,1486.00,1500.00,1490.00,1500.00,,0.94,,692655.00
2014-09-30,1500.00,1529.00,1516.00,1529.00,,1.93,,977485.00
2014-10-08,1529.00,1526.00,1526.00,1526.00,,-0.2,,166334.00
2014-10-12,1526.00,1526.00,1526.00,1526.00,,0,,15260.00
2014-10-13,1526.00,1540.00,1485.00,1510.00,,-1.05,,3331080.00
2014-10-14,1510.00,1510.00,1500.00,1500.00,,-0.66,,2586700.00
2014-10-15,1500.00,1500.00,1470.00,1481.00,,-1.27,,670100.00
2014-10-16,1481.00,1480.00,1480.00,1480.00,,-0.07,,735560.00
2014-10-19,1480.00,1511.00,1490.00,1511.00,,2.09,,539830.00
2014-10-20,1511.00,1530.00,1500.00,1530.00,,1.26,,2121051.00
2014-10-21,1530.00,1515.00,1505.00,1515.00,,-0.98,,871595.00
2014-10-22,1515.00,1526.00,1505.00,1505.00,,-0.66,,2842865.00
2014-10-28,1505.00,1535.00,1535.00,1535.00,,1.99,,108985.00
2014-10-30,1535.00,1560.00,1560.00,1560.00,,1.63,,360360.00
2014-11-02,1560.00,1560.00,1550.00,1560.00,,0,,965401.00
2014-11-03,1560.00,1540.00,1540.00,1540.00,,-1.28,,15400.00
2014-11-04,1540.00,1520.00,1520.00,1520.00,,-1.3,,47120.00
2014-11-05,1520.00,1530.00,1500.00,1530.00,,0.66,,1173150.00
2014-11-06,1530.00,1505.00,1500.00,1500.00,,-1.96,,589605.00
2014-11-09,1500.00,1500.00,1470.00,1499.00,,-0.07,,2703630.00
2014-11-11,1499.00,1500.00,1470.00,1485.00,,-0.93,,971420.00
2014-11-12,1485.00,1530.00,1500.00,1500.00,,1.01,,1333760.00
2014-11-13,1500.00,1550.00,1505.00,1550.00,,3.33,,1550570.00
2014-11-16,1550.00,1605.00,1560.00,1595.00,,2.9,,4911956.00
2014-11-17,1595.00,1610.00,1550.00,1550.00,,-2.82,,4570230.00
