Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2021-02-07,161.00,164.00,161.00,164.00,,1.86,,4860.00
2021-02-08,159.00,173.00,159.00,173.00,,5.49,,8294.00
2021-02-09,168.00,176.00,168.00,176.00,,1.73,,5189.00
2021-02-10,174.00,179.00,176.00,179.00,,1.7,,3552.00
2021-02-11,182.00,188.00,182.00,188.00,,5.03,,5550.00
2021-02-14,191.00,194.00,191.00,194.00,,3.19,,3850.00
2021-02-15,197.00,200.00,197.00,200.00,,3.09,,3970.00
2021-02-16,204.00,220.00,204.00,220.00,,10,,21600.00
2021-02-17,217.00,225.00,217.00,225.00,,2.27,,14285.00
2021-02-18,229.00,245.00,229.00,245.00,,8.89,,11850.00
2021-02-21,249.00,269.00,249.00,269.00,,9.8,,31740.00
2021-02-22,280.00,295.00,280.00,295.00,,9.67,,14450.00
2021-02-23,300.00,312.00,300.00,312.00,,5.76,,15420.00
2021-02-24,297.00,343.00,295.00,343.00,,9.94,,62000.00
2021-02-25,337.00,377.00,337.00,377.00,,9.91,,68265.00
2021-02-28,395.00,414.00,395.00,414.00,,9.81,,61750.00
2021-03-01,422.00,455.00,422.00,455.00,,9.9,,71894.00
2021-03-02,459.00,500.00,459.00,500.00,,9.89,,100940.00
2021-03-03,525.00,550.00,525.00,550.00,,10,,291063.00
2021-03-04,577.00,605.00,577.00,605.00,,10,,432098.00
2021-03-07,635.00,665.00,635.00,665.00,,9.92,,603035.00
2021-03-09,698.00,731.00,698.00,731.00,,9.92,,1188559.00
2021-03-10,767.00,804.00,767.00,804.00,,9.99,,1711100.00
2021-03-14,844.00,884.00,844.00,884.00,,9.95,,3385050.00
2021-03-15,928.00,972.00,928.00,972.00,,9.95,,4249434.00
2021-03-16,1020.00,1069.00,1020.00,1069.00,,9.98,,7696464.00
2021-03-17,1122.00,1175.00,1122.00,1175.00,,9.92,,5967520.00
2021-03-18,1233.00,1292.00,1233.00,1292.00,,9.96,,9390112.00
2021-03-21,1356.00,1421.00,1356.00,1421.00,,9.98,,15299144.00
2021-03-22,1492.00,1563.00,1492.00,1563.00,,9.99,,27418297.00
2021-03-23,1641.00,1719.00,1641.00,1719.00,,9.98,,34010403.00
2021-03-24,1804.00,1890.00,1804.00,1890.00,,9.95,,32799280.00
2021-03-25,1984.00,2079.00,1984.00,2079.00,,10,,64053230.00
2021-03-29,2182.00,2286.00,1872.00,1930.00,,-7.17,,370776490.00
2021-03-30,1900.00,2079.00,1850.00,2050.00,,6.22,,162313755.00
2021-04-01,2120.00,2120.00,2037.00,2050.00,,-3.3,,72097828.00
2021-04-01,2060.00,2170.00,2050.00,2120.00,,3.41,,72097828.00
2021-04-04,2100.00,2100.00,1980.00,2009.00,,-2,,91733123.00
2021-04-05,2009.00,2185.00,1980.00,2125.00,,5.77,,151892196.00
2021-04-06,2237.00,2344.00,2108.00,2344.00,,10,,129057098.00
