Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,2635.00,2635.00,2572.00,2603.00,,-1.21,,15181265.00
2014-08-04,2617.00,2694.00,2617.00,2685.00,,2.6,,15181265.00
2014-08-04,2685.00,2699.00,2601.00,2635.00,,-1.86,,15181265.00
2014-08-04,2650.00,2640.00,2560.00,2590.00,,-2.26,,15181265.00
2014-08-04,2590.00,2598.00,2555.00,2597.00,,0.27,,15181265.00
2014-08-04,2597.00,2630.00,2581.00,2617.00,,0.77,,15181265.00
2014-08-05,2603.00,2626.00,2600.00,2615.00,,0.46,,33845581.00
2014-08-06,2615.00,2612.00,2580.00,2586.00,,-1.11,,35626299.00
2014-08-07,2586.00,2598.00,2545.00,2582.00,,-0.15,,37480252.00
2014-08-12,2582.00,2560.00,2510.00,2540.00,,-1.63,,31244390.00
2014-08-13,2540.00,2590.00,2488.00,2560.00,,0.79,,47193162.00
2014-08-14,2560.00,2549.00,2510.00,2530.00,,-1.17,,31648552.00
2014-08-18,2530.00,2510.00,2435.00,2445.00,,-3.36,,53262133.00
2014-08-19,2445.00,2493.00,2400.00,2454.00,,0.37,,47350428.00
2014-08-20,2454.00,2449.00,2343.00,2394.00,,-2.44,,57588841.00
2014-08-21,2394.00,2347.00,2155.00,2250.00,,-6.02,,133685284.00
2014-08-24,2250.00,2290.00,2200.00,2200.00,,-2.22,,49273317.00
2014-08-25,2200.00,2160.00,2010.00,2061.00,,-6.32,,81484297.00
2014-08-26,2061.00,2267.00,2052.00,2137.00,,3.69,,59321559.00
2014-08-27,2137.00,2350.00,2137.00,2349.00,,9.92,,69725546.00
2014-08-28,2349.00,2492.00,2340.00,2433.00,,3.58,,58997944.00
2014-08-31,2433.00,2448.00,2258.00,2319.00,,-4.69,,38156615.00
2014-09-01,2319.00,2305.00,2180.00,2305.00,,-0.6,,47561513.00
2014-09-03,2305.00,2306.00,2230.00,2254.00,,-2.21,,14771015.00
2014-09-04,2254.00,2245.00,2128.00,2230.00,,-1.06,,27505313.00
2014-09-07,2230.00,2240.00,2045.00,2071.00,,-7.13,,37496915.00
2014-09-09,2071.00,2274.00,2085.00,2274.00,,9.8,,54763848.00
2014-09-10,2274.00,2305.00,2130.00,2170.00,,-4.57,,32618265.00
2014-09-11,2170.00,2198.00,2070.00,2165.00,,-0.23,,29507689.00
2014-09-14,2165.00,2180.00,2075.00,2130.00,,-1.62,,42181335.00
2014-09-15,2130.00,2145.00,2100.00,2135.00,,0.23,,22510517.00
2014-09-16,2135.00,2135.00,2090.00,2095.00,,-1.87,,20171692.00
2014-09-17,2095.00,2109.00,2070.00,2080.00,,-0.72,,19201611.00
2014-09-18,2080.00,2080.00,2038.00,2045.00,,-1.68,,36450204.00
2014-09-21,2054.00,2049.00,1971.00,2000.00,,-2.63,,46652425.00
2014-09-22,2000.00,2143.00,1990.00,2143.00,,7.15,,100105242.00
2014-09-23,1786.00,1821.00,1720.00,1740.00,,-2.58,,7765061.00
2014-09-24,1740.00,1755.00,1740.00,1750.00,,0.57,,6351834.00
2014-09-28,1750.00,1814.00,1750.00,1814.00,,3.66,,4103623.00
2014-09-29,1814.00,1957.00,1775.00,1957.00,,7.88,,9374524.00
2014-09-30,1957.00,1930.00,1872.00,1890.00,,-3.42,,9350456.00
2014-10-08,1890.00,1860.00,1799.00,1799.00,,-4.81,,4128938.00
2014-10-09,1799.00,1865.00,1780.00,1830.00,,1.72,,5080914.00
2014-10-12,1830.00,1850.00,1782.00,1820.00,,-0.55,,15075781.00
2014-10-13,1820.00,1805.00,1766.00,1800.00,,-1.1,,2347226.00
2014-10-14,1800.00,1799.00,1765.00,1791.00,,-0.5,,4086391.00
2014-10-15,1791.00,1800.00,1776.00,1780.00,,-0.61,,3740746.00
2014-10-16,1780.00,1815.00,1785.00,1799.00,,1.07,,8285920.00
2014-10-19,1799.00,1822.00,1799.00,1815.00,,0.89,,10121341.00
2014-10-20,1815.00,1825.00,1800.00,1811.00,,-0.22,,4653581.00
2014-10-21,1811.00,1847.00,1785.00,1798.00,,-0.72,,11052514.00
2014-10-22,1798.00,1801.00,1775.00,1797.00,,-0.06,,4435805.00
2014-10-26,1797.00,1790.00,1785.00,1790.00,,-0.39,,1244480.00
2014-10-27,1790.00,1800.00,1775.00,1780.00,,-0.56,,6331424.00
2014-10-28,1780.00,1789.00,1750.00,1753.00,,-1.52,,4974360.00
2014-10-30,1753.00,1754.00,1700.00,1700.00,,-3.02,,18104133.00
2014-11-02,1700.00,1699.00,1622.00,1650.00,,-2.94,,27505901.00
2014-11-03,1650.00,1683.00,1625.00,1638.00,,-0.73,,19089510.00
2014-11-04,1638.00,1625.00,1600.00,1620.00,,-1.1,,19175457.00
2014-11-05,1620.00,1645.00,1600.00,1645.00,,1.54,,12864115.00
2014-11-06,1645.00,1670.00,1621.00,1651.00,,0.36,,12698732.00
2014-11-09,1651.00,1651.00,1615.00,1625.00,,-1.57,,14943734.00
2014-11-10,1625.00,1624.00,1590.00,1599.00,,-1.6,,16839845.00
2014-11-11,1599.00,1615.00,1550.00,1600.00,,0.06,,20492821.00
2014-11-12,1600.00,1614.00,1571.00,1578.00,,-1.38,,12483898.00
2014-11-13,1578.00,1580.00,1550.00,1554.00,,-1.52,,15707732.00
2014-11-16,1554.00,1563.00,1540.00,1540.00,,-0.9,,10376182.00
2014-11-17,1540.00,1540.00,1475.00,1482.00,,-3.77,,22768565.00
2014-11-18,1482.00,1500.00,1390.00,1430.00,,-3.51,,27300637.00
2014-11-19,1430.00,1485.00,1432.00,1480.00,,3.5,,19534565.00
2014-11-20,1480.00,1535.00,1495.00,1515.00,,2.36,,25298549.00
2014-11-24,1590.00,1587.00,1565.00,1570.00,,-1.26,,12270789.00
2014-11-24,1515.00,1600.00,1510.00,1590.00,,4.95,,12270789.00
2014-11-25,1570.00,1560.00,1507.00,1550.00,,-1.27,,9499426.00
2014-11-30,1550.00,1551.00,1502.00,1524.00,,-1.68,,8851401.00
2014-12-01,1524.00,1541.00,1516.00,1525.00,,0.07,,8282073.00
2014-12-02,1525.00,1525.00,1501.00,1515.00,,-0.66,,9286794.00
