Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2021-06-09,416.00,457.00,416.00,457.00,,9.86,,116377.00
2021-06-10,479.00,502.00,479.00,502.00,,9.85,,295490.00
2021-06-13,527.00,552.00,527.00,552.00,,9.96,,705911.00
2021-06-14,579.00,607.00,579.00,607.00,,9.96,,1077600.00
2021-06-15,637.00,667.00,637.00,667.00,,9.88,,2199900.00
2021-06-16,700.00,733.00,700.00,733.00,,9.9,,21060729.00
2021-06-17,769.00,806.00,680.00,685.00,,-6.55,,102121340.00
2021-06-20,700.00,700.00,619.00,635.00,,-7.3,,42432744.00
2021-06-21,623.00,635.00,593.00,612.00,,-3.62,,18343968.00
2021-06-22,601.00,645.00,590.00,638.00,,4.25,,15317442.00
2021-06-23,635.00,635.00,599.00,610.00,,-4.39,,12974005.00
2021-06-24,598.00,605.00,588.00,588.00,,-3.61,,12393797.00
2021-06-27,588.00,610.00,573.00,574.00,,-2.38,,9164421.00
2021-06-28,570.00,600.00,563.00,592.00,,3.14,,11084026.00
2021-06-29,600.00,605.00,577.00,585.00,,-1.18,,8803154.00
2021-06-30,580.00,590.00,560.00,578.00,,-1.2,,5324284.00
2021-07-01,567.00,590.00,567.00,579.00,,0.17,,8400640.00
2021-07-04,590.00,625.00,581.00,621.00,,7.25,,25388266.00
2021-07-05,625.00,669.00,620.00,654.00,,5.31,,33328063.00
2021-07-06,663.00,663.00,630.00,643.00,,-1.68,,17217690.00
2021-07-07,635.00,645.00,625.00,635.00,,-1.24,,13344093.00
2021-07-08,623.00,636.00,617.00,623.00,,-1.89,,11462081.00
2021-07-11,610.00,644.00,610.00,635.00,,1.93,,19366527.00
2021-07-12,635.00,645.00,616.00,620.00,,-2.36,,12839503.00
2021-07-13,613.00,620.00,608.00,610.00,,-1.61,,9810703.00
2021-07-14,610.00,628.00,604.00,620.00,,1.64,,6746705.00
2021-07-15,620.00,630.00,611.00,619.00,,-0.16,,7453652.00
2021-07-18,620.00,626.00,614.00,620.10,,0.18,,7791193.00
2021-07-19,625.00,644.00,620.00,642.00,,3.21,,17844606.00
2021-07-20,631.40,700.00,630.00,690.00,,7.48,,58010019.20
2021-07-22,700.00,759.00,690.00,759.00,,10,,78166684.50
2021-07-25,760.00,810.00,758.00,806.00,,6.19,,84892159.00
2021-07-26,822.10,840.00,777.00,836.00,,3.72,,70532485.60
2021-07-27,836.00,850.00,805.00,827.00,,-1.08,,44868020.50
2021-07-28,816.00,830.00,785.00,817.00,,-1.21,,38921256.00
2021-07-29,817.00,818.00,787.00,800.00,,-1.96,,41059604.50
2021-08-01,800.00,880.00,800.00,877.00,,9.62,,65684547.00
2021-08-02,890.00,894.50,844.00,845.00,,-3.65,,67466456.00
2021-08-03,845.00,912.80,835.00,912.80,,7.69,,56854735.80
2021-08-04,931.00,1000.00,913.00,975.00,,6.81,,89763361.70
2021-08-05,975.00,992.00,937.00,941.00,,-3.49,,56473288.00
2021-08-08,925.00,955.00,908.00,940.00,,-0.11,,54918125.00
2021-08-09,926.00,970.00,926.00,949.00,,1.6,,44545092.00
2021-08-10,949.00,970.00,930.10,935.00,,-1.48,,27671512.80
2021-08-11,940.00,1028.50,932.00,1009.00,,7.91,,66611564.00
2021-08-12,1009.00,1085.00,991.00,1050.00,,4.06,,66066316.00
2021-08-15,1050.00,1060.80,990.00,1030.00,,-1.9,,89168384.80
2021-08-16,1010.00,1049.00,990.00,1038.00,,0.78,,59814463.30
2021-08-17,1038.00,1141.80,1023.40,1141.80,,10,,78415315.30
2021-08-18,1164.60,1255.90,1164.60,1238.00,,8.43,,109698032.90
2021-08-19,1238.00,1326.00,1197.00,1315.00,,6.95,,129509073.10
2021-08-24,1320.00,1415.00,1301.00,1364.00,,3.73,,130980058.50
2021-08-25,1364.00,1364.00,1275.00,1350.00,,-1.03,,94442287.10
2021-08-26,1323.00,1404.00,1300.00,1330.00,,-1.48,,65183408.70
2021-08-29,1303.40,1330.00,1260.00,1260.00,,-5.26,,70702190.00
2021-08-31,1285.20,1285.20,1221.10,1224.00,,-2.86,,59588804.00
2021-09-01,1200.00,1247.00,1190.00,1206.00,,-1.47,,51000053.80
2021-09-02,1190.00,1210.00,1153.00,1180.00,,-2.16,,45443664.10
2021-09-05,1160.00,1160.00,1062.00,1062.00,,-10,,58110220.00
2021-09-06,1050.00,1168.20,1017.00,1160.00,,9.23,,56031694.80
2021-09-07,1182.00,1183.00,1088.80,1109.00,,-4.4,,83599653.50
2021-09-08,1087.00,1100.00,1070.10,1080.00,,-2.61,,11081086.50
2021-09-09,1089.90,1122.00,1060.00,1098.00,,1.67,,23889270.20
2021-09-12,1119.00,1155.00,1100.00,1139.00,,3.73,,48712789.00
2021-09-13,1139.00,1157.00,1109.50,1120.00,,-1.67,,41536110.90
2021-09-14,1108.60,1142.00,1107.00,1129.00,,0.8,,36065628.10
2021-09-15,1113.00,1119.00,1093.00,1100.00,,-2.57,,15427111.00
2021-09-16,1078.00,1100.00,1021.00,1035.00,,-5.91,,31022274.00
2021-09-20,1015.00,1018.00,931.50,960.00,,-7.25,,46169578.00
2021-09-21,940.80,980.00,905.20,950.00,,-1.04,,21898832.90
2021-09-22,967.50,1035.00,967.50,1024.00,,7.79,,19701795.40
2021-09-23,1044.00,1044.40,980.00,1015.00,,-0.88,,23385790.40
2021-09-26,994.70,1035.30,955.00,960.00,,-5.42,,15281727.10
2021-09-27,960.00,980.00,905.10,922.00,,-3.96,,17674938.00
2021-09-28,903.60,915.00,845.90,870.00,,-5.64,,24535322.00
2021-09-29,852.70,917.40,852.70,906.50,,4.2,,19587058.50
2021-09-30,920.00,920.00,862.40,864.10,,-4.68,,11884372.80
2021-10-03,869.00,869.00,785.00,829.00,,-4.06,,14090686.10
2021-10-04,812.50,828.00,775.00,800.00,,-3.5,,8856603.00
2021-10-05,784.00,830.00,784.00,830.00,,3.75,,9826091.00
2021-10-06,844.90,913.00,829.10,908.00,,9.4,,8875409.00
2021-10-10,926.10,926.10,860.00,860.00,,-5.29,,10573632.00
2021-10-11,860.00,877.20,825.20,831.00,,-3.37,,7155464.00
2021-10-17,823.00,847.50,800.30,820.00,,-1.32,,7157873.00
2021-10-18,804.00,804.00,759.10,779.00,,-5,,19433063.20
2021-10-19,760.00,760.00,708.00,735.90,,-5.53,,12422438.30
2021-10-20,750.60,809.40,741.50,809.40,,9.99,,64151764.30
2021-10-21,825.00,825.50,766.10,790.00,,-2.4,,8770167.50
2021-10-24,774.20,858.80,774.20,835.00,,5.7,,20821632.00
2021-10-25,850.00,882.00,840.00,881.90,,5.62,,37502401.40
2021-10-26,899.50,916.00,880.00,900.00,,2.05,,38798300.80
2021-10-27,900.00,920.00,869.20,910.00,,1.11,,30841025.20
2021-10-28,905.00,949.00,887.00,949.00,,4.29,,25164776.30
2021-10-31,930.10,979.00,920.00,974.00,,2.63,,19378008.80
2021-11-01,990.00,990.00,930.00,930.00,,-4.52,,30732309.50
2021-11-02,912.00,945.00,894.00,943.60,,1.46,,19654192.00
2021-11-03,962.00,975.00,935.00,942.00,,-0.17,,13373756.20
2021-11-08,935.00,960.00,925.00,935.00,,-0.74,,6979087.90
2021-11-09,937.00,937.00,863.10,875.40,,-6.37,,25588817.00
2021-11-11,857.90,889.00,843.00,850.00,,-2.9,,13562511.00
2021-11-14,845.00,868.00,819.00,850.00,,0,,15293965.30
2021-11-15,850.00,879.00,850.00,868.80,,2.21,,13247333.00
2021-11-16,886.10,907.00,869.00,907.00,,4.4,,18125294.20
2021-11-17,912.00,965.00,905.00,923.00,,1.76,,20739693.10
2021-11-18,905.10,926.00,892.00,906.00,,-1.84,,19413613.90
2021-11-21,898.00,910.00,888.10,900.00,,-0.66,,10081606.50
2021-11-22,886.00,918.00,886.00,903.10,,0.34,,13631864.60
2021-11-23,885.20,900.00,875.00,885.00,,-2,,15283631.00
2021-11-24,875.00,890.00,860.00,881.00,,-0.45,,8601767.00
2021-11-25,880.00,897.00,872.00,884.00,,0.34,,4622634.20
2021-11-28,866.40,875.00,837.00,849.00,,-3.96,,13200346.90
2021-11-29,833.40,856.00,833.10,844.00,,-0.59,,9064043.80
2021-11-30,845.00,845.50,822.00,840.00,,-0.47,,6179290.00
2021-12-01,835.00,850.00,833.10,845.00,,0.6,,7911656.00
2021-12-02,830.00,840.00,810.00,810.00,,-4.14,,7169797.00
2021-12-05,793.90,800.70,768.00,775.00,,-4.32,,10762578.20
