Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2017-08-03,0.00,323.00,294.00,323.00,,-0.65,,244637.00
2017-08-06,329.00,355.00,300.00,316.00,,-2.17,,3333783.00
2017-08-07,310.00,312.00,285.00,285.00,,-9.81,,1288178.00
2017-08-09,280.00,280.00,257.00,260.00,,-8.77,,1515113.00
2017-08-10,260.00,260.00,238.00,260.00,,0,,506640.00
2017-08-13,256.00,257.00,239.00,243.00,,-6.54,,92619.00
2017-08-15,240.00,240.00,220.00,221.00,,-9.05,,136848.00
2017-08-16,217.00,227.00,217.00,217.00,,-1.81,,117122.00
2017-08-17,213.00,214.00,209.00,211.00,,-2.76,,132194.00
2017-08-20,215.00,215.00,207.00,210.00,,-0.47,,146070.00
2017-08-21,214.00,218.00,197.00,201.00,,-4.29,,372928.00
2017-08-22,200.00,207.00,198.00,200.00,,-0.5,,1327556.00
2017-08-23,197.00,199.00,187.00,187.00,,-6.5,,757350.00
2017-08-27,195.00,200.00,193.00,200.00,,2.56,,391950.00
2017-08-28,197.00,201.00,195.00,201.00,,0.5,,55418.00
2017-08-30,201.00,202.00,197.00,197.00,,-1.99,,370363.00
2017-09-04,192.00,192.00,186.00,186.00,,-4.62,,299059.00
2017-09-06,186.00,190.00,186.00,190.00,,2.15,,69632.00
2017-09-07,189.00,190.00,183.00,183.00,,-3.68,,211837.00
2017-09-10,180.00,183.00,174.00,177.00,,-3.28,,172121.00
2017-09-11,175.00,175.00,166.00,166.00,,-6.21,,30998.00
2017-09-12,164.00,165.00,164.00,164.00,,-1.2,,16116.00
2017-09-13,162.00,163.00,156.00,163.00,,-0.61,,29485.00
2017-09-14,163.00,163.00,160.00,163.00,,0,,65918.00
2017-09-17,165.00,165.00,158.00,159.00,,-2.45,,39778.00
2017-09-18,157.00,165.00,157.00,163.00,,2.52,,97469.00
2017-09-20,165.00,165.00,161.00,161.00,,-1.23,,21205.00
2017-09-24,158.00,163.00,158.00,163.00,,1.24,,99240.00
2017-09-25,166.00,169.00,166.00,169.00,,3.68,,13490.00
2017-09-26,169.00,179.00,169.00,175.00,,3.55,,199407.00
2017-10-03,175.00,175.00,172.00,172.00,,-1.71,,26148.00
2017-10-04,172.00,172.00,172.00,172.00,,0,,6880.00
2017-10-08,169.00,173.00,166.00,173.00,,0.58,,15900.00
2017-10-09,170.00,170.00,168.00,168.00,,-2.89,,29084.00
2017-10-10,166.00,168.00,163.00,168.00,,0,,37866.00
2017-10-11,165.00,168.00,165.00,168.00,,0,,12690.00
2017-10-12,168.00,174.00,168.00,173.00,,2.98,,15796.00
2017-10-15,172.00,176.00,171.00,176.00,,1.73,,61108.00
2017-10-16,179.00,185.00,179.00,185.00,,5.11,,97977.00
2017-10-18,195.00,196.00,195.00,196.00,,0,,5870.00
2017-10-22,196.00,199.00,196.00,199.00,,1.53,,11054.00
2017-10-23,199.00,198.00,192.00,195.00,,-2.01,,82204.00
2017-10-24,195.00,205.00,195.00,205.00,,5.13,,176844.00
2017-10-25,209.00,213.00,201.00,201.00,,-1.95,,250886.00
2017-10-29,197.00,199.00,197.00,199.00,,-0.99,,3960.00
2017-10-30,197.00,197.00,196.00,196.00,,-1.51,,17258.00
2017-10-31,193.00,195.00,190.00,195.00,,-0.51,,67361.00
2017-11-01,192.00,194.00,192.00,194.00,,-0.51,,38188.00
2017-11-02,194.00,194.00,190.00,190.00,,-2.06,,49241.00
2017-11-05,187.00,196.00,187.00,196.00,,3.16,,37756.00
2017-11-06,196.00,196.00,190.00,194.00,,-1.02,,22000.00
2017-11-07,191.00,191.00,188.00,188.00,,-3.09,,3790.00
2017-11-08,185.00,185.00,182.00,182.00,,-3.19,,29616.00
2017-11-09,185.00,185.00,173.00,184.00,,1.65,,68564.00
2017-11-12,185.00,182.00,178.00,181.00,,-2.16,,25434.00
2017-11-13,179.00,180.00,179.00,180.00,,-0.55,,76266.00
2017-11-14,180.00,180.00,175.00,180.00,,0,,155119.00
2017-11-15,178.00,181.00,178.00,178.00,,-1.11,,40212.00
2017-11-16,181.00,181.00,175.00,178.00,,0,,536402.00
2017-11-19,178.00,175.00,172.00,175.00,,-1.69,,289259.00
2017-11-20,178.00,178.00,176.00,176.00,,0.57,,10600.00
2017-11-21,177.00,177.00,171.00,175.00,,-0.57,,89924.00
2017-11-22,173.00,173.00,167.00,171.00,,-2.29,,66229.00
2017-11-23,171.00,170.00,170.00,170.00,,-0.58,,28560.00
2017-11-26,170.00,180.00,169.00,180.00,,5.88,,14266.00
2017-11-27,183.00,183.00,179.00,183.00,,1.67,,78206.00
2017-11-28,183.00,186.00,183.00,186.00,,1.64,,17984.00
2017-11-29,183.00,188.00,183.00,183.00,,-1.61,,124860.00
2017-11-30,185.00,188.00,180.00,188.00,,2.73,,61395.00
2017-12-04,185.00,185.00,180.00,181.00,,-3.72,,70471.00
2017-12-05,181.00,186.00,180.00,186.00,,2.76,,66392.00
2017-12-06,188.00,204.00,186.00,200.00,,7.53,,264141.00
2017-12-10,196.00,199.00,193.00,199.00,,-0.5,,100696.00
