Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,3529.00,3529.00,3380.00,3380.00,,-4.22,,4639750.00
2014-08-04,3590.00,3522.00,3500.00,3502.00,,-2.45,,4639750.00
2014-08-04,3502.00,3530.00,3475.00,3529.00,,0.77,,4639750.00
2014-08-04,3600.00,3600.00,3550.00,3550.00,,-1.39,,4639750.00
2014-08-04,3550.00,3590.00,3550.00,3590.00,,1.13,,4639750.00
2014-08-05,3380.00,3390.00,3380.00,3390.00,,0.3,,1267920.00
2014-08-06,3390.00,3405.00,3360.00,3360.00,,-0.88,,2440016.00
2014-08-07,3360.00,3350.00,3309.00,3350.00,,-0.3,,3201508.00
2014-08-12,3350.00,3350.00,3350.00,3350.00,,0,,251250.00
2014-08-13,3350.00,3300.00,3235.00,3235.00,,-3.43,,1432400.00
2014-08-14,3235.00,3275.00,3251.00,3275.00,,1.24,,689465.00
2014-08-18,3275.00,3270.00,3100.00,3140.00,,-4.12,,4786613.00
2014-08-19,3140.00,3185.00,3080.00,3185.00,,1.43,,1703318.00
2014-08-20,3185.00,3185.00,3070.00,3100.00,,-2.67,,2542940.00
2014-08-21,3100.00,3160.00,2940.00,3160.00,,1.94,,6021013.00
2014-08-24,3160.00,3200.00,3140.00,3140.00,,-0.63,,1684700.00
2014-08-25,3140.00,3078.00,3017.00,3017.00,,-3.92,,361707.00
2014-08-26,3017.00,3017.00,2950.00,2950.00,,-2.22,,1497348.00
2014-08-27,2950.00,3140.00,3009.00,3140.00,,6.44,,3090717.00
2014-08-28,3140.00,3320.00,3200.00,3200.00,,1.91,,5264526.00
2014-08-31,3200.00,3264.00,3019.00,3025.00,,-5.47,,6444843.00
2014-09-01,3025.00,3069.00,2907.00,3069.00,,1.45,,2973687.00
2014-09-03,3069.00,3089.00,3075.00,3075.00,,0.2,,464807.00
2014-09-04,3075.00,3075.00,2995.00,2995.00,,-2.6,,1150030.00
2014-09-07,2995.00,2936.00,2800.00,2800.00,,-6.51,,2466160.00
2014-09-09,2800.00,2910.00,2820.00,2876.00,,2.71,,2238996.00
2014-09-10,2876.00,2944.00,2890.00,2944.00,,2.36,,1799295.00
2014-09-11,2944.00,2950.00,2895.00,2950.00,,0.2,,2368250.00
2014-09-14,2950.00,2892.00,2890.00,2890.00,,-2.03,,427887.00
2014-09-15,2890.00,2947.00,2890.00,2947.00,,1.97,,944950.00
2014-09-16,2947.00,3000.00,2905.00,2998.00,,1.73,,762604.00
2014-09-17,2998.00,2999.00,2910.00,2910.00,,-2.94,,1951776.00
2014-09-21,2871.00,2814.00,2814.00,2814.00,,-1.99,,36582.00
2014-09-22,2814.00,2760.00,2760.00,2760.00,,-1.92,,162840.00
2014-09-23,2760.00,2927.00,2815.00,2927.00,,6.05,,679650.00
2014-09-24,2927.00,2880.00,2880.00,2880.00,,-1.61,,138240.00
2014-09-28,2880.00,2935.00,2900.00,2930.00,,1.74,,494570.00
2014-09-29,2930.00,3005.00,2950.00,3005.00,,2.56,,208040.00
2014-09-30,3005.00,3126.00,2960.00,2970.00,,-1.16,,3980378.00
2014-10-08,2970.00,2980.00,2970.00,2980.00,,0.34,,484740.00
2014-10-09,2980.00,3030.00,2985.00,3015.00,,1.17,,401160.00
2014-10-12,3015.00,3000.00,3000.00,3000.00,,-0.5,,174000.00
2014-10-13,3000.00,3000.00,2950.00,2950.00,,-1.67,,833796.00
2014-10-14,2950.00,3000.00,2950.00,3000.00,,1.69,,391601.00
2014-10-15,3000.00,3150.00,2995.00,3150.00,,5,,2844840.00
2014-10-16,3150.00,3150.00,3100.00,3100.00,,-1.59,,2594725.00
2014-10-19,3100.00,3130.00,3075.00,3130.00,,0.97,,1642780.00
2014-10-20,3130.00,3070.00,3031.00,3032.00,,-3.13,,1169196.00
2014-10-21,3032.00,3050.00,3020.00,3050.00,,0.59,,1225400.00
2014-10-22,3050.00,3070.00,3040.00,3060.00,,0.33,,1154358.00
2014-10-26,3060.00,3110.00,3092.00,3110.00,,1.63,,1721910.00
2014-10-27,3110.00,3150.00,3090.00,3150.00,,1.29,,1425230.00
2014-10-28,3150.00,3120.00,3100.00,3101.00,,-1.56,,559247.00
2014-10-30,3101.00,3160.00,3076.00,3160.00,,1.9,,870364.00
2014-11-02,3160.00,3162.00,3100.00,3100.00,,-1.9,,2509996.00
2014-11-03,3100.00,3060.00,3030.00,3030.00,,-2.26,,667370.00
2014-11-04,3030.00,3001.00,2930.00,2950.00,,-2.64,,3099979.00
2014-11-05,2950.00,3010.00,2999.00,2999.00,,1.66,,1866898.00
2014-11-06,2999.00,3000.00,2950.00,2950.00,,-1.63,,1377325.00
2014-11-09,2950.00,3005.00,2970.00,3000.00,,1.69,,3071101.00
