Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-06-11,111.10,122.20,111.10,122.20,,0,,44410.10
2023-06-12,120.80,134.40,120.80,134.40,,9.98,,35902.70
2023-06-13,135.70,147.80,135.70,147.80,,9.97,,28811.20
2023-06-14,147.80,162.50,147.80,162.50,,9.95,,26066.50
2023-06-15,165.70,178.70,165.70,178.70,,9.97,,21388.80
2023-06-18,182.20,196.50,182.20,196.50,,9.96,,46418.80
2023-06-19,193.30,216.10,193.30,216.10,,9.97,,79108.80
2023-06-20,220.40,237.70,220.40,237.70,,10,,89407.70
2023-06-21,242.40,261.40,242.40,261.40,,9.97,,106550.30
2023-06-22,265.00,287.50,265.00,287.50,,9.98,,185994.80
2023-06-25,293.20,316.20,293.20,316.20,,9.98,,435131.00
2023-06-26,315.00,347.80,315.00,347.80,,9.99,,545021.40
2023-06-27,350.80,382.50,350.80,382.50,,9.98,,446232.50
2023-06-28,390.10,420.70,390.10,420.70,,9.99,,848981.20
2023-07-02,429.00,462.70,429.00,462.70,,9.98,,1523889.10
2023-07-03,471.00,508.90,471.00,508.90,,9.98,,3549917.90
2023-07-04,519.00,559.70,519.00,559.70,,9.98,,4261095.30
2023-07-05,570.80,615.60,570.80,615.60,,9.99,,5585798.80
2023-07-06,627.90,677.10,591.00,677.10,,9.99,,147361945.70
2023-07-09,690.60,744.00,650.00,741.50,,9.51,,44747371.80
2023-07-10,726.70,740.00,695.00,695.10,,-6.26,,90162762.10
2023-07-11,685.00,715.00,671.00,686.00,,-1.31,,40357844.00
2023-07-12,675.00,692.00,673.00,690.00,,0.58,,22821111.80
2023-07-13,680.00,725.00,680.00,696.10,,0.88,,34570510.40
2023-07-16,695.00,710.00,680.00,680.10,,-2.3,,24243439.80
2023-07-17,680.00,701.70,675.20,694.00,,2.04,,19195434.20
2023-07-18,695.00,704.00,682.10,684.00,,-1.44,,24542790.50
2023-07-19,678.00,691.00,678.00,681.00,,-0.44,,16631191.00
2023-07-20,680.00,689.00,670.00,673.00,,-1.17,,24279836.50
2023-07-23,662.00,711.10,662.00,703.00,,4.46,,30162346.80
2023-07-24,703.00,718.00,690.00,690.00,,-1.85,,30426333.20
2023-07-25,690.00,754.00,690.00,743.40,,7.74,,64925330.50
2023-07-26,740.00,782.50,730.00,758.00,,1.96,,46383052.70
2023-07-27,758.00,759.00,725.00,727.00,,-4.09,,38868664.30
2023-07-30,715.10,734.00,715.10,722.00,,-0.69,,24764748.30
2023-07-31,718.00,744.00,716.30,720.00,,-0.28,,32293229.40
2023-08-01,730.00,731.00,696.10,702.00,,-2.5,,21303917.90
2023-08-02,716.00,744.90,694.00,715.00,,1.85,,14700730.00
2023-08-03,729.00,743.80,705.00,706.10,,-1.24,,16659218.30
2023-08-06,700.00,703.00,685.00,690.00,,-2.28,,21256566.80
2023-08-07,682.00,707.00,680.00,685.00,,-0.72,,7868917.50
2023-08-08,678.00,696.00,678.00,678.00,,-1.02,,12149941.30
2023-08-09,678.00,690.00,671.00,690.00,,1.77,,9286428.20
2023-08-10,680.00,729.50,680.00,706.50,,2.39,,32532987.80
2023-08-13,701.10,730.00,701.10,720.00,,1.91,,28442911.80
2023-08-14,711.00,730.00,709.00,712.00,,-1.11,,17906321.90
2023-08-15,697.80,705.00,686.00,693.10,,-2.65,,28626139.80
2023-08-16,685.00,693.00,680.00,690.00,,-0.45,,11915598.10
2023-08-17,680.00,713.80,680.00,712.70,,3.29,,16263750.30
2023-08-20,701.00,710.00,688.30,688.30,,-3.42,,8890027.70
2023-08-21,680.40,698.50,680.40,685.00,,-0.48,,6073287.40
2023-08-22,685.00,693.00,680.90,693.00,,1.17,,6318278.10
2023-08-23,685.00,704.00,685.00,699.50,,0.94,,15846533.40
2023-08-24,698.00,700.00,677.00,678.00,,-3.07,,10612979.20
2023-08-27,670.00,675.00,665.00,668.90,,-1.34,,8020670.00
2023-08-28,661.20,703.80,657.30,700.00,,4.48,,16027554.20
2023-08-29,686.00,695.00,667.00,688.00,,-1.71,,12099324.90
2023-08-30,675.00,756.00,670.10,756.00,,9.88,,18241041.80
2023-09-03,740.90,740.90,680.40,680.40,,-10,,37402780.20
2023-09-04,666.80,690.00,666.80,679.00,,-0.21,,10021158.80
2023-09-05,678.00,678.00,661.00,669.00,,-1.47,,9456406.70
2023-09-07,660.10,670.00,655.00,655.10,,-2.08,,5347816.90
2023-09-10,665.00,694.00,658.10,661.00,,0.9,,4993268.40
2023-09-11,655.00,677.00,655.00,676.00,,2.27,,6722258.70
2023-09-12,670.10,675.00,655.00,659.00,,-2.51,,6058767.00
2023-09-13,670.00,683.40,657.10,675.00,,2.43,,5860060.00
2023-09-17,662.00,670.00,648.00,652.90,,-3.27,,8925464.00
2023-09-18,647.00,663.00,646.00,655.00,,0.32,,1886212.60
2023-09-19,660.00,668.00,645.00,655.90,,0.14,,6441635.60
2023-09-21,669.00,677.00,656.30,667.00,,1.69,,14166165.00
2023-09-24,659.00,674.00,652.00,660.00,,-1.05,,5793341.00
2023-09-25,647.10,665.00,647.10,650.10,,-1.5,,6483734.00
2023-09-26,656.00,661.90,650.10,652.00,,0.29,,8998818.90
2023-09-27,650.00,659.00,637.00,645.00,,-1.07,,17197488.10
2023-10-01,633.10,648.00,620.00,629.80,,-2.36,,7686389.00
2023-10-02,639.90,639.90,612.10,628.00,,-0.29,,7708203.60
2023-10-03,638.00,638.00,615.00,619.00,,-1.43,,3990890.10
2023-10-04,616.00,630.90,611.20,623.00,,0.65,,2557536.10
2023-10-05,613.10,621.00,613.10,620.00,,-0.48,,2127483.00
2023-10-08,615.00,615.00,606.00,607.90,,-1.95,,3544530.00
2023-10-09,600.00,612.00,600.00,608.00,,0.02,,2908169.10
2023-10-10,595.90,608.00,582.10,585.00,,-3.78,,2467873.00
2023-10-11,584.00,643.50,583.00,643.50,,10,,4160143.40
2023-10-12,630.70,630.70,579.20,585.00,,-9.09,,15252438.00
2023-10-16,575.30,579.00,563.80,563.80,,-3.62,,2703098.50
2023-10-17,553.20,574.30,540.40,549.00,,-2.63,,6163769.10
2023-10-18,559.90,576.30,540.20,550.00,,0.18,,5906934.60
2023-10-19,539.10,560.00,539.10,554.00,,0.73,,4493729.50
2023-10-29,543.00,549.00,519.30,529.80,,-4.37,,8998940.20
2023-10-30,519.30,529.00,509.00,527.00,,-0.53,,1019828.00
2023-10-31,516.60,531.00,510.00,531.00,,0.76,,2257370.00
2023-11-01,520.40,552.20,511.00,514.60,,-3.09,,2498369.80
2023-11-02,507.10,528.30,507.10,527.50,,2.51,,4180831.30
2023-11-05,518.00,530.40,508.00,529.90,,0.45,,3995744.00
2023-11-06,530.00,560.00,521.30,559.90,,5.66,,10184128.10
2023-11-07,550.00,580.00,550.00,570.90,,1.96,,7018547.10
2023-11-08,559.50,575.00,537.50,569.00,,-0.33,,4542023.50
2023-11-09,558.00,571.90,542.20,542.20,,-4.71,,9370750.00
2023-11-20,542.20,550.00,525.00,529.90,,-2.27,,5102669.50
2023-11-21,529.00,550.80,509.00,509.00,,-3.94,,3692549.00
2023-11-22,509.00,532.80,503.70,532.00,,4.52,,1891131.00
2023-11-23,522.00,542.00,515.00,536.00,,0.75,,2839622.00
2023-11-26,536.00,564.00,529.00,547.00,,2.05,,9998425.70
2023-11-27,547.00,567.00,545.00,558.00,,2.01,,6592066.00
2023-11-28,547.10,600.00,547.10,574.00,,2.87,,9325104.10
2023-11-29,574.00,609.00,566.00,568.20,,-1.01,,9856579.40
2023-11-30,558.50,566.00,552.80,559.00,,-1.62,,5106931.80
2023-12-03,550.10,560.00,550.00,556.00,,-0.54,,1319533.10
2023-12-04,555.00,575.00,549.00,561.00,,0.9,,6048004.50
2023-12-05,551.20,571.00,550.00,551.10,,-1.76,,1681805.00
2023-12-06,540.20,556.00,540.20,547.00,,-0.74,,3490708.00
2023-12-07,545.00,569.00,542.40,552.00,,0.91,,4822902.10
2023-12-10,563.00,593.00,557.00,593.00,,7.43,,2804629.00
2023-12-11,604.80,604.80,575.00,588.00,,-0.84,,24750072.70
2023-12-12,577.00,626.00,565.50,620.00,,5.44,,29253306.50
2023-12-13,620.00,637.70,611.00,615.00,,-0.81,,12998207.40
2023-12-14,603.10,620.00,602.80,610.00,,-0.81,,10148631.40
2023-12-17,597.80,630.00,592.00,627.90,,2.93,,13701502.10
2023-12-18,616.00,670.00,616.00,663.90,,5.73,,26949001.80
2023-12-19,651.00,730.20,651.00,726.90,,9.49,,58754116.10
2023-12-20,712.40,747.00,712.40,720.00,,-0.95,,39782937.20
2023-12-21,729.00,729.00,687.00,687.00,,-4.58,,26968730.00
2023-12-24,685.00,739.00,678.00,694.00,,1.02,,50820918.40
2023-12-27,690.20,707.00,685.10,698.80,,0.69,,12204672.40
2023-12-28,690.00,710.00,680.10,696.90,,-0.27,,10983988.60
2024-01-01,696.90,719.00,691.00,708.00,,1.59,,19271498.80
2024-01-02,722.10,722.10,680.00,683.00,,-3.53,,16027677.20
2024-01-03,680.00,696.00,670.00,687.90,,0.72,,10262381.50
2024-01-04,700.00,700.00,674.00,674.00,,-2.02,,11079186.50
2024-01-07,687.00,693.00,666.50,667.00,,-1.04,,19855141.50
2024-01-08,655.10,689.50,655.10,685.00,,2.7,,8085017.30
2024-01-09,692.00,722.00,685.00,689.20,,0.61,,45216457.40
2024-01-10,675.50,715.00,671.00,682.00,,-1.04,,12872544.20
2024-01-11,682.00,694.00,670.00,670.30,,-1.72,,6655162.50
2024-01-14,680.00,693.60,662.10,674.90,,0.69,,7312652.60
2024-01-16,675.00,690.90,675.00,676.50,,0.24,,15600158.30
2024-01-17,675.00,684.90,653.80,665.00,,-1.7,,16738077.60
2024-01-18,660.00,668.00,646.00,655.30,,-1.46,,9573045.00
2024-01-21,642.30,660.00,632.00,640.00,,-2.33,,11013233.60
2024-01-22,639.00,653.50,632.20,643.00,,0.47,,10017657.20
2024-01-23,644.00,677.00,633.00,675.00,,4.98,,11580105.30
2024-01-24,687.40,687.40,645.60,659.00,,-2.37,,14673490.00
2024-01-25,650.00,663.00,633.00,647.70,,-1.71,,6944448.00
2024-01-28,635.00,657.00,632.10,645.00,,-0.42,,9005094.10
2024-01-29,635.20,657.90,633.00,644.90,,-0.02,,9389222.70
2024-01-30,635.10,682.00,635.10,659.50,,2.26,,22809806.00
2024-01-31,671.00,690.00,665.00,666.00,,0.99,,44724543.90
2024-02-01,663.50,669.90,649.10,658.00,,-1.2,,16033429.20
2024-02-04,646.00,658.00,636.20,641.00,,-2.58,,5798964.50
