Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-12-21,300.00,330.00,300.00,330.00,,0,,683944.50
2023-12-24,335.50,363.00,335.50,363.00,,10,,1120048.40
2023-12-27,363.00,399.30,363.00,399.30,,10,,1459771.60
2023-12-28,407.00,439.20,407.00,439.20,,9.99,,2528288.10
2024-01-01,447.90,483.10,447.90,483.10,,10,,2304831.00
2024-01-02,492.70,531.40,492.70,531.40,,10,,4010775.35
2024-01-03,542.00,584.50,535.10,549.00,,3.31,,47627071.00
2024-01-04,540.00,593.00,527.40,589.20,,7.32,,16960690.40
2024-01-07,595.00,595.00,555.50,556.00,,-5.63,,19052914.90
2024-01-08,550.00,581.00,545.10,560.00,,0.72,,14804913.50
2024-01-09,571.20,571.20,545.10,546.00,,-2.5,,11098914.90
2024-01-10,540.00,566.00,540.00,550.00,,0.73,,10079452.00
2024-01-11,550.00,567.10,542.00,552.00,,0.36,,7099835.00
2024-01-14,552.00,582.00,552.00,582.00,,5.43,,16711231.20
2024-01-16,575.00,591.90,562.00,566.00,,-2.75,,15697788.90
2024-01-17,566.00,567.10,532.20,532.20,,-5.97,,10535538.30
2024-01-18,523.00,542.00,510.10,542.00,,1.84,,13041862.50
2024-01-21,552.80,552.80,514.00,518.00,,-4.43,,12849334.90
2024-01-22,509.00,518.00,502.00,515.00,,-0.58,,8251636.10
2024-01-23,505.00,529.90,505.00,510.20,,-0.93,,5108266.00
2024-01-24,511.50,520.00,505.70,512.00,,0.35,,4934912.00
2024-01-25,501.80,521.20,496.00,513.00,,0.2,,5794400.00
2024-01-28,511.00,519.00,505.30,511.50,,-0.29,,4958910.00
2024-01-29,503.90,530.00,503.90,520.00,,1.66,,6264120.00
2024-01-30,525.00,534.00,520.00,524.50,,0.87,,5284417.50
2024-01-31,514.50,530.00,506.00,510.00,,-2.76,,5097750.70
2024-02-01,505.00,510.00,495.00,496.00,,-2.75,,6936963.70
2024-02-04,488.00,502.00,485.20,488.00,,-1.61,,5122303.50
2024-02-05,488.00,500.00,488.00,495.10,,1.45,,3854325.00
2024-02-06,485.20,510.00,485.20,509.90,,2.99,,4279611.60
2024-02-07,511.00,525.00,504.20,517.00,,1.39,,5427318.10
2024-02-08,510.00,521.00,510.00,520.00,,0.58,,3945462.70
2024-02-11,515.00,530.00,515.00,520.60,,0.12,,8457641.70
2024-02-12,518.00,572.60,516.30,572.60,,9.99,,33675768.90
2024-02-13,572.60,575.50,539.00,545.00,,-4.82,,16784193.60
2024-02-14,535.00,557.00,535.00,551.00,,1.1,,7622640.50
2024-02-15,540.00,555.90,530.20,538.00,,-2.36,,10279924.00
2024-02-18,538.00,538.00,519.40,530.00,,-1.49,,6606648.50
2024-02-20,522.00,559.00,520.10,549.00,,3.58,,12527236.50
2024-02-21,538.10,557.00,538.10,551.00,,0.36,,15105360.80
