Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-10-01,508.00,508.00,457.20,457.20,,0,,147360743.60
2023-10-02,450.00,457.00,442.10,450.90,,-1.38,,128964045.30
2023-10-03,446.00,450.00,445.00,446.00,,-1.09,,55970652.00
2023-10-04,437.10,454.20,437.10,447.70,,0.38,,69363122.20
2023-10-05,447.70,447.70,441.10,442.00,,-1.27,,44331701.20
2023-10-08,442.00,444.00,431.00,432.30,,-2.19,,45503056.90
2023-10-09,430.00,433.00,424.10,424.60,,-1.78,,29438943.50
2023-10-10,420.00,429.90,418.00,418.20,,-1.51,,26067057.00
2023-10-11,413.60,425.00,413.60,417.30,,-0.22,,25177970.80
2023-10-12,415.10,420.00,408.00,410.00,,-1.75,,32533453.30
2023-10-16,405.10,408.00,390.60,393.10,,-4.12,,36723268.00
2023-10-17,395.00,407.00,394.20,399.00,,1.5,,16358464.30
2023-10-18,399.00,409.50,396.00,407.00,,2.01,,18396035.80
2023-10-19,402.00,409.30,400.10,404.00,,-0.74,,13989639.50
2023-10-29,396.20,400.00,390.00,394.00,,-2.48,,23004183.10
2023-10-30,390.00,393.80,388.50,391.00,,-0.76,,13779562.60
2023-10-31,391.00,394.00,389.10,391.00,,0,,12396059.50
2023-11-01,386.00,395.00,386.00,389.00,,-0.51,,14827242.20
2023-11-02,381.30,389.00,381.30,382.00,,-1.8,,14503985.10
2023-11-05,381.30,381.30,375.20,378.00,,-1.05,,13709754.00
2023-11-06,375.00,387.00,375.00,383.70,,1.51,,14339717.60
2023-11-07,383.50,403.20,382.00,403.00,,5.03,,22591905.50
2023-11-08,400.00,413.80,397.00,413.00,,2.48,,21683603.50
2023-11-09,406.20,411.10,398.50,405.60,,-1.79,,16982005.00
2023-11-20,405.00,415.50,401.20,406.40,,0.2,,23247296.80
2023-11-21,402.00,406.00,394.00,396.00,,-2.56,,18385221.60
2023-11-22,389.10,409.00,389.10,406.20,,2.58,,18492671.80
2023-11-23,400.20,434.00,400.20,430.00,,5.86,,53044485.00
2023-11-26,430.00,455.00,425.00,453.00,,5.35,,63486306.10
2023-11-27,445.00,462.00,445.00,450.00,,-0.66,,64849049.70
2023-11-28,443.00,456.00,443.00,448.20,,-0.4,,44631775.10
2023-11-29,448.20,453.00,435.00,440.00,,-1.83,,42531105.30
2023-11-30,431.20,443.50,431.20,440.00,,0,,29062164.80
