Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2022-06-13,382.20,382.20,382.20,382.20,,0,,22848.10
2022-06-15,389.80,420.40,389.80,420.40,,9.99,,24108.00
2022-06-17,428.80,437.30,428.80,437.30,,4.02,,8661.00
2022-06-19,446.00,454.90,446.00,454.90,,4.02,,13504.20
2022-06-20,463.90,500.30,463.90,500.30,,9.98,,34125.00
2022-06-21,510.30,550.30,510.30,550.30,,9.99,,31562.00
2022-06-22,550.30,550.30,550.30,550.30,,0,,5436.10
2022-06-23,561.30,605.30,561.30,605.30,,9.99,,29185.00
2022-06-24,605.30,655.00,605.30,655.00,,8.21,,31403.20
2022-06-26,668.10,720.50,668.10,720.50,,10,,49149.00
2022-06-27,734.90,792.50,734.90,792.50,,9.99,,54059.00
2022-06-28,780.00,871.70,780.00,871.70,,9.99,,74479.30
2022-06-29,889.10,958.80,889.10,958.80,,9.99,,74993.00
2022-06-30,977.90,1054.60,977.90,1054.60,,9.99,,103520.70
2022-07-01,1075.60,1160.00,1075.60,1160.00,,9.99,,85048.90
2022-07-03,1183.20,1276.00,1183.20,1276.00,,10,,109760.60
2022-07-04,1276.00,1403.60,1276.00,1403.60,,10,,235432.00
2022-07-05,1431.60,1543.90,1431.60,1543.90,,10,,219370.50
2022-07-06,1543.90,1698.20,1543.90,1698.20,,9.99,,223790.20
2022-12-11,1732.10,1868.00,1732.10,1868.00,,10,,2130313.20
2022-12-12,1905.00,2054.80,1905.00,2054.80,,10,,3055538.30
2022-12-13,2014.10,2260.20,2014.10,2260.20,,10,,4554799.80
2022-12-14,2305.40,2486.20,2305.40,2486.20,,10,,1885082.00
2022-12-15,2535.90,2734.80,2341.00,2405.00,,-3.27,,63994164.70
2022-12-18,2405.00,2405.00,2335.10,2341.00,,-2.66,,31132998.00
2022-12-19,2341.00,2520.00,2318.00,2481.00,,5.98,,12749348.50
2022-12-20,2499.00,2723.00,2470.00,2670.00,,7.62,,22810319.00
2022-12-21,2700.00,2710.00,2617.00,2648.00,,-0.82,,21434185.50
2022-12-22,2680.00,2680.00,2518.00,2593.00,,-2.08,,14681211.00
2022-12-26,2644.00,2644.00,2420.00,2472.00,,-4.67,,27406162.20
2022-12-27,2480.00,2500.00,2423.00,2426.00,,-1.86,,17316143.00
2022-12-28,2380.00,2455.00,2380.00,2427.00,,0.04,,8859870.70
2022-12-29,2400.00,2447.00,2400.00,2440.00,,0.54,,6053777.50
2023-01-01,2480.00,2480.00,2392.00,2450.00,,0.41,,13095199.80
2023-01-02,2460.00,2525.50,2450.10,2508.00,,2.37,,23048685.10
2023-01-03,1967.80,2087.00,1967.80,2000.00,,3.67,,16320654.20
2023-01-04,2040.00,2040.00,1977.00,2020.00,,1,,6760634.70
2023-01-05,2050.00,2144.00,2021.00,2106.10,,4.26,,8158720.70
2023-01-08,2148.00,2148.00,2050.00,2051.00,,-2.62,,13238525.80
2023-01-09,2050.00,2050.00,2014.20,2018.00,,-1.61,,10894234.50
2023-01-10,2057.90,2057.90,1975.00,1976.00,,-2.08,,12100264.20
2023-01-12,2015.50,2019.00,1922.90,1944.00,,-1.62,,8463764.80
2023-01-17,1980.00,1980.00,1910.00,1980.00,,1.85,,4794773.50
2023-01-18,1985.00,2010.00,1935.00,1940.00,,-2.02,,2986472.50
2023-01-19,1915.00,1940.00,1902.20,1915.00,,-1.29,,1900245.80
2023-01-23,1920.00,1921.00,1890.00,1900.00,,-0.78,,4426366.50
2023-01-24,1880.00,1908.80,1850.00,1908.80,,0.46,,5247432.90
2023-01-25,1877.00,1920.00,1877.00,1896.50,,-0.64,,2174207.50
2023-01-26,1890.00,1942.00,1890.00,1890.30,,-0.33,,4130304.00
2023-01-29,1863.00,1905.00,1863.00,1895.00,,0.25,,1847058.00
2023-01-30,1861.00,1880.00,1861.00,1867.00,,-1.48,,3976844.00
2023-01-31,1855.10,1855.10,1830.00,1855.00,,-0.64,,4205171.80
2023-02-01,1830.00,1855.00,1825.30,1855.00,,0,,1439779.60
2023-02-02,1818.00,1858.00,1803.20,1804.00,,-2.75,,2453791.00
2023-02-05,1804.00,1825.00,1790.00,1805.00,,0.06,,2501827.00
2023-02-06,1800.00,1821.00,1786.00,1806.00,,0.06,,1997380.00
2023-02-07,1800.00,1883.00,1795.00,1883.00,,4.26,,4762104.00
2023-02-08,1899.00,1899.00,1840.10,1873.00,,-0.53,,1841469.00
2023-02-09,1840.10,1910.00,1835.00,1870.00,,-0.16,,1544213.00
2023-02-12,1869.90,1869.90,1806.10,1829.00,,-2.19,,1602563.20
2023-02-14,1800.00,1830.00,1800.00,1815.00,,-0.77,,1236686.00
2023-02-15,1780.00,1822.90,1780.00,1820.00,,0.28,,1228520.00
2023-02-16,1785.10,1826.00,1785.10,1800.00,,-1.1,,2176551.00
2023-02-20,1800.00,1800.00,1740.00,1789.00,,-0.61,,2470304.00
2023-02-22,1780.00,1824.50,1721.10,1824.50,,1.98,,3268973.00
2023-02-23,1824.50,1824.50,1642.10,1642.10,,-10,,1347767.80
2023-02-26,1609.30,1690.00,1477.90,1690.00,,2.92,,7790709.50
2023-02-27,1690.00,1690.00,1571.00,1600.00,,-5.33,,2908491.50
2023-02-28,1570.10,1632.00,1507.00,1632.00,,2,,2902060.00
2023-03-01,1599.40,1599.40,1510.00,1538.00,,-5.76,,3471090.00
2023-03-02,1508.00,1538.00,1479.40,1483.00,,-3.58,,1311451.00
2023-03-05,1465.00,1465.00,1390.00,1408.00,,-5.06,,1426651.50
2023-03-07,1380.10,1408.00,1335.00,1335.00,,-5.18,,3927032.80
2023-03-09,1335.00,1384.90,1335.00,1365.00,,2.25,,1605641.50
2023-03-12,1345.20,1389.00,1345.20,1380.00,,1.1,,1748619.90
2023-03-13,1380.00,1380.00,1291.00,1345.00,,-2.54,,4188971.70
2023-07-03,1195.00,1289.00,1195.00,1289.00,,10,,2058771.50
2023-07-04,1289.00,1417.90,1277.20,1280.00,,-0.7,,24415354.60
2023-07-05,1270.00,1285.00,1195.00,1202.00,,-6.09,,7218364.30
2023-07-06,1185.00,1205.00,1181.00,1199.90,,-0.17,,5631699.80
2023-07-09,1200.00,1206.00,1175.00,1190.00,,-0.83,,4555838.70
2023-07-10,1168.00,1205.00,1168.00,1190.00,,0,,5465429.00
2023-07-11,1175.40,1213.80,1175.00,1186.00,,-0.34,,3669560.20
2023-07-12,1186.00,1304.60,1170.20,1304.60,,10,,10275758.80
2023-07-13,1305.00,1346.00,1277.00,1330.00,,1.95,,12545518.70
2023-07-16,1330.00,1410.00,1290.30,1410.00,,6.02,,10467686.00
2023-07-17,1381.80,1520.00,1366.10,1510.00,,7.09,,14444482.40
2023-07-18,1540.20,1560.00,1411.20,1470.00,,-2.65,,15103999.70
2023-07-19,1440.60,1450.00,1385.00,1448.00,,-1.5,,6849345.50
2023-07-20,1469.00,1498.20,1400.00,1497.00,,3.38,,7062605.70
2023-07-23,1468.00,1507.50,1431.10,1498.00,,0.07,,8809815.90
2023-07-24,1527.90,1527.90,1421.00,1450.00,,-3.2,,7178097.60
2023-07-25,1479.00,1479.00,1400.00,1425.00,,-1.72,,4875391.80
2023-07-26,1425.00,1425.00,1385.00,1385.00,,-2.81,,3176423.80
2023-07-27,1400.00,1400.00,1340.00,1350.00,,-2.53,,4458908.10
2023-07-30,1350.00,1360.00,1308.30,1341.00,,-0.67,,2903836.90
2023-07-31,1367.80,1367.80,1313.20,1328.90,,-0.9,,3077405.20
2023-08-01,1305.00,1335.00,1250.00,1295.00,,-2.55,,5327598.80
2023-08-02,1309.90,1309.90,1265.00,1290.00,,-0.39,,1862294.80
2023-08-03,1315.80,1315.80,1265.10,1270.00,,-1.55,,1865889.10
2023-08-06,1265.00,1265.10,1186.60,1212.00,,-4.57,,5661591.10
2023-08-07,1200.00,1240.00,1200.00,1219.90,,0.65,,3177032.50
2023-08-08,1215.00,1261.00,1184.00,1249.50,,2.43,,2748665.90
2023-08-09,1249.50,1249.50,1195.90,1227.50,,-1.76,,3094752.10
2023-08-10,1244.40,1244.40,1200.00,1211.00,,-1.34,,3189922.50
2023-08-13,1234.00,1234.00,1192.10,1210.00,,-0.08,,1681360.10
2023-08-14,1234.20,1308.00,1186.00,1300.00,,7.44,,4746575.70
2023-08-15,1275.00,1275.00,1212.10,1245.00,,-4.23,,3346418.10
2023-08-16,1220.10,1256.00,1199.00,1214.00,,-2.49,,898073.40
2023-08-17,1238.20,1238.20,1190.00,1191.00,,-1.89,,2233770.40
2023-08-20,1192.00,1210.00,1168.00,1168.00,,-1.93,,3593295.60
2023-08-21,1168.00,1190.00,1151.00,1188.00,,1.71,,3064143.30
2023-08-22,1190.00,1209.00,1151.10,1190.00,,0.17,,1682569.30
2023-08-23,1207.50,1207.50,1170.00,1199.90,,0.83,,1861216.30
2023-08-24,1180.00,1199.90,1168.00,1199.90,,0,,3123699.10
2023-08-27,1176.00,1176.00,1154.00,1155.10,,-3.73,,4342305.60
2023-08-28,1145.00,1175.00,1123.00,1160.00,,0.43,,8933769.30
2023-08-29,1180.00,1180.00,1117.00,1146.00,,-1.21,,1730691.60
2023-08-30,1168.90,1192.20,1086.30,1138.00,,-0.7,,11447730.00
2023-09-03,1116.00,1116.00,1068.50,1083.00,,-4.83,,2731669.10
2023-09-04,1100.00,1100.00,986.30,1050.00,,-3.05,,8070488.00
2023-09-05,1029.00,1059.90,995.00,1028.00,,-2.1,,2003827.10
2023-09-07,1042.00,1046.00,986.00,1016.00,,-1.17,,1412867.10
2023-09-10,1036.00,1077.00,979.00,1075.00,,5.81,,3459103.40
2023-09-11,1053.50,1100.00,1010.00,1100.00,,2.33,,3258890.90
2023-09-12,1120.00,1140.00,1045.10,1076.00,,-2.18,,1917321.30
2023-09-13,1097.50,1097.50,1021.00,1067.00,,-0.84,,1239049.60
2023-09-17,1088.00,1109.00,996.70,1049.70,,-1.62,,2948441.90
2023-09-18,1070.60,1070.60,994.00,1032.90,,-1.6,,2965987.50
2023-09-19,1012.30,1050.00,980.00,1048.00,,1.46,,3218986.90
2023-09-21,1028.10,1132.00,1008.00,1054.90,,0.66,,4079320.30
2023-09-24,1075.90,1140.00,1036.00,1070.80,,1.51,,6245988.70
2023-09-25,1092.20,1092.20,1030.00,1064.00,,-0.64,,2040692.60
2023-09-26,1042.80,1129.80,1026.00,1070.10,,0.57,,2917805.20
2023-09-27,1070.00,1090.90,1045.00,1051.00,,-1.78,,5683741.50
2023-10-01,1071.00,1090.00,1008.00,1020.00,,-2.95,,8666245.30
2023-10-02,1020.00,1122.00,1000.00,1122.00,,10,,5362052.60
2023-10-03,1144.40,1144.40,1034.70,1050.00,,-6.42,,2805714.90
2023-10-04,1029.00,1130.00,1029.00,1130.00,,7.62,,6072146.50
2023-10-05,1107.40,1107.40,1045.00,1070.00,,-5.31,,6435181.20
2023-10-08,1070.00,1089.90,1015.50,1020.00,,-4.67,,4580694.40
2023-10-09,1040.00,1040.00,1010.00,1023.00,,0.29,,2602533.50
2023-10-10,1010.00,1020.00,1005.00,1020.00,,-0.29,,1032535.40
2023-10-11,1040.40,1040.40,1005.20,1024.00,,0.39,,1405886.80
2023-10-12,1044.00,1044.00,1003.70,1024.90,,0.09,,3825176.70
2023-10-16,1005.00,1025.00,993.00,1004.00,,-2.04,,2922943.50
2023-10-17,1020.00,1024.00,1000.00,1015.20,,1.12,,1522340.60
2023-10-18,1034.00,1045.50,1015.00,1033.00,,1.75,,3210758.60
2023-10-19,1050.00,1076.10,994.00,1068.50,,3.44,,3212972.00
2023-10-29,1048.00,1155.00,1012.00,1139.00,,6.6,,3724048.20
2023-10-30,1116.30,1116.30,1030.00,1095.00,,-3.86,,5179120.00
2023-10-31,1110.00,1155.60,1011.00,1132.50,,3.42,,6074671.80
2023-11-01,1155.10,1155.10,1025.00,1070.00,,-5.52,,3775779.10
2023-11-02,1048.60,1088.00,1019.20,1065.00,,-0.47,,4618651.00
2023-11-05,1065.00,1065.00,1000.00,1018.00,,-4.41,,5816272.40
2023-11-06,999.00,1038.00,990.00,1020.00,,0.2,,3153945.10
2023-11-07,1000.20,1034.90,1000.20,1000.20,,-1.94,,911040.70
2023-11-08,990.10,1037.90,980.00,1018.00,,1.78,,1367449.80
2023-11-09,1000.00,1020.00,990.00,1020.00,,0.2,,1470416.50
2023-11-20,1000.00,1060.80,985.00,1009.80,,-1,,2165386.50
2023-11-21,1005.00,1028.50,961.00,990.00,,-1.96,,2650610.60
2023-11-22,1007.80,1007.80,970.00,991.90,,0.19,,1178740.70
2023-11-23,972.30,975.50,956.30,975.50,,-1.65,,1701028.00
2023-11-26,995.00,1010.00,975.00,1000.00,,2.51,,1820227.30
2023-11-27,985.00,1005.00,965.00,999.00,,-0.1,,2280242.30
2023-11-28,979.10,1015.00,961.00,998.00,,-0.1,,954179.70
2023-11-29,998.00,999.00,960.10,982.00,,-1.6,,1570614.70
2023-11-30,965.10,987.00,955.00,973.90,,-0.82,,844428.90
2023-12-03,973.00,989.00,936.00,950.00,,-2.45,,1565790.10
2023-12-04,968.00,968.00,925.00,948.00,,-0.21,,2272668.70
2023-12-05,930.00,945.00,910.70,935.00,,-1.37,,848839.00
2023-12-06,943.00,943.00,882.00,895.30,,-4.25,,3217430.80
2023-12-07,882.30,984.00,882.30,984.00,,9.91,,6249928.70
2023-12-10,964.40,1081.00,964.40,1081.00,,9.86,,991939.00
2023-12-11,1059.90,1164.00,990.00,1155.00,,6.85,,12435057.50
2023-12-12,1132.00,1132.00,1040.80,1096.00,,-5.11,,6391882.00
2023-12-13,1098.00,1104.00,1033.00,1062.90,,-3.02,,3054899.10
