Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,591.00,597.00,584.00,585.00,,-1.02,,13594054.00
2014-08-04,596.00,605.00,585.00,605.00,,1.51,,13594054.00
2014-08-04,605.00,603.00,590.00,591.00,,-2.31,,13594054.00
2014-08-04,615.00,618.00,603.00,608.00,,-1.14,,13594054.00
2014-08-04,608.00,609.00,590.00,607.00,,-0.16,,13594054.00
2014-08-04,607.00,615.00,593.00,596.00,,-1.81,,13594054.00
2014-08-05,585.00,610.00,576.00,592.00,,1.2,,31654559.00
2014-08-06,592.00,600.00,581.00,585.00,,-1.18,,12001984.00
2014-08-07,585.00,590.00,570.00,590.00,,0.85,,11778321.00
2014-08-12,590.00,590.00,569.00,570.00,,-3.39,,5265221.00
2014-08-13,570.00,590.00,559.00,575.00,,0.88,,11475424.00
2014-08-14,575.00,589.00,565.00,576.00,,0.17,,11468862.00
2014-08-18,576.00,577.00,560.00,570.00,,-1.04,,10469964.00
2014-08-19,570.00,579.00,565.00,575.00,,0.88,,8793842.00
2014-08-20,575.00,575.00,561.00,568.00,,-1.22,,26270885.00
2014-08-21,568.00,573.00,538.00,569.00,,0.18,,9367105.00
2014-08-24,569.00,576.00,555.00,560.00,,-1.58,,6534332.00
2014-08-25,560.00,552.00,530.00,543.00,,-3.04,,11212099.00
2014-08-26,543.00,572.00,513.00,527.00,,-2.95,,11104537.00
2014-08-27,527.00,564.00,537.00,555.00,,5.31,,6823307.00
2014-08-28,555.00,570.00,546.00,551.00,,-0.72,,17934521.00
2014-08-31,551.00,555.00,525.00,530.00,,-3.81,,4087669.00
2014-09-01,530.00,531.00,500.00,530.00,,0,,4016272.00
2014-09-03,530.00,530.00,515.00,521.00,,-1.7,,5348629.00
2014-09-04,521.00,520.00,498.00,513.00,,-1.54,,8961840.00
2014-09-07,513.00,533.00,474.00,474.00,,-7.6,,9223051.00
2014-09-09,474.00,521.00,483.00,521.00,,9.92,,17552843.00
2014-09-10,521.00,534.00,496.00,500.00,,-4.03,,11848876.00
2014-09-11,500.00,514.00,494.00,506.00,,1.2,,38143982.00
2014-09-14,448.00,455.00,446.00,452.00,,0.89,,678388.00
2014-09-15,452.00,451.00,443.00,445.00,,-1.55,,261577.00
2014-09-16,445.00,455.00,440.00,454.00,,2.02,,1777976.00
2014-09-17,454.00,463.00,448.00,450.00,,-0.88,,7774366.00
2014-09-21,447.00,439.00,430.00,433.00,,-3.13,,481899.00
2014-09-22,433.00,435.00,420.00,426.00,,-1.62,,984516.00
2014-09-23,426.00,450.00,434.00,446.00,,4.69,,1174406.00
2014-09-24,446.00,444.00,436.00,440.00,,-1.35,,850584.00
2014-09-28,440.00,461.00,445.00,450.00,,2.27,,384569.00
2014-09-29,450.00,462.00,441.00,462.00,,2.67,,20812890.00
2014-09-30,462.00,470.00,454.00,455.00,,-1.52,,1938699.00
2014-10-08,455.00,450.00,446.00,450.00,,-1.1,,1159030.00
2014-10-09,450.00,450.00,450.00,450.00,,0,,1504800.00
2014-10-12,450.00,457.00,447.00,450.00,,0,,1908265.00
2014-10-13,450.00,448.00,437.00,447.00,,-0.67,,663619.00
2014-10-14,447.00,452.00,440.00,448.00,,0.22,,635240.00
2014-10-15,448.00,456.00,446.00,454.00,,1.34,,3301218.00
2014-10-16,454.00,455.00,448.00,453.00,,-0.22,,1350669.00
2014-10-19,453.00,460.00,451.00,455.00,,0.44,,2885649.00
2014-10-20,455.00,459.00,450.00,451.00,,-0.88,,509663.00
2014-10-21,451.00,454.00,445.00,453.00,,0.44,,936095.00
2014-10-22,453.00,452.00,440.00,452.00,,-0.22,,372672.00
2014-10-26,452.00,461.00,452.00,452.00,,0,,53082.00
2014-10-27,452.00,443.00,436.00,440.00,,-2.65,,1598562.00
2014-10-28,440.00,449.00,435.00,440.00,,0,,824161.00
2014-10-30,440.00,433.00,432.00,432.00,,-1.82,,315561.00
2014-11-02,432.00,434.00,426.00,430.00,,-0.46,,1393342.00
