Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,1325.00,1315.00,1232.00,1240.00,,-6.42,,1824059.00
2014-08-04,1340.00,1340.00,1322.00,1325.00,,-1.12,,1824059.00
2014-08-04,1340.00,1350.00,1325.00,1350.00,,0.75,,1824059.00
2014-08-04,1350.00,1340.00,1340.00,1340.00,,-0.74,,1824059.00
2014-08-05,1240.00,1250.00,1230.00,1244.00,,0.32,,672024.00
2014-08-06,1244.00,1368.00,1268.00,1368.00,,9.97,,4068777.00
2014-08-07,1368.00,1410.00,1395.00,1395.00,,1.97,,557200.00
2014-08-12,1395.00,1400.00,1375.00,1375.00,,-1.43,,529800.00
2014-08-13,1375.00,1402.00,1330.00,1330.00,,-3.27,,4160970.00
2014-08-14,1330.00,1365.00,1330.00,1365.00,,2.63,,1218796.00
2014-08-18,1365.00,1350.00,1340.00,1340.00,,-1.83,,200150.00
2014-08-19,1340.00,1350.00,1323.00,1323.00,,-1.27,,334800.00
2014-08-21,1323.00,1349.00,1349.00,1349.00,,1.97,,26980.00
2014-08-25,1349.00,1323.00,1249.00,1249.00,,-7.41,,2363120.00
2014-08-26,1249.00,1225.00,1224.00,1224.00,,-2,,1813988.00
2014-08-27,1224.00,1251.00,1245.00,1251.00,,2.21,,173466.00
2014-08-28,1251.00,1285.00,1187.00,1235.00,,-1.28,,5021351.00
2014-08-31,1235.00,1239.00,1239.00,1239.00,,0.32,,90447.00
2014-09-01,1239.00,1240.00,1240.00,1240.00,,0.08,,244280.00
2014-09-15,1240.00,1216.00,1195.00,1200.00,,-3.23,,1822199.00
2014-09-16,1200.00,1193.00,1153.00,1190.00,,-0.83,,3284950.00
2014-09-17,1190.00,1278.00,1190.00,1278.00,,7.39,,1741838.00
2014-09-24,1253.00,1228.00,1190.00,1202.00,,-4.07,,3424619.00
2014-09-28,1202.00,1213.00,1178.00,1213.00,,0.92,,571920.00
2014-09-29,1213.00,1325.00,1237.00,1302.00,,7.34,,5207589.00
2014-09-30,1302.00,1310.00,1274.00,1299.00,,-0.23,,3011837.00
2014-10-08,1299.00,1315.00,1274.00,1274.00,,-1.92,,648900.00
2014-10-09,1274.00,1270.00,1265.00,1270.00,,-0.31,,811580.00
2014-10-12,1270.00,1270.00,1270.00,1270.00,,0,,6028690.00
2014-10-13,1270.00,1285.00,1260.00,1275.00,,0.39,,1249890.00
2014-10-14,1275.00,1270.00,1256.00,1256.00,,-1.49,,2277798.00
2014-10-15,1256.00,1300.00,1260.00,1300.00,,3.5,,743394.00
2014-10-16,1300.00,1320.00,1294.00,1294.00,,-0.46,,214340.00
2014-10-19,1294.00,1300.00,1282.00,1300.00,,0.46,,1519120.00
