Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2025-11-06,402.20,442.40,402.20,442.40,,10,,201909.00
2025-11-09,451.00,486.60,451.00,486.60,,9.99,,470413.00
2025-11-10,491.20,535.20,491.20,535.20,,9.99,,1754256.00
2025-11-11,545.80,588.70,545.80,572.00,,6.88,,85254641.90
2025-11-12,580.00,580.00,520.00,522.10,,-8.72,,65747144.00
2025-11-13,520.00,574.00,502.00,558.00,,6.88,,30759008.80
2025-11-16,558.00,558.00,523.00,524.00,,-6.09,,29451514.40
2025-11-17,534.40,554.00,510.00,539.00,,2.86,,31992259.50
2025-11-18,545.80,555.00,538.10,541.10,,0.39,,24290301.30
2025-11-19,551.90,595.20,537.00,595.20,,10,,70292740.50
2025-11-20,600.00,619.00,561.00,566.00,,-4.91,,55447315.20
2025-11-23,555.00,572.00,555.00,556.00,,-1.77,,37317592.60
2025-11-24,556.00,568.00,551.00,553.00,,-0.54,,33774193.80
2025-11-25,550.00,591.00,548.10,591.00,,6.87,,34950459.30
2025-11-26,591.00,595.00,571.00,571.00,,-3.38,,34376998.70
2025-11-27,571.00,583.00,566.10,574.00,,0.53,,29343140.20
2025-11-30,566.20,579.00,560.00,564.00,,-1.74,,30167804.60
2025-12-01,561.00,572.30,553.10,569.30,,0.94,,16675346.50
2025-12-02,578.00,617.00,561.10,605.00,,6.27,,60452603.70
2025-12-03,607.00,640.00,605.20,622.30,,2.86,,65835516.20
2025-12-07,630.00,630.00,587.30,590.00,,-5.19,,46113385.10
2025-12-08,586.00,600.00,580.20,588.00,,-0.34,,31529009.30
2025-12-09,576.30,609.90,576.30,600.00,,2.04,,32568089.70
2025-12-10,591.10,607.00,584.00,586.00,,-2.33,,34941300.20
2025-12-11,585.00,599.00,580.00,585.00,,-0.17,,23810656.60
2025-12-14,583.00,590.00,570.00,572.00,,-2.22,,22255942.20
2025-12-15,573.10,579.00,566.00,578.90,,1.21,,19049805.20
2025-12-16,575.00,599.00,575.00,587.00,,1.4,,21944726.00
2025-12-17,585.10,594.90,576.50,577.00,,-1.7,,19792114.60
2025-12-18,565.50,585.00,565.50,572.50,,-0.78,,22398033.80
2025-12-21,572.00,573.90,556.00,559.20,,-2.32,,19686825.20
2025-12-22,559.00,567.90,547.00,554.90,,-0.77,,20824463.70
2025-12-23,555.00,565.00,546.20,555.00,,0.02,,15046985.80
2025-12-24,555.00,577.00,550.00,554.00,,-0.18,,11183047.80
2025-12-28,547.00,570.00,547.00,567.60,,2.45,,23718139.10
2025-12-29,567.60,576.00,555.00,562.00,,-0.99,,21430224.70
2025-12-31,570.00,576.00,556.00,571.00,,1.6,,32128390.90
2026-01-01,568.00,589.90,560.00,584.90,,2.43,,42297867.90
2026-01-04,584.00,608.00,575.10,608.00,,3.95,,64301403.00
2026-01-05,620.00,666.00,605.00,666.00,,9.54,,123725328.70
2026-01-06,675.00,708.00,642.10,654.00,,-1.8,,89622919.40
2026-01-07,642.00,664.00,620.00,627.00,,-4.13,,63049931.10
2026-01-08,615.00,650.00,611.10,649.80,,3.64,,54272103.00
2026-01-12,662.00,673.20,639.10,663.00,,2.03,,89595828.90
2026-01-13,650.00,679.80,650.00,656.00,,-1.06,,71229818.60
2026-01-14,650.00,679.00,642.00,648.00,,-1.22,,29464711.90
2026-01-18,645.00,670.10,641.00,669.00,,3.24,,73525950.60
2026-01-20,670.00,680.30,662.00,665.00,,-0.6,,54666241.50
2026-01-21,652.00,678.00,652.00,659.00,,-0.9,,38320454.30
2026-01-22,652.00,700.00,652.00,689.90,,4.69,,80555293.70
2026-01-25,689.00,753.00,689.00,739.90,,7.25,,95101832.90
2026-01-26,739.00,813.80,717.00,785.00,,6.1,,127422478.00
2026-01-27,790.00,860.00,775.00,851.00,,8.41,,116672838.60
2026-01-28,834.00,918.90,794.00,842.00,,-1.06,,120058539.90
2026-01-29,825.20,840.00,760.00,763.00,,-9.38,,100974400.20
2026-02-01,747.80,777.00,721.00,760.90,,-0.28,,55594966.20
2026-02-02,761.00,820.00,761.00,816.00,,7.24,,83777906.20
2026-02-03,820.00,877.00,784.00,789.00,,-3.31,,169801116.50
2026-02-04,789.10,790.00,755.10,760.00,,-3.68,,50488588.00
2026-02-05,744.80,774.70,744.80,758.00,,-0.26,,37596731.30
2026-02-08,745.00,770.00,740.80,750.00,,-1.06,,42208711.30
2026-02-09,735.00,753.00,715.00,730.00,,-2.67,,31745816.20
2026-02-10,716.00,755.00,716.00,742.00,,1.64,,26107226.90
2026-02-11,756.80,770.00,722.00,742.00,,0,,15772885.10
2026-02-12,727.30,739.50,720.00,721.00,,-2.83,,34712338.10
2026-02-16,721.00,740.00,712.00,729.00,,1.11,,21244215.50
2026-02-17,743.50,743.50,698.00,720.00,,-1.23,,24980547.40
2026-02-22,720.00,729.00,680.00,683.00,,-5.14,,21347148.30
2026-02-23,680.00,693.00,665.00,680.00,,-0.44,,24766642.00
2026-02-24,690.00,719.00,673.10,719.00,,5.74,,23791550.10
2026-02-25,719.00,730.00,696.00,730.00,,1.53,,25300303.50
2026-02-26,744.60,744.60,710.00,729.00,,-0.14,,22114281.30
2026-03-01,714.50,730.00,687.00,725.00,,-0.55,,21246352.30
2026-03-03,724.00,740.00,717.10,735.90,,1.5,,37185778.40
2026-03-09,750.60,795.90,750.60,795.90,,8.15,,1041030.00
2026-03-10,800.00,810.00,750.00,768.00,,-3.51,,72366483.20
2026-03-11,768.00,788.00,735.30,740.00,,-3.65,,52961216.20
2026-03-12,745.00,813.00,718.10,810.00,,9.46,,100548075.30
2026-03-15,810.00,810.00,729.00,729.00,,-10,,106037559.40
2026-03-16,723.00,725.00,704.10,710.00,,-2.61,,45849369.30
2026-03-17,711.00,711.00,695.00,704.00,,-0.85,,36517621.90
2026-03-19,705.00,717.20,698.10,705.10,,0.16,,40343840.50
2026-03-22,705.10,716.00,701.00,707.00,,0.27,,40343840.50
2026-03-23,705.00,719.00,693.00,702.00,,-0.71,,28382153.20
2026-03-24,703.00,707.70,698.00,705.00,,0.43,,19986038.80
2026-03-25,705.00,727.00,698.00,715.00,,1.42,,33518317.20
2026-03-26,715.00,734.00,715.00,732.90,,2.5,,46020666.40
2026-03-29,747.40,747.40,703.00,708.00,,-3.4,,26278018.10
2026-03-30,705.00,711.00,689.00,694.00,,-1.98,,31071109.50
2026-03-31,690.00,703.80,671.30,695.00,,0.14,,20099795.80
2026-04-01,695.00,695.00,653.10,661.00,,-4.89,,15051348.00
2026-04-02,647.80,675.00,647.80,659.90,,-0.17,,19583145.30
2026-04-05,659.90,660.00,594.00,598.00,,-9.38,,24955061.60
2026-04-06,592.00,634.00,588.00,620.00,,3.68,,21628757.00
2026-04-07,625.00,642.00,611.40,614.00,,-0.97,,10466493.40
2026-04-08,626.00,657.90,615.00,655.00,,6.68,,33850122.60
2026-04-09,665.00,678.30,655.00,669.00,,2.14,,30232445.60
2026-04-10,680.00,680.00,646.00,656.00,,-1.94,,21360969.20
2026-04-13,650.00,659.90,640.00,647.00,,-1.37,,18422984.90
2026-04-15,655.80,658.00,640.00,654.00,,1.08,,18943016.00
2026-04-16,645.00,653.00,633.20,635.00,,-2.91,,15517747.60
2026-04-17,622.30,647.00,622.30,635.00,,0,,9063524.90
2026-04-20,654.00,654.00,620.00,648.90,,2.19,,17171414.40
2026-04-21,681.30,681.30,635.00,640.00,,-1.37,,10038601.60
2026-04-22,625.10,643.70,615.00,631.00,,-1.41,,16301291.00
2026-04-23,631.00,639.90,618.00,619.50,,-1.82,,10924631.70
2026-04-24,618.00,620.00,601.20,620.00,,0.08,,12320366.20
2026-04-27,638.60,638.60,615.00,618.50,,-0.24,,7973167.60
2026-04-28,618.50,622.00,605.00,610.00,,-1.37,,11401446.10
2026-04-29,610.00,618.00,595.00,604.00,,-0.98,,10608780.90
