Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2017-02-13,348.00,348.00,348.00,348.00,,0,,3828.00
2017-02-15,308.00,308.00,283.00,283.00,,-9.87,,29263.00
2017-02-16,278.00,278.00,255.00,255.00,,-9.89,,86501.00
2017-02-19,250.00,250.00,230.00,230.00,,-9.8,,190875.00
2017-02-20,226.00,234.00,225.00,233.00,,1.3,,82871.00
2017-02-21,234.00,238.00,231.00,232.00,,0.87,,98614.00
2017-02-22,230.00,233.00,224.00,228.00,,-1.72,,129804.00
2017-02-23,228.00,237.00,228.00,232.00,,1.75,,122182.00
2017-02-26,234.00,235.00,233.00,233.00,,0.43,,40848.00
2017-02-28,237.00,237.00,235.00,235.00,,0.86,,64384.00
2017-03-01,232.00,234.00,229.00,230.00,,-2.13,,62183.00
2017-03-02,227.00,230.00,226.00,230.00,,0,,116396.00
2017-03-07,231.00,236.00,231.00,234.00,,-0.42,,34340.00
2017-03-09,231.00,235.00,226.00,235.00,,0.43,,105392.00
2017-03-13,236.00,239.00,236.00,239.00,,1.7,,25581.00
2017-03-14,235.00,239.00,235.00,239.00,,0,,14634.00
2017-03-15,238.00,239.00,234.00,239.00,,0,,38280.00
2017-03-16,240.00,246.00,240.00,246.00,,2.93,,14782.00
2017-03-19,246.00,255.00,246.00,246.00,,0,,267094.00
2017-03-20,250.00,250.00,249.00,250.00,,1.63,,7490.00
2017-03-21,255.00,265.00,244.00,245.00,,-2,,238900.00
2017-03-22,241.00,241.00,241.00,241.00,,-1.63,,48200.00
2017-03-26,238.00,242.00,234.00,238.00,,1.71,,339113.00
2017-03-28,238.00,249.00,242.00,249.00,,4.62,,687631.00
2017-03-30,247.00,245.00,241.00,242.00,,-2.02,,36590.00
2017-03-30,249.00,254.00,247.00,247.00,,-0.8,,36590.00
2017-04-02,240.00,240.00,240.00,240.00,,-0.83,,2400.00
2017-04-03,244.00,244.00,240.00,240.00,,0,,7280.00
2017-04-06,235.00,235.00,230.00,230.00,,-2.13,,24293.00
2017-04-09,234.00,236.00,231.00,236.00,,2.17,,82716.00
2017-04-10,235.00,239.00,235.00,239.00,,1.7,,40636.00
2017-04-12,239.00,240.00,235.00,240.00,,0.42,,78213.00
2017-04-16,240.00,240.00,236.00,237.00,,-1.25,,40201.00
2017-04-18,241.00,248.00,237.00,244.00,,2.95,,141752.00
2017-04-19,244.00,248.00,240.00,244.00,,0,,37164.00
2017-04-20,240.00,240.00,240.00,240.00,,-1.64,,20640.00
2017-04-24,239.00,239.00,223.00,223.00,,-7.08,,24581.00
2017-04-25,223.00,230.00,223.00,230.00,,3.14,,129806.00
2017-04-26,229.00,234.00,228.00,234.00,,1.74,,61012.00
2017-04-27,230.00,234.00,227.00,230.00,,-1.71,,23704.00
2017-04-30,230.00,235.00,230.00,231.00,,0.43,,62769.00
2017-05-02,228.00,229.00,220.00,224.00,,-3.03,,111353.00
2017-05-03,224.00,227.00,221.00,227.00,,1.34,,26022.00
2017-05-04,224.00,225.00,217.00,221.00,,-2.64,,48129.00
2017-05-08,218.00,220.00,214.00,220.00,,1.85,,254780.00
2017-05-08,221.00,220.00,216.00,216.00,,-2.26,,254780.00
2017-05-09,220.00,233.00,224.00,226.00,,2.73,,345353.00
2017-05-11,230.00,248.00,227.00,248.00,,9.73,,348101.00
2017-05-15,252.00,270.00,247.00,268.00,,8.06,,586442.00
2017-05-16,271.00,271.00,250.00,250.00,,-6.72,,196060.00
2017-05-17,252.00,252.00,250.00,250.00,,0,,86087.00
2017-05-18,250.00,245.00,233.00,233.00,,-6.8,,132539.00
2017-05-21,231.00,237.00,231.00,232.00,,-0.43,,48924.00
2017-05-22,232.00,232.00,220.00,225.00,,-3.02,,40204.00
2017-05-23,224.00,229.00,224.00,229.00,,1.78,,30742.00
2017-05-28,221.00,229.00,221.00,229.00,,1.78,,176224.00
2017-05-30,225.00,225.00,218.00,222.00,,-3.06,,40958.00
2017-05-31,222.00,224.00,220.00,224.00,,0.9,,25350.00
2017-06-01,222.00,224.00,221.00,222.00,,-0.89,,35894.00
2017-06-04,224.00,224.00,220.00,222.00,,0,,30222.00
2017-06-05,222.00,227.00,219.00,225.00,,1.35,,126752.00
2017-06-06,222.00,225.00,222.00,225.00,,0,,11870.00
2017-06-07,224.00,231.00,224.00,225.00,,0,,215308.00
2017-06-08,223.00,225.00,223.00,223.00,,-0.89,,60775.00
2017-06-11,222.00,223.00,220.00,222.00,,-0.45,,77693.00
2017-06-12,219.00,221.00,213.00,218.00,,-1.8,,45924.00
2017-06-13,220.00,226.00,218.00,221.00,,1.38,,156292.00
2017-06-14,220.00,232.00,216.00,220.00,,-0.45,,45426.00
2017-06-15,216.00,222.00,216.00,222.00,,0.91,,110797.00
2017-06-18,222.00,219.00,217.00,217.00,,-2.25,,39948.00
2017-06-19,217.00,224.00,215.00,218.00,,0.46,,93404.00
2017-06-20,215.00,220.00,215.00,220.00,,0.92,,23261.00
2017-06-21,224.00,226.00,220.00,220.00,,0,,55649.00
2017-06-22,220.00,224.00,216.00,224.00,,1.82,,23024.00
2017-06-25,220.00,220.00,216.00,220.00,,-1.79,,10960.00
2017-06-27,223.00,223.00,215.00,215.00,,-2.27,,30959.00
2017-06-28,211.00,215.00,211.00,214.00,,-0.47,,18129.00
2017-07-02,214.00,215.00,214.00,215.00,,0.47,,22695.00
2017-07-03,214.00,214.00,210.00,210.00,,-2.33,,19640.00
2017-07-04,211.00,215.00,211.00,215.00,,2.38,,39034.00
2017-07-05,219.00,219.00,211.00,211.00,,-1.86,,11246.00
2017-07-06,210.00,210.00,206.00,206.00,,-2.37,,61888.00
2017-07-09,206.00,210.00,204.00,204.00,,-0.97,,24814.00
2017-07-10,200.00,207.00,200.00,207.00,,1.47,,6317.00
2017-07-11,210.00,210.00,206.00,208.00,,0.48,,29394.00
2017-07-12,204.00,210.00,204.00,207.00,,-0.48,,48316.00
2017-07-13,206.00,226.00,202.00,226.00,,9.18,,98467.00
2017-07-16,222.00,224.00,210.00,210.00,,-7.08,,61636.00
2017-07-17,210.00,210.00,202.00,205.00,,-2.38,,46896.00
2017-07-20,210.00,214.00,202.00,207.00,,-1.43,,74648.00
2017-07-23,203.00,207.00,200.00,207.00,,0,,34366.00
2017-07-24,203.00,204.00,203.00,204.00,,-1.45,,57630.00
2017-07-25,202.00,205.00,202.00,204.00,,0,,26636.00
2017-07-26,203.00,205.00,201.00,201.00,,-1.47,,34863.00
2017-07-27,200.00,200.00,200.00,200.00,,-0.5,,14400.00
2017-07-30,200.00,208.00,200.00,204.00,,2,,34352.00
