Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2022-10-23,179.70,179.70,179.70,179.70,,0,,13157.80
2022-10-31,179.70,179.70,179.70,179.70,,0,,1798.60
2022-11-01,179.70,179.70,179.70,179.70,,0,,3599.00
2022-11-06,177.70,183.20,177.70,183.20,,1.95,,3609.00
2022-11-07,186.80,198.10,186.80,198.10,,8.13,,9658.50
2022-11-13,202.00,202.00,202.00,202.00,,1.97,,2020.00
2022-11-15,202.00,202.00,202.00,202.00,,0,,2219.00
2022-11-16,202.00,206.00,202.00,206.00,,1.98,,4106.60
2022-11-17,210.10,214.30,210.10,214.30,,4.03,,4244.00
2022-11-22,218.50,222.80,218.50,222.80,,3.97,,6684.40
2022-11-23,227.20,231.70,227.20,231.70,,3.99,,4589.00
2022-11-27,236.30,245.80,236.30,245.80,,6.09,,7231.00
2022-11-28,245.80,250.70,245.80,250.70,,1.99,,4926.00
2022-11-29,255.70,266.00,255.70,266.00,,6.1,,7825.00
2022-12-01,271.30,292.60,271.30,292.60,,10,,17032.00
2022-12-04,298.40,321.80,298.40,321.80,,9.98,,28160.30
2022-12-06,328.20,348.10,328.20,348.10,,8.17,,16000.30
2022-12-07,355.00,355.00,355.00,355.00,,1.98,,4948.80
2022-12-11,362.10,376.60,362.10,376.60,,6.08,,13268.20
2022-12-12,384.10,399.50,384.10,399.50,,6.08,,11753.00
2022-12-13,407.40,407.40,407.40,407.40,,1.98,,4074.00
2022-12-14,415.50,440.80,415.50,440.80,,8.2,,17123.00
2022-12-15,440.80,458.50,440.80,458.50,,4.02,,13489.00
2022-12-18,458.50,496.10,458.50,496.10,,8.2,,20626.30
2022-12-19,506.00,545.70,506.00,545.70,,10,,26311.00
2022-12-20,556.60,600.20,556.60,600.20,,9.99,,32867.70
2022-12-21,612.20,649.50,612.20,649.50,,8.21,,25229.00
2022-12-22,662.40,714.40,662.40,714.40,,9.99,,34443.00
2022-12-26,728.60,785.80,728.60,785.80,,9.99,,69316.00
2022-12-27,801.50,864.30,801.50,864.30,,9.99,,58961.00
2022-12-28,881.50,950.70,881.50,950.70,,10,,83864.00
2022-12-29,969.70,1045.70,969.70,1045.70,,9.99,,196817.00
2023-01-01,1066.50,1150.20,1066.50,1150.20,,9.99,,250359.00
2023-01-02,1150.20,1265.20,1150.20,1265.20,,10,,249698.00
2023-01-03,1265.20,1391.70,1265.20,1391.70,,10,,2199341.10
2023-01-04,1419.50,1530.80,1295.00,1375.00,,-1.2,,21387729.00
2023-01-05,1402.00,1512.50,1330.00,1512.50,,10,,8138467.40
2023-01-08,1542.00,1662.00,1440.60,1599.00,,5.72,,14070099.40
2023-01-09,1629.90,1630.00,1540.00,1560.00,,-2.44,,8450044.00
2023-01-10,1560.00,1591.20,1462.00,1463.00,,-6.22,,7156685.00
2023-01-12,1463.00,1492.20,1365.00,1380.00,,-5.67,,6485600.60
2023-01-17,1380.00,1405.00,1350.00,1392.00,,0.87,,4475084.70
2023-01-18,1367.00,1402.00,1367.00,1376.00,,-1.15,,3371072.00
2023-01-19,1352.00,1375.00,1351.20,1360.00,,-1.16,,2551527.30
2023-01-23,1335.00,1387.30,1335.00,1346.00,,-1.03,,3359832.00
2023-01-24,1327.10,1356.00,1327.10,1351.00,,0.37,,2867559.00
2023-01-25,1330.00,1397.00,1330.00,1367.00,,1.18,,3130563.50
2023-01-26,1394.30,1421.00,1362.00,1365.00,,-0.15,,1590298.00
2023-01-29,1345.00,1369.90,1345.00,1369.90,,0.36,,1645647.00
2023-01-30,1350.00,1360.00,1327.00,1332.10,,-2.76,,1858310.50
2023-01-31,1316.00,1338.00,1308.10,1312.00,,-1.51,,1644237.00
2023-02-01,1286.00,1325.00,1286.00,1311.00,,-0.08,,1676213.00
2023-02-02,1300.00,1326.00,1280.00,1297.00,,-1.07,,2280727.80
2023-02-05,1276.00,1280.00,1255.00,1258.00,,-3.01,,1645093.00
2023-02-06,1255.00,1260.00,1235.00,1260.00,,0.16,,906933.00
2023-02-07,1275.00,1300.00,1261.00,1300.00,,3.17,,1173310.00
2023-02-08,1325.00,1350.00,1301.00,1340.00,,3.08,,2579655.00
2023-02-09,1340.00,1340.00,1315.30,1337.00,,-0.22,,1020583.00
2023-02-12,1310.30,1310.30,1280.00,1298.90,,-2.85,,1216193.00
2023-02-14,1275.00,1290.00,1262.00,1280.00,,-1.46,,1053371.00
2023-02-15,1256.00,1274.00,1235.10,1274.00,,-0.47,,1145148.10
2023-02-16,1298.90,1298.90,1220.10,1220.10,,-4.23,,974574.00
2023-02-20,1196.00,1215.00,1196.00,1200.10,,-1.64,,1132176.00
2023-02-22,1195.00,1198.00,1166.20,1185.00,,-1.26,,1755714.00
2023-02-23,1161.50,1161.50,1066.50,1066.50,,-10,,1373619.50
2023-02-26,1045.20,1087.00,959.90,1067.00,,0.05,,3300800.50
2023-02-27,1088.00,1088.30,990.50,1020.00,,-4.4,,2324003.50
2023-02-28,1005.00,1020.00,990.00,1001.00,,-1.86,,748520.00
2023-03-01,995.00,1076.00,995.00,995.00,,-0.6,,1490898.00
2023-03-02,995.00,995.00,968.00,968.00,,-2.71,,343021.00
2023-03-05,950.00,987.30,920.30,920.30,,-4.93,,948706.00
2023-03-07,901.90,940.00,896.00,911.00,,-1.01,,690628.00
2023-03-09,928.00,945.00,894.00,930.00,,2.09,,676665.00
