Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-06-08,261.00,287.10,250.00,287.10,,0,,21767098.60
2023-06-11,292.80,311.00,279.30,292.00,,1.71,,12200268.80
2023-06-12,287.00,289.60,274.90,283.50,,-2.91,,9513832.60
2023-06-13,283.00,305.50,278.00,295.00,,4.06,,9405001.10
2023-06-14,290.00,303.70,285.00,290.00,,-1.69,,5916557.30
2023-06-15,285.00,291.00,283.10,288.90,,-0.38,,3895484.40
2023-06-18,283.20,294.00,280.00,288.00,,-0.31,,6789217.20
2023-06-19,288.00,292.00,282.30,289.00,,0.35,,6522096.60
2023-06-20,292.00,292.00,280.00,285.00,,-1.38,,2360428.10
2023-06-21,290.00,290.00,270.90,279.00,,-2.11,,4927253.70
2023-06-22,273.50,276.00,266.00,270.00,,-3.23,,2824246.70
2023-06-25,264.60,277.00,261.60,277.00,,2.59,,2627202.20
2023-06-26,282.00,282.00,264.00,267.00,,-3.61,,2698694.70
2023-06-27,262.70,278.40,262.00,275.00,,3,,4094627.00
2023-06-28,269.50,269.50,260.00,263.00,,-4.36,,4246524.50
2023-07-02,262.00,262.00,249.10,252.20,,-4.11,,2887180.00
2023-07-03,247.50,257.00,242.00,247.00,,-2.06,,4073333.20
2023-07-04,242.10,251.00,240.20,245.00,,-0.81,,1306615.50
2023-07-05,240.40,243.00,232.70,234.90,,-4.12,,2579096.00
2023-07-06,230.50,246.00,226.10,239.70,,2.04,,2122011.00
2023-07-09,235.00,239.70,235.00,235.00,,-1.96,,1898235.00
2023-07-10,232.00,236.60,223.50,227.30,,-3.28,,3873859.40
2023-07-11,224.80,229.00,222.00,227.50,,0.09,,910081.00
2023-07-12,225.00,244.00,223.00,241.00,,5.93,,2800668.50
2023-07-13,237.10,246.60,231.40,231.40,,-3.98,,2103939.20
2023-07-16,228.00,234.00,223.60,228.00,,-1.47,,1014962.00
2023-07-17,232.50,233.00,221.80,231.00,,1.32,,1892788.50
2023-07-18,227.00,239.00,226.70,232.00,,0.43,,1249719.60
2023-07-19,233.00,233.00,224.00,228.30,,-1.59,,718112.00
2023-07-20,225.00,242.70,225.00,242.70,,6.31,,3507026.00
2023-07-23,242.00,255.00,238.00,249.00,,2.6,,3612062.60
2023-07-24,249.00,258.00,239.20,243.00,,-2.41,,2847604.10
2023-07-25,239.00,246.50,237.00,238.00,,-2.06,,792868.40
2023-07-26,242.00,242.00,234.00,239.90,,0.8,,1125181.00
2023-07-27,235.20,243.70,231.50,239.60,,-0.13,,1207708.00
2023-07-30,235.00,235.00,226.40,231.00,,-3.59,,2269376.50
2023-07-31,228.10,234.10,228.00,230.00,,-0.43,,1116318.20
2023-08-01,230.00,234.00,226.10,228.00,,-0.87,,951139.00
2023-08-02,224.20,240.00,213.00,221.00,,-3.07,,1342589.30
2023-08-03,225.00,233.00,217.00,223.00,,0.9,,984163.00
2023-08-06,220.00,220.00,215.30,219.00,,-1.79,,1148222.60
2023-08-07,222.00,227.70,208.00,214.00,,-2.28,,959138.50
2023-08-08,210.10,215.00,210.00,213.00,,-0.47,,1419353.00
2023-08-09,210.10,219.30,206.30,217.50,,2.11,,1235828.00
2023-08-10,214.00,215.40,209.80,215.00,,-1.15,,1254927.20
2023-08-13,211.00,214.00,209.10,214.00,,-0.47,,1196852.00
2023-08-14,210.00,222.00,207.20,208.30,,-2.66,,1804770.20
2023-08-15,208.00,208.00,199.50,199.60,,-4.18,,1665856.50
2023-08-16,195.70,204.00,195.70,203.00,,1.7,,516951.00
2023-08-17,200.00,206.90,196.60,199.00,,-1.97,,747315.00
2023-08-20,195.10,205.00,191.60,192.30,,-3.37,,550417.00
2023-08-21,189.00,189.90,183.30,185.50,,-3.54,,1269454.00
2023-08-22,182.00,188.50,180.00,187.40,,1.02,,426434.00
2023-08-23,185.00,205.50,185.00,204.00,,8.86,,1191983.50
2023-08-24,200.00,203.00,190.00,190.00,,-6.86,,1182578.00
2023-08-27,188.80,189.90,182.10,184.00,,-3.16,,396442.10
2023-08-28,181.00,187.00,177.40,184.00,,0,,671237.00
2023-08-29,181.00,194.70,180.60,194.70,,5.82,,392173.50
2023-08-30,190.90,191.00,184.00,187.30,,-3.8,,837155.50
2023-09-03,183.60,184.00,180.10,180.10,,-3.84,,587869.20
2023-09-04,180.00,198.10,178.00,198.10,,9.99,,561442.20
2023-09-05,194.20,195.40,186.60,195.00,,-1.56,,447043.00
2023-09-07,191.10,191.10,184.00,189.00,,-3.08,,414363.00
2023-09-10,186.00,202.00,186.00,194.90,,3.12,,505845.00
2023-09-11,191.20,210.00,191.20,209.90,,7.7,,2306707.80
2023-09-12,214.00,218.20,197.00,218.20,,3.95,,1232942.40
2023-09-13,222.50,222.50,198.40,220.00,,0.82,,2486793.00
2023-09-17,215.60,215.60,201.90,205.00,,-6.82,,2430489.40
2023-09-18,201.00,209.20,200.00,207.00,,0.98,,1411915.50
2023-09-19,203.00,224.40,203.00,218.10,,5.36,,3545740.00
2023-09-21,219.00,232.50,219.00,230.00,,5.46,,4979962.90
2023-09-24,230.00,234.60,217.10,219.00,,-4.78,,2871641.70
2023-09-25,215.00,238.00,211.10,234.00,,6.85,,7452938.90
2023-09-26,235.00,248.00,231.00,242.00,,3.42,,6454646.90
