Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,2801.00,2800.00,2750.00,2760.00,,-1.46,,13134864.00
2014-08-04,2795.00,2840.00,2780.00,2824.00,,1.04,,13134864.00
2014-08-04,2824.00,2810.00,2799.00,2801.00,,-0.81,,13134864.00
2014-08-04,2830.00,2860.00,2810.00,2825.00,,-0.18,,13134864.00
2014-08-04,2825.00,2850.00,2800.00,2815.00,,-0.35,,13134864.00
2014-08-04,2815.00,2840.00,2792.00,2795.00,,-0.71,,13134864.00
2014-08-05,2760.00,2800.00,2740.00,2775.00,,0.54,,9762876.00
2014-08-06,2775.00,2780.00,2705.00,2780.00,,0.18,,15344532.00
2014-08-07,2780.00,2740.00,2675.00,2709.00,,-2.55,,20413579.00
2014-08-12,2709.00,2700.00,2596.00,2640.00,,-2.55,,12835871.00
2014-08-13,2640.00,2692.00,2548.00,2630.00,,-0.38,,17969036.00
2014-08-14,2630.00,2735.00,2600.00,2730.00,,3.8,,15084206.00
2014-08-18,2730.00,2775.00,2660.00,2700.00,,-1.1,,15920812.00
2014-08-19,2700.00,2740.00,2671.00,2720.00,,0.74,,19259660.00
2014-08-20,2720.00,2700.00,2639.00,2650.00,,-2.57,,18324197.00
2014-08-21,2650.00,2700.00,2510.00,2640.00,,-0.38,,17550588.00
2014-08-24,2640.00,2699.00,2649.00,2655.00,,0.57,,13473618.00
2014-08-25,2655.00,2620.00,2475.00,2500.00,,-5.84,,36530098.00
2014-08-26,2500.00,2450.00,2250.00,2250.00,,-10,,61224201.00
2014-08-27,2250.00,2291.00,2219.00,2270.00,,0.89,,55931448.00
2014-08-28,2270.00,2340.00,2240.00,2260.00,,-0.44,,24389340.00
2014-08-31,2260.00,2260.00,2190.00,2190.00,,-3.1,,40615140.00
2014-09-01,2190.00,2257.00,2127.00,2257.00,,3.06,,75899953.00
2014-09-03,2015.00,2055.00,1942.00,1942.00,,-3.62,,1569707.00
2014-09-04,1942.00,1980.00,1870.00,1908.00,,-1.75,,8028243.00
2014-09-07,1908.00,1875.00,1783.00,1783.00,,-6.55,,8700521.00
2014-09-09,1783.00,1880.00,1775.00,1878.00,,5.33,,6510809.00
2014-09-10,1878.00,1953.00,1851.00,1870.00,,-0.43,,7706835.00
2014-09-11,1870.00,1870.00,1780.00,1850.00,,-1.07,,2065028.00
2014-09-14,1850.00,1830.00,1813.00,1820.00,,-1.62,,4402131.00
2014-09-15,1820.00,1838.00,1800.00,1830.00,,0.55,,1745170.00
2014-09-16,1830.00,1850.00,1825.00,1845.00,,0.82,,1895645.00
2014-09-17,1845.00,1860.00,1845.00,1850.00,,0.27,,1452978.00
2014-09-18,1850.00,1825.00,1825.00,1825.00,,-1.35,,5553012.00
2014-09-21,1800.00,1805.00,1785.00,1795.00,,-0.28,,1553600.00
2014-09-22,1795.00,1800.00,1790.00,1800.00,,0.28,,4007475.00
2014-09-23,1800.00,1850.00,1810.00,1820.00,,1.11,,3608604.00
2014-09-24,1820.00,1850.00,1839.00,1840.00,,1.1,,1528331.00
2014-09-28,1840.00,1890.00,1841.00,1890.00,,2.72,,1880297.00
2014-09-29,1890.00,1948.00,1890.00,1948.00,,3.07,,2643442.00
2014-09-30,1948.00,1999.00,1980.00,1985.00,,1.9,,2736170.00
2014-10-08,1985.00,1960.00,1960.00,1960.00,,-1.26,,419440.00
2014-10-09,1960.00,1931.00,1930.00,1930.00,,-1.53,,137087.00
2014-10-12,1930.00,1893.00,1865.00,1866.00,,-3.32,,1866037.00
2014-10-13,1866.00,1890.00,1861.00,1890.00,,1.29,,1093828.00
2014-10-14,1890.00,1930.00,1890.00,1890.00,,0,,1210501.00
2014-10-15,1890.00,1914.00,1900.00,1908.00,,0.95,,1522354.00
2014-10-16,1908.00,1925.00,1901.00,1911.00,,0.16,,1252680.00
2014-10-19,1911.00,1910.00,1901.00,1910.00,,-0.05,,859923.00
2014-10-20,1910.00,1930.00,1914.00,1920.00,,0.52,,737450.00
