Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-05,799.00,790.00,775.00,780.00,,-2.38,,784920.00
2014-08-07,780.00,765.00,765.00,765.00,,-1.92,,257040.00
2014-08-12,765.00,765.00,745.00,760.00,,-0.65,,1340180.00
2014-08-13,760.00,770.00,760.00,770.00,,1.32,,373510.00
2014-08-14,770.00,760.00,760.00,760.00,,-1.3,,199880.00
2014-08-18,760.00,750.00,736.00,745.00,,-1.97,,238241.00
2014-08-19,745.00,760.00,745.00,750.00,,0.67,,775660.00
2014-08-20,750.00,740.00,730.00,735.00,,-2,,958100.00
2014-08-21,735.00,721.00,707.00,707.00,,-3.81,,281050.00
2014-08-24,707.00,695.00,693.00,695.00,,-1.7,,41680.00
2014-08-26,695.00,702.00,682.00,682.00,,-1.87,,389656.00
2014-08-27,682.00,708.00,695.00,695.00,,1.91,,257297.00
2014-08-28,695.00,708.00,708.00,708.00,,1.87,,14160.00
2014-08-31,708.00,700.00,694.00,700.00,,-1.13,,280014.00
2014-09-01,700.00,687.00,630.00,642.00,,-8.29,,697682.00
2014-09-03,642.00,652.00,640.00,652.00,,1.56,,407750.00
2014-09-04,652.00,650.00,635.00,650.00,,-0.31,,746470.00
2014-09-07,650.00,676.00,660.00,670.00,,3.08,,3052191.00
2014-09-09,670.00,737.00,670.00,732.00,,9.25,,919383.00
2014-09-10,732.00,730.00,710.00,710.00,,-3.01,,2376478.00
2014-09-11,710.00,711.00,682.00,690.00,,-2.82,,1048312.00
2014-09-15,690.00,700.00,700.00,700.00,,1.45,,29400.00
2014-09-16,700.00,728.00,714.00,728.00,,4,,874860.00
2014-09-17,728.00,732.00,730.00,732.00,,0.55,,267380.00
2014-09-22,729.00,729.00,701.00,701.00,,-3.84,,833750.00
2014-09-23,701.00,710.00,701.00,701.00,,0,,194160.00
2014-09-24,701.00,700.00,695.00,700.00,,-0.14,,444029.00
2014-09-28,700.00,720.00,714.00,720.00,,2.86,,296190.00
2014-10-12,720.00,720.00,720.00,720.00,,0,,36000.00
2014-10-13,720.00,720.00,720.00,720.00,,0,,14400.00
2014-10-14,720.00,706.00,706.00,706.00,,-1.94,,35300.00
2014-10-15,706.00,710.00,700.00,710.00,,0.57,,369300.00
2014-10-16,710.00,709.00,708.00,709.00,,-0.14,,141700.00
2014-10-19,709.00,710.00,701.00,710.00,,0.14,,211200.00
2014-10-20,710.00,696.00,670.00,670.00,,-5.63,,51986.00
2014-10-22,670.00,690.00,680.00,690.00,,2.99,,525980.00
2014-10-26,690.00,677.00,677.00,677.00,,-1.88,,338500.00
2014-10-28,677.00,675.00,670.00,674.00,,-0.44,,1266673.00
2014-10-30,674.00,674.00,660.00,672.00,,-0.3,,2095998.00
2014-11-02,672.00,690.00,680.00,690.00,,2.68,,908275.00
2014-11-03,690.00,680.00,680.00,680.00,,-1.45,,640560.00
2014-11-04,680.00,676.00,675.00,675.00,,-0.74,,361225.00
2014-11-09,675.00,675.00,675.00,675.00,,0,,506925.00
2014-11-13,675.00,662.00,649.00,649.00,,-3.85,,361259.00
2014-11-16,649.00,650.00,635.00,635.00,,-2.16,,1063145.00
2014-11-17,635.00,623.00,599.00,600.00,,-5.51,,75423.00
2014-11-18,600.00,595.00,589.00,595.00,,-0.83,,487790.00
2014-11-19,595.00,601.00,590.00,601.00,,1.01,,459782.00
2014-11-20,601.00,659.00,613.00,655.00,,8.99,,482019.00
2014-11-24,685.00,698.00,680.00,680.00,,-0.73,,720150.00
2014-11-24,655.00,685.00,660.00,685.00,,4.58,,720150.00
2014-11-25,680.00,668.00,665.00,665.00,,-2.21,,600000.00
2014-11-30,665.00,675.00,669.00,675.00,,1.5,,469340.00
2014-12-01,675.00,662.00,650.00,650.00,,-3.7,,379750.00
2014-12-02,650.00,653.00,628.00,628.00,,-3.38,,2879274.00
2014-12-03,628.00,628.00,620.00,620.00,,-1.27,,2245779.00
2014-12-07,620.00,652.00,628.00,652.00,,5.16,,206884.00
2014-12-08,652.00,641.00,639.00,639.00,,-1.99,,283198.00
2014-12-09,639.00,640.00,640.00,640.00,,0.16,,32000.00
2014-12-11,640.00,629.00,620.00,629.00,,-1.72,,657484.00
2014-12-14,629.00,655.00,629.00,654.00,,3.97,,674915.00
2014-12-16,654.00,678.00,660.00,662.00,,1.22,,682260.00
2014-12-17,662.00,671.00,670.00,671.00,,1.36,,185615.00
2014-12-18,671.00,677.00,660.00,669.00,,-0.3,,2355881.00
2014-12-21,669.00,682.00,682.00,682.00,,1.94,,68200.00
2014-12-22,682.00,695.00,670.00,695.00,,1.91,,959820.00
2014-12-23,695.00,689.00,670.00,682.00,,-1.87,,1562190.00
2014-12-24,682.00,685.00,670.00,680.00,,-0.29,,4245285.00
2015-01-01,504.00,510.00,510.00,510.00,,1.19,,255000.00
2015-01-05,510.00,520.00,520.00,520.00,,1.96,,16120.00
2015-01-07,520.00,525.00,525.00,525.00,,0.96,,151725.00
2015-01-11,525.00,535.00,535.00,535.00,,1.9,,40660.00
2015-01-13,535.00,545.00,530.00,545.00,,1.87,,557255.00
2015-01-19,545.00,555.00,555.00,555.00,,1.83,,17205.00
2015-01-25,555.00,566.00,555.00,565.00,,1.8,,409505.00
2015-01-26,565.00,565.00,565.00,565.00,,0,,1398940.00
2015-01-27,565.00,600.00,575.00,600.00,,6.19,,2236386.00
2015-01-29,600.00,612.00,612.00,612.00,,2,,58752.00
