Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2022-12-14,216.00,237.60,216.00,237.60,,0,,2021287.20
2022-12-15,242.00,261.30,242.00,261.30,,9.97,,1304520.50
2022-12-18,266.50,287.40,266.50,287.40,,9.99,,3013554.40
2022-12-19,293.10,293.10,258.70,264.50,,-7.97,,8337683.30
2022-12-20,259.30,278.00,255.00,271.20,,2.53,,1248363.00
2022-12-21,265.80,297.90,265.80,297.90,,9.85,,1569114.50
2022-12-22,303.80,303.80,276.20,286.00,,-3.99,,2576286.40
2022-12-26,281.00,309.00,281.00,309.00,,8.04,,2890389.00
2022-12-27,314.00,329.00,302.10,325.00,,5.18,,3729181.00
2022-12-28,320.00,333.50,308.20,328.70,,1.14,,2242197.00
2022-12-29,328.70,334.70,310.40,326.00,,-0.82,,2377383.90
2023-01-01,325.00,340.60,321.10,327.00,,0.31,,1818557.90
2023-01-02,321.00,328.90,315.00,328.00,,0.31,,3538541.00
2023-01-03,322.30,340.60,322.30,340.60,,3.84,,1774865.00
2023-01-04,333.80,374.00,327.20,374.00,,9.81,,3705525.80
2023-01-05,366.60,411.40,352.20,411.00,,9.89,,2983643.00
2023-01-08,402.80,440.00,379.30,418.90,,1.92,,3854409.00
2023-01-09,410.60,423.00,400.00,423.00,,0.98,,3721950.60
2023-01-10,430.00,431.20,388.00,424.00,,0.24,,4195974.00
2023-01-12,416.00,416.00,393.40,404.00,,-4.72,,4501886.60
2023-01-17,396.00,415.20,388.40,414.90,,2.7,,2206547.00
2023-01-18,410.00,426.50,395.00,405.00,,-2.39,,2980717.00
2023-01-19,398.00,428.90,391.10,405.00,,0,,3479732.80
2023-01-23,413.00,413.00,391.20,399.00,,-1.48,,875267.00
2023-01-24,391.10,407.70,385.10,406.90,,1.98,,2689292.00
2023-01-25,400.00,417.90,392.10,415.00,,1.99,,4232007.40
2023-01-26,406.70,425.00,398.70,410.50,,-1.08,,3591931.00
2023-01-29,402.30,451.50,397.00,451.50,,9.99,,7184832.60
2023-01-30,460.50,478.30,438.00,444.00,,-1.66,,6276252.50
2023-01-31,435.20,474.30,430.50,470.00,,5.86,,6331898.00
2023-02-01,470.00,508.00,462.10,499.00,,6.17,,5282491.20
2023-02-02,489.10,499.00,466.40,477.00,,-4.41,,5414302.10
2023-02-05,467.50,486.00,446.90,451.00,,-5.45,,4405309.00
2023-02-06,442.00,465.30,442.00,455.00,,0.89,,4743627.70
2023-02-07,445.90,477.60,437.00,470.00,,3.3,,4128310.00
2023-02-08,460.60,475.00,455.00,469.00,,-0.21,,4402566.60
2023-02-09,459.70,493.90,442.00,493.90,,5.31,,4209955.30
2023-02-12,484.10,503.70,465.10,497.00,,0.63,,6511291.00
2023-02-14,487.10,494.00,473.60,488.50,,-1.71,,4273828.80
2023-02-15,478.80,488.00,462.60,474.00,,-2.97,,3506553.00
2023-02-16,464.60,498.40,457.00,466.00,,-1.69,,2749266.00
2023-02-20,457.10,466.00,448.90,448.90,,-3.67,,3000652.40
2023-02-22,440.00,486.00,440.00,475.10,,5.84,,3663581.00
2023-02-23,465.60,468.00,450.00,450.00,,-5.28,,1885158.00
2023-02-26,441.00,461.00,432.40,458.00,,1.78,,2134389.20
2023-02-27,448.90,466.70,443.10,466.70,,1.9,,2893353.10
2023-02-28,457.40,470.20,448.30,469.20,,0.54,,754574.60
2023-03-01,460.00,462.00,451.50,451.50,,-3.77,,2867377.40
2023-03-02,443.00,460.00,435.10,444.90,,-1.46,,2465103.10
2023-03-05,436.20,448.80,427.50,427.50,,-3.91,,1211509.00
2023-03-07,427.00,448.00,425.40,439.90,,2.9,,1288341.00
2023-03-09,431.20,457.30,431.10,449.70,,2.23,,790552.00
2023-03-12,445.00,453.90,425.00,447.00,,-0.6,,1426510.00
2023-03-13,439.00,460.00,431.10,450.80,,0.85,,1078082.00
2023-03-14,445.00,448.80,435.10,448.80,,-0.44,,992655.00
2023-03-15,439.90,457.70,432.00,457.70,,1.98,,929396.10
2023-03-16,466.80,466.80,444.50,464.10,,1.4,,1680824.00
2023-03-19,454.90,460.00,442.10,453.00,,-2.39,,1185068.00
2023-03-20,444.00,460.00,444.00,458.60,,1.24,,1552786.00
2023-03-22,466.90,475.00,443.00,473.00,,3.14,,3302496.00
2023-03-23,463.60,463.60,446.00,460.00,,-2.75,,1939008.60
2023-03-26,450.80,450.80,431.70,431.70,,-6.15,,1996639.80
2023-03-27,423.20,443.20,423.20,443.20,,2.66,,727208.00
2023-03-28,440.00,451.00,432.10,447.40,,0.95,,1437632.00
2023-03-29,450.00,452.00,432.20,445.30,,-0.47,,638036.00
2023-03-30,436.40,451.90,431.00,450.00,,1.06,,1939229.00
2023-04-02,450.00,459.00,428.10,443.50,,-1.44,,2799487.00
2023-04-03,434.70,443.30,420.00,435.50,,-1.8,,656432.20
2023-04-04,426.80,430.50,411.10,430.50,,-1.15,,324909.00
2023-04-05,422.00,435.00,414.10,435.00,,1.05,,697430.00
2023-04-06,435.00,442.30,401.90,421.90,,-3.01,,2293044.00
2023-04-09,413.50,413.50,391.00,398.80,,-5.48,,2342987.00
2023-04-10,390.90,402.90,382.50,382.90,,-3.99,,1275777.60
2023-04-11,387.60,411.00,387.40,396.90,,3.66,,1760855.00
2023-04-12,400.00,424.00,398.00,420.00,,5.82,,1443229.40
2023-04-13,411.60,428.10,411.60,413.60,,-1.52,,829787.60
2023-04-16,406.10,416.00,400.20,415.00,,0.34,,1164837.00
2023-04-17,406.70,407.00,395.20,403.00,,-2.89,,1074803.00
2023-04-18,395.10,411.00,388.10,407.70,,1.17,,305013.00
2023-04-19,399.60,413.10,392.30,413.10,,1.32,,446521.00
2023-04-20,406.00,406.00,400.20,402.00,,-2.69,,168862.00
2023-04-23,394.00,410.00,378.60,394.00,,-1.99,,980850.00
2023-04-24,386.20,395.00,371.00,392.50,,-0.38,,1287487.00
2023-04-25,390.00,390.00,379.10,390.00,,-0.64,,250311.00
2023-04-26,383.10,394.70,383.00,394.70,,1.21,,548500.00
2023-04-27,386.90,392.90,373.10,390.00,,-1.19,,1306005.00
2023-04-30,382.20,382.20,373.00,380.00,,-2.56,,373442.00
2023-05-02,373.00,380.40,359.30,375.00,,-1.32,,1136731.00
2023-05-03,367.50,375.00,350.10,375.00,,0,,1121581.00
2023-05-04,367.50,377.90,355.00,360.00,,-4,,934173.20
2023-05-07,352.80,387.40,340.10,387.40,,7.61,,1053623.00
2023-05-08,379.70,379.70,348.70,348.70,,-9.99,,4253352.50
2023-05-09,355.10,359.90,341.80,354.90,,1.78,,1102815.00
2023-05-10,347.90,354.30,340.00,340.70,,-4,,221764.00
2023-05-11,335.00,367.10,333.00,360.00,,5.66,,431642.00
2023-05-14,352.80,352.80,324.30,347.90,,-3.36,,1848283.00
2023-05-15,341.00,341.00,320.00,331.30,,-4.77,,866569.00
2023-05-16,330.00,344.00,312.70,316.10,,-4.59,,780412.00
2023-05-17,312.10,347.00,312.10,347.00,,9.78,,392579.00
2023-05-18,340.10,353.30,333.00,353.30,,1.82,,929874.00
2023-05-21,354.90,354.90,331.00,354.00,,0.2,,1663452.80
2023-05-22,347.00,351.00,333.30,351.00,,-0.85,,461206.00
2023-05-23,344.00,362.10,344.00,361.50,,2.99,,2052867.20
2023-05-24,354.30,363.00,347.30,360.00,,-0.41,,1172771.80
2023-05-28,366.90,366.90,346.00,348.20,,-3.28,,1637926.10
2023-05-30,348.20,349.00,316.40,349.00,,0.23,,775466.00
2023-05-31,350.00,353.80,316.60,344.00,,-1.43,,2193173.50
2023-06-01,337.20,348.30,330.50,344.10,,0.03,,168757.00
2023-06-04,344.00,361.00,340.00,355.00,,3.17,,1085133.00
2023-06-05,347.90,357.00,337.00,350.00,,-1.41,,688695.90
2023-06-06,343.00,357.00,339.00,355.90,,1.69,,1258663.00
2023-06-07,363.00,370.00,343.10,354.90,,-0.28,,1567726.80
2023-06-08,361.90,369.10,340.70,360.50,,1.58,,299398.00
2023-06-11,360.50,381.00,346.70,366.00,,1.53,,1319737.00
2023-06-12,373.30,373.30,352.00,360.00,,-1.64,,686572.50
2023-06-13,352.80,377.00,352.00,377.00,,4.72,,1455047.10
2023-06-14,369.50,385.00,356.00,372.10,,-1.3,,2295705.80
2023-06-15,364.70,376.20,351.80,376.20,,1.1,,2351134.00
2023-06-18,375.00,385.00,368.80,385.00,,2.34,,1122562.20
2023-06-19,378.00,391.00,371.50,379.00,,-1.56,,2333953.50
2023-06-20,371.50,375.00,364.10,369.90,,-2.4,,425002.00
2023-06-21,362.60,375.00,350.00,362.00,,-2.14,,1613828.60
2023-06-22,369.20,370.00,329.60,351.90,,-2.79,,1535112.50
2023-06-25,352.00,356.00,335.10,350.00,,-0.54,,1139249.00
2023-06-26,357.00,371.30,337.10,355.80,,1.66,,1141534.90
2023-06-27,355.00,362.00,333.50,349.90,,-1.66,,3831167.10
2023-06-28,343.10,349.70,335.00,335.00,,-4.26,,1286559.30
2023-07-02,328.30,347.50,325.30,336.60,,0.48,,1304517.00
2023-07-03,329.90,338.00,325.10,338.00,,0.42,,443907.80
2023-07-04,331.30,341.00,325.30,341.00,,0.89,,353664.00
2023-07-05,334.20,346.40,321.30,325.10,,-4.66,,1354482.70
2023-07-06,329.00,331.60,314.00,318.10,,-2.15,,923647.20
2023-07-09,319.00,330.40,313.00,320.00,,0.6,,647222.00
2023-07-10,313.60,332.60,313.50,325.00,,1.56,,294367.00
2023-07-11,324.00,324.00,308.70,310.00,,-4.62,,1784657.40
2023-07-12,308.00,325.90,308.00,323.00,,4.19,,1032522.00
2023-07-13,316.60,329.30,311.10,313.00,,-3.1,,1045584.50
2023-07-16,310.00,324.20,306.10,311.00,,-0.64,,572758.10
2023-07-17,304.80,330.00,304.80,316.70,,1.83,,1511434.90
2023-07-18,310.40,334.50,310.40,333.90,,5.43,,903982.50
2023-07-19,328.00,330.00,320.00,329.00,,-1.47,,558701.10
2023-07-20,323.00,332.50,320.00,328.00,,-0.3,,471489.00
2023-07-23,321.50,346.80,321.50,338.00,,3.05,,1123726.80
2023-07-24,334.00,344.00,326.00,344.00,,1.78,,629100.00
2023-07-25,337.20,350.00,330.10,340.00,,-1.16,,158295.00
2023-07-26,333.20,334.00,327.20,332.00,,-2.35,,1346092.00
2023-07-27,325.40,331.90,316.60,325.00,,-2.11,,638649.50
2023-07-30,318.60,319.50,313.30,318.00,,-2.15,,535968.50
2023-07-31,311.70,332.50,308.00,321.30,,1.04,,963119.00
2023-08-01,315.00,318.00,310.30,318.00,,-1.03,,479557.00
2023-08-02,311.80,317.00,311.80,311.90,,-1.92,,263822.00
2023-08-03,309.00,315.00,307.00,307.00,,-1.57,,2172784.00
2023-08-06,303.00,313.10,303.00,308.00,,0.33,,548194.30
2023-08-07,301.90,319.00,301.90,310.00,,0.65,,637379.00
2023-08-08,303.80,315.00,298.00,311.00,,0.32,,398802.00
2023-08-09,304.80,322.80,300.00,322.80,,3.79,,439173.50
2023-08-10,320.00,322.00,304.00,322.00,,-0.25,,137631.20
2023-08-13,315.60,317.20,305.90,317.20,,-1.49,,304489.00
2023-08-14,310.90,312.00,304.70,311.00,,-1.95,,205852.00
2023-08-15,304.80,309.50,293.40,305.80,,-1.67,,316291.00
2023-08-16,299.80,311.90,295.10,311.90,,1.99,,353079.50
2023-08-17,305.70,308.00,294.00,308.00,,-1.25,,220387.00
2023-08-20,301.90,301.90,291.20,300.00,,-2.6,,392908.00
2023-08-21,294.00,301.90,288.00,301.90,,0.63,,1265414.10
2023-08-22,295.90,300.00,285.60,300.00,,-0.63,,81752.00
2023-08-23,294.20,318.00,291.00,311.20,,3.73,,318331.80
2023-08-24,317.00,323.30,287.20,304.70,,-2.09,,1132750.50
2023-08-27,298.70,310.70,284.00,310.70,,1.97,,220032.00
2023-08-28,314.90,314.90,286.50,312.00,,0.42,,1818030.50
2023-08-29,305.80,310.00,288.00,310.00,,-0.64,,590927.00
2023-08-30,303.80,309.90,287.30,309.90,,-0.03,,784475.10
2023-09-03,303.80,303.80,288.00,302.00,,-2.55,,1049889.10
2023-09-04,296.00,296.40,285.30,296.40,,-1.85,,325788.00
2023-09-05,296.40,301.90,281.00,295.00,,-0.47,,441919.00
2023-09-07,289.10,289.10,273.00,288.90,,-2.07,,633850.00
2023-09-10,283.20,294.00,277.00,294.00,,1.77,,241290.00
2023-09-11,288.20,292.90,280.50,292.90,,-0.37,,112443.00
2023-09-12,292.00,295.00,283.00,294.80,,0.65,,136512.00
2023-09-13,289.00,306.00,283.40,304.00,,3.12,,2597574.80
2023-09-17,300.00,300.90,294.20,297.00,,-2.3,,401187.00
2023-09-18,291.10,310.10,274.20,310.10,,4.41,,300988.00
2023-09-19,303.90,309.00,285.10,304.90,,-1.68,,774354.00
2023-09-21,310.00,333.00,304.00,320.00,,4.95,,4568977.50
2023-09-24,313.60,333.00,313.60,329.90,,3.09,,1505717.00
2023-09-25,336.40,362.80,327.00,362.80,,9.97,,8164160.60
2023-09-26,370.00,389.00,363.10,371.00,,2.26,,3024774.50
2023-09-27,363.60,375.00,340.40,351.90,,-5.15,,2703349.80
2023-10-01,344.90,351.00,327.20,328.20,,-6.73,,3464515.00
2023-10-02,321.80,360.90,317.00,348.00,,6.03,,1017256.00
2023-10-03,341.10,364.90,335.10,345.90,,-0.6,,3116412.00
2023-10-04,352.80,359.50,338.20,350.00,,1.19,,1637051.00
2023-10-05,357.00,382.00,350.00,378.90,,8.26,,10299267.50
2023-10-08,379.00,379.00,355.10,364.90,,-3.69,,2030507.50
2023-10-09,371.00,373.00,357.90,369.80,,1.34,,3599466.00
2023-10-10,366.00,366.00,346.10,351.10,,-5.06,,1380850.40
2023-10-11,358.00,365.00,343.00,345.00,,-1.74,,579728.00
2023-10-12,338.20,351.90,326.10,344.80,,-0.06,,3181850.90
2023-10-16,338.00,338.00,324.00,330.00,,-4.29,,1886198.00
2023-10-17,336.60,343.00,320.00,328.00,,-0.61,,1222607.50
2023-10-18,334.00,346.00,318.00,326.50,,-0.46,,1383449.40
2023-10-19,320.00,337.00,317.50,331.50,,1.53,,471614.20
2023-10-29,324.90,326.20,310.00,326.20,,-1.6,,489379.00
2023-10-30,331.00,331.00,313.20,327.00,,0.25,,106065.00
2023-10-31,333.00,333.00,314.00,322.40,,-1.41,,732602.40
2023-11-01,328.80,333.90,304.10,318.60,,-1.18,,1651239.00
2023-11-02,318.00,318.90,301.50,318.90,,0.09,,928911.00
2023-11-05,312.60,324.90,297.10,303.00,,-4.99,,1194594.50
2023-11-06,297.00,309.90,279.60,309.90,,2.28,,2404128.80
2023-11-07,303.80,315.90,297.80,315.00,,1.65,,440212.00
2023-11-08,309.00,319.00,295.10,310.00,,-1.59,,384990.60
2023-11-09,316.20,316.20,292.80,304.50,,-1.77,,829770.30
