Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-12-27,865.20,882.30,830.00,857.90,,-2.82,,6650413.00
2023-12-28,840.80,854.90,800.00,810.00,,-5.58,,7122381.20
2024-01-01,826.20,869.00,825.00,842.00,,3.95,,9888024.40
2024-01-02,827.00,863.00,827.00,860.00,,2.14,,7844162.50
2024-01-03,870.00,876.00,849.00,870.00,,1.16,,2135208.00
2024-01-04,879.00,880.00,851.50,855.00,,-1.72,,4667554.00
2024-01-07,872.00,872.00,833.00,833.00,,-2.57,,5638148.00
2024-01-08,849.60,849.90,832.10,840.00,,0.84,,1954153.00
2024-01-09,856.00,867.00,839.00,840.80,,0.1,,5374417.90
2024-01-10,857.00,857.00,830.00,830.00,,-1.28,,4490336.70
2024-01-11,820.00,846.00,820.00,829.00,,-0.12,,1590993.00
2024-01-14,829.00,850.10,829.00,842.00,,1.57,,2927929.00
2024-01-16,840.00,894.70,832.00,889.00,,5.58,,9345582.00
2024-01-17,889.00,907.00,855.10,888.00,,-0.11,,12069726.40
2024-01-18,876.70,876.70,853.00,860.00,,-3.15,,3341088.00
2024-01-21,852.00,860.00,842.80,847.20,,-1.49,,1448467.00
2024-01-22,847.00,850.00,824.00,825.00,,-2.62,,3441566.00
2024-01-23,825.00,840.00,810.00,810.00,,-1.82,,3750858.00
2024-01-24,812.50,846.10,812.50,825.00,,1.85,,1954326.50
2024-01-25,812.10,833.00,812.10,815.00,,-1.21,,2084763.00
2024-01-28,818.00,822.00,807.10,820.00,,0.61,,1150398.50
2024-01-29,807.20,852.70,807.20,825.00,,0.61,,986759.00
2024-01-30,816.00,840.00,816.00,835.00,,1.21,,1761529.00
2024-01-31,820.00,835.00,818.00,828.00,,-0.84,,2585076.00
2024-02-01,815.00,822.00,811.50,811.50,,-1.99,,1333479.50
2024-02-04,800.10,815.00,800.10,803.40,,-1,,2162636.00
2024-02-05,801.00,826.20,800.10,826.20,,2.84,,1523036.00
2024-02-06,810.00,823.00,803.40,822.00,,-0.51,,550036.00
2024-02-07,837.00,854.70,815.00,831.00,,1.09,,1065073.90
2024-02-08,818.00,847.00,790.00,847.00,,1.93,,7372189.00
2024-02-11,850.00,860.00,806.90,855.00,,0.94,,11674620.90
2024-02-12,850.00,852.00,788.00,822.00,,-3.86,,9543173.50
2024-02-13,822.00,829.00,788.90,821.80,,-0.02,,7367333.70
2024-02-14,806.00,819.90,794.00,819.90,,-0.23,,5574657.80
2024-02-15,804.00,818.80,776.40,796.00,,-2.91,,6912193.10
2024-02-18,781.50,785.00,755.80,758.00,,-4.77,,5051059.20
2024-02-20,745.00,770.10,733.00,760.00,,0.26,,2648001.40
2024-02-21,774.00,774.00,752.30,760.00,,0,,412047.20
2024-02-22,746.30,774.00,740.00,740.00,,-2.63,,2978657.10
2024-02-25,750.00,750.00,733.00,733.00,,-0.95,,1219157.00
2024-02-26,744.00,747.00,730.00,740.00,,0.95,,775500.70
2024-02-27,740.00,782.90,740.00,761.00,,2.84,,817927.00
2024-02-28,770.90,775.90,756.00,765.10,,0.54,,1306725.80
2024-02-29,765.00,765.00,739.90,740.00,,-3.28,,1468812.50
2024-03-03,754.80,754.80,728.00,740.00,,0,,887831.50
2024-03-04,754.80,754.80,754.80,754.80,,2,,7548.00
2024-03-05,769.80,784.00,746.00,765.70,,1.44,,1431815.70
2024-03-06,775.70,790.00,755.00,770.00,,0.56,,1679187.00
2024-03-07,784.90,784.90,763.10,763.10,,-0.9,,1042896.90
2024-03-10,750.40,788.00,748.00,783.00,,2.61,,1391965.00
2024-03-12,786.00,793.50,778.00,792.00,,1.15,,2357988.00
2024-03-13,790.00,804.80,780.00,804.70,,1.6,,2479452.80
2024-03-14,800.00,804.00,780.10,789.00,,-1.95,,1384647.00
2024-03-17,799.00,799.90,766.00,779.00,,-1.27,,897563.80
2024-03-18,764.00,792.10,764.00,768.00,,-1.41,,633297.00
2024-03-19,783.30,783.30,765.00,773.00,,0.65,,1393232.00
2024-03-20,775.00,787.00,772.00,772.00,,-0.13,,1840954.80
2024-03-21,761.00,786.00,761.00,762.20,,-1.27,,1151876.60
2024-03-25,777.00,787.00,760.10,770.00,,1.02,,1089989.60
2024-03-26,761.00,780.00,761.00,772.00,,0.26,,815975.10
2024-03-27,761.00,784.80,761.00,764.00,,-1.04,,1146920.00
2024-03-28,753.90,768.90,753.90,765.00,,0.13,,629939.00
2024-03-31,753.80,780.00,753.80,756.20,,-1.15,,2453545.20
2024-04-01,756.00,774.40,756.00,762.30,,0.81,,1782588.50
2024-04-02,757.00,785.00,757.00,765.00,,0.35,,1017147.00
2024-04-03,755.00,775.20,755.00,775.00,,1.31,,1750352.50
2024-04-04,760.00,784.90,748.20,748.20,,-3.46,,1584084.40
2024-04-07,733.30,770.00,733.30,770.00,,2.91,,2189980.80
2024-04-09,785.40,846.00,785.40,835.10,,8.45,,13848508.50
2024-04-10,836.00,882.10,816.70,816.70,,-2.2,,4447288.20
2024-04-14,833.00,833.00,780.10,805.00,,-1.43,,2883142.30
2024-04-15,807.00,815.00,795.10,796.80,,-1.02,,3376406.20
2024-04-16,790.00,820.00,783.10,820.00,,2.91,,2047803.20
2024-04-18,820.10,830.00,812.50,815.20,,-0.59,,1424930.00
