Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,852.00,850.00,820.00,850.00,,-0.23,,719684.00
2014-08-04,980.00,965.00,946.00,946.00,,-3.47,,719684.00
2014-08-04,946.00,930.00,852.00,852.00,,-9.94,,719684.00
2014-08-04,1020.00,1000.00,1000.00,1000.00,,-1.96,,719684.00
2014-08-04,1000.00,1010.00,980.00,1005.00,,0.5,,719684.00
2014-08-04,1005.00,1000.00,980.00,980.00,,-2.49,,719684.00
2014-08-05,850.00,867.00,850.00,850.00,,0,,1510654.00
2014-08-07,850.00,867.00,867.00,867.00,,2,,42483.00
2014-08-13,867.00,953.00,884.00,905.00,,4.38,,5738520.00
2014-08-14,905.00,890.00,890.00,890.00,,-1.66,,43610.00
2014-08-18,890.00,893.00,860.00,860.00,,-3.37,,3396360.00
2014-08-19,860.00,877.00,865.00,865.00,,0.58,,871000.00
2014-08-20,865.00,882.00,865.00,882.00,,1.97,,3178300.00
2014-08-21,882.00,899.00,899.00,899.00,,1.93,,89900.00
2014-08-24,899.00,934.00,900.00,916.00,,1.89,,1001434.00
2014-08-25,916.00,964.00,882.00,882.00,,-3.71,,12716092.00
2014-08-26,882.00,948.00,875.00,901.00,,2.15,,7260773.00
2014-08-27,901.00,919.00,900.00,900.00,,-0.11,,11590955.00
2014-08-28,900.00,936.00,900.00,910.00,,1.11,,7170659.00
2014-08-31,910.00,936.00,878.00,910.00,,0,,11118198.00
2014-09-01,910.00,905.00,896.00,905.00,,-0.55,,738376.00
2014-09-07,905.00,890.00,887.00,887.00,,-1.99,,176813.00
2014-09-09,887.00,922.00,904.00,922.00,,3.95,,506398.00
2014-09-10,922.00,940.00,940.00,940.00,,1.95,,94000.00
2014-09-17,940.00,977.00,958.00,960.00,,2.13,,819100.00
2014-09-21,970.00,960.00,960.00,960.00,,-1.03,,94080.00
2014-09-22,960.00,950.00,950.00,950.00,,-1.04,,475000.00
2014-09-24,950.00,950.00,950.00,950.00,,0,,234650.00
2014-09-29,950.00,960.00,932.00,932.00,,-1.89,,848940.00
2014-09-30,932.00,933.00,915.00,915.00,,-1.82,,1923300.00
2014-10-19,915.00,915.00,897.00,897.00,,-1.97,,729450.00
2014-11-06,897.00,900.00,900.00,900.00,,0.33,,180000.00
2014-11-09,900.00,910.00,910.00,910.00,,1.11,,227500.00
2014-11-10,910.00,892.00,892.00,892.00,,-1.98,,89200.00
2014-11-11,892.00,900.00,900.00,900.00,,0.9,,90000.00
2014-11-25,900.00,882.00,882.00,882.00,,-2,,88200.00
2014-11-30,882.00,882.00,882.00,882.00,,0,,220500.00
2014-12-01,882.00,865.00,865.00,865.00,,-1.93,,86500.00
2014-12-02,865.00,850.00,817.00,817.00,,-5.55,,781551.00
2014-12-03,817.00,801.00,801.00,801.00,,-1.96,,86508.00
2014-12-04,801.00,795.00,781.00,781.00,,-2.5,,997510.00
2014-12-08,781.00,767.00,767.00,767.00,,-1.79,,23010.00
2014-12-09,767.00,767.00,760.00,760.00,,-0.91,,493173.00
2014-12-10,760.00,775.00,775.00,775.00,,1.97,,15500.00
2014-12-14,775.00,838.00,790.00,838.00,,8.13,,328256.00
