Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2017-05-21,1051.00,1051.00,1051.00,1051.00,,0,,105100.00
2017-06-05,1103.00,1103.00,1103.00,1125.00,,4.95,,33530.00
2017-06-06,0.00,0.00,0.00,1125.00,,0,,10125.00
2017-06-07,1125.00,1169.00,1125.00,1169.00,,5.98,,34410.00
2017-06-11,1192.00,1215.00,1192.00,1239.00,,3.93,,31504.00
2017-06-14,1239.00,1288.00,1239.00,1288.00,,6.01,,681900.00
2017-06-15,1313.00,1365.00,1313.00,1365.00,,5.98,,69368.00
2017-06-18,1365.00,1419.00,1392.00,1419.00,,3.96,,28110.00
2017-06-19,1447.00,1447.00,1447.00,1447.00,,1.97,,14470.00
2017-06-21,1475.00,1534.00,1475.00,1534.00,,6.01,,45130.00
2017-06-25,1564.00,1626.00,1564.00,1626.00,,6,,47850.00
2017-06-27,1658.00,1724.00,1658.00,1724.00,,6.03,,50730.00
2017-06-28,1758.00,1864.00,1758.00,1901.00,,8.12,,83725.00
2017-07-02,1901.00,1901.00,1901.00,1901.00,,1.98,,49426.00
2017-07-03,1939.00,2091.00,1939.00,2091.00,,9.99,,134246.00
2017-07-04,2132.00,2261.00,2132.00,2261.00,,8.13,,124016.00
2017-07-05,2306.00,2306.00,2306.00,2306.00,,1.99,,23060.00
2017-07-09,2306.00,2536.00,2352.00,2536.00,,9.97,,253320.00
2017-07-10,2586.00,2586.00,2586.00,2586.00,,1.97,,103950.00
2017-07-11,2637.00,2844.00,2637.00,2844.00,,9.98,,596258.00
2017-07-12,2900.00,3128.00,2900.00,3128.00,,9.99,,10098549.00
2017-07-13,3190.00,3384.00,3190.00,3221.00,,2.97,,128823199.00
2017-07-16,3230.00,3305.00,3150.00,3297.00,,2.39,,53557215.00
2017-07-17,3298.00,3570.00,3260.00,3542.00,,7.4,,48903466.00
2017-07-20,3650.00,3780.00,3650.00,3760.00,,1.35,,42140665.00
2017-07-23,3750.00,3835.00,3740.00,3815.00,,1.57,,34748634.00
2017-07-24,3800.00,3870.00,3785.00,3822.00,,0.08,,24167783.00
2017-07-25,3810.00,3901.00,3781.00,3836.00,,0.37,,20416770.00
2017-07-26,3840.00,3841.00,3780.00,3810.00,,-0.68,,18786562.00
