Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,415.00,410.00,400.00,400.00,,-3.61,,2023914.00
2014-08-04,420.00,430.00,420.00,428.00,,1.9,,2023914.00
2014-08-04,428.00,425.00,412.00,415.00,,-3.04,,2023914.00
2014-08-04,410.00,418.00,404.00,412.00,,0.49,,2023914.00
2014-08-04,412.00,418.00,408.00,416.00,,0.97,,2023914.00
2014-08-04,416.00,440.00,408.00,420.00,,0.96,,2023914.00
2014-08-05,400.00,424.00,406.00,406.00,,1.5,,3912864.00
2014-08-06,406.00,414.00,403.00,403.00,,-0.74,,721433.00
2014-08-07,403.00,400.00,389.00,399.00,,-0.99,,1725988.00
2014-08-12,399.00,392.00,385.00,386.00,,-3.26,,722740.00
2014-08-13,386.00,397.00,373.00,397.00,,2.85,,1618962.00
2014-08-14,397.00,398.00,376.00,391.00,,-1.51,,531184.00
2014-08-18,391.00,396.00,390.00,390.00,,-0.26,,498956.00
2014-08-19,390.00,399.00,385.00,387.00,,-0.77,,1697113.00
2014-08-20,387.00,412.00,394.00,402.00,,3.88,,3284122.00
2014-08-21,402.00,425.00,392.00,425.00,,5.72,,2457364.00
2014-08-24,425.00,418.00,390.00,397.00,,-6.59,,2516935.00
2014-08-25,397.00,404.00,371.00,380.00,,-4.28,,3929877.00
2014-08-26,380.00,397.00,378.00,385.00,,1.32,,1854385.00
2014-08-27,385.00,414.00,390.00,390.00,,1.3,,1560307.00
2014-08-28,390.00,402.00,392.00,394.00,,1.03,,1251057.00
2014-08-31,394.00,400.00,372.00,372.00,,-5.58,,3178178.00
2014-09-01,372.00,370.00,360.00,366.00,,-1.61,,1052112.00
2014-09-03,366.00,387.00,370.00,370.00,,1.09,,1161492.00
2014-09-04,370.00,370.00,360.00,364.00,,-1.62,,245176.00
2014-09-07,364.00,361.00,340.00,345.00,,-5.22,,1120259.00
2014-09-09,345.00,377.00,345.00,377.00,,9.28,,1217739.00
2014-09-10,377.00,391.00,359.00,366.00,,-2.92,,2296222.00
2014-09-11,366.00,373.00,353.00,372.00,,1.64,,3416342.00
2014-09-14,372.00,370.00,355.00,360.00,,-3.23,,1676360.00
2014-09-15,360.00,381.00,360.00,365.00,,1.39,,1737301.00
2014-09-16,365.00,377.00,358.00,371.00,,1.64,,421675.00
2014-09-17,371.00,379.00,365.00,370.00,,-0.27,,1222820.00
2014-09-21,362.00,355.00,343.00,350.00,,-3.31,,582970.00
2014-09-22,350.00,355.00,347.00,350.00,,0,,795202.00
2014-09-23,350.00,363.00,350.00,360.00,,2.86,,202198.00
2014-09-24,360.00,365.00,355.00,355.00,,-1.39,,281401.00
2014-09-28,355.00,369.00,350.00,369.00,,3.94,,142270.00
2014-09-29,369.00,376.00,368.00,376.00,,1.9,,101165.00
2014-09-30,376.00,378.00,356.00,375.00,,-0.27,,583514.00
2014-10-08,375.00,370.00,368.00,368.00,,-1.87,,23276.00
2014-10-09,368.00,370.00,357.00,365.00,,-0.82,,306711.00
2014-10-12,365.00,372.00,354.00,360.00,,-1.37,,1131890.00
2014-10-13,360.00,367.00,357.00,367.00,,1.94,,302397.00
2014-10-14,367.00,361.00,361.00,361.00,,-1.63,,48374.00
2014-10-15,361.00,367.00,355.00,367.00,,1.66,,390645.00
2014-10-16,367.00,380.00,360.00,370.00,,0.82,,2137493.00
2014-10-19,370.00,370.00,356.00,370.00,,0,,3789669.00
2014-10-20,370.00,375.00,360.00,360.00,,-2.7,,157425.00
2014-10-21,360.00,373.00,355.00,366.00,,1.67,,1222345.00
2014-10-22,366.00,374.00,366.00,374.00,,2.19,,387485.00
2014-10-26,374.00,380.00,366.00,366.00,,-2.14,,195563.00
2014-10-27,366.00,382.00,370.00,370.00,,1.09,,720728.00
2014-10-28,370.00,375.00,356.00,368.00,,-0.54,,1164732.00
2014-10-30,368.00,370.00,365.00,368.00,,0,,1712746.00
2014-11-02,368.00,371.00,365.00,368.00,,0,,543824.00
2014-11-03,368.00,379.00,361.00,369.00,,0.27,,1362337.00
2014-11-04,369.00,377.00,369.00,372.00,,0.81,,7633127.00
2014-11-05,372.00,390.00,372.00,387.00,,4.03,,3914478.00
2014-11-06,387.00,399.00,385.00,390.00,,0.78,,4135787.00
2014-11-09,390.00,393.00,380.00,383.00,,-1.79,,3317442.00
2014-11-10,383.00,387.00,365.00,375.00,,-2.09,,5305156.00
2014-11-11,313.00,319.00,318.00,319.00,,1.92,,105240.00
2014-11-18,319.00,313.00,307.00,313.00,,-1.88,,40980.00
2014-11-19,313.00,313.00,313.00,313.00,,0,,23162.00
2014-11-20,313.00,310.00,299.00,299.00,,-4.47,,90206.00
2014-11-24,295.00,295.00,290.00,290.00,,-1.69,,492410.00
2014-11-24,299.00,295.00,295.00,295.00,,-1.34,,492410.00
2014-11-25,290.00,290.00,290.00,290.00,,0,,264190.00
2014-11-30,290.00,295.00,285.00,295.00,,1.72,,65580.00
2014-12-01,295.00,294.00,289.00,290.00,,-1.69,,167634.00
2014-12-02,290.00,285.00,285.00,285.00,,-1.72,,31920.00
2014-12-03,285.00,295.00,285.00,290.00,,1.75,,284650.00
2014-12-07,290.00,290.00,280.00,280.00,,-3.45,,338125.00
2014-12-08,280.00,275.00,275.00,275.00,,-1.79,,18150.00
2014-12-09,275.00,275.00,270.00,271.00,,-1.45,,230905.00
2014-12-10,271.00,276.00,275.00,275.00,,1.48,,39667.00
2014-12-11,275.00,275.00,270.00,270.00,,-1.82,,161720.00
2014-12-14,270.00,297.00,275.00,297.00,,10,,96509.00
2014-12-15,297.00,314.00,302.00,312.00,,5.05,,223751.00
2014-12-16,312.00,310.00,310.00,310.00,,-0.64,,159340.00
2014-12-17,310.00,305.00,300.00,300.00,,-3.23,,51475.00
2014-12-18,300.00,300.00,295.00,300.00,,0,,168070.00
2014-12-21,300.00,298.00,298.00,298.00,,-0.67,,20860.00
2014-12-22,298.00,296.00,290.00,291.00,,-2.35,,229246.00
2014-12-23,291.00,293.00,293.00,293.00,,0.69,,11427.00
2014-12-24,293.00,288.00,288.00,288.00,,-1.71,,45504.00
2014-12-28,288.00,295.00,290.00,295.00,,2.43,,35100.00
2014-12-29,295.00,300.00,295.00,300.00,,1.69,,161050.00
2014-12-31,300.00,305.00,295.00,305.00,,1.67,,318864.00
2015-01-01,305.00,308.00,303.00,308.00,,0.98,,35448.00
2015-01-04,308.00,314.00,309.00,314.00,,1.95,,69042.00
2015-01-05,314.00,326.00,320.00,326.00,,3.82,,604556.00
2015-01-06,326.00,326.00,318.00,326.00,,0,,205290.00
2015-01-07,326.00,337.00,330.00,331.00,,1.53,,188265.00
2015-01-08,331.00,342.00,327.00,327.00,,-1.21,,653848.00
2015-01-11,327.00,330.00,325.00,325.00,,-0.61,,1665800.00
2015-01-12,325.00,325.00,311.00,320.00,,-1.54,,246739.00
2015-01-13,320.00,330.00,322.00,330.00,,3.12,,122140.00
2015-01-14,330.00,337.00,330.00,332.00,,0.61,,1628562.00
2015-01-18,332.00,341.00,335.00,340.00,,2.41,,890796.00
2015-01-19,340.00,369.00,346.00,368.00,,8.24,,284597.00
2015-01-20,368.00,364.00,355.00,355.00,,-3.53,,498177.00
2015-01-22,355.00,355.00,343.00,343.00,,-3.38,,305976.00
2015-01-25,343.00,349.00,337.00,340.00,,-0.87,,2208862.00
2015-01-26,340.00,360.00,346.00,353.00,,3.82,,543261.00
2015-01-27,353.00,350.00,346.00,346.00,,-1.98,,291936.00
2015-01-28,346.00,372.00,340.00,372.00,,7.51,,2623064.00
2015-01-29,372.00,380.00,362.00,362.00,,-2.69,,370401.00
2015-02-01,362.00,387.00,366.00,387.00,,6.91,,1124458.00
2015-02-02,387.00,404.00,390.00,395.00,,2.07,,1328835.00
2015-02-03,395.00,399.00,393.00,397.00,,0.51,,1357111.00
2015-02-04,397.00,403.00,390.00,398.00,,0.25,,1315923.00
2015-02-05,398.00,421.00,399.00,401.00,,0.75,,3430703.00
2015-02-08,401.00,415.00,405.00,406.00,,1.25,,2422946.00
2015-02-09,406.00,412.00,406.00,409.00,,0.74,,1889637.00
2015-02-10,409.00,409.00,392.00,402.00,,-1.71,,3563558.00
2015-02-11,402.00,403.00,398.00,400.00,,-0.5,,2555300.00
2015-02-12,340.00,359.00,346.00,352.00,,3.53,,400866.00
2015-02-15,352.00,365.00,357.00,365.00,,3.69,,635241.00
2015-02-16,365.00,370.00,360.00,361.00,,-1.37,,1220852.00
2015-02-18,360.00,361.00,355.00,356.00,,-1.11,,366507.00
2015-02-22,356.00,350.00,333.00,333.00,,-6.46,,249509.00
2015-02-23,333.00,348.00,321.00,348.00,,4.5,,1437678.00
2015-02-24,348.00,349.00,341.00,341.00,,-2.01,,597169.00
2015-02-25,341.00,346.00,336.00,346.00,,1.47,,1213138.00
2015-02-26,346.00,347.00,341.00,341.00,,-1.45,,553811.00
