Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,724.00,724.00,698.00,715.00,,-1.24,,17129683.00
2014-08-04,700.00,704.00,691.00,704.00,,0.57,,17129683.00
2014-08-04,704.00,745.00,710.00,724.00,,2.84,,17129683.00
2014-08-04,725.00,730.00,703.00,713.00,,-1.66,,17129683.00
2014-08-04,704.00,707.00,698.00,700.00,,-0.57,,17129683.00
2014-08-05,715.00,727.00,705.00,711.00,,-0.56,,18661835.00
2014-08-06,711.00,718.00,699.00,700.00,,-1.55,,15377041.00
2014-08-07,700.00,703.00,692.00,700.00,,0,,13513949.00
2014-08-12,700.00,705.00,681.00,687.00,,-1.86,,16642352.00
2014-08-13,687.00,702.00,663.00,702.00,,2.18,,11388742.00
2014-08-14,702.00,697.00,678.00,686.00,,-2.28,,13857326.00
2014-08-18,686.00,690.00,666.00,670.00,,-2.33,,17279738.00
2014-08-19,670.00,695.00,670.00,684.00,,2.09,,13336285.00
2014-08-20,684.00,682.00,660.00,660.00,,-3.51,,29767290.00
2014-08-21,660.00,685.00,637.00,669.00,,1.36,,26649269.00
2014-08-24,669.00,677.00,662.00,665.00,,-0.6,,12162118.00
2014-08-25,665.00,665.00,635.00,640.00,,-3.76,,12838835.00
2014-08-26,640.00,675.00,620.00,630.00,,-1.56,,13782807.00
2014-08-27,630.00,674.00,642.00,670.00,,6.35,,14712923.00
2014-08-28,670.00,689.00,647.00,680.00,,1.49,,16018428.00
2014-08-31,680.00,679.00,647.00,650.00,,-4.41,,15152241.00
2014-09-01,650.00,669.00,623.00,669.00,,2.92,,10832708.00
2014-09-03,669.00,670.00,644.00,656.00,,-1.94,,10440513.00
2014-09-04,656.00,657.00,610.00,647.00,,-1.37,,14316184.00
2014-09-07,647.00,688.00,641.00,643.00,,-0.62,,69337267.00
2014-09-09,643.00,698.00,650.00,698.00,,8.55,,63031413.00
2014-09-10,698.00,712.00,661.00,678.00,,-2.87,,43420621.00
2014-09-11,678.00,679.00,653.00,679.00,,0.15,,24865344.00
2014-09-14,679.00,675.00,654.00,670.00,,-1.33,,24653156.00
2014-09-15,670.00,680.00,667.00,670.00,,0,,20329061.00
2014-09-16,670.00,679.00,667.00,672.00,,0.3,,20164883.00
