Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2018-04-29,658.00,684.00,630.00,635.00,,-1.7,,3485195.00
2018-05-02,635.00,665.00,620.00,653.00,,2.83,,11928412.00
2018-05-03,664.00,664.00,640.00,653.00,,0,,18415850.00
2018-05-06,641.00,666.00,636.00,641.00,,-1.84,,4382496.00
2018-05-07,632.00,650.00,632.00,639.00,,-0.31,,6213300.00
2018-05-08,640.00,669.00,632.00,669.00,,4.69,,3054766.00
2018-05-09,669.00,670.00,642.00,652.00,,-2.54,,8518250.00
2018-05-10,652.00,649.00,640.00,640.00,,-1.84,,5792895.00
2018-05-14,642.00,652.00,626.00,626.00,,-2.19,,2811075.00
2018-05-15,638.00,648.00,618.00,627.00,,0.16,,1163596.00
2018-05-16,625.00,641.00,615.00,630.00,,0.48,,2591159.00
2018-05-17,630.00,642.00,626.00,629.00,,-0.16,,3361750.00
2018-05-20,639.00,650.00,630.00,635.00,,0.95,,1549180.00
2018-05-21,630.00,645.00,625.00,645.00,,1.57,,3601650.00
2018-05-22,635.00,645.00,626.00,633.00,,-1.86,,922630.00
2018-05-23,630.00,650.00,628.00,641.00,,1.26,,1023470.00
2018-05-24,641.00,641.00,623.00,623.00,,-2.81,,2871920.00
2018-05-27,614.00,623.00,614.00,617.00,,-0.96,,5846434.00
2018-05-28,617.00,646.00,606.00,646.00,,4.7,,6074995.00
2018-05-29,652.00,653.00,628.00,630.00,,-1.86,,7349570.00
2018-05-30,625.00,646.00,625.00,632.00,,-0.31,,3392378.00
2018-05-31,635.00,639.00,620.00,620.00,,-1.9,,3179300.00
2018-06-03,610.00,620.00,589.00,595.00,,-4.35,,7410138.00
2018-06-04,583.00,604.00,582.00,586.00,,-1.18,,3055351.00
2018-06-06,597.00,620.00,597.00,614.00,,2.9,,6679300.00
2018-06-07,615.00,615.00,585.00,586.00,,-2.99,,4778505.00
2018-06-10,590.00,590.00,568.00,570.00,,-2.56,,2492810.00
2018-06-11,560.00,590.00,560.00,575.00,,0.88,,5843070.00
2018-06-12,568.00,585.00,560.00,576.00,,0.17,,2233620.00
2018-06-13,576.00,633.00,569.00,623.00,,8.33,,14047262.00
2018-06-14,630.00,648.00,616.00,645.00,,3.04,,17701170.00
2018-06-17,655.00,667.00,636.00,649.00,,0.93,,22754891.00
2018-06-18,637.00,650.00,631.00,637.00,,-1.85,,6920320.00
2018-06-19,640.00,651.00,625.00,628.00,,-1.41,,8139990.00
2018-06-20,625.00,635.00,615.00,623.00,,-0.8,,5605390.00
2018-06-21,613.00,629.00,609.00,609.00,,-2.25,,2722116.00
2018-06-24,603.00,628.00,603.00,607.00,,-0.33,,5766309.00
2018-06-25,595.00,614.00,595.00,600.00,,-1.15,,5983460.00
2018-06-26,600.00,600.00,592.00,594.00,,-1.33,,2794320.00
2018-06-27,590.00,612.00,581.00,600.00,,1.35,,1458240.00
2018-06-28,602.00,602.00,592.00,592.00,,-1.33,,2002955.00
2018-07-01,582.00,588.00,577.00,578.00,,-2.36,,605830.00
2018-07-02,579.00,588.00,569.00,577.00,,-0.17,,2557116.00
2018-07-03,570.00,585.00,570.00,580.00,,0.52,,561870.00
2018-07-04,570.00,596.00,570.00,595.00,,2.59,,1988288.00
2018-07-05,595.00,628.00,595.00,625.00,,5.04,,5112830.00
2018-07-08,630.00,630.00,611.00,614.00,,-1.76,,11922518.00
2018-07-09,615.00,623.00,603.00,609.00,,-0.81,,2492688.00
2018-07-10,609.00,615.00,591.00,609.00,,0,,6735397.00
2018-07-11,620.00,635.00,612.00,615.00,,0.99,,14198652.00
2018-07-12,627.00,627.00,588.00,600.00,,-2.44,,7250062.00
2018-07-15,600.00,605.00,594.00,605.00,,0.83,,2380555.00
2018-07-16,605.00,625.00,597.00,610.00,,1.32,,2643221.00
2018-07-17,613.00,613.00,603.00,603.00,,-1.63,,589030.00
2018-07-18,603.00,603.00,595.00,600.00,,-0.33,,1904752.00
2018-07-19,600.00,605.00,589.00,590.00,,-1.83,,2632950.00
2018-07-22,582.00,590.00,576.00,579.00,,-1.19,,3062602.00
2018-07-23,575.00,599.00,575.00,589.00,,1.03,,1883075.00
2018-07-24,600.00,611.00,586.00,590.00,,-0.51,,5146586.00
2018-07-25,590.00,590.00,580.00,587.00,,0.17,,1478130.00
2018-07-26,580.00,595.00,579.00,580.00,,-1.19,,3608342.00
2018-07-29,571.00,590.00,571.00,580.00,,0,,2492050.00
2018-07-30,585.00,588.00,575.00,588.00,,1.38,,2949161.00
2018-07-31,598.00,598.00,575.00,580.00,,-1.36,,2555670.00
2018-08-01,574.00,580.00,574.00,575.00,,-1.03,,2396710.00
2018-08-02,577.00,579.00,572.00,574.00,,0,,2343520.00
2018-08-05,574.00,574.00,565.00,569.00,,-0.87,,1675880.00
2018-08-06,574.00,579.00,561.00,573.00,,0.7,,3882255.00
2018-08-07,562.00,575.00,562.00,571.00,,-0.35,,277940.00
2018-08-08,560.00,569.00,560.00,561.00,,-1.75,,1291190.00
2018-08-09,559.00,561.00,558.00,558.00,,-0.53,,2192880.00
2018-08-12,559.00,559.00,544.00,548.00,,-1.79,,2054865.00
2018-08-13,538.00,558.00,533.00,555.00,,1.82,,384650.00
2018-08-14,569.00,574.00,549.00,571.00,,2.87,,2809712.00
2018-08-15,574.00,585.00,564.00,584.00,,1.74,,3973444.00
2018-08-16,580.00,589.00,571.00,571.00,,-2.23,,4774910.00
2018-08-19,582.00,616.00,566.00,583.00,,2.1,,34576304.00
2018-08-20,572.00,582.00,565.00,570.00,,-2.23,,2578726.00
2018-08-21,570.00,575.00,565.00,570.00,,0,,2179465.00
2018-08-23,569.00,569.00,550.00,550.00,,-2.48,,4528630.00
2018-08-26,545.00,560.00,540.00,547.00,,-0.54,,2982470.00
2018-08-28,545.00,553.00,541.00,553.00,,1.1,,1481895.00
2018-08-29,555.00,555.00,537.00,547.00,,-1.08,,3293055.00
2018-08-30,547.00,560.00,539.00,541.00,,-1.28,,4309235.00
2018-09-02,546.00,556.00,540.00,545.00,,0.93,,1607623.00
2018-09-04,555.00,555.00,542.00,547.00,,0.37,,727780.00
2018-09-05,550.00,566.00,547.00,554.00,,1.28,,4031960.00
2018-09-06,554.00,575.00,550.00,551.00,,-0.54,,4024888.00
2018-09-09,555.00,555.00,540.00,542.00,,-2.69,,997830.00
2018-09-10,534.00,549.00,533.00,543.00,,0.18,,853440.00
2018-09-11,540.00,560.00,540.00,547.00,,0.74,,730700.00
2018-09-12,540.00,560.00,540.00,555.00,,1.46,,2168880.00
2018-09-13,555.00,555.00,545.00,546.00,,-1.62,,2683438.00
2018-09-16,556.00,567.00,553.00,553.00,,1.28,,6544126.00
2018-09-17,553.00,564.00,553.00,555.00,,0.36,,1720120.00
2018-09-18,560.00,569.00,552.00,560.00,,0.9,,1960314.00
2018-09-20,555.00,560.00,550.00,552.00,,-1.43,,1488740.00
2018-09-23,563.00,563.00,552.00,552.00,,0,,3099015.00
2018-09-25,563.00,570.00,547.00,548.00,,-0.72,,2815880.00
2018-09-26,558.00,562.00,552.00,552.00,,-0.54,,1500774.00
2018-09-27,543.00,555.00,543.00,554.00,,0.36,,850195.00
2018-09-30,550.00,555.00,540.00,545.00,,-1.62,,2799315.00
2018-10-01,545.00,554.00,538.00,540.00,,-0.92,,2107720.00
2018-10-02,540.00,541.00,535.00,537.00,,-0.56,,521650.00
2018-10-03,531.00,536.00,528.00,530.00,,-0.93,,1643990.00
2018-10-04,532.00,536.00,525.00,535.00,,0.56,,1985336.00
2018-10-07,530.00,541.00,526.00,530.00,,-0.93,,1092145.00
2018-10-08,530.00,540.00,522.00,523.00,,-1.51,,835378.00
2018-10-09,532.00,532.00,516.00,517.00,,-1.15,,1625740.00
2018-10-10,520.00,526.00,512.00,512.00,,-0.78,,489570.00
2018-10-11,515.00,525.00,507.00,525.00,,2.54,,808452.00
2018-10-14,530.00,530.00,516.00,519.00,,-1.14,,446030.00
2018-10-15,529.00,539.00,518.00,518.00,,-0.19,,391500.00
2018-10-21,520.00,525.00,511.00,514.00,,-0.77,,145220.00
2018-10-22,508.00,515.00,508.00,510.00,,-0.78,,387860.00
2018-10-23,520.00,520.00,509.00,510.00,,0,,127760.00
2018-10-24,510.00,519.00,510.00,518.00,,1.57,,742070.00
2018-10-25,515.00,520.00,511.00,517.00,,0.39,,1423570.00
2018-10-28,519.00,519.00,502.00,510.00,,-2.12,,803045.00
2018-10-29,509.00,509.00,501.00,506.00,,-0.59,,738044.00
2018-10-30,506.00,516.00,501.00,506.00,,0,,509050.00
2018-10-31,501.00,510.00,500.00,501.00,,-1.19,,531490.00
2018-11-01,500.00,503.00,490.00,500.00,,0,,1842335.00
2018-11-04,490.00,510.00,485.00,505.00,,1,,639480.00
2018-11-05,515.00,515.00,495.00,504.00,,0.4,,577096.00
2018-11-15,491.00,494.00,483.00,489.00,,-0.41,,2416670.00
2018-11-18,485.00,485.00,471.00,474.00,,-2.27,,658781.00
2018-11-19,474.00,474.00,452.00,456.00,,-3.8,,2524470.00
2018-11-20,456.00,475.00,449.00,475.00,,4.17,,1125118.00
2018-11-21,475.00,475.00,451.00,455.00,,-4.21,,2032948.00
2018-11-22,455.00,455.00,448.00,452.00,,-0.66,,283950.00
2018-11-25,452.00,456.00,446.00,446.00,,-1.33,,854370.00
2018-11-26,446.00,448.00,432.00,432.00,,-3.14,,982310.00
2018-11-27,432.00,440.00,432.00,434.00,,0.46,,2733020.00
2018-11-28,434.00,450.00,434.00,449.00,,3.46,,78880.00
2018-11-29,449.00,449.00,430.00,430.00,,-4.23,,1221982.00
