Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-08-13,565.50,581.40,509.00,509.00,,0,,231568383.40
2023-08-14,500.00,540.00,491.00,524.00,,2.95,,89804095.50
2023-08-15,530.00,530.00,512.00,514.00,,-1.91,,34071909.80
2023-08-16,509.00,510.00,499.90,501.20,,-2.49,,49044946.60
2023-08-17,501.20,512.00,494.00,507.00,,1.16,,51661241.00
2023-08-20,500.00,510.00,491.00,492.00,,-2.96,,37213924.00
2023-08-21,485.20,493.90,477.00,477.10,,-3.03,,50612461.20
2023-08-22,470.00,505.00,470.00,499.00,,4.59,,36891104.60
2023-08-23,489.10,512.00,489.10,510.00,,2.2,,75765894.40
2023-08-24,520.20,520.20,500.00,508.00,,-0.39,,69458731.80
2023-08-27,497.90,500.00,486.00,486.40,,-4.25,,49061447.60
2023-08-28,482.00,495.00,480.00,485.10,,-0.27,,25198784.80
2023-08-29,490.00,490.00,480.00,481.00,,-0.85,,22633490.00
2023-08-30,490.50,490.50,478.00,479.00,,-0.42,,20336919.60
2023-09-03,479.00,479.00,468.00,469.90,,-1.9,,28980472.30
2023-09-04,469.00,485.00,468.50,477.90,,1.7,,19428238.90
2023-09-05,475.00,488.90,470.00,487.00,,1.9,,28045570.40
2023-09-07,480.00,481.00,470.00,473.00,,-2.87,,21959417.50
2023-09-10,473.00,480.00,468.20,469.40,,-0.76,,26564739.90
2023-09-11,465.00,488.00,465.00,481.40,,2.56,,27426292.40
2023-09-12,481.40,487.00,470.00,470.00,,-2.37,,19155817.10
2023-09-13,470.00,486.00,470.00,483.00,,2.77,,27613783.50
2023-09-17,492.60,492.60,465.80,466.00,,-3.52,,21225441.60
2023-09-18,465.00,472.00,463.30,470.00,,0.86,,18907232.60
2023-09-19,462.20,476.30,462.20,475.00,,1.06,,12755035.60
2023-09-21,475.00,498.00,475.00,484.00,,1.89,,64725040.20
2023-09-24,474.40,493.00,474.40,479.00,,-1.03,,46138686.20
2023-09-25,471.00,482.00,471.00,473.20,,-1.21,,22072547.40
2023-09-26,476.00,490.00,476.00,483.00,,2.07,,32370854.20
2023-09-27,483.00,485.00,472.00,475.10,,-1.61,,23648122.00
2023-10-01,470.10,474.00,462.00,462.90,,-2.57,,30357903.30
2023-10-02,460.00,470.00,460.00,465.20,,0.5,,17878239.30
2023-10-03,465.00,465.10,458.30,458.30,,-1.48,,18689066.00
