Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2019-02-17,300.00,300.00,190.00,190.00,,0,,14700.00
2019-02-18,285.00,300.00,280.00,280.00,,-6.67,,16950.00
2019-02-21,266.00,280.00,280.00,280.00,,0,,7980.00
2019-02-24,253.00,266.00,253.00,253.00,,-4.89,,7590.00
2019-03-03,241.00,253.00,241.00,241.00,,-4.74,,7230.00
2019-03-05,229.00,241.00,229.00,229.00,,-4.98,,6870.00
2019-03-06,218.00,229.00,214.00,214.00,,-6.55,,12960.00
2019-03-07,204.00,214.00,204.00,204.00,,-4.67,,6120.00
2019-03-17,194.00,194.00,194.00,194.00,,-4.9,,5820.00
2019-04-03,185.00,185.00,185.00,185.00,,-4.64,,5550.00
2019-04-09,176.00,176.00,170.00,170.00,,-8.11,,12050.00
2019-04-10,162.00,162.00,162.00,162.00,,-4.71,,3240.00
2019-04-11,154.00,154.00,148.00,148.00,,-8.64,,4530.00
2019-04-22,141.00,146.00,141.00,146.00,,-1.35,,4280.00
2019-04-23,139.00,139.00,139.00,139.00,,-4.79,,8340.00
2019-05-09,133.00,133.00,133.00,133.00,,-4.32,,1330.00
2019-05-19,127.00,127.00,127.00,127.00,,-4.51,,3810.00
2019-05-20,122.00,122.00,122.00,122.00,,-3.94,,3660.00
2019-05-21,116.00,116.00,116.00,116.00,,-4.92,,2320.00
2019-05-22,111.00,114.00,105.00,105.00,,-9.48,,143974.00
2019-05-23,103.00,103.00,95.00,96.00,,-8.57,,222400.00
2019-05-26,95.00,96.00,89.00,90.00,,-6.25,,115975.00
2019-05-27,89.00,91.00,85.00,91.00,,1.11,,91710.00
2019-05-28,90.00,91.00,89.00,90.00,,-1.1,,60170.00
2019-05-29,89.00,95.00,89.00,95.00,,5.56,,69520.00
2019-05-30,94.00,96.00,94.00,94.00,,-1.05,,71400.00
2019-06-02,95.00,96.00,90.00,90.00,,-4.26,,105070.00
2019-06-03,90.00,91.00,89.00,90.00,,0,,85440.00
2019-06-04,91.00,93.00,88.00,88.00,,-2.22,,77430.00
2019-06-06,89.00,90.00,87.00,88.00,,0,,68080.00
2019-06-10,87.00,87.00,85.00,86.00,,-2.27,,63540.00
2019-06-11,85.00,87.00,85.00,86.00,,0,,50710.00
2019-06-12,85.00,87.00,85.00,86.00,,0,,42780.00
2019-06-13,85.00,87.00,85.00,86.00,,0,,27310.00
2019-06-16,90.00,90.00,83.00,83.00,,-3.49,,84455.00
2019-06-17,84.00,84.00,82.00,82.00,,-1.2,,19980.00
2019-06-18,81.00,85.00,80.00,84.00,,2.44,,35850.00
2019-06-19,83.00,83.00,80.00,81.00,,-3.57,,53690.00
2019-06-20,81.00,83.00,81.00,82.00,,1.23,,24570.00
2019-06-23,81.00,82.00,81.00,82.00,,0,,13100.00
2019-06-24,82.00,84.00,81.00,84.00,,2.44,,80470.00
2019-06-25,84.00,84.00,83.00,83.00,,-1.19,,4170.00
2019-06-26,82.00,82.00,80.00,81.00,,-2.41,,24325.00
2019-06-27,80.00,80.00,78.00,80.00,,-1.23,,25320.00
2019-06-30,79.00,81.00,79.00,81.00,,1.25,,15090.00
2019-07-01,80.00,80.00,79.00,80.00,,-1.23,,24760.00
2019-07-02,80.00,81.00,80.00,80.00,,0,,20060.00
2019-07-03,79.00,80.00,79.00,79.00,,-1.25,,17460.00
2019-07-04,80.00,80.00,80.00,80.00,,1.27,,19200.00
2019-07-07,81.00,83.00,81.00,83.00,,3.75,,15580.00
2019-07-08,84.00,87.00,84.00,86.00,,3.61,,63350.00
2019-07-09,86.00,90.00,86.00,89.00,,3.49,,55630.00
2019-07-10,88.00,88.00,86.00,86.00,,-3.37,,13990.00
2019-07-11,86.00,88.00,86.00,88.00,,2.33,,24036.00
2019-07-14,89.00,89.00,86.00,87.00,,-1.14,,27080.00
2019-07-15,86.00,87.00,85.00,85.00,,-2.3,,40070.00
2019-07-16,86.00,86.00,84.00,84.00,,-1.18,,36350.00
2019-07-17,85.00,85.00,84.00,84.00,,0,,39610.00
2019-07-18,84.00,84.00,84.00,84.00,,0,,7560.00
2019-07-21,84.00,85.00,84.00,85.00,,1.19,,2540.00
2019-07-22,84.00,86.00,84.00,86.00,,1.18,,5950.00
2019-07-23,85.00,89.00,85.00,89.00,,3.49,,33900.00
2019-07-24,90.00,93.00,90.00,93.00,,4.49,,76220.00
2019-07-25,92.00,93.00,90.00,90.00,,-3.23,,40370.00
2019-07-28,89.00,89.00,86.00,86.00,,-4.44,,19070.00
2019-07-29,85.00,85.00,85.00,85.00,,-1.16,,16150.00
2019-07-30,84.00,84.00,83.00,84.00,,-1.18,,15030.00
2019-07-31,83.00,85.00,83.00,85.00,,1.19,,17620.00
2019-08-01,85.00,86.00,83.00,83.00,,-2.35,,45650.00
2019-08-04,84.00,84.00,82.00,83.00,,0,,40690.00
