Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2018-02-08,0.00,0.00,0.00,1500.00,,0,,33000.00
2018-02-11,1500.00,1500.00,1483.00,1483.00,,-1.98,,104700.00
2018-02-12,1483.00,1483.00,1454.00,1454.00,,-1.95,,125334.00
2018-02-14,1427.00,1427.00,1427.00,1427.00,,-1.86,,39956.00
2018-02-15,1455.00,1540.00,1455.00,1540.00,,7.92,,70700.00
2018-02-18,1540.00,1570.00,1500.00,1500.00,,-2.6,,303860.00
2018-02-20,1470.00,1470.00,1441.00,1441.00,,-3.93,,187348.00
2018-02-21,1413.00,1425.00,1385.00,1385.00,,-3.89,,284218.00
2018-02-22,1375.00,1400.00,1375.00,1400.00,,1.08,,121312.00
2018-02-25,1399.00,1400.00,1372.00,1345.00,,-2,,148839.00
2018-02-26,1348.00,1350.00,1340.00,1350.00,,-1.6,,316410.00
2018-02-27,1325.00,1352.00,1302.00,1352.00,,0.15,,751108.00
2018-02-28,1330.00,1330.00,1325.00,1326.00,,-2,,96652.00
2018-03-04,1299.00,1299.00,1299.00,1299.00,,-1.96,,12990.00
2018-03-05,1275.00,1275.00,1200.00,1205.00,,-7.24,,281357.00
2018-03-06,1181.00,1181.00,1135.00,1135.00,,-5.81,,127290.00
2018-03-07,1157.00,1227.00,1157.00,1201.00,,7.93,,231953.00
2018-03-11,1225.00,1201.00,1109.00,1110.00,,-9.39,,422288.00
2018-03-13,1088.00,1109.00,1075.00,1100.00,,1.46,,112676.00
2018-03-13,1110.00,1111.00,1051.00,1093.00,,-1.53,,112676.00
2018-03-14,1087.00,1110.00,1087.00,1110.00,,0.09,,127519.00
2018-03-15,1132.00,1132.00,1132.00,1132.00,,1.98,,19244.00
2018-03-18,1150.00,1150.00,1148.00,1127.00,,1.59,,175848.00
2018-03-19,1150.00,1150.00,1127.00,1127.00,,-2,,236958.00
2018-03-20,1135.00,1135.00,1062.00,1120.00,,-0.27,,1799099.00
2018-03-21,1102.00,1102.00,1102.00,1102.00,,-1.96,,17650.00
2018-03-22,1080.00,1100.00,1040.00,1100.00,,-0.18,,553609.00
2018-03-26,1078.00,1078.00,1078.00,1057.00,,-2,,66584.00
2018-03-27,1057.00,1092.00,1036.00,1091.00,,1.3,,144342.00
2018-03-28,1071.00,1071.00,1000.00,1010.00,,-8.42,,1150130.00
2018-03-29,1020.00,1020.00,961.00,1000.00,,1.8,,305478.00
2018-04-01,1000.00,1010.00,972.00,973.00,,-4.52,,143188.00
2018-04-02,972.00,972.00,960.00,960.00,,-1.23,,140560.00
2018-04-03,960.00,975.00,951.00,955.00,,-0.94,,1216268.00
2018-04-05,1009.00,1048.00,1008.00,1028.00,,0,,299863.00
2018-04-08,1048.00,1130.00,1048.00,1098.00,,6.81,,814450.00
2018-04-09,1119.00,1141.00,1081.00,1081.00,,-1.55,,2757263.00
2018-04-10,0.00,0.00,0.00,1081.00,,0,,3243.00
2018-04-11,1060.00,1060.00,1040.00,1060.00,,-1.94,,91485.00
2018-04-12,1081.00,1081.00,1020.00,1040.00,,-1.89,,518119.00
2018-04-15,1040.00,1050.00,1021.00,1021.00,,-1.83,,83508.00
2018-04-16,1029.00,1123.00,1029.00,1123.00,,9.99,,848452.00
2018-04-17,1123.00,1235.00,1145.00,1235.00,,9.97,,655110.00
2018-04-18,1259.00,1334.00,1240.00,1334.00,,8.02,,1829272.00
2018-04-19,1349.00,1349.00,1297.00,1297.00,,-2.77,,346780.00
2018-04-22,1297.00,1326.00,1272.00,1326.00,,2.24,,1024206.00
2018-04-23,1352.00,1352.00,1299.00,1299.00,,-2.04,,441040.00
2018-04-24,1324.00,1324.00,1299.00,1299.00,,0,,381975.00
2018-04-25,1324.00,1328.00,1298.00,1298.00,,-0.08,,633631.00
2018-04-26,1320.00,1320.00,1200.00,1200.00,,-7.55,,487450.00
2018-04-29,1176.00,1222.00,1176.00,1222.00,,1.83,,70117.00
2018-05-02,1222.00,1209.00,1198.00,1200.00,,-1.8,,104551.00
2018-05-03,1224.00,1297.00,1224.00,1259.00,,4.92,,677549.00
2018-05-06,1284.00,1300.00,1275.00,1279.00,,1.59,,452452.00
2018-05-07,1304.00,1305.00,1265.00,1280.00,,0.08,,442166.00
2018-05-08,1280.00,1290.00,1260.00,1290.00,,0.78,,763914.00
2018-05-09,1290.00,1299.00,1299.00,1299.00,,0.7,,51732.00
2018-05-10,1299.00,1310.00,1285.00,1310.00,,0.85,,1492871.00
2018-05-14,1290.00,1300.00,1281.00,1290.00,,-1.53,,444584.00
2018-05-15,1290.00,1290.00,1290.00,1290.00,,0,,25800.00
2018-05-16,1315.00,1315.00,1300.00,1300.00,,0.78,,90450.00
2018-05-17,1281.00,1281.00,1280.00,1280.00,,-1.54,,40979.00
2018-05-20,1255.00,1255.00,1255.00,1255.00,,-1.95,,94125.00
2018-05-21,1255.00,1330.00,1243.00,1330.00,,5.98,,197762.00
2018-05-22,1330.00,1409.00,1329.00,1409.00,,5.94,,1252439.00
2018-05-23,1400.00,1407.00,1361.00,1407.00,,-0.14,,669338.00
2018-05-24,1407.00,1391.00,1381.00,1381.00,,-1.85,,86100.00
2018-05-28,1381.00,1408.00,1354.00,1400.00,,1.38,,389077.00
2018-05-29,1428.00,1428.00,1345.00,1350.00,,-3.93,,581786.00
2018-05-30,1323.00,1400.00,1323.00,1355.00,,0.22,,611700.00
2018-05-31,1330.00,1333.00,1297.00,1322.00,,-1.93,,489986.00
2018-06-03,1296.00,1296.00,1273.00,1273.00,,-3.71,,63067.00
2018-06-04,1248.00,1254.00,1177.00,1183.00,,-7.07,,599892.00
2018-06-06,1206.00,1254.00,1206.00,1206.00,,1.94,,208076.00
2018-06-07,1205.00,1205.00,1170.00,1200.00,,-0.5,,628723.00
2018-06-10,1200.00,1200.00,1153.00,1153.00,,-3.92,,169190.00
2018-06-11,1155.00,1195.00,1150.00,1175.00,,1.91,,355229.00
2018-06-12,1155.00,1198.00,1130.00,1198.00,,1.96,,977407.00
2018-06-13,1175.00,1209.00,1153.00,1180.00,,0.92,,437613.00
2018-06-14,1233.00,1233.00,1153.00,1176.00,,-2.73,,168192.00
2018-06-17,1160.00,1160.00,1153.00,1160.00,,-1.36,,89177.00
2018-06-18,1165.00,1188.00,1165.00,1188.00,,2.41,,370671.00
2018-06-19,1205.00,1205.00,1181.00,1181.00,,-0.59,,35680.00
2018-06-20,1159.00,1165.00,1159.00,1165.00,,-1.35,,47675.00
2018-06-21,1180.00,1180.00,1150.00,1150.00,,-1.29,,150124.00
2018-06-24,1143.00,1143.00,1143.00,1143.00,,-0.61,,21717.00
2018-06-25,1145.00,1145.00,1145.00,1145.00,,0.17,,21755.00
2018-06-26,1143.00,1150.00,1121.00,1121.00,,-2.1,,222335.00
2018-06-27,1143.00,1143.00,1143.00,1143.00,,1.96,,114300.00
2018-06-28,1163.00,1163.00,1155.00,1155.00,,1.75,,40625.00
2018-07-01,1140.00,1141.00,1140.00,1140.00,,-1.98,,102640.00
2018-07-02,1120.00,1140.00,1120.00,1140.00,,0,,130670.00
2018-07-03,1120.00,1130.00,1120.00,1129.00,,-0.88,,201860.00
2018-07-04,1130.00,1162.00,1130.00,1150.00,,1.77,,126537.00
2018-07-05,1170.00,1208.00,1147.00,1208.00,,5.04,,725932.00
2018-07-08,1232.00,1232.00,1232.00,1208.00,,1.99,,67640.00
2018-07-09,1208.00,1208.00,1184.00,1170.00,,-3.9,,105124.00
2018-07-10,1161.00,1170.00,1161.00,1161.00,,-1.94,,117526.00
2018-07-11,1184.00,1249.00,1184.00,1229.00,,5.86,,406285.00
2018-07-12,1253.00,1300.00,1201.00,1201.00,,-2.28,,306173.00
2018-07-15,1195.00,1200.00,1170.00,1200.00,,-0.08,,203732.00
2018-07-16,1224.00,1248.00,1200.00,1248.00,,4,,175120.00
2018-07-17,1272.00,1295.00,1270.00,1270.00,,1.76,,238003.00
2018-07-18,1270.00,1270.00,1221.00,1240.00,,-3.86,,66140.00
2018-07-19,1201.00,1201.00,1197.00,1197.00,,-1.97,,27640.00
2018-07-22,1175.00,1175.00,1174.00,1175.00,,-1.92,,34056.00
2018-07-23,1169.00,1177.00,1154.00,1177.00,,0.25,,102744.00
2018-07-24,1200.00,1224.00,1200.00,1200.00,,1.95,,144240.00
2018-07-25,1176.00,1176.00,1176.00,1176.00,,-2,,138768.00
2018-07-26,1154.00,1154.00,1145.00,1145.00,,-2.64,,181547.00
2018-07-29,1167.00,1167.00,1144.00,1144.00,,-0.09,,51875.00
2018-07-30,1122.00,1122.00,1122.00,1100.00,,-1.92,,178376.00
2018-07-31,1130.00,1130.00,1130.00,1130.00,,0.71,,21470.00
2018-08-01,1152.00,1152.00,1150.00,1152.00,,1.95,,139283.00
2018-08-05,1145.00,1145.00,1142.00,1144.00,,-0.69,,123527.00
2018-08-07,1122.00,1122.00,1100.00,1122.00,,-1.92,,98774.00
2018-08-08,1100.00,1101.00,1066.00,1080.00,,-1.87,,193959.00
2018-08-09,1079.00,1085.00,1079.00,1080.00,,-1.91,,239822.00
2018-08-12,1070.00,1070.00,1070.00,1070.00,,-0.93,,10700.00
2018-08-13,1080.00,1080.00,1070.00,1070.00,,0,,43000.00
2018-08-14,1049.00,1080.00,1029.00,1080.00,,0.93,,137454.00
2018-08-15,1090.00,1111.00,1090.00,1111.00,,2.87,,34021.00
2018-08-16,1111.00,1147.00,1110.00,1120.00,,-0.09,,1265965.00
2018-08-19,1089.00,1089.00,1088.00,1088.00,,-1.98,,126227.00
2018-08-20,1067.00,1067.00,1046.00,1046.00,,-3.86,,21130.00
2018-08-21,1026.00,1055.00,1025.00,1040.00,,0.86,,198023.00
2018-08-23,1015.00,1034.00,1015.00,1026.00,,0,,116518.00
2018-08-26,1035.00,1035.00,1015.00,1015.00,,-1.84,,42055.00
2018-08-28,995.00,1055.00,995.00,1055.00,,3.94,,178120.00
2018-08-29,1050.00,1050.00,1030.00,1030.00,,-2.37,,39520.00
2018-08-30,1010.00,1010.00,1010.00,1010.00,,-1.94,,19190.00
2018-09-02,1010.00,1050.00,1010.00,1050.00,,3.96,,178650.00
2018-09-03,1055.00,1139.00,1055.00,1139.00,,8.48,,89523.00
2018-09-04,1120.00,1120.00,1117.00,1120.00,,-1.93,,123170.00
2018-09-05,1139.00,1184.00,1139.00,1184.00,,6,,116460.00
2018-09-06,1162.00,1175.00,1138.00,1175.00,,-0.76,,301282.00
2018-09-09,1152.00,1152.00,1130.00,1140.00,,-3.83,,361958.00
2018-09-10,1130.00,1130.00,1130.00,1130.00,,0,,17948.00
2018-09-11,1152.00,1198.00,1152.00,1152.00,,1.95,,153649.00
2018-09-13,1175.00,1175.00,1160.00,1160.00,,2,,85249.00
2018-09-16,1180.00,1180.00,1175.00,1175.00,,0,,182576.00
2018-09-17,1152.00,1160.00,1152.00,1160.00,,-1.28,,83440.00
2018-09-18,1142.00,1142.00,1140.00,1140.00,,-1.72,,103836.00
2018-09-20,1120.00,1140.00,1120.00,1130.00,,-0.88,,148438.00
2018-09-23,1152.00,1152.00,1150.00,1129.00,,1.95,,105548.00
2018-09-25,1129.00,1150.00,1129.00,1150.00,,-0.17,,177493.00
2018-09-26,1140.00,1196.00,1140.00,1189.00,,1.87,,343621.00
2018-09-27,1195.00,1203.00,1180.00,1203.00,,0.67,,459826.00
2018-09-30,1179.00,1198.00,1175.00,1175.00,,-2.33,,281652.00
2018-10-01,1155.00,1174.00,1155.00,1155.00,,-1.7,,335316.00
2018-10-02,1134.00,1155.00,1134.00,1140.00,,-1.3,,133149.00
2018-10-03,1140.00,1184.00,1140.00,1161.00,,1.84,,907323.00
2018-10-04,1141.00,1145.00,1140.00,1141.00,,-1.72,,320910.00
2018-10-08,1140.00,1150.00,1130.00,1150.00,,0.79,,515170.00
2018-10-09,1173.00,1260.00,1170.00,1219.00,,6,,4021892.00
2018-10-10,1196.00,1196.00,1196.00,1196.00,,-1.89,,120795.00
2018-10-11,1196.00,1196.00,1175.00,1189.00,,-0.59,,161619.00
2018-10-21,1189.00,1189.00,1150.00,1150.00,,-3.28,,90856.00
2018-10-22,1128.00,1128.00,1128.00,1128.00,,-1.91,,42864.00
2018-10-23,1150.00,1170.00,1150.00,1170.00,,3.72,,162250.00
2018-10-24,1184.00,1232.00,1184.00,1232.00,,5.3,,729106.00
2018-10-25,1256.00,1306.00,1256.00,1270.00,,3.08,,2046004.00
2018-10-28,1270.00,1270.00,1255.00,1257.00,,-1.1,,1232231.00
2018-10-29,1240.00,1240.00,1216.00,1220.00,,-3.18,,310672.00
2018-10-30,1240.00,1250.00,1206.00,1206.00,,-0.82,,1514821.00
2018-10-31,1230.00,1250.00,1230.00,1240.00,,2.82,,362030.00
2018-11-01,1240.00,1270.00,1240.00,1270.00,,2.42,,1390600.00
2018-11-04,1104.00,1126.00,1104.00,1104.00,,0,,51444.00
2018-11-05,1126.00,1167.00,1126.00,1167.00,,5.71,,98094.00
2018-11-15,1168.00,1170.00,1168.00,1170.00,,0.17,,154122.00
2018-11-18,1160.00,1160.00,1120.00,1159.00,,-0.09,,162064.00
2018-11-19,1159.00,1163.00,1140.00,1140.00,,-1.64,,435240.00
2018-11-20,1140.00,1140.00,1122.00,1140.00,,0,,57402.00
2018-11-21,1140.00,1144.00,1139.00,1144.00,,0.35,,257788.00
2018-11-22,1144.00,1150.00,1136.00,1136.00,,-0.7,,242490.00
2018-11-25,1136.00,1136.00,1115.00,1115.00,,-1.85,,24530.00
2018-11-26,1115.00,1115.00,1093.00,1093.00,,-1.97,,10930.00
2018-11-27,1093.00,1110.00,1093.00,1100.00,,0.64,,342650.00
2018-11-28,1100.00,1100.00,1075.00,1075.00,,-2.27,,216000.00
2018-11-29,1075.00,1084.00,1044.00,1044.00,,-2.88,,149186.00
2018-12-02,1044.00,1044.00,1000.00,1000.00,,-4.21,,174354.00
2018-12-03,1019.00,1040.00,982.00,982.00,,-3.63,,185918.00
2018-12-04,990.00,990.00,940.00,940.00,,-5.05,,118482.00
2018-12-06,928.00,930.00,912.00,914.00,,-1.51,,49608.00
2018-12-11,914.00,921.00,903.00,921.00,,0.77,,44704.00
2018-12-12,921.00,933.00,920.00,930.00,,0.98,,169099.00
