Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2019-06-03,292.00,292.00,292.00,292.00,,4.66,,2920.00
2019-06-04,306.00,312.00,306.00,312.00,,6.85,,6180.00
2019-06-06,327.00,327.00,327.00,327.00,,4.81,,3270.00
2019-06-16,343.00,343.00,343.00,343.00,,4.89,,3430.00
2019-06-17,360.00,360.00,360.00,360.00,,4.96,,270000.00
2019-06-18,378.00,385.00,378.00,385.00,,6.94,,7630.00
2019-06-20,404.00,423.00,404.00,423.00,,9.87,,84270.00
2019-06-23,444.00,465.00,444.00,465.00,,9.93,,97270.00
2019-06-24,488.00,511.00,456.00,462.00,,-0.65,,5219423.00
2019-06-25,466.00,466.00,440.00,440.00,,-4.76,,2730470.00
2019-06-26,462.00,462.00,409.00,412.00,,-6.36,,1727930.00
2019-06-27,405.00,410.00,397.00,405.00,,-1.7,,1165470.00
2019-06-30,405.00,410.00,380.00,381.00,,-5.93,,1512910.00
2019-07-01,381.00,395.00,369.00,393.00,,3.15,,673000.00
2019-07-02,390.00,395.00,382.00,387.00,,-1.53,,508060.00
2019-07-03,387.00,406.00,383.00,398.00,,2.84,,580835.00
2019-07-04,392.00,410.00,392.00,398.00,,0,,520860.00
2019-07-07,400.00,405.00,384.00,392.00,,-1.51,,356430.00
2019-07-08,390.00,395.00,379.00,388.00,,-1.02,,341460.00
2019-07-09,390.00,402.00,384.00,402.00,,3.61,,394450.00
2019-07-10,396.00,400.00,392.00,392.00,,-2.49,,179010.00
2019-07-11,399.00,401.00,392.00,400.00,,2.04,,355325.00
2019-07-14,400.00,400.00,385.00,385.00,,-3.75,,156250.00
2019-07-15,392.00,405.00,386.00,400.00,,3.9,,186020.00
2019-07-16,400.00,400.00,390.00,400.00,,0,,174130.00
2019-07-17,392.00,400.00,385.00,391.00,,-2.25,,94370.00
2019-07-18,390.00,400.00,390.00,395.00,,1.02,,51320.00
2019-07-21,395.00,398.00,385.00,398.00,,0.76,,219680.00
2019-07-22,391.00,399.00,386.00,394.00,,-1.01,,121720.00
2019-07-23,395.00,405.00,393.00,397.00,,0.76,,359710.00
2019-07-24,400.00,416.00,400.00,405.00,,2.02,,365085.00
2019-07-25,400.00,410.00,398.00,403.00,,-0.49,,522930.00
2019-07-28,400.00,403.00,397.00,401.00,,-0.5,,111970.00
2019-07-29,396.00,441.00,396.00,427.00,,6.48,,738090.00
2019-07-30,435.00,451.00,429.00,448.00,,4.92,,1552475.00
2019-07-31,450.00,492.00,446.00,492.00,,9.82,,3326920.00
2019-08-01,500.00,541.00,500.00,541.00,,9.96,,4468050.00
2019-08-04,545.00,590.00,545.00,579.00,,7.02,,3262165.00
2019-08-05,580.00,591.00,522.00,525.00,,-9.33,,2468892.00
2019-08-06,517.00,519.00,476.00,486.00,,-7.43,,1481620.00
2019-08-07,477.00,534.00,468.00,534.00,,9.88,,2352480.00
2019-08-08,543.00,556.00,531.00,541.00,,1.31,,1776085.00
2019-08-11,551.00,551.00,522.00,535.00,,-1.11,,367805.00
2019-08-12,540.00,550.00,531.00,540.00,,0.93,,886930.00
2019-08-13,530.00,549.00,523.00,535.00,,-0.93,,822310.00
2019-08-14,535.00,535.00,521.00,527.00,,-1.5,,1031270.00
2019-08-15,535.00,535.00,509.00,526.00,,-0.19,,1713170.00
2019-08-18,526.00,516.00,499.00,501.00,,-4.75,,305720.00
2019-08-19,500.00,521.00,500.00,521.00,,3.99,,271405.00
2019-08-20,515.00,530.00,495.00,496.00,,-4.8,,147670.00
2019-08-21,489.00,499.00,481.00,481.00,,-3.02,,454495.00
2019-08-22,481.00,510.00,480.00,480.00,,-0.21,,258600.00
2019-08-25,486.00,494.00,478.00,494.00,,2.92,,464160.00
2019-08-26,485.00,490.00,476.00,489.00,,-1.01,,169070.00
2019-08-27,480.00,490.00,473.00,487.00,,-0.41,,212320.00
2019-08-28,479.00,482.00,471.00,474.00,,-2.67,,516380.00
2019-08-29,468.00,485.00,468.00,475.00,,0.21,,186530.00
2019-09-01,470.00,480.00,459.00,480.00,,1.05,,338800.00
2019-09-02,471.00,471.00,455.00,458.00,,-4.58,,243210.00
2019-09-03,466.00,476.00,457.00,471.00,,2.84,,424810.00
2019-09-04,462.00,490.00,457.00,490.00,,4.03,,345595.00
2019-09-05,482.00,483.00,466.00,478.00,,-2.45,,518220.00
2019-09-08,487.00,490.00,465.00,468.00,,-2.09,,223850.00
2019-09-09,471.00,473.00,464.00,464.00,,-0.85,,243310.00
2019-09-10,465.00,467.00,458.00,460.00,,-0.86,,134920.00
2019-09-11,460.00,464.00,455.00,457.00,,-0.65,,54920.00
2019-09-15,453.00,453.00,430.00,430.00,,-3.8,,156320.00
2019-09-16,430.00,430.00,415.00,416.00,,-3.26,,449540.00
2019-09-17,417.00,456.00,417.00,456.00,,9.62,,187070.00
2019-09-18,456.00,496.00,452.00,496.00,,8.77,,165670.00
2019-09-19,496.00,496.00,453.00,454.00,,-8.47,,662800.00
2019-09-22,446.00,450.00,432.00,432.00,,-4.85,,342130.00
2019-09-23,425.00,444.00,425.00,441.00,,2.08,,210460.00
2019-09-24,435.00,445.00,435.00,445.00,,0.91,,100780.00
2019-09-25,445.00,452.00,425.00,427.00,,-4.04,,269260.00
2019-09-26,426.00,435.00,424.00,427.00,,0,,209300.00
2019-09-29,422.00,430.00,422.00,430.00,,0.7,,85030.00
2019-09-30,428.00,438.00,428.00,430.00,,0,,250780.00
2019-10-01,435.00,443.00,435.00,436.00,,0.69,,65470.00
2019-10-02,431.00,431.00,430.00,430.00,,-1.38,,77430.00
2019-10-03,438.00,438.00,437.00,437.00,,1.63,,21870.00
2019-10-10,437.00,437.00,430.00,430.00,,-1.6,,8670.00
2019-10-14,424.00,430.00,424.00,427.00,,-0.7,,68330.00
2019-10-15,430.00,430.00,430.00,430.00,,0.7,,43000.00
2019-10-16,425.00,426.00,420.00,426.00,,-0.93,,42380.00
2019-10-17,423.00,434.00,423.00,434.00,,1.88,,59860.00
2019-10-20,430.00,431.00,417.00,418.00,,-3.69,,174130.00
2019-10-21,414.00,426.00,412.00,418.00,,0,,157105.00
2019-10-22,411.00,420.00,411.00,420.00,,0.48,,119840.00
2019-10-23,420.00,420.00,410.00,411.00,,-2.14,,190370.00
2019-10-24,418.00,425.00,410.00,425.00,,3.41,,537050.00
2019-10-31,417.00,433.00,417.00,432.00,,1.65,,261830.00
2019-11-03,425.00,425.00,417.00,418.00,,-3.24,,50760.00
2019-11-05,418.00,420.00,413.00,418.00,,0,,152520.00
2019-11-06,419.00,427.00,422.00,422.00,,0.72,,150625.00
2019-11-06,418.00,432.00,417.00,419.00,,0.24,,150625.00
2019-11-07,422.00,430.00,418.00,423.00,,0.24,,263840.00
2019-11-10,420.00,433.00,416.00,425.00,,0.47,,239570.00
2019-11-11,430.00,463.00,430.00,454.00,,6.82,,402920.00
2019-11-12,463.00,463.00,430.00,449.00,,-1.1,,1071120.00
2019-11-13,410.00,420.00,405.00,420.00,,0.66,,860082.00
2019-11-14,420.00,420.00,411.00,420.00,,0,,470145.00
2019-11-17,412.00,412.00,400.00,400.00,,-4.76,,487290.00
2019-11-18,396.00,403.00,396.00,400.00,,0,,27950.00
2019-11-19,393.00,415.00,393.00,415.00,,3.75,,162620.00
2019-11-20,407.00,407.00,395.00,401.00,,-3.37,,100330.00
2019-11-21,401.00,405.00,394.00,394.00,,-1.75,,143410.00
2019-11-24,387.00,387.00,371.00,375.00,,-4.82,,230960.00
2019-11-25,376.00,377.00,372.00,376.00,,0.27,,74950.00
2019-11-26,371.00,384.00,371.00,384.00,,2.13,,34000.00
2019-11-27,380.00,408.00,380.00,408.00,,6.25,,83620.00
2019-11-28,416.00,423.00,411.00,423.00,,3.68,,215950.00
2019-12-01,429.00,429.00,400.00,408.00,,-3.55,,98760.00
2019-12-02,401.00,405.00,400.00,405.00,,-0.74,,16070.00
2019-12-03,400.00,401.00,395.00,395.00,,-2.47,,83630.00
2019-12-04,390.00,426.00,390.00,426.00,,7.85,,797930.00
2019-12-05,425.00,425.00,415.00,415.00,,-2.58,,539290.00
2019-12-08,410.00,423.00,410.00,423.00,,1.93,,188310.00
2019-12-09,425.00,455.00,425.00,452.00,,6.86,,1344340.00
2019-12-10,450.00,475.00,441.00,466.00,,3.1,,747160.00
2019-12-11,470.00,492.00,451.00,482.00,,3.43,,964540.00
2019-12-12,491.00,500.00,457.00,459.00,,-4.77,,1209616.00
2019-12-15,450.00,450.00,435.00,443.00,,-3.49,,368495.00
2019-12-16,430.00,448.00,430.00,436.00,,-0.23,,381558.00
2019-12-17,435.00,444.00,431.00,439.00,,0.69,,196210.00
2019-12-18,447.00,447.00,435.00,435.00,,-0.91,,44140.00
2019-12-19,427.00,443.00,425.00,443.00,,1.84,,51770.00
2019-12-22,451.00,451.00,427.00,427.00,,-3.61,,121830.00
2019-12-23,427.00,469.00,427.00,469.00,,9.84,,812580.00
2019-12-24,470.00,470.00,446.00,446.00,,-4.9,,516020.00
2019-12-25,446.00,472.00,445.00,455.00,,2.02,,1048338.00
2019-12-26,462.00,465.00,455.00,455.00,,0,,651040.00
2019-12-29,459.00,460.00,446.00,446.00,,-1.98,,89840.00
2019-12-30,441.00,454.00,438.00,454.00,,1.79,,538640.00
2019-12-31,447.00,460.00,445.00,450.00,,-0.88,,211070.00
2020-01-01,450.00,455.00,449.00,455.00,,1.11,,231120.00
2020-01-02,456.00,474.00,456.00,460.00,,1.1,,907985.00
2020-01-05,469.00,496.00,460.00,465.00,,1.09,,859390.00
2020-01-06,474.00,494.00,474.00,494.00,,6.24,,1439586.00
2020-01-07,503.00,530.00,500.00,530.00,,7.29,,2229240.00
2020-01-08,540.00,550.00,518.00,545.00,,2.83,,2845880.00
2020-01-09,535.00,589.00,535.00,581.00,,6.6,,4138983.00
2020-01-12,590.00,629.00,582.00,629.00,,8.26,,3563282.00
2020-01-13,640.00,679.00,616.00,616.00,,-2.07,,3302561.00
2020-01-14,616.00,620.00,590.00,595.00,,-3.41,,1485180.00
2020-01-15,585.00,638.00,585.00,638.00,,7.23,,1270250.00
2020-01-16,638.00,693.00,638.00,652.00,,2.19,,2639621.00
2020-01-19,665.00,683.00,665.00,670.00,,2.76,,1583950.00
2020-01-20,657.00,657.00,633.00,633.00,,-5.52,,685930.00
2020-01-21,656.00,663.00,636.00,660.00,,2.48,,1381638.00
2020-01-22,651.00,664.00,637.00,645.00,,-2.27,,897830.00
