Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2021-03-16,299.00,328.00,299.00,328.00,,9.7,,3328672.00
2021-03-17,344.00,360.00,344.00,360.00,,9.76,,12618280.00
2021-03-18,378.00,396.00,378.00,396.00,,10,,10646630.00
2021-03-21,415.00,435.00,357.00,372.00,,-6.06,,95703828.00
2021-03-22,372.00,392.00,340.00,392.00,,5.38,,16253724.00
2021-03-23,411.00,411.00,363.00,388.00,,-1.02,,12504581.00
2021-03-24,395.00,416.00,370.00,399.00,,2.84,,23258178.00
2021-03-25,410.00,410.00,378.00,389.00,,-2.51,,10990910.00
2021-03-29,395.00,395.00,372.00,380.00,,-2.31,,10115667.00
2021-03-30,375.00,390.00,368.00,379.00,,-0.26,,7758416.00
2021-04-01,376.00,382.00,375.00,377.00,,-0.79,,5905334.00
2021-04-01,392.00,392.00,370.00,380.00,,0.26,,5905334.00
2021-04-04,395.00,395.00,372.00,380.00,,0.8,,9027808.00
2021-04-05,380.00,385.00,373.00,377.00,,-0.79,,5498165.00
2021-04-06,370.00,377.00,365.00,374.00,,-0.8,,6444115.00
2021-04-07,389.00,389.00,362.00,373.00,,-0.27,,6468018.00
2021-04-08,390.00,410.00,371.00,410.00,,9.92,,32544212.00
2021-04-12,410.00,421.00,400.00,401.00,,-2.2,,19333751.00
2021-04-13,381.00,409.00,381.00,397.00,,-1,,7136378.00
2021-04-15,405.00,410.00,388.00,393.00,,-1.01,,7171269.00
2021-04-18,400.00,400.00,386.00,390.00,,-0.76,,4803746.00
2021-04-19,395.00,401.00,372.00,383.00,,-1.79,,4807956.00
2021-04-20,376.00,392.00,376.00,387.00,,1.04,,5698555.00
2021-04-21,391.00,395.00,381.00,388.00,,-0.77,,3688340.00
2021-04-22,381.00,386.00,374.00,386.00,,-0.52,,4656120.00
2021-04-25,379.00,379.00,364.00,372.00,,-3.63,,7720371.00
2021-04-26,365.00,365.00,345.00,356.00,,-4.3,,9467544.00
2021-04-27,350.00,369.00,349.00,369.00,,3.65,,4680746.00
2021-04-28,379.00,379.00,353.00,360.00,,-2.17,,2636917.00
2021-04-29,350.00,374.00,350.00,367.00,,1.94,,4827880.00
2021-05-02,365.00,378.00,365.00,375.00,,2.18,,4879330.00
2021-05-03,368.00,382.00,368.00,371.00,,-1.07,,7139555.00
2021-05-04,373.00,383.00,364.00,383.00,,3.23,,8164538.00
2021-05-05,383.00,405.00,369.00,400.00,,4.44,,22328554.00
2021-05-06,405.00,405.00,382.00,388.00,,-3,,7536912.00
2021-05-09,407.00,407.00,375.00,384.00,,-1.03,,12587489.00
2021-05-10,403.00,422.00,369.00,386.00,,0.52,,6302749.00
2021-05-11,379.00,394.00,372.00,393.00,,1.81,,8618911.00
2021-05-12,400.00,400.00,385.00,393.00,,0,,18806097.00
2021-05-13,395.00,400.00,390.00,399.00,,1.53,,15664321.00
2021-05-16,399.00,399.00,383.00,388.00,,-2.76,,17924917.00
2021-05-17,369.00,390.00,369.00,389.00,,0.26,,13935580.00
2021-05-18,383.00,417.00,383.00,406.00,,4.37,,35638950.00
2021-05-19,410.00,410.00,392.00,393.00,,-3.2,,7340143.00
2021-05-20,395.00,402.00,386.00,388.00,,-1.27,,6670731.00
2021-05-23,380.00,395.00,380.00,391.00,,0.77,,8136005.00
2021-05-24,398.00,398.00,386.00,387.00,,-1.02,,12292787.00
2021-05-25,382.00,408.00,382.00,401.00,,3.62,,21137832.00
2021-05-27,401.00,434.00,400.00,420.00,,4.74,,48827506.00
2021-05-30,425.00,443.00,399.00,402.00,,-4.29,,30097825.00
2021-05-31,382.00,407.00,382.00,388.00,,-3.48,,13291032.00
2021-06-01,385.00,390.00,385.00,381.00,,-1.8,,7957424.00
2021-06-02,381.00,390.00,378.00,392.00,,2.89,,8769623.00
2021-06-03,392.00,394.00,381.00,382.00,,-2.55,,11407086.00
2021-06-06,383.00,385.00,370.00,374.00,,-2.35,,13239931.00
2021-06-07,380.00,386.00,373.00,383.00,,2.41,,11892925.00
2021-06-08,378.00,393.00,378.00,382.00,,-0.26,,14505409.00
2021-06-09,382.00,388.00,378.00,378.00,,-1.05,,8471591.00
2021-06-10,361.00,385.00,361.00,415.00,,6.35,,36091807.00
2021-06-13,435.00,441.00,403.00,441.00,,6.02,,69660187.00
2021-06-14,463.00,463.00,423.00,424.00,,-3.85,,29698389.00
2021-06-15,415.00,428.00,406.00,410.00,,-3.3,,23103988.00
2021-06-16,402.00,415.00,383.00,392.00,,-2.93,,15768325.00
2021-06-17,393.00,409.00,384.00,397.00,,1.28,,8546222.00
2021-06-20,390.00,392.00,380.00,382.00,,-4.03,,11154248.00
2021-06-21,376.00,389.00,373.00,379.00,,-0.79,,5739918.00
2021-06-22,390.00,395.00,370.00,395.00,,4.22,,6472941.00
2021-06-23,414.00,414.00,378.00,378.00,,-4.3,,3896660.00
2021-06-24,380.00,385.00,375.00,378.00,,0,,5146275.00
2021-06-27,378.00,390.00,375.00,378.00,,0,,5384814.00
2021-06-28,396.00,396.00,371.00,373.00,,-1.32,,7769171.00
2021-06-29,371.00,375.00,364.00,365.00,,-2.14,,4981029.00
2021-06-30,365.00,366.00,355.00,360.00,,-1.37,,3181493.00
2021-07-01,356.00,377.00,356.00,367.00,,1.94,,4171405.00
2021-07-04,360.00,370.00,359.00,359.00,,-2.18,,3828549.00
2021-07-05,355.00,364.00,352.00,353.00,,-1.67,,3507490.00
2021-07-06,345.00,365.00,345.00,351.00,,-0.57,,2308450.00
2021-07-07,355.00,355.00,342.00,342.00,,-2.56,,2825115.00
2021-07-08,339.00,355.00,339.00,349.00,,1.75,,3447740.00
2021-07-11,350.00,372.00,349.00,370.00,,6.02,,3394381.00
2021-07-12,365.00,373.00,353.00,358.00,,-3.24,,6388428.00
2021-07-13,356.00,362.00,351.00,358.00,,0,,3423157.00
2021-07-14,353.00,369.00,353.00,368.00,,2.79,,2200585.00
2021-07-15,368.00,380.00,361.00,373.00,,1.36,,4680991.00
2021-07-18,373.00,384.00,373.00,380.00,,1.88,,5905388.00
2021-07-19,385.00,387.60,373.00,380.00,,0,,6683892.00
2021-07-20,373.00,386.00,373.00,382.00,,0.53,,8556624.20
2021-07-22,385.00,415.00,380.00,407.00,,8.12,,49445018.50
2021-07-25,415.00,431.00,408.00,421.00,,3.44,,46653941.60
2021-07-26,415.10,463.10,415.10,463.10,,10,,102196724.90
2021-07-27,472.00,509.40,463.00,502.00,,8.4,,103367047.70
2021-07-28,512.00,540.00,478.00,481.00,,-4.18,,37291022.90
2021-07-29,472.00,494.00,465.50,490.00,,1.87,,43782048.30
2021-08-01,490.00,539.00,481.50,539.00,,10,,99419488.50
2021-08-02,549.00,555.90,520.00,531.00,,-1.48,,58638238.10
2021-08-03,525.00,582.90,520.00,577.20,,8.7,,67822633.60
2021-08-04,575.00,605.00,561.00,576.00,,-0.21,,95515416.20
2021-08-05,565.00,580.00,545.90,548.00,,-4.86,,48848784.80
2021-08-08,548.00,602.80,538.50,590.00,,7.66,,64234918.60
2021-08-09,590.00,622.00,580.00,583.00,,-1.19,,54295570.80
2021-08-10,594.00,605.80,560.00,567.00,,-2.74,,53803588.00
2021-08-11,570.00,622.00,561.00,584.00,,3,,42109702.20
2021-08-12,584.00,637.00,574.00,620.00,,6.16,,139903859.50
2021-08-15,607.60,610.10,570.00,585.00,,-5.65,,50143280.40
2021-08-16,575.00,605.00,570.00,591.00,,1.03,,21845590.50
2021-08-17,591.00,650.10,591.00,633.00,,7.11,,122261693.70
2021-08-18,633.00,657.00,618.00,629.00,,-0.63,,146651355.90
2021-08-19,620.00,641.50,588.00,598.10,,-4.91,,28533415.90
2021-08-24,586.20,586.20,543.00,556.00,,-7.04,,36143764.50
2021-08-25,544.90,568.10,524.30,535.00,,-3.78,,13111474.50
2021-08-26,525.00,587.00,525.00,569.00,,6.36,,18198640.80
