Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2019-06-06,237.00,237.00,237.00,237.00,,0,,2370.00
2019-06-10,248.00,248.00,248.00,248.00,,4.64,,2480.00
2019-06-11,260.00,260.00,260.00,260.00,,4.84,,2600.00
2019-06-12,273.00,273.00,273.00,273.00,,5,,2730.00
2019-06-16,286.00,291.00,286.00,291.00,,6.59,,5770.00
2019-06-18,305.00,311.00,305.00,311.00,,6.87,,6160.00
2019-06-19,326.00,326.00,326.00,326.00,,4.82,,3260.00
2019-06-23,342.00,358.00,342.00,358.00,,9.82,,196600.00
2019-06-24,375.00,393.00,375.00,393.00,,9.78,,35040.00
2019-06-25,412.00,432.00,412.00,432.00,,9.92,,384000.00
2019-06-26,453.00,462.00,424.00,434.00,,0.46,,9349630.00
2019-06-27,430.00,438.00,430.00,436.00,,0.46,,2820340.00
2019-06-30,436.00,443.00,422.00,432.00,,-0.92,,3358900.00
2019-07-01,424.00,434.00,424.00,426.00,,-1.39,,1268740.00
2019-07-02,422.00,437.00,422.00,434.00,,1.88,,883270.00
2019-07-03,434.00,476.00,426.00,460.00,,5.99,,2543590.00
2019-07-04,460.00,469.00,450.00,464.00,,0.87,,1697654.00
2019-07-07,455.00,460.00,446.00,450.00,,-3.02,,723450.00
2019-07-08,450.00,452.00,440.00,445.00,,-1.11,,857240.00
2019-07-09,445.00,453.00,429.00,438.00,,-1.57,,365360.00
2019-07-10,430.00,441.00,430.00,441.00,,0.68,,252096.00
2019-07-11,437.00,445.00,437.00,445.00,,0.91,,971975.00
2019-07-14,445.00,450.00,432.00,440.00,,-1.12,,347110.00
2019-07-15,435.00,448.00,433.00,448.00,,1.82,,647740.00
2019-07-16,441.00,450.00,441.00,446.00,,-0.45,,579460.00
2019-07-17,441.00,459.00,441.00,454.00,,1.79,,627100.00
2019-07-18,454.00,461.00,452.00,454.00,,0,,256050.00
2019-07-21,452.00,465.00,452.00,465.00,,2.42,,786185.00
2019-07-22,460.00,475.00,460.00,474.00,,1.94,,1059640.00
2019-07-23,470.00,494.00,469.00,493.00,,4.01,,941796.00
