Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2025-02-09,301.00,331.10,301.00,331.10,,10,,161043.00
2025-02-10,331.90,364.20,331.90,364.20,,10,,183831.00
2025-02-11,364.20,400.60,364.20,400.60,,9.99,,146775.00
2025-02-12,400.60,440.60,400.60,440.60,,9.99,,249556.00
2025-02-13,449.40,484.60,449.40,484.60,,9.99,,255972.00
2025-02-16,494.00,533.00,494.00,533.00,,9.99,,904746.00
2025-02-17,533.00,586.30,533.00,586.30,,10,,765936.00
2025-02-18,598.00,644.93,598.00,644.90,,9.99,,1443426.00
2025-02-20,657.00,709.30,657.00,709.30,,9.99,,4261075.00
2025-02-23,723.40,780.20,723.40,780.20,,10,,6962950.00
2025-02-24,795.80,858.20,795.80,858.20,,10,,6869532.00
2025-02-25,875.30,944.00,875.30,944.00,,10,,9217073.00
2025-02-27,962.80,1038.40,962.80,1038.40,,10,,33278864.00
2025-03-02,1059.10,1142.20,1059.10,1142.20,,10,,33802950.00
2025-03-03,1165.00,1256.40,1165.00,1256.40,,10,,15840555.00
2025-03-04,1281.50,1382.00,1281.50,1382.00,,10,,11647546.00
2025-03-05,1409.60,1520.20,1409.60,1520.20,,10,,112069496.00
2025-03-06,1550.60,1672.20,1550.60,1672.20,,10,,240491334.00
2025-03-09,1705.60,1839.40,1519.00,1839.40,,10,,455678013.90
2025-03-10,1874.80,2001.20,1770.00,2000.00,,8.73,,304257333.90
2025-03-11,2000.00,2000.00,1884.60,1998.10,,-0.1,,372846812.50
2025-03-12,1958.20,1968.00,1880.70,1961.00,,-1.86,,368693400.10
2025-03-16,1922.00,1960.50,1901.00,1944.10,,-0.86,,262057030.90
2025-03-17,1922.00,1993.00,1922.00,1980.00,,1.85,,132221068.60
2025-03-18,1953.00,1990.00,1952.10,1962.00,,-0.91,,79763570.30
2025-03-19,1955.00,1980.00,1935.30,1942.00,,-1.02,,89759395.50
2025-03-20,1940.00,2080.00,1922.10,2035.52,,4.82,,128129540.10
2025-03-23,2000.00,2084.00,2000.00,2068.85,,1.64,,86023694.40
2025-03-24,2070.00,2269.90,2030.10,2265.63,,9.51,,124483644.10
2025-03-25,2265.00,2410.00,2231.10,2284.09,,0.81,,99941176.60
2025-03-26,2280.00,2312.00,2151.00,2286.16,,0.09,,229879706.50
2025-03-27,2260.00,2359.00,2255.00,2297.21,,0.48,,98056619.60
2025-03-30,2300.00,2380.00,2255.00,2345.30,,2.09,,179411506.50
