Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2016-11-27,257.00,277.00,257.00,277.00,,9.92,,141324.00
2016-11-28,282.00,297.00,272.00,295.00,,6.5,,718130.00
2016-11-29,300.00,324.00,296.00,324.00,,9.83,,324768.00
2016-12-01,363.00,391.00,363.00,391.00,,9.83,,499700.00
2016-12-04,398.00,415.00,385.00,396.00,,1.28,,1316971.00
2016-12-05,396.00,396.00,357.00,358.00,,-9.6,,689251.00
2016-12-06,365.00,374.00,357.00,370.00,,3.35,,232196.00
2016-12-07,370.00,387.00,366.00,375.00,,1.35,,150270.00
2016-12-08,368.00,372.00,362.00,365.00,,-2.67,,100694.00
2016-12-11,372.00,372.00,363.00,365.00,,0,,85760.00
2016-12-12,360.00,367.00,353.00,367.00,,0.55,,537042.00
2016-12-14,374.00,380.00,367.00,380.00,,3.54,,328792.00
2016-12-15,380.00,418.00,374.00,418.00,,10,,379581.00
2016-12-18,426.00,426.00,407.00,414.00,,-0.96,,1018712.00
2016-12-19,407.00,407.00,391.00,398.00,,-3.86,,57062.00
2016-12-20,391.00,391.00,377.00,385.00,,-3.27,,34951.00
2016-12-21,378.00,380.00,371.00,380.00,,-1.3,,91178.00
2016-12-22,374.00,405.00,374.00,400.00,,5.26,,3074719.00
2016-12-26,400.00,410.00,395.00,405.00,,1.25,,273735.00
2016-12-27,405.00,405.00,391.00,398.00,,-1.73,,604154.00
2016-12-28,392.00,420.00,391.00,420.00,,5.53,,416245.00
2016-12-29,428.00,430.00,407.00,430.00,,2.38,,295225.00
2017-01-01,422.00,430.00,416.00,416.00,,-3.26,,236251.00
2017-01-02,424.00,457.00,424.00,448.00,,7.69,,2639331.00
2017-01-03,451.00,481.00,451.00,475.00,,6.03,,759526.00
2017-01-04,466.00,480.00,448.00,475.00,,0,,314909.00
2017-01-05,484.00,500.00,466.00,466.00,,-1.89,,717883.00
2017-01-08,457.00,484.00,448.00,480.00,,3.86,,711544.00
2017-01-09,493.00,500.00,466.00,484.00,,0,,612466.00
2017-01-10,490.00,495.00,480.00,495.00,,2.27,,360283.00
2017-01-12,495.00,533.00,486.00,533.00,,8.33,,1088901.00
2017-01-15,535.00,535.00,495.00,515.00,,-3.38,,211124.00
2017-01-16,525.00,566.00,525.00,566.00,,9.9,,2559544.00
2017-01-17,577.00,622.00,577.00,622.00,,9.89,,8280868.00
2017-01-18,634.00,644.00,570.00,580.00,,-6.75,,3962790.00
2017-01-19,580.00,602.00,561.00,561.00,,-3.28,,2743257.00
2017-01-22,570.00,577.00,520.00,520.00,,-7.31,,2082170.00
2017-01-23,530.00,530.00,500.00,506.00,,-2.69,,2038390.00
2017-01-24,500.00,549.00,500.00,545.00,,7.71,,2808175.00
2017-01-25,535.00,535.00,510.00,525.00,,-3.67,,634481.00
2017-01-26,515.00,516.00,515.00,515.00,,-1.9,,121125.00
2017-01-30,510.00,510.00,490.00,490.00,,-4.85,,181620.00
2017-01-31,498.00,498.00,476.00,480.00,,-2.04,,310316.00
2017-02-02,489.00,491.00,480.00,480.00,,-1.84,,389960.00
2017-02-05,489.00,489.00,472.00,475.00,,-1.04,,327660.00
2017-02-06,475.00,475.00,470.00,470.00,,-1.05,,158170.00
2017-02-07,471.00,471.00,471.00,471.00,,0.21,,140358.00
2017-02-08,473.00,473.00,473.00,473.00,,0.42,,52030.00
2017-02-09,464.00,464.00,445.00,445.00,,-5.92,,157789.00
2017-02-12,440.00,440.00,419.00,419.00,,-5.84,,178220.00
2017-02-13,411.00,411.00,400.00,400.00,,-4.53,,138540.00
2017-02-15,388.00,397.00,381.00,397.00,,0.51,,583565.00
2017-02-16,400.00,402.00,395.00,395.00,,-0.5,,298492.00
2017-02-19,402.00,402.00,402.00,402.00,,1.77,,40200.00
2017-02-20,410.00,415.00,402.00,415.00,,3.23,,81780.00
2017-02-21,423.00,423.00,410.00,418.00,,0.72,,376238.00
2017-02-22,420.00,421.00,418.00,418.00,,0,,63000.00
2017-02-23,410.00,410.00,408.00,408.00,,-2.39,,44900.00
2017-02-26,400.00,416.00,400.00,408.00,,0,,177410.00
2017-02-28,408.00,408.00,400.00,401.00,,-1.72,,92550.00
2017-03-01,393.00,393.00,373.00,373.00,,-6.98,,68515.00
2017-03-02,380.00,394.00,380.00,394.00,,5.63,,171420.00
2017-03-07,416.00,416.00,416.00,416.00,,-0.48,,9152.00
2017-03-09,415.00,420.00,413.00,420.00,,0.96,,105980.00
2017-03-14,420.00,420.00,411.00,415.00,,-2.14,,147400.00
2017-03-15,412.00,412.00,400.00,400.00,,-2.68,,60550.00
2017-03-16,402.00,410.00,402.00,410.00,,2.5,,40670.00
2017-03-19,410.00,405.00,405.00,405.00,,-1.22,,20250.00
2017-03-20,410.00,410.00,410.00,410.00,,1.23,,8610.00
2017-03-21,411.00,420.00,411.00,420.00,,2.44,,108341.00
2017-03-22,425.00,427.00,425.00,427.00,,1.67,,25600.00
2017-03-26,450.00,459.00,450.00,450.00,,1.81,,57150.00
2017-03-28,450.00,480.00,459.00,480.00,,6.67,,112068.00
2017-03-30,494.00,502.00,485.00,502.00,,1.62,,178590.00
2017-03-30,480.00,494.00,484.00,494.00,,2.92,,178590.00
2017-04-02,512.00,510.00,507.00,507.00,,1.59,,15747.00
2017-04-03,510.00,510.00,475.00,475.00,,-6.86,,294590.00
2017-04-06,466.00,512.00,475.00,512.00,,9.87,,278724.00
2017-04-09,522.00,563.00,522.00,563.00,,9.96,,778906.00
2017-04-10,574.00,619.00,574.00,619.00,,9.95,,3738598.00
2017-04-12,693.00,748.00,693.00,748.00,,10,,3807985.00
2017-04-16,730.00,797.00,653.00,653.00,,-9.93,,856652.00
2017-04-18,640.00,641.00,591.00,629.00,,-3.68,,1697747.00
2017-04-19,629.00,681.00,618.00,681.00,,8.27,,1138906.00
2017-04-20,694.00,733.00,694.00,720.00,,5.73,,1450309.00
2017-04-24,706.00,715.00,685.00,707.00,,-1.81,,1260767.00
2017-04-24,720.00,734.00,720.00,720.00,,0,,1260767.00
