Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2022-04-19,271.10,298.20,271.10,298.20,,0,,83244.00
2022-04-20,304.10,328.00,304.10,328.00,,9.99,,106284.50
2022-04-21,334.50,360.80,334.50,360.80,,10,,1058227.10
2022-04-24,368.00,396.80,368.00,396.80,,9.98,,9271630.90
2022-04-25,404.70,436.40,373.00,399.00,,0.55,,47099315.90
2022-04-26,400.00,406.00,375.00,390.00,,-2.26,,12240866.90
2022-04-27,390.00,390.00,376.00,385.00,,-1.28,,7563877.00
2022-04-28,390.00,392.00,376.60,377.40,,-1.97,,6718459.50
2022-05-02,370.00,371.00,339.70,358.00,,-5.14,,11962451.30
2022-05-04,359.00,359.00,322.20,324.50,,-9.36,,13000972.00
2022-05-05,318.20,323.00,303.00,304.00,,-6.32,,5549899.10
2022-05-08,304.00,316.00,288.20,310.00,,1.97,,6299497.40
2022-05-09,315.00,315.00,297.00,305.00,,-1.61,,3057362.80
2022-05-10,311.10,315.00,298.90,307.00,,0.66,,5017307.00
2022-05-11,307.00,334.50,303.20,325.50,,6.03,,6908891.00
2022-05-12,328.80,336.00,313.60,320.70,,-1.47,,6034107.50
2022-05-17,318.00,318.00,291.50,291.50,,-9.11,,4628160.50
2022-05-18,292.00,307.00,284.30,305.00,,4.63,,4804442.80
2022-05-19,300.00,306.00,290.00,300.00,,-1.64,,4061736.50
2022-05-20,295.00,306.00,290.20,295.00,,-1.67,,2198517.00
2022-05-23,289.10,295.00,285.50,286.40,,-2.92,,2056800.00
2022-05-24,285.00,297.00,282.10,290.70,,1.5,,2827623.20
2022-05-25,294.70,299.00,285.40,290.50,,-0.07,,1359604.40
2022-05-26,290.50,298.80,286.10,291.00,,0.17,,2637823.00
2022-05-27,290.00,295.00,285.40,289.90,,-0.38,,2966138.50
2022-05-30,285.00,295.00,280.00,281.00,,-3.07,,1910264.30
2022-05-31,276.00,280.00,271.00,280.00,,-0.36,,2627646.00
2022-06-01,276.00,282.90,271.40,276.00,,-1.43,,1348068.50
2022-06-02,271.10,279.40,269.10,271.00,,-1.81,,1557999.20
2022-06-03,266.00,277.40,266.00,271.00,,0,,2608741.00
2022-06-06,270.00,279.90,270.00,270.00,,-0.37,,1832029.00
2022-06-07,265.00,273.00,260.20,261.10,,-3.3,,2171584.40
2022-06-08,256.00,287.00,256.00,275.00,,5.32,,3074503.30
2022-06-09,275.00,280.50,265.10,265.10,,-3.6,,2031446.50
2022-06-10,270.30,291.60,270.00,291.60,,10,,7899947.10
