Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-10-11,285.20,313.70,285.20,313.70,,0,,31971670.40
2023-10-12,319.90,345.00,319.90,345.00,,9.98,,25459474.00
2023-10-16,351.90,358.90,310.50,310.50,,-10,,52702759.30
2023-10-17,304.30,304.30,281.00,284.00,,-8.53,,46269248.00
2023-10-18,280.00,312.00,279.50,307.60,,8.31,,19267993.10
2023-10-19,307.60,324.00,300.00,314.00,,2.08,,20036092.50
2023-10-29,314.00,314.00,299.10,304.20,,-3.12,,24727049.20
2023-10-30,300.00,309.90,300.00,307.40,,1.05,,10731673.70
2023-10-31,306.00,319.90,303.30,318.00,,3.45,,10613956.70
2023-11-01,314.10,324.00,314.00,322.00,,1.26,,19740245.90
2023-11-02,319.00,346.00,319.00,335.00,,4.04,,26431068.30
2023-11-05,328.30,338.50,328.30,332.60,,-0.72,,15115471.50
2023-11-06,330.00,365.80,330.00,365.80,,9.98,,37839660.00
2023-11-07,362.00,395.00,359.00,377.00,,3.06,,31469430.00
2023-11-08,375.00,382.50,367.50,367.50,,-2.52,,17457154.80
2023-11-09,360.20,369.90,356.00,357.00,,-2.86,,36423876.40
2023-11-20,359.00,391.70,355.00,383.00,,7.28,,33385447.40
2023-11-21,380.00,396.70,375.00,394.00,,2.87,,26881952.80
2023-11-22,390.00,430.00,388.00,417.60,,5.99,,40199932.30
2023-11-23,410.00,438.60,410.00,418.00,,0.1,,40564519.00
2023-11-26,418.00,433.00,410.00,411.00,,-1.67,,48039228.60
2023-11-27,406.10,426.00,402.00,421.80,,2.63,,26536906.50
2023-11-28,425.00,448.00,414.10,437.00,,3.6,,23699298.10
2023-11-29,437.00,444.00,427.00,427.10,,-2.27,,20965096.50
2023-11-30,422.10,429.90,420.00,422.00,,-1.19,,24564087.80
2023-12-03,419.00,444.00,416.50,442.00,,4.74,,31561825.50
2023-12-04,446.00,449.00,435.00,440.00,,-0.45,,23514736.80
2023-12-05,433.00,444.00,427.00,428.00,,-2.73,,22842970.20
2023-12-06,419.50,440.70,419.50,439.00,,2.57,,22583764.30
2023-12-07,439.00,472.00,436.00,461.00,,5.01,,53957711.50
2023-12-10,470.20,497.00,470.20,495.00,,7.38,,7990403.00
2023-12-11,504.00,544.50,478.50,544.00,,9.9,,86511017.60
2023-12-12,545.00,598.40,545.00,595.00,,9.37,,59086355.60
2023-12-13,606.90,654.00,595.00,626.00,,6.22,,82709945.00
2023-12-14,620.00,642.60,608.00,620.10,,-0.94,,91379835.20
2023-12-17,632.00,682.10,608.00,682.10,,10,,92325011.90
2023-12-18,695.70,750.30,685.00,750.30,,10,,74264960.20
2023-12-19,765.00,825.30,760.00,825.30,,10,,142930588.40
2023-12-20,841.80,907.80,841.00,907.80,,10,,72043024.70
2023-12-21,925.90,980.00,880.00,923.00,,1.67,,153620492.70
2023-12-24,904.60,925.00,830.70,832.10,,-9.85,,295009594.20
2023-12-27,816.00,855.10,780.00,796.50,,-4.28,,163762113.50
2023-12-28,725.00,796.40,721.00,796.40,,9.99,,94626536.10
2024-01-01,812.30,876.00,800.00,876.00,,9.99,,172570628.70
2024-01-02,893.50,958.00,893.50,925.00,,5.59,,153875152.40
2024-01-03,925.00,982.00,887.00,975.00,,5.41,,141881190.60
2024-01-04,975.00,1044.00,975.00,990.00,,1.54,,115467481.40
2024-01-07,970.20,985.00,932.00,955.00,,-3.54,,199443415.60
2024-01-08,953.00,1044.90,940.00,1034.90,,8.37,,165530971.20
2024-01-09,1055.00,1118.00,1034.00,1040.00,,0.49,,92445351.50
2024-01-10,1030.00,1085.90,989.00,1000.00,,-3.85,,140602783.40
2024-01-11,1000.00,1040.00,997.00,1000.00,,0,,129985885.90
2024-01-14,1020.00,1081.00,1005.00,1057.00,,5.7,,118311083.00
2024-01-16,1060.00,1123.00,1060.00,1087.00,,2.84,,158030295.50
2024-01-17,1087.00,1108.00,1014.30,1027.00,,-5.52,,150724496.20
2024-01-18,1006.50,1035.00,986.00,995.00,,-3.12,,132167824.00
2024-01-21,1000.00,1013.00,935.00,950.00,,-4.52,,143780454.70
2024-01-22,960.00,969.00,911.00,918.00,,-3.37,,100010049.20
2024-01-23,930.00,950.00,916.00,949.00,,3.38,,61138369.40
2024-01-24,960.00,975.00,903.00,913.00,,-3.69,,66528244.80
