Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,950.00,950.00,930.00,940.00,,-1.05,,1563825.00
2014-08-04,935.00,953.00,921.00,953.00,,1.93,,1563825.00
2014-08-04,953.00,960.00,950.00,950.00,,-0.31,,1563825.00
2014-08-04,980.00,984.00,961.00,980.00,,0,,1563825.00
2014-08-04,980.00,971.00,927.00,935.00,,-4.59,,1563825.00
2014-08-05,940.00,951.00,935.00,948.00,,0.85,,1283629.00
2014-08-06,948.00,960.00,936.00,950.00,,0.21,,1977789.00
2014-08-07,950.00,950.00,930.00,950.00,,0,,1030327.00
2014-08-12,950.00,950.00,935.00,940.00,,-1.05,,522970.00
2014-08-13,940.00,953.00,930.00,953.00,,1.38,,1766228.00
2014-08-14,953.00,969.00,945.00,960.00,,0.73,,2888976.00
2014-08-18,960.00,955.00,950.00,950.00,,-1.04,,279774.00
2014-08-19,950.00,999.00,960.00,963.00,,1.37,,5636564.00
2014-08-20,963.00,985.00,950.00,955.00,,-0.83,,2246989.00
2014-08-21,955.00,990.00,949.00,985.00,,3.14,,3895148.00
2014-08-24,985.00,1004.00,966.00,989.00,,0.41,,3213023.00
2014-08-25,989.00,970.00,928.00,930.00,,-5.97,,795252.00
2014-08-26,930.00,930.00,905.00,905.00,,-2.69,,2143425.00
2014-08-27,905.00,941.00,923.00,928.00,,2.54,,977212.00
2014-08-28,928.00,965.00,946.00,960.00,,3.45,,1591350.00
2014-08-31,960.00,941.00,923.00,925.00,,-3.65,,1402084.00
2014-09-01,925.00,925.00,900.00,918.00,,-0.76,,1942303.00
2014-09-03,918.00,935.00,910.00,910.00,,-0.87,,6370142.00
2014-09-04,910.00,895.00,866.00,890.00,,-2.2,,405410.00
2014-09-07,890.00,885.00,858.00,869.00,,-2.36,,3681052.00
2014-09-09,869.00,895.00,875.00,895.00,,2.99,,331627.00
2014-09-10,895.00,900.00,853.00,869.00,,-2.91,,2016602.00
2014-09-11,869.00,871.00,852.00,871.00,,0.23,,906518.00
2014-09-14,871.00,870.00,854.00,854.00,,-1.95,,741330.00
2014-09-15,854.00,845.00,845.00,845.00,,-1.05,,188435.00
2014-09-16,845.00,885.00,850.00,870.00,,2.96,,4224878.00
2014-09-17,870.00,875.00,860.00,875.00,,0.57,,1789845.00
2014-09-21,870.00,887.00,849.00,849.00,,-2.41,,443080.00
2014-09-22,849.00,865.00,831.00,831.00,,-2.12,,2461383.00
2014-09-23,831.00,870.00,831.00,855.00,,2.89,,3098974.00
2014-09-24,855.00,870.00,842.00,870.00,,1.75,,1034854.00
2014-09-28,870.00,880.00,870.00,880.00,,1.15,,211570.00
2014-09-29,880.00,875.00,860.00,865.00,,-1.7,,747390.00
2014-09-30,865.00,882.00,880.00,880.00,,1.73,,375269.00
2014-10-09,880.00,885.00,870.00,870.00,,-1.14,,108960.00
2014-10-12,870.00,870.00,853.00,870.00,,0,,580439.00
2014-10-13,870.00,870.00,855.00,855.00,,-1.72,,110971.00
2014-10-14,855.00,865.00,850.00,865.00,,1.17,,621600.00
2014-10-15,865.00,878.00,861.00,878.00,,1.5,,2657703.00
2014-10-16,878.00,885.00,865.00,870.00,,-0.91,,912460.00
2014-10-19,870.00,880.00,865.00,875.00,,0.57,,1485180.00
2014-10-20,875.00,880.00,873.00,873.00,,-0.23,,606674.00
2014-10-21,873.00,880.00,868.00,868.00,,-0.57,,455580.00
2014-10-22,868.00,885.00,860.00,885.00,,1.96,,1121001.00
