Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2020-02-25,0.00,130.00,128.00,128.00,,3.79,,3880.00
2020-02-26,126.00,126.00,126.00,126.00,,-1.56,,1260.00
2020-03-01,126.00,124.00,120.00,120.00,,-4.76,,35540.00
2020-03-03,120.00,118.00,118.00,118.00,,-1.67,,1180.00
2020-03-05,116.00,116.00,107.00,107.00,,-9.32,,17370.00
2020-03-11,105.00,105.00,97.00,97.00,,-9.35,,210300.00
2020-03-12,96.00,96.00,88.00,88.00,,-9.28,,131710.00
2020-03-15,87.00,87.00,87.00,87.00,,-1.14,,4350.00
2020-03-16,86.00,86.00,86.00,86.00,,-1.15,,6880.00
2020-03-18,85.00,85.00,85.00,85.00,,-1.16,,3400.00
2020-03-22,84.00,84.00,82.00,82.00,,-3.53,,18240.00
2020-06-29,86.00,87.00,85.00,86.00,,4.88,,180810.00
2020-06-30,85.00,88.00,85.00,88.00,,2.33,,154510.00
2020-07-01,92.00,93.00,92.00,93.00,,5.68,,6460.00
2020-07-06,90.00,90.00,90.00,90.00,,-1.1,,6300.00
2020-07-07,89.00,89.00,89.00,89.00,,-1.11,,8900.00
2020-07-08,93.00,93.00,90.00,90.00,,1.12,,17490.00
2020-07-09,94.00,96.00,89.00,95.00,,5.56,,580350.00
2020-07-12,99.00,99.00,94.00,98.00,,3.16,,337870.00
2020-07-13,102.00,102.00,98.00,98.00,,0,,17960.00
2020-07-14,102.00,107.00,98.00,102.00,,4.08,,384980.00
2020-07-15,107.00,112.00,102.00,106.00,,3.92,,385840.00
2020-07-16,104.00,104.00,104.00,104.00,,-1.89,,3120.00
2020-07-20,102.00,102.00,102.00,102.00,,-1.92,,10200.00
2020-07-21,100.00,100.00,92.00,92.00,,-9.8,,20579650.00
2020-07-22,92.00,98.00,86.00,97.00,,5.43,,168280.00
2020-07-23,96.00,96.00,96.00,96.00,,-1.03,,1920.00
2020-07-27,94.00,94.00,93.00,93.00,,-2.11,,5630.00
2020-07-28,92.00,92.00,88.00,91.00,,-2.15,,48520.00
2020-07-29,95.00,96.00,91.00,91.00,,0,,84600.00
2020-07-30,91.00,94.00,90.00,91.00,,0,,73250.00
