Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-05,187.00,190.00,190.00,190.00,,1.6,,34200.00
2014-08-06,190.00,193.00,193.00,193.00,,1.58,,9650.00
2014-08-18,193.00,199.00,196.00,199.00,,3.11,,7900.00
2014-09-01,199.00,199.00,199.00,199.00,,0,,889530.00
2014-09-09,199.00,210.00,202.00,210.00,,5.53,,12360.00
2014-09-28,210.00,218.00,214.00,218.00,,3.81,,15180.00
2014-09-29,218.00,218.00,218.00,218.00,,0,,109000.00
2014-10-13,218.00,222.00,222.00,222.00,,1.83,,6660.00
2014-10-30,222.00,222.00,222.00,222.00,,0,,4440.00
2014-11-02,222.00,234.00,226.00,234.00,,5.41,,13800.00
2014-11-04,234.00,238.00,238.00,238.00,,1.71,,14280.00
2014-11-06,238.00,253.00,249.00,253.00,,6.3,,5020.00
2014-11-09,253.00,263.00,258.00,263.00,,3.95,,381100.00
2014-11-17,263.00,283.00,268.00,283.00,,7.6,,16680.00
2014-11-30,283.00,293.00,288.00,293.00,,3.53,,8740.00
2014-12-01,293.00,298.00,298.00,298.00,,1.71,,14900.00
2014-12-07,298.00,303.00,303.00,303.00,,1.68,,3030.00
2014-12-08,303.00,321.00,309.00,321.00,,5.94,,79050.00
2014-12-09,321.00,345.00,327.00,345.00,,7.48,,372090.00
2014-12-10,345.00,358.00,351.00,358.00,,3.77,,28500.00
2014-12-11,358.00,393.00,365.00,393.00,,9.78,,338210.00
2014-12-14,393.00,432.00,400.00,432.00,,9.92,,1019120.00
2014-12-15,432.00,456.00,424.00,456.00,,5.56,,104720.00
2014-12-16,456.00,465.00,456.00,464.00,,1.75,,87900.00
2014-12-17,464.00,460.00,455.00,460.00,,-0.86,,142300.00
2014-12-18,460.00,484.00,469.00,484.00,,5.22,,85620.00
2014-12-21,484.00,493.00,473.00,473.00,,-2.27,,632130.00
2014-12-28,473.00,464.00,438.00,438.00,,-7.4,,26870.00
2015-01-05,438.00,430.00,406.00,406.00,,-7.31,,73800.00
2015-01-06,406.00,446.00,398.00,446.00,,9.85,,1093720.00
2015-01-07,446.00,490.00,450.00,490.00,,9.87,,1064870.00
2015-01-08,490.00,539.00,499.00,539.00,,10,,766865.00
2015-01-11,539.00,592.00,549.00,592.00,,9.83,,259660.00
2015-01-12,592.00,639.00,603.00,639.00,,7.94,,136140.00
2015-01-13,639.00,702.00,651.00,702.00,,9.86,,2717570.00
2015-01-14,702.00,772.00,716.00,772.00,,9.97,,3164515.00
2015-01-19,772.00,818.00,787.00,818.00,,5.96,,24070.00
2015-01-22,818.00,802.00,737.00,737.00,,-9.9,,53490.00
2015-01-25,737.00,723.00,664.00,664.00,,-9.91,,726120.00
2015-01-26,664.00,715.00,638.00,689.00,,3.77,,2472850.00
2015-01-27,689.00,676.00,663.00,666.00,,-3.34,,527570.00
2015-01-28,666.00,673.00,660.00,673.00,,1.05,,72730.00
2015-01-29,673.00,661.00,661.00,661.00,,-1.78,,138810.00
2015-02-01,661.00,661.00,660.00,660.00,,-0.15,,270840.00
2015-02-02,660.00,694.00,655.00,694.00,,5.15,,275340.00
2015-02-03,694.00,748.00,689.00,748.00,,7.78,,1303970.00
2015-02-04,748.00,750.00,735.00,750.00,,0.27,,1525780.00
2015-02-05,750.00,735.00,735.00,735.00,,-2,,367500.00
