Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2022-08-10,509.60,509.60,459.50,459.50,,-9.99,,18551021.40
2022-08-11,450.40,450.40,424.00,432.20,,-5.94,,46151404.80
2022-08-14,432.00,432.00,416.60,424.00,,-1.9,,7987119.70
2022-08-15,430.00,438.60,400.90,435.00,,2.59,,30312370.10
2022-08-16,430.00,432.00,412.00,421.90,,-3.01,,12581095.80
2022-08-17,416.50,434.00,411.00,424.90,,0.71,,8004230.50
2022-08-18,430.00,430.00,414.00,417.90,,-1.65,,15058440.30
2022-08-21,415.00,419.80,413.10,415.00,,-0.69,,7125597.40
2022-08-22,411.70,431.40,408.10,417.90,,0.7,,4913995.40
2022-08-23,417.00,419.00,408.00,410.00,,-1.89,,4537827.90
2022-08-24,410.00,415.00,408.10,411.80,,0.44,,3580107.90
2022-08-25,407.00,414.00,399.00,400.00,,-2.87,,10924520.70
2022-08-26,400.00,400.00,392.00,392.00,,-2,,5074443.10
2022-08-28,387.00,390.00,375.00,375.10,,-4.31,,9342753.50
2022-08-29,378.00,385.00,371.00,381.90,,1.81,,4049582.20
2022-08-30,389.00,389.00,379.00,383.90,,0.52,,3039082.30
2022-08-31,389.50,389.50,370.00,370.00,,-3.62,,4058927.50
2022-09-01,375.00,407.00,367.50,407.00,,10,,56554781.60
2022-09-02,415.10,415.10,394.00,396.60,,-2.56,,6244176.80
2022-09-04,403.00,436.00,400.00,433.00,,9.18,,57816560.90
2022-09-05,441.60,450.40,418.00,450.00,,3.93,,45978664.00
2022-09-06,441.00,465.00,414.00,422.90,,-6.02,,91418726.40
2022-09-07,420.00,420.00,402.00,404.10,,-4.45,,46129386.00
2022-09-08,400.30,421.10,400.00,411.90,,1.93,,131045365.90
2022-09-11,418.00,418.00,401.00,406.70,,-1.26,,39578471.90
2022-09-12,400.50,404.00,398.60,401.00,,-1.4,,9685945.20
2022-09-13,406.90,407.00,398.00,404.50,,0.87,,38427185.00
2022-09-14,400.00,413.50,400.00,412.90,,2.08,,43447099.00
2022-09-15,406.10,410.00,385.00,392.00,,-5.06,,40600540.10
2022-09-16,384.20,406.00,378.00,406.00,,3.57,,8574918.50
2022-09-18,398.00,398.00,379.00,384.00,,-5.42,,14393975.70
2022-09-20,377.00,377.00,366.20,368.00,,-4.17,,16052468.20
2022-09-21,374.70,375.00,366.10,370.70,,0.73,,8125066.00
2022-09-22,369.20,370.10,364.00,365.00,,-1.54,,4590577.60
2022-09-25,362.00,362.00,353.20,361.70,,-0.9,,6033159.20
2022-09-27,360.00,373.00,360.00,364.00,,0.64,,5139142.30
2022-09-28,364.00,373.50,358.00,360.00,,-1.1,,4887560.70
2022-09-29,365.00,372.00,359.00,361.00,,0.28,,7671145.90
2022-10-09,361.50,380.00,361.00,371.00,,2.77,,5981005.90
2022-10-10,378.00,385.00,358.00,360.00,,-2.96,,4840694.30
2022-10-11,354.30,360.50,354.30,358.00,,-0.56,,2517976.90
2022-10-12,358.00,370.00,353.00,366.90,,2.49,,16967447.00
2022-10-13,362.00,371.90,360.00,366.00,,-0.25,,7592328.80
2022-10-16,366.00,369.00,359.00,364.00,,-0.55,,4831771.00
2022-10-17,358.00,365.10,358.00,360.00,,-1.1,,2468765.50
2022-10-19,355.20,355.20,350.00,352.00,,-2.22,,3922227.70
2022-10-20,347.00,351.00,345.00,347.00,,-1.42,,2239975.60
2022-10-23,346.00,355.90,345.40,355.90,,2.56,,4379800.10
2022-10-31,350.00,357.90,350.00,357.90,,0.56,,1891783.60
