Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2025-09-01,252.20,267.50,252.20,267.50,,6.07,,15406.00
2025-09-02,272.80,294.20,272.80,294.20,,9.98,,17124.00
2025-09-03,289.70,323.60,289.70,323.60,,9.99,,34447.00
2025-09-04,319.30,355.90,319.30,355.90,,9.98,,55724.00
2025-09-07,355.00,391.40,355.00,391.40,,9.97,,88559.00
2025-09-08,399.20,430.50,399.20,430.50,,9.99,,106855.00
2025-09-18,439.00,473.50,439.00,473.50,,9.99,,135085.00
2025-09-21,465.00,520.80,465.00,520.80,,9.99,,1237581.00
2025-09-23,531.20,572.80,531.20,572.80,,9.98,,1551268.00
2025-09-24,584.20,630.00,584.20,630.00,,9.99,,2525175.00
2025-09-25,642.60,693.00,642.60,693.00,,10,,2639093.00
2025-09-28,706.80,762.30,666.40,688.00,,-0.72,,52107209.00
2025-10-07,674.30,674.30,619.20,651.10,,-5.36,,25820247.30
2025-10-08,645.00,652.00,616.60,625.00,,-4.01,,17615859.00
2025-10-09,637.50,663.00,620.20,630.10,,0.82,,10511522.90
2025-10-12,620.00,625.00,605.00,608.00,,-3.51,,9566173.60
2025-10-13,600.00,637.00,597.10,636.00,,4.61,,6964569.00
2025-10-14,636.00,642.00,607.00,619.00,,-2.67,,5771991.40
2025-10-15,631.00,631.00,601.00,606.10,,-2.08,,5003972.60
2025-10-16,600.00,606.00,594.10,602.00,,-0.68,,6864987.50
2025-10-19,595.00,600.00,585.00,595.00,,-1.16,,3879634.80
2025-10-26,595.00,597.00,586.00,595.00,,0,,1213154.00
2025-10-28,588.10,620.00,588.10,618.00,,3.87,,5777605.00
2025-10-29,610.00,627.00,606.00,613.00,,-0.81,,4357841.60
2025-10-30,603.00,620.00,600.00,615.00,,0.33,,6173577.60
2025-11-02,605.50,646.00,605.10,646.00,,5.04,,10566557.00
2025-11-03,646.00,650.00,626.00,635.00,,-1.7,,5928805.60
2025-11-04,630.00,636.00,617.40,624.00,,-1.73,,4435386.80
2025-11-05,613.00,624.70,613.00,622.70,,-0.21,,4436662.90
2025-11-06,615.00,625.00,608.50,610.00,,-2.04,,4823851.50
2025-11-09,600.00,612.50,600.00,602.00,,-1.31,,6305813.60
2025-11-10,595.00,610.00,595.00,597.00,,-0.83,,4286960.50
